Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-04-25T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Apr 17,Apr 20,Apr 21,Apr 22,Apr 23,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5806.8,5844.0,5812.8,5820.3,5906.8,5907.7,5820.3,86.5,1.49,5906.8,5806.8,55.3,0.94,5937.1,5806.8,-27.7,-0.47,5937.1,5278.8,518.2,9.62,5937.1,5278.8,391.3,7.09,50670.2,50283.0,50606.8,50337.0,50402.4,50606.8,50283.0,-267.8,-0.53,51390.7,50283.0,-951.7,-1.85,51390.7,45110.3,4355.5,9.46,51390.7,43681.7,4642.2,10.14,,
XAF,All Australian 50,5927.0,5964.4,5924.5,5934.3,6026.5,6028.2,5934.3,92.2,1.55,6026.5,5924.5,59.0,0.99,6074.7,5924.5,-42.5,-0.70,6081.0,5389.2,528.3,9.61,6081.0,5389.2,389.5,6.91,53212.9,52851.6,53185.2,52829.8,52917.3,53185.2,52829.8,-295.7,-0.56,54168.7,52829.8,-1197.6,-2.21,54222.3,47407.4,4550.9,9.41,54222.3,45852.9,4903.8,10.21,,
XAT,All Australian 200,5775.5,5813.5,5779.3,5786.8,5877.8,5879.1,5786.8,91.0,1.57,5877.8,5775.5,58.3,1.00,5915.4,5775.5,-33.1,-0.56,5916.5,5251.9,514.7,9.60,5916.5,5251.9,390.0,7.11,51491.4,51101.9,51438.2,51136.3,51202.7,51438.2,51101.9,-288.7,-0.56,52321.7,51101.9,-1074.4,-2.06,52324.7,45851.2,4381.9,9.36,52324.7,44281.4,4742.4,10.21,,
XTL,S&P/ASX 20,3644.3,3666.5,3639.1,3646.4,3702.8,3703.6,3646.4,56.4,1.55,3702.8,3639.1,33.7,0.92,3754.3,3639.1,-46.7,-1.25,3760.5,3321.7,304.0,8.95,3760.5,3321.7,204.7,5.85,64381.1,63946.0,64336.3,63855.6,63983.8,64336.3,63855.6,-397.3,-0.62,65876.0,63855.6,-1808.9,-2.75,65985.5,57424.2,5228.0,8.90,65985.5,55673.0,5432.0,9.28,,
XFL,S&P/ASX 50,5996.3,6033.7,5993.6,6003.2,6097.3,6099.0,6003.2,94.1,1.57,6097.3,5993.6,59.9,0.99,6146.0,5993.6,-43.8,-0.71,6152.9,5453.2,533.9,9.60,6152.9,5453.2,394.9,6.93,53741.9,53375.6,53709.2,53351.9,53437.9,53709.2,53351.9,-304.0,-0.57,54706.1,53351.9,-1221.3,-2.23,54764.7,47882.7,4587.4,9.39,54764.7,46300.1,4952.8,10.21,,
XTO,S&P/ASX 100,4872.5,4905.2,4874.0,4881.5,4954.4,4956.1,4881.5,72.9,1.49,4954.4,4872.5,45.1,0.92,4991.6,4872.5,-33.2,-0.67,4996.2,4422.0,441.4,9.78,4996.2,4422.0,356.3,7.75,13218.7,13119.5,13207.7,13123.5,13143.7,13207.7,13119.5,-75.0,-0.57,13437.6,13119.5,-282.1,-2.10,13448.7,11747.2,1154.9,9.63,13448.7,11295.6,1305.6,11.03,,
XJO,S&P/ASX 200,5833.1,5872.3,5837.5,5844.8,5933.3,5935.0,5844.8,88.5,1.51,5933.3,5833.1,55.4,0.94,5973.3,5833.1,-35.8,-0.60,5975.5,5299.2,522.3,9.65,5975.5,5299.2,402.3,7.27,51896.0,51500.9,51847.2,51539.5,51604.5,51847.2,51500.9,-291.6,-0.56,52720.7,51500.9,-1072.6,-2.04,52731.3,46166.2,4465.2,9.47,52731.3,44533.8,4874.9,10.43,,
XVI,S&P/ASX 200 VIX,16.172,15.362,15.503,15.466,14.600,14.649,14.231,-0.866,-5.60,16.172,14.600,-0.201,-1.36,16.172,12.614,2.051,16.34,16.722,12.403,0.019,0.13,19.164,9.309,3.584,32.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5766.7,5804.7,5771.3,5777.9,5864.5,5865.9,5777.9,86.6,1.50,5864.5,5766.7,54.5,0.94,5904.1,5766.7,-35.3,-0.60,5904.1,5240.7,515.6,9.64,5904.1,5240.7,392.6,7.17,51104.4,50722.9,51057.2,50763.8,50823.3,51057.2,50722.9,-281.1,-0.55,51912.7,50722.9,-1045.0,-2.01,51912.7,45487.5,4397.7,9.47,51912.7,43915.8,4755.3,10.32,,
XMD,S&P/ASX MidCap 50,5196.7,5250.5,5228.3,5233.5,5282.8,5297.3,5233.5,49.3,0.94,5282.8,5196.7,18.8,0.36,5363.8,5196.7,-14.7,-0.28,5363.8,4638.6,535.3,11.28,5363.8,4638.6,685.7,14.91,14497.0,14311.6,14459.7,14398.6,14413.1,14459.7,14311.6,-83.9,-0.58,14759.9,14311.6,-152.7,-1.05,14759.9,12623.2,1493.6,11.56,14759.9,11578.7,2197.5,17.99,,
XSO,S&P/ASX Small Ords,2168.6,2179.5,2182.7,2175.5,2209.1,2209.1,2175.5,33.6,1.54,2209.1,2168.6,25.3,1.16,2209.1,2151.7,4.6,0.21,2233.1,2001.2,164.7,8.06,2233.1,2001.2,16.8,0.77,5617.3,5578.1,5606.3,5615.1,5597.6,5615.1,5578.1,-19.7,-0.35,5680.1,5529.7,-56.1,-0.99,5693.5,5089.5,400.0,7.70,5754.2,4882.3,135.1,2.47,,
XDJ,Consumer Discretionary,1943.3,1962.0,1957.7,1955.2,1997.3,2002.7,1955.2,42.1,2.15,1997.3,1943.3,34.9,1.78,2014.2,1943.3,28.7,1.46,2014.2,1713.3,244.0,13.92,2014.2,1713.3,137.5,7.39,15311.2,15162.1,15307.9,15274.0,15259.9,15307.9,15162.1,-51.3,-0.33,15715.2,15161.7,-35.9,-0.23,15715.2,13162.6,1790.2,13.29,15715.2,12935.8,1242.0,8.86,,
XSJ,Consumer Staples,9031.7,9094.0,9051.1,9002.2,9159.8,9170.4,9002.2,157.6,1.75,9159.8,9002.2,4.3,0.05,9452.9,9002.2,-178.0,-1.91,10122.8,9002.2,-13.3,-0.14,10122.8,9002.2,-1057.4,-10.35,77855.5,76802.7,77332.6,76967.7,76552.0,77332.6,76552.0,-1303.4,-1.67,80384.9,76552.0,-2854.0,-3.59,85291.5,75246.2,43.2,0.06,85291.5,73342.3,-6776.4,-8.13,,
XEJ,Energy,11611.5,11571.4,11459.7,11583.1,11895.9,11905.8,11583.1,312.8,2.70,11895.9,11459.7,200.1,1.71,11895.9,10678.2,611.9,5.42,12048.3,10301.0,294.5,2.54,12048.3,10301.0,-2260.3,-15.97,87439.3,86809.2,86509.6,85674.2,86597.0,86809.2,85674.2,-842.2,-0.96,87439.3,79831.4,2236.5,2.65,87551.8,74854.3,2292.7,2.72,111140.9,74854.3,-14553.5,-14.39,,
XFJ,Financials,6964.4,6994.9,6930.0,6911.9,6997.8,7002.7,6911.9,85.9,1.24,6997.8,6911.9,-13.5,-0.19,7174.4,6911.9,-148.5,-2.08,7186.4,6165.5,742.4,11.87,7186.4,6165.5,808.1,13.06,73811.5,73318.4,73639.5,72955.7,72765.4,73639.5,72765.4,-1046.1,-1.42,75512.7,72765.4,-2450.7,-3.26,75638.7,64303.3,7526.2,11.54,75638.7,59639.1,10878.1,17.58,,
XXJ,Financial-x-A-REIT,8142.6,8180.4,8102.4,8076.0,8171.6,8176.6,8076.0,95.6,1.18,8180.4,8076.0,-32.3,-0.39,8389.1,8076.0,-169.0,-2.03,8394.2,7130.2,889.4,12.21,8394.2,7130.2,838.5,11.43,82765.2,82146.6,82527.7,81740.4,81474.7,82527.7,81474.7,-1290.6,-1.56,84615.3,81474.7,-2651.0,-3.15,84666.9,71254.0,8702.2,11.96,84666.9,66776.9,11200.7,15.94,,
XHJ,Health Care,19219.6,19336.7,19259.7,19381.2,19468.7,19509.8,19263.3,87.5,0.45,19468.7,19219.6,10.2,0.05,19933.9,19138.2,-161.4,-0.82,19933.9,17005.1,1981.5,11.33,19933.9,17005.1,5170.8,36.16,125733.2,124189.7,124946.0,124448.4,125233.3,125233.3,124189.7,-500.0,-0.40,128804.9,123601.3,-1544.9,-1.22,128804.9,108911.1,13234.6,11.82,128804.9,88629.9,34725.6,38.37,,
