Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-03-31T23:15:12+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4355.2,4391.6,4431.5,4422.0,4420.0,4443.0,4419.9,-2.0,-0.05,4431.5,4355.2,59.3,1.36,4431.5,4234.4,31.9,0.73,4431.5,4155.2,309.0,7.52,5064.9,3927.6,-534.6,-10.79,33112.5,33389.3,33693.6,33622.6,33608.2,33693.6,33112.5,468.1,1.41,33693.6,32123.2,381.0,1.15,33693.6,31164.7,2774.8,9.00,36827.4,29204.1,-2410.4,-6.69,,
XAF,All Australian 50,4219.5,4257.0,4301.1,4300.7,4293.7,4320.6,4293.7,-7.0,-0.16,4301.1,4219.5,67.1,1.59,4301.1,4099.4,46.8,1.10,4301.1,4092.7,244.6,6.04,4939.1,3853.0,-534.0,-11.06,32744.7,33035.8,33377.9,33375.3,33320.3,33377.9,32744.7,525.9,1.60,33377.9,31764.6,466.9,1.42,33377.9,31296.5,2356.5,7.61,36488.5,29181.9,-2345.5,-6.58,,
XAT,All Australian 200,4253.5,4291.7,4334.3,4329.1,4326.5,4352.2,4326.5,-2.6,-0.06,4334.3,4253.5,65.6,1.54,4334.3,4135.9,34.5,0.80,4334.3,4095.7,275.8,6.81,4976.2,3855.4,-540.4,-11.10,32886.6,33182.0,33511.8,33471.8,33452.2,33511.8,32886.6,517.1,1.57,33511.8,31920.5,386.6,1.17,33511.8,31218.0,2577.0,8.35,36695.0,29116.8,-2433.3,-6.78,,
XTL,S&P/ASX 20,2530.0,2555.3,2582.6,2582.9,2578.0,2595.9,2578.0,-4.9,-0.19,2582.9,2530.0,44.3,1.75,2582.9,2459.2,27.4,1.07,2585.2,2459.2,128.3,5.24,2998.7,2334.2,-346.2,-11.84,38525.9,38911.3,39326.4,39331.8,39256.7,39331.8,38525.9,674.1,1.75,39331.8,37390.7,502.6,1.30,39331.8,37130.7,2511.7,6.84,43396.5,34671.5,-3062.1,-7.24,,
XFL,S&P/ASX 50,4249.6,4287.2,4331.4,4330.6,4323.3,4350.7,4323.3,-7.3,-0.17,4331.4,4249.6,66.9,1.57,4331.4,4127.1,48.3,1.13,4331.4,4119.7,246.8,6.06,4953.4,3876.7,-520.1,-10.74,32937.8,33229.3,33572.0,33566.0,33509.0,33572.0,32937.8,523.6,1.59,33572.0,31940.7,479.4,1.45,33572.0,31465.6,2373.6,7.62,36564.0,29332.3,-2242.9,-6.27,,
XTO,S&P/ASX 100,3467.5,3498.9,3535.6,3532.2,3529.2,3550.5,3529.2,-3.0,-0.08,3535.6,3467.5,54.4,1.57,3535.6,3371.7,34.3,0.98,3535.6,3352.0,212.5,6.41,4049.1,3155.5,-431.3,-10.89,8148.1,8221.9,8308.1,8300.1,8293.1,8308.1,8148.1,129.9,1.59,8308.1,7910.2,108.6,1.33,8308.1,7763.4,611.5,7.96,9067.0,7240.1,-574.6,-6.48,,
XJO,S&P/ASX 200,4262.8,4301.3,4343.5,4337.9,4335.2,4361.1,4335.2,-2.7,-0.06,4343.5,4262.8,64.8,1.52,4343.5,4143.7,36.7,0.85,4343.5,4101.2,278.6,6.87,4971.2,3863.9,-526.6,-10.83,32911.7,33209.2,33535.6,33492.3,33472.3,33535.6,32911.7,511.6,1.55,33535.6,31934.5,404.1,1.22,33535.6,31218.6,2593.2,8.40,36617.7,29145.7,-2336.1,-6.52,,
XKO,S&P/ASX 300,4267.9,4305.6,4347.1,4341.1,4338.6,4363.4,4338.6,-2.5,-0.06,4347.1,4267.9,64.4,1.51,4347.1,4147.4,36.5,0.85,4347.1,4097.1,286.3,7.07,4984.1,3860.9,-536.2,-11.00,32859.5,33150.1,33470.3,33424.5,33405.7,33470.3,32859.5,506.9,1.54,33470.3,31873.8,401.8,1.22,33470.3,31106.7,2639.1,8.58,36632.1,29050.7,-2418.5,-6.75,,
XMD,S&P/ASX MidCap 50,3835.0,3876.4,3922.3,3893.6,3917.5,3931.8,3891.5,23.9,0.61,3922.3,3835.0,59.5,1.54,3923.3,3766.0,-8.2,-0.21,3928.5,3609.5,338.6,9.46,4573.1,3408.2,-536.1,-12.04,9401.5,9502.9,9615.5,9545.0,9603.7,9615.5,9401.5,153.6,1.63,9615.5,9209.8,30.6,0.32,9615.5,8736.2,941.6,10.87,10728.9,8186.5,-839.2,-8.04,,
XSO,S&P/ASX Small Ords,2503.3,2520.4,2524.8,2511.3,2516.1,2523.8,2508.1,4.8,0.19,2524.8,2503.3,23.1,0.93,2525.0,2419.0,-10.5,-0.42,2526.6,2240.7,306.7,13.88,2920.5,2137.3,-339.1,-11.88,5841.1,5881.0,5892.6,5861.8,5874.2,5892.6,5841.1,61.7,1.06,5892.6,5621.5,11.1,0.19,5892.6,5181.7,765.4,14.98,6617.6,4915.5,-592.9,-9.17,,
