Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-01-31T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jan 23,Jan 27,Jan 28,Jan 29,Jan 30,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jan 23,Jan 27,Jan 28,Jan 29,Jan 30,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5468.2,5511.5,5516.6,5532.2,5551.6,5579.4,5532.2,19.4,0.35,5551.6,5468.2,161.1,2.99,5551.6,5278.8,159.3,2.95,5551.6,5278.8,163.0,3.02,5551.6,5278.8,346.5,6.66,46729.0,47098.8,47142.3,47276.3,47441.6,47441.6,46729.0,1376.8,2.99,47441.6,45110.3,1362.9,2.96,47441.6,45110.3,1394.7,3.03,47783.6,41681.2,4807.2,11.28,,
XAF,All Australian 50,5597.1,5640.2,5646.5,5664.7,5684.5,5718.1,5664.7,19.8,0.35,5684.5,5597.1,168.1,3.05,5684.5,5389.2,177.0,3.21,5684.5,5389.2,186.3,3.39,5684.5,5389.2,388.8,7.34,49236.1,49615.4,49671.3,49831.1,50005.1,50005.1,49236.1,1479.0,3.05,50005.1,47407.4,1556.9,3.21,50005.1,47407.4,1638.7,3.39,50005.1,43505.3,5489.0,12.33,,
XAT,All Australian 200,5451.0,5494.0,5500.5,5517.6,5535.8,5566.8,5517.6,18.2,0.33,5535.8,5451.0,164.7,3.07,5535.8,5251.9,167.3,3.12,5535.8,5251.9,172.7,3.22,5535.8,5251.9,389.1,7.56,47588.6,47964.6,48020.9,48170.3,48329.5,48329.5,47588.6,1438.1,3.07,48329.5,45851.2,1461.5,3.12,48329.5,45851.2,1508.6,3.22,48471.7,42022.3,5321.7,12.37,,
XTL,S&P/ASX 20,3451.7,3480.5,3482.8,3496.7,3508.6,3529.4,3496.7,11.9,0.34,3508.6,3451.7,103.8,3.05,3508.6,3321.7,104.7,3.08,3508.6,3321.7,109.8,3.23,3508.6,3321.7,247.7,7.59,59670.9,60168.7,60208.3,60449.3,60654.8,60654.8,59670.9,1794.5,3.05,60654.8,57424.2,1810.6,3.08,60654.8,57424.2,1898.9,3.23,60670.4,52576.0,6812.1,12.65,,
XFL,S&P/ASX 50,5664.9,5707.7,5714.4,5732.9,5753.0,5787.2,5732.9,20.1,0.35,5753.0,5664.9,170.5,3.05,5753.0,5453.2,180.2,3.23,5753.0,5453.2,189.6,3.41,5753.0,5453.2,392.9,7.33,49741.9,50118.0,50176.5,50338.6,50515.7,50515.7,49741.9,1497.7,3.06,50515.7,47882.7,1582.5,3.23,50515.7,47882.7,1665.2,3.41,50515.7,43959.9,5532.4,12.30,,
XTO,S&P/ASX 100,4593.0,4631.3,4636.1,4650.9,4667.0,4694.6,4650.9,16.1,0.35,4667.0,4593.0,143.2,3.17,4667.0,4422.0,148.3,3.28,4667.0,4422.0,154.0,3.41,4667.0,4422.0,355.8,8.25,12201.4,12303.2,12316.0,12355.4,12398.1,12398.1,12201.4,380.6,3.17,12398.1,11747.2,394.1,3.28,12398.1,11747.2,409.3,3.41,12398.1,10700.4,1442.0,13.16,,
XJO,S&P/ASX 200,5501.8,5547.2,5552.8,5569.5,5588.3,5619.5,5569.5,18.8,0.34,5588.3,5501.8,168.4,3.11,5588.3,5299.2,171.7,3.17,5588.3,5299.2,177.3,3.28,5588.3,5299.2,398.3,7.67,47931.1,48326.6,48375.0,48520.5,48684.6,48684.6,47931.1,1466.9,3.11,48684.6,46166.2,1496.5,3.17,48684.6,46166.2,1545.4,3.28,48729.0,42284.9,5401.5,12.48,,
XVI,S&P/ASX 200 VIX,14.082,14.319,14.468,14.454,14.333,14.433,13.781,-0.121,-0.84,14.468,14.082,-1.122,-7.26,16.722,13.883,-0.193,-1.33,16.722,13.883,-0.248,-1.70,19.164,0.147,-1.251,-8.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5437.5,5481.2,5486.6,5502.8,5521.2,5551.1,5502.8,18.4,0.33,5521.2,5437.5,163.5,3.05,5521.2,5240.7,167.4,3.13,5521.2,5240.7,172.3,3.22,5521.2,5240.7,375.4,7.30,47195.6,47574.5,47621.5,47762.8,47922.1,47922.1,47195.6,1419.3,3.05,47922.1,45487.5,1454.6,3.13,47922.1,45487.5,1496.6,3.22,48058.9,41785.8,5154.1,12.05,,
XMD,S&P/ASX MidCap 50,4812.0,4882.4,4882.2,4896.7,4911.3,4939.7,4896.7,14.6,0.30,4911.3,4812.0,191.8,4.06,4911.3,4638.6,174.0,3.67,4911.3,4638.6,163.8,3.45,4911.3,4638.6,692.2,16.41,13095.0,13286.6,13286.2,13325.7,13365.4,13365.4,13095.0,522.1,4.07,13365.4,12623.2,473.5,3.67,13365.4,12623.2,445.9,3.45,13365.4,10758.1,2293.2,20.71,,
XSO,S&P/ASX Small Ords,2049.1,2057.6,2058.4,2058.5,2062.2,2065.1,2054.8,3.7,0.18,2062.2,2049.1,33.3,1.64,2074.4,2001.2,25.0,1.23,2074.4,2001.2,17.8,0.87,2074.4,2001.2,-70.3,-3.30,5211.3,5232.9,5235.1,5235.3,5244.8,5244.8,5211.3,84.7,1.64,5273.9,5089.5,65.4,1.26,5273.9,5089.5,47.2,0.91,5754.2,4882.3,-9.7,-0.18,,
XDJ,Consumer Discretionary,1791.8,1827.0,1845.2,1851.4,1862.4,1871.7,1849.4,11.0,0.59,1862.4,1791.8,106.9,6.09,1862.4,1713.3,113.6,6.50,1862.4,1713.3,109.1,6.22,1862.4,1713.3,114.3,6.54,13765.3,14035.9,14176.0,14223.2,14308.2,14308.2,13765.3,821.8,6.09,14308.2,13162.6,873.2,6.50,14308.2,13162.6,838.5,6.22,14336.1,12735.0,1327.0,10.22,,
XSJ,Consumer Staples,9417.8,9591.6,9461.1,9490.5,9496.7,9576.3,9490.5,6.2,0.07,9591.6,9417.8,93.2,0.99,9591.6,9021.7,307.9,3.35,9591.6,9021.7,323.6,3.53,9591.6,9021.7,-210.8,-2.17,78550.1,79999.7,78910.9,79156.3,79208.2,79999.7,78550.1,777.1,0.99,79999.7,75246.2,2568.6,3.35,79999.7,75246.2,2699.5,3.53,85101.4,73342.3,1495.8,1.92,,
XEJ,Energy,10903.8,10793.9,10895.3,10718.3,10851.9,10903.1,10718.3,133.6,1.25,10903.8,10718.3,289.3,2.74,11748.8,10301.0,-708.0,-6.12,11748.8,10301.0,-749.5,-6.46,11748.8,10301.0,-2267.1,-17.28,79234.9,78436.5,79173.5,77886.8,78857.7,79234.9,77886.8,2102.4,2.74,85375.5,74854.3,-5145.0,-6.12,85375.5,74854.3,-5446.6,-6.46,111140.9,74854.3,-13369.6,-14.50,,
XFJ,Financials,6412.2,6478.4,6484.2,6525.0,6540.9,6588.4,6525.0,15.9,0.24,6540.9,6412.2,232.8,3.69,6540.9,6165.5,267.4,4.26,6540.9,6165.5,285.5,4.56,6540.9,6165.5,898.0,15.91,66876.8,67567.1,67628.0,68053.1,68218.6,68218.6,66876.8,2427.7,3.69,68218.6,64303.3,2791.1,4.27,68218.6,64303.3,2979.4,4.57,68218.6,54492.0,12351.0,22.11,,
XXJ,Financial-x-A-REIT,7406.6,7482.0,7499.3,7554.8,7575.3,7624.6,7554.8,20.5,0.27,7575.3,7406.6,267.9,3.67,7575.3,7130.2,296.5,4.07,7575.3,7130.2,293.1,4.03,7575.3,7130.2,918.7,13.80,74015.7,74769.0,74941.7,75496.5,75702.0,75702.0,74015.7,2677.5,3.67,75702.0,71254.0,2963.1,4.07,75702.0,71254.0,2929.5,4.03,75702.0,61376.9,12530.5,19.84,,
