Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-10-04T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Sep 29,Sep 30,Oct 1,Oct 2,Oct 3,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Sep 29,Sep 30,Oct 1,Oct 2,Oct 3,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5269.6,5296.8,5334.5,5298.5,5315.4,5316.1,5282.2,16.9,0.32,5334.5,5269.6,-1.2,-0.02,5632.1,5269.6,-339.2,-6.00,5656.9,5088.7,-37.7,-0.70,5656.9,5088.7,109.5,2.10,44658.9,44890.7,45211.4,44907.4,45053.0,45211.4,44658.9,-1.6,-0.00,47783.6,44658.9,-2730.6,-5.71,47783.6,41681.2,1208.0,2.76,47783.6,41443.6,2749.6,6.50,,
XAF,All Australian 50,5352.5,5385.6,5428.2,5393.9,5419.9,5420.3,5379.4,26.0,0.48,5428.2,5352.5,17.3,0.32,5721.4,5352.5,-327.3,-5.70,5751.6,5175.5,-37.9,-0.69,5751.6,5175.5,112.8,2.13,46654.5,46942.9,47313.8,47015.6,47241.5,47313.8,46654.5,150.4,0.32,49995.8,46654.5,-2754.3,-5.51,49995.8,43505.3,1363.1,2.97,49995.8,43428.7,3022.2,6.83,,
XAT,All Australian 200,5223.9,5252.2,5293.2,5257.4,5277.9,5278.2,5240.8,20.5,0.39,5293.2,5223.9,5.0,0.09,5590.2,5223.9,-336.7,-6.00,5617.0,5028.8,-26.8,-0.51,5617.0,5028.8,113.1,2.19,45214.2,45459.4,45814.3,45505.3,45682.6,45814.3,45214.2,46.6,0.10,48471.7,45214.2,-2789.1,-5.75,48471.7,42022.3,1355.2,3.06,48471.7,41869.0,2889.0,6.75,,
XTL,S&P/ASX 20,3297.5,3321.1,3350.9,3327.0,3346.4,3346.7,3317.9,19.4,0.58,3350.9,3297.5,13.4,0.40,3534.4,3297.5,-201.9,-5.69,3551.7,3184.2,-32.0,-0.95,3551.7,3184.2,78.9,2.42,56504.4,56909.9,57419.8,57010.2,57343.2,57419.8,56504.4,230.0,0.40,60670.4,56504.4,-3327.2,-5.48,60670.4,52576.0,1560.6,2.80,60670.4,52576.0,3854.4,7.21,,
XFL,S&P/ASX 50,5415.0,5448.3,5491.6,5456.8,5483.2,5483.6,5442.4,26.4,0.48,5491.6,5415.0,17.2,0.31,5788.7,5415.0,-331.1,-5.69,5818.9,5238.2,-43.7,-0.79,5818.9,5238.2,112.6,2.10,47113.5,47403.5,47779.9,47477.5,47707.2,47779.9,47113.5,149.9,0.32,50484.7,47113.5,-2777.5,-5.50,50484.7,43959.9,1324.2,2.86,50484.7,43886.4,3030.6,6.78,,
XTO,S&P/ASX 100,4372.7,4397.3,4432.3,4402.6,4421.3,4421.5,4389.6,18.7,0.42,4432.3,4372.7,7.7,0.18,4675.7,4372.7,-275.8,-5.87,4699.7,4210.6,-23.9,-0.54,4699.7,4210.6,103.3,2.39,11514.0,11578.7,11671.0,11592.8,11642.0,11671.0,11514.0,21.0,0.18,12340.3,11514.0,-698.3,-5.66,12340.3,10700.4,345.3,3.06,12340.3,10670.3,762.8,7.01,,
XJO,S&P/ASX 200,5264.2,5292.8,5334.1,5297.7,5318.2,5318.6,5281.2,20.5,0.39,5334.1,5264.2,4.8,0.09,5631.3,5264.2,-337.9,-5.97,5658.5,5070.3,-34.0,-0.64,5658.5,5070.3,110.2,2.12,45469.3,45716.7,46073.5,45759.5,45936.9,46073.5,45469.3,45.4,0.10,48729.0,45469.3,-2792.1,-5.73,48729.0,42284.9,1301.8,2.92,48729.0,42141.4,2866.3,6.65,,
XVI,S&P/ASX 200 VIX,15.830,15.146,14.754,15.372,14.709,15.549,14.567,-0.663,-4.31,15.830,14.709,-0.836,-5.38,15.830,11.347,3.521,31.47,18.372,0.147,3.147,27.22,18.372,0.147,-0.282,-1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5212.5,5240.5,5280.4,5244.4,5263.9,5264.3,5228.1,19.5,0.37,5280.4,5212.5,3.3,0.06,5575.2,5212.5,-335.3,-5.99,5601.5,5027.6,-40.9,-0.77,5601.5,5027.6,99.6,1.93,44857.1,45098.3,45442.9,45133.3,45301.2,45442.9,44857.1,33.5,0.07,48058.9,44857.1,-2757.7,-5.74,48058.9,41785.8,1212.4,2.75,48058.9,41624.4,2733.8,6.42,,
XMD,S&P/ASX MidCap 50,4428.5,4433.4,4469.9,4424.9,4421.2,4424.9,4398.2,-3.7,-0.08,4469.9,4421.2,-46.1,-1.03,4746.7,4421.2,-353.4,-7.40,4774.6,4099.4,71.7,1.65,4774.6,4099.4,208.1,4.94,11979.8,11993.0,12091.8,11971.4,11961.4,12091.8,11961.4,-117.5,-0.97,12861.6,11961.4,-900.2,-7.00,12861.6,10758.1,547.0,4.79,12861.6,10621.3,981.3,8.94,,
