Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-05-14T23:15:10+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,May 9,May 10,May 11,May 12,May 13,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,May 9,May 10,May 11,May 12,May 13,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,ALL Ordinaries,4831.7,4803.6,4858.2,4776.6,4787.3,4792.5,4754.7,10.7,0.22,4858.2,4776.6,-28.8,-0.60,4995.7,4776.6,-212.3,-4.25,5064.9,4609.9,-59.6,-1.23,5064.9,4250.6,144.3,3.11,35148.0,34943.7,35340.8,34790.7,34870.4,35340.8,34790.7,-154.9,-0.44,36352.8,34790.7,-1482.4,-4.08,36827.4,33473.5,57.6,0.17,36827.4,29893.9,2373.3,7.30,,
XAF,ALL Australian 50,4737.0,4705.2,4752.2,4668.0,4686.6,4687.7,4648.1,18.6,0.40,4752.2,4668.0,-38.7,-0.82,4887.3,4668.0,-197.8,-4.05,4939.1,4507.3,4.4,0.09,4939.1,4220.3,94.9,2.07,35010.9,34776.4,35123.6,34563.8,34703.3,35123.6,34563.8,-208.7,-0.60,36105.5,34563.8,-1381.0,-3.83,36488.5,33259.8,556.7,1.63,36488.5,30076.1,2149.5,6.60,,
XAT,ALL Australian 200,4757.7,4727.0,4781.7,4696.4,4711.6,4714.5,4675.3,15.2,0.32,4781.7,4696.4,-32.1,-0.68,4917.4,4696.4,-202.8,-4.13,4976.2,4531.8,-38.9,-0.82,4976.2,4218.4,105.5,2.29,35098.8,34872.1,35275.7,34698.2,34812.5,35275.7,34698.2,-171.9,-0.49,36261.3,34698.2,-1427.0,-3.94,36695.0,33376.2,221.6,0.64,36695.0,30043.8,2182.3,6.69,,
XTL,S&P/Asx 20,2884.3,2863.5,2891.1,2838.9,2849.4,2851.2,2824.2,10.5,0.37,2891.1,2838.9,-27.0,-0.94,2971.1,2838.9,-120.5,-4.06,2998.7,2726.8,17.3,0.61,2998.7,2560.9,67.7,2.43,41761.3,41459.2,41859.1,41194.9,41347.3,41859.1,41194.9,-280.0,-0.67,42997.5,41194.9,-1633.0,-3.80,43396.5,39420.6,893.7,2.21,43396.5,35716.1,2747.8,7.12,,
XFL,S&P/Asx 50,4753.2,4721.6,4769.1,4685.1,4703.8,4704.6,4665.2,18.7,0.40,4769.1,4685.1,-37.5,-0.79,4902.4,4685.1,-195.6,-3.99,4953.4,4522.6,10.5,0.22,4953.4,4235.3,93.7,2.03,35102.0,34868.4,35219.3,34661.4,34801.9,35219.3,34661.4,-199.4,-0.57,36187.4,34661.4,-1363.8,-3.77,36564.0,33345.4,599.3,1.75,36564.0,30164.1,2131.9,6.53,,
XTO,S&P/Asx 100,3882.1,3856.1,3898.7,3831.6,3846.4,3847.0,3816.2,14.8,0.39,3898.7,3831.6,-26.4,-0.68,4005.9,3831.6,-156.8,-3.92,4049.1,3695.3,-6.9,-0.18,4049.1,3455.4,74.3,1.97,8696.9,8638.6,8734.1,8597.4,8631.0,8734.1,8597.4,-42.0,-0.48,8970.1,8597.4,-333.1,-3.72,9067.0,8264.4,112.6,1.32,9067.0,7468.5,521.9,6.44,,
XJO,S&P/Asx 200,4756.8,4725.8,4780.2,4696.1,4711.4,4714.0,4675.4,15.3,0.33,4780.2,4696.1,-31.6,-0.67,4913.8,4696.1,-199.6,-4.06,4971.2,4528.7,-33.8,-0.71,4971.2,4222.1,100.3,2.18,35054.3,34825.6,35227.1,34658.7,34772.7,35227.1,34658.7,-169.5,-0.49,36195.0,34658.7,-1401.4,-3.87,36617.7,33317.6,254.2,0.74,36617.7,30045.0,2132.8,6.53,,
XKO,S&P/Asx 300,4766.1,4735.8,4790.2,4707.4,4721.3,4723.9,4685.9,13.9,0.30,4790.2,4707.4,-31.0,-0.65,4924.9,4707.4,-201.7,-4.10,4984.1,4537.2,-39.5,-0.83,4984.1,4214.7,115.4,2.51,35045.3,34822.4,35222.5,34663.7,34767.6,35222.5,34663.7,-166.1,-0.48,36197.0,34663.7,-1415.9,-3.91,36632.1,33306.3,207.3,0.60,36632.1,29938.5,2221.2,6.82,,
XMD,S&P/Asx Midcap 50,4324.9,4294.5,4374.2,4312.3,4324.5,4327.3,4291.9,12.2,0.28,4374.2,4294.5,6.9,0.16,4479.4,4294.5,-149.7,-3.35,4573.1,4130.0,-143.0,-3.20,4573.1,3797.0,67.4,1.58,10154.0,10082.7,10269.8,10124.5,10153.2,10269.8,10082.7,16.2,0.16,10511.8,10082.7,-346.4,-3.30,10728.9,9674.0,-195.4,-1.89,10728.9,8628.5,561.3,5.85,,
XSO,S&P/Asx Small Ords,2723.6,2715.3,2758.1,2708.5,2692.5,2710.3,2681.2,-16.0,-0.59,2758.1,2692.5,-10.4,-0.38,2852.8,2692.5,-167.2,-5.85,2946.3,2592.6,-200.0,-6.91,2946.3,2229.7,205.2,8.25,6174.1,6155.3,6252.5,6139.9,6103.6,6252.5,6103.6,-23.6,-0.38,6480.2,6103.6,-376.6,-5.81,6625.3,5867.0,-398.7,-6.13,6625.3,4946.8,607.1,11.04,,
