Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-05-23T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,May 18,May 19,May 20,May 21,May 22,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,May 18,May 19,May 20,May 21,May 22,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5660.0,5619.4,5614.0,5663.6,5668.2,5693.1,5658.6,4.6,0.08,5668.2,5614.0,-61.8,-1.08,5954.8,5614.0,-144.6,-2.49,5954.8,5278.8,279.6,5.19,5954.8,5278.8,197.9,3.62,49278.5,48927.5,48881.0,49312.6,49353.0,49353.0,48881.0,-514.4,-1.03,51568.0,48809.3,-984.0,-1.95,51568.0,45110.3,3306.1,7.18,51568.0,43681.7,3724.2,8.16,,
XAF,All Australian 50,5703.5,5660.4,5653.3,5704.8,5704.6,5734.6,5694.0,-0.2,-0.00,5704.8,5653.3,-81.6,-1.41,6076.2,5653.3,-219.9,-3.71,6081.0,5389.2,206.4,3.75,6081.0,5389.2,99.5,1.78,51223.1,50839.4,50775.5,51237.9,51236.0,51237.9,50775.5,-701.0,-1.35,54182.3,50722.3,-1593.9,-3.02,54222.3,47407.4,2869.6,5.93,54222.3,45852.9,3159.1,6.57,,
XAT,All Australian 200,5610.6,5566.9,5560.7,5612.2,5614.3,5641.7,5604.7,2.1,0.04,5614.3,5560.7,-72.0,-1.27,5926.9,5560.7,-165.0,-2.86,5926.9,5251.9,251.2,4.68,5926.9,5251.9,164.0,3.01,49940.8,49553.9,49498.8,49957.1,49976.3,49976.3,49498.8,-614.6,-1.21,52442.3,49387.1,-1160.0,-2.27,52442.3,45851.2,3155.4,6.74,52442.3,44281.4,3557.9,7.66,,
XTL,S&P/ASX 20,3478.5,3451.7,3440.1,3470.6,3465.8,3486.2,3459.4,-4.8,-0.14,3478.5,3440.1,-70.0,-1.98,3733.7,3440.1,-173.3,-4.76,3760.5,3321.7,67.0,1.97,3760.5,3321.7,-9.7,-0.28,61590.7,61116.1,60911.5,61450.6,61366.4,61590.7,60911.5,-1195.4,-1.91,65514.9,60911.5,-2489.2,-3.90,65985.5,57424.2,2610.6,4.44,65985.5,55673.0,2693.9,4.59,,
XFL,S&P/ASX 50,5771.7,5728.0,5720.0,5771.6,5771.6,5801.7,5760.9,0.0,0.00,5771.7,5720.0,-83.9,-1.43,6147.4,5720.0,-222.0,-3.70,6152.9,5453.2,208.2,3.74,6152.9,5453.2,101.0,1.78,51744.2,51355.8,51283.8,51746.2,51746.8,51746.8,51283.8,-720.2,-1.37,54720.8,51231.6,-1605.2,-3.01,54764.7,47882.7,2896.3,5.93,54764.7,46300.1,3193.7,6.58,,
XTO,S&P/ASX 100,4706.9,4670.7,4667.2,4710.1,4710.8,4734.1,4702.9,0.7,0.01,4710.8,4667.2,-61.7,-1.29,4995.1,4667.2,-163.1,-3.35,4996.2,4422.0,197.9,4.38,4996.2,4422.0,139.9,3.06,12754.6,12657.7,12648.2,12764.3,12766.3,12766.3,12648.2,-159.9,-1.24,13449.8,12631.6,-357.2,-2.72,13449.8,11747.2,777.4,6.48,13449.8,11295.6,923.1,7.79,,
XJO,S&P/ASX 200,5659.2,5615.5,5610.3,5662.3,5664.7,5692.1,5655.1,2.4,0.04,5664.7,5610.3,-70.8,-1.23,5982.7,5610.3,-172.8,-2.96,5982.7,5299.2,253.7,4.69,5982.7,5299.2,172.0,3.13,50265.0,49880.6,49834.5,50296.1,50318.0,50318.0,49834.5,-601.3,-1.18,52822.2,49752.1,-1221.5,-2.37,52822.2,46166.2,3178.8,6.74,52822.2,44533.8,3633.9,7.78,,
XVI,S&P/ASX 200 VIX,18.590,18.066,17.412,16.250,15.561,15.835,15.337,-0.689,-4.24,18.590,15.561,-0.860,-5.24,19.692,0.171,0.058,0.37,19.692,0.171,0.980,6.72,19.692,0.171,4.220,37.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5601.7,5559.7,5554.6,5604.8,5607.4,5633.9,5597.9,2.6,0.05,5607.4,5554.6,-68.2,-1.20,5912.7,5554.6,-163.8,-2.84,5912.7,5240.7,258.5,4.83,5912.7,5240.7,175.5,3.23,49562.3,49193.5,49148.5,49592.4,49616.0,49616.0,49148.5,-577.5,-1.15,52008.8,49061.7,-1147.8,-2.26,52008.8,45487.5,3190.4,6.87,52008.8,43915.8,3615.9,7.86,,
XMD,S&P/ASX MidCap 50,5160.7,5116.5,5139.1,5192.9,5199.7,5215.8,5192.9,6.8,0.13,5199.7,5116.5,-9.4,-0.18,5326.4,5094.1,-28.6,-0.55,5363.8,4638.6,452.2,9.52,5363.8,4638.6,642.8,14.11,14220.4,14101.3,14163.4,14311.7,14330.4,14330.4,14101.3,-23.5,-0.16,14668.9,14036.9,-68.2,-0.47,14759.9,12623.2,1410.9,10.92,14759.9,11578.7,2212.9,18.26,,
