Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-03-30T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 22,Mar 25,Mar 26,Mar 27,Mar 28,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 22,Mar 25,Mar 26,Mar 27,Mar 28,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4980.8,5001.5,4964.7,5007.0,4979.9,5007.0,4979.9,-27.1,-0.54,5007.0,4964.7,3.1,0.06,5160.0,4964.7,-140.5,-2.74,5160.0,4712.3,315.3,6.76,5160.0,4033.4,557.9,12.62,39595.1,39760.9,39468.4,39805.2,39590.3,39805.2,39468.4,39.4,0.10,40968.7,39468.4,-907.0,-2.24,40968.7,37020.3,2947.7,8.04,40968.7,30869.4,5967.7,17.75,,
XAF,All Australian 50,5030.5,5055.7,5010.9,5057.4,5028.2,5057.4,5028.2,-29.2,-0.58,5057.4,5010.9,10.0,0.20,5214.1,5010.9,-143.6,-2.78,5214.1,4733.5,330.5,7.03,5214.1,3983.7,727.5,16.91,40955.7,41161.4,40796.7,41175.2,40937.0,41175.2,40796.7,84.0,0.21,42412.3,40796.7,-964.2,-2.30,42412.3,38052.6,3174.8,8.41,42412.3,31167.4,7561.7,22.66,,
XAT,All Australian 200,4944.9,4968.0,4928.0,4971.7,4943.6,4971.7,4943.6,-28.1,-0.57,4971.7,4928.0,6.9,0.14,5124.5,4928.0,-140.0,-2.75,5124.5,4671.7,312.3,6.74,5124.5,3973.9,614.5,14.19,40055.4,40242.0,39917.9,40272.1,40044.2,40272.1,39917.9,62.7,0.16,41464.3,39917.9,-928.8,-2.27,41464.3,37380.5,2989.8,8.07,41464.3,30947.5,6572.3,19.64,,
XTL,S&P/ASX 20,3081.9,3099.2,3069.2,3095.6,3072.9,3095.6,3072.9,-22.7,-0.73,3099.2,3069.2,3.0,0.10,3194.6,3069.2,-89.4,-2.83,3194.6,2885.8,206.3,7.20,3194.6,2396.0,490.0,18.97,49299.8,49576.1,49095.8,49518.0,49154.8,49576.1,49095.8,47.2,0.10,51048.3,49095.8,-1179.4,-2.34,51048.3,45563.7,3895.5,8.61,51048.3,36842.5,9823.0,24.97,,
XFL,S&P/ASX 50,5077.1,5102.9,5057.7,5104.2,5074.5,5104.2,5074.5,-29.7,-0.58,5104.2,5057.7,9.8,0.19,5262.4,5057.7,-142.8,-2.74,5262.4,4770.1,341.9,7.22,5262.4,4010.1,743.9,17.18,41275.5,41485.6,41117.7,41495.6,41254.8,41495.6,41117.7,83.1,0.20,42743.5,41117.7,-953.7,-2.26,42743.5,38295.2,3263.1,8.59,42743.5,31334.8,7688.8,22.91,,
XTO,S&P/ASX 100,4096.1,4116.5,4082.6,4120.1,4098.0,4120.1,4098.0,-22.1,-0.54,4120.1,4082.6,8.8,0.21,4246.4,4082.6,-111.3,-2.64,4246.4,3855.7,277.3,7.26,4246.4,3260.5,565.8,16.02,10088.8,10139.0,10055.6,10147.9,10093.4,10147.9,10055.6,23.0,0.23,10448.8,10055.6,-223.6,-2.17,10448.8,9380.5,798.7,8.59,10448.8,7719.3,1793.3,21.61,,
XJO,S&P/ASX 200,4967.3,4990.2,4950.2,4995.0,4966.5,4995.0,4966.5,-28.5,-0.57,4995.0,4950.2,7.1,0.14,5146.9,4950.2,-137.6,-2.70,5146.9,4690.3,317.6,6.83,5146.9,3985.0,628.6,14.49,40167.1,40352.6,40029.5,40391.3,40160.9,40391.3,40029.5,64.7,0.16,41574.2,40029.5,-906.4,-2.21,41574.2,37467.1,3026.4,8.15,41574.2,30989.0,6668.6,19.91,,
XKO,S&P/ASX 300,4939.3,4961.3,4922.0,4965.9,4937.9,4965.9,4937.9,-28.0,-0.56,4965.9,4922.0,5.6,0.11,5118.9,4922.0,-139.3,-2.74,5118.9,4669.1,311.6,6.74,5118.9,3977.4,596.8,13.75,39812.8,39990.6,39674.5,40027.7,39803.3,40027.7,39674.5,54.5,0.14,41215.7,39674.5,-917.8,-2.25,41215.7,37184.2,2963.2,8.04,41215.7,30841.3,6378.8,19.08,,
XMD,S&P/ASX MidCap 50,4118.7,4135.2,4123.6,4161.4,4154.2,4167.0,4147.6,-7.2,-0.17,4161.4,4118.7,15.9,0.38,4276.0,4118.7,-78.4,-1.85,4276.0,3914.1,291.2,7.54,4276.0,3435.4,260.6,6.69,10520.5,10562.7,10533.2,10629.7,10611.2,10629.7,10520.5,47.9,0.45,10906.4,10520.5,-148.8,-1.38,10906.4,9898.6,841.8,8.62,10906.4,8495.1,1066.2,11.17,,
XSO,S&P/ASX Small Ords,2314.8,2311.5,2301.8,2314.7,2295.1,2314.7,2295.1,-19.6,-0.85,2314.8,2295.1,-23.9,-1.03,2391.8,2295.1,-94.5,-3.96,2414.5,2295.1,14.4,0.63,2521.4,2044.8,-216.2,-8.61,5577.9,5570.3,5547.0,5578.3,5532.3,5578.3,5532.3,-50.4,-0.90,5747.9,5532.3,-190.4,-3.33,5770.0,5503.0,87.5,1.61,5887.3,4798.2,-329.5,-5.62,,
XDJ,Consumer Discretionary,1552.7,1566.2,1562.7,1575.6,1564.4,1575.7,1562.5,-11.2,-0.71,1575.6,1552.7,1.1,0.07,1590.7,1531.4,28.2,1.84,1590.7,1364.5,220.6,16.41,1590.7,1195.0,274.7,21.30,11309.9,11407.8,11382.6,11476.3,11394.5,11476.3,11309.9,46.5,0.41,11542.2,11092.2,271.5,2.44,11542.2,9792.3,1750.2,18.15,11542.2,8383.2,2367.0,26.22,,
XSJ,Consumer Staples,10025.9,9991.3,9960.3,10011.4,9927.1,10016.2,9881.8,-84.3,-0.84,10025.9,9927.1,-29.9,-0.30,10561.6,9927.1,-204.9,-2.02,10561.6,8912.8,1052.7,11.86,10561.6,7455.3,2359.4,31.18,78299.6,78029.2,77787.0,78185.7,77527.7,78299.6,77527.7,-233.2,-0.30,81914.7,77527.7,-1027.4,-1.31,81914.7,68413.1,9409.4,13.81,81914.7,55752.0,20935.3,36.99,,
XEJ,Energy,13273.1,13319.5,13259.4,13322.5,13096.5,13322.5,13096.5,-226.0,-1.70,13322.5,13096.5,-204.0,-1.53,13702.8,13096.5,-495.0,-3.64,13702.8,12557.5,690.5,5.57,14406.8,11554.9,-1148.8,-8.06,91925.1,92246.8,91830.4,92267.4,90701.9,92267.4,90701.9,-1413.0,-1.53,94901.2,90701.9,-3175.9,-3.38,94901.2,85862.9,5875.3,6.93,97148.7,77918.0,-5357.8,-5.58,,
XFJ,Financials,5364.9,5409.9,5362.4,5408.6,5392.8,5419.0,5357.1,-15.8,-0.29,5409.9,5362.4,54.8,1.03,5521.6,5338.0,-0.9,-0.02,5521.6,4767.7,639.1,13.44,5521.6,3913.1,1184.1,28.13,50891.4,51317.9,50867.5,51306.3,51156.1,51317.9,50867.5,519.7,1.03,52377.5,50636.4,76.0,0.15,52377.5,44797.5,6497.5,14.55,52377.5,35513.2,13592.8,36.19,,
XXJ,Financial-x-A-REIT,6241.6,6304.6,6240.7,6298.7,6285.7,6318.3,6235.4,-13.0,-0.21,6304.6,6240.7,80.2,1.29,6432.0,6197.0,29.5,0.47,6432.0,5485.5,833.8,15.29,6432.0,4433.9,1421.3,29.22,56796.5,57369.8,56788.1,57315.4,57197.5,57369.8,56788.1,730.1,1.29,58529.0,56374.6,380.3,0.67,58529.0,49449.4,8051.0,16.38,58529.0,38694.8,15581.4,37.44,,
XHJ,Health Care,12379.7,12420.8,12365.7,12538.5,12565.7,12624.9,12523.8,27.2,0.22,12565.7,12365.7,126.7,1.02,12897.8,12365.7,-54.9,-0.44,12897.8,11476.5,933.1,8.02,12897.8,8600.9,3800.7,43.36,76638.7,76893.0,76552.3,77621.5,77790.2,77790.2,76552.3,784.7,1.02,79766.8,76552.3,142.1,0.18,79766.8,70340.0,6493.2,9.11,79766.8,51976.7,24821.7,46.86,,
