Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-02-08T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Feb 3,Feb 4,Feb 5,Feb 6,Feb 7,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Feb 3,Feb 4,Feb 5,Feb 6,Feb 7,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5201.9,5114.1,5088.7,5147.4,5184.5,5184.7,5147.4,37.1,0.72,5201.9,5088.7,-20.6,-0.40,5342.0,5088.7,-134.3,-2.53,5369.8,5088.7,-168.6,-3.15,5369.8,5088.7,195.1,3.91,42608.2,41889.4,41681.2,42162.5,42491.6,42608.2,41681.2,-142.9,-0.34,43755.6,41681.2,-1072.9,-2.46,43982.1,41681.2,-1353.4,-3.09,44191.5,37129.1,3268.9,8.33,,
XAF,All Australian 50,5293.8,5203.4,5175.5,5239.0,5265.4,5275.7,5239.0,26.4,0.50,5293.8,5175.5,-30.3,-0.57,5434.2,5175.5,-155.6,-2.87,5472.3,5175.5,-192.4,-3.52,5472.3,5175.5,239.6,4.77,44499.8,43740.6,43505.3,44039.3,44294.3,44499.8,43505.3,-221.8,-0.50,45680.1,43505.3,-1275.1,-2.80,46001.0,43505.3,-1584.1,-3.45,46381.3,39049.4,3860.6,9.55,,
XAT,All Australian 200,5145.0,5056.6,5028.8,5090.0,5124.9,5126.7,5090.0,34.9,0.69,5145.0,5028.8,-21.8,-0.42,5288.1,5028.8,-145.3,-2.76,5320.6,5028.8,-179.8,-3.39,5320.6,5028.8,174.4,3.52,42992.9,42254.3,42022.3,42533.6,42852.7,42992.9,42022.3,-155.1,-0.36,44189.0,42022.3,-1186.3,-2.69,44459.5,42022.3,-1474.7,-3.33,44742.6,37733.6,3214.8,8.11,,
XTL,S&P/ASX 20,3258.6,3201.9,3184.2,3226.5,3241.3,3249.6,3226.5,14.8,0.46,3258.6,3184.2,-19.6,-0.60,3351.1,3184.2,-110.2,-3.29,3385.4,3184.2,-137.1,-4.06,3385.4,3184.2,166.9,5.43,53803.3,52868.4,52576.0,53273.5,53549.4,53803.3,52576.0,-293.3,-0.54,55337.3,52576.0,-1787.9,-3.23,55897.9,52576.0,-2233.3,-4.00,56458.8,47032.2,4977.9,10.25,,
XFL,S&P/ASX 50,5358.4,5266.2,5238.2,5302.0,5329.1,5339.4,5302.0,27.1,0.51,5358.4,5238.2,-31.0,-0.58,5499.0,5238.2,-160.3,-2.92,5541.7,5238.2,-197.8,-3.58,5541.7,5238.2,260.0,5.13,44969.1,44195.0,43959.9,44495.4,44755.9,44969.1,43959.9,-227.4,-0.51,46148.5,43959.9,-1312.1,-2.85,46507.3,43959.9,-1627.0,-3.51,46862.3,39422.6,4028.3,9.89,,
XTO,S&P/ASX 100,4309.4,4233.5,4210.6,4262.4,4289.0,4293.1,4262.4,26.6,0.62,4309.4,4210.6,-22.2,-0.51,4425.1,4210.6,-126.4,-2.86,4457.1,4210.6,-156.2,-3.51,4457.1,4210.6,197.0,4.81,10951.4,10758.6,10700.4,10832.0,10906.8,10951.4,10700.4,-49.3,-0.45,11245.6,10700.4,-314.1,-2.80,11327.0,10700.4,-389.9,-3.45,11384.6,9607.8,944.5,9.48,,
XJO,S&P/ASX 200,5187.9,5097.1,5070.3,5131.4,5166.5,5168.6,5131.4,35.1,0.68,5187.9,5070.3,-23.5,-0.45,5331.5,5070.3,-150.5,-2.83,5367.9,5070.3,-185.7,-3.47,5367.9,5070.3,195.2,3.93,43265.7,42508.0,42284.9,42794.4,43114.2,43265.7,42284.9,-168.9,-0.39,44462.9,42284.9,-1227.1,-2.77,44766.0,42284.9,-1520.9,-3.41,45009.1,37962.9,3375.7,8.49,,
XVI,S&P/ASX 200 VIX,16.140,18.372,18.355,16.544,15.274,15.974,15.274,-1.270,-7.68,18.372,15.274,-0.310,-1.99,18.372,11.135,2.493,19.51,18.372,11.135,3.712,32.11,21.700,10.689,-4956.022,-99.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5143.1,5053.9,5027.6,5087.1,5123.1,5124.4,5087.1,36.0,0.71,5143.1,5027.6,-22.7,-0.44,5285.4,5027.6,-146.8,-2.79,5320.8,5027.6,-181.7,-3.43,5320.8,5027.6,176.6,3.57,42745.7,42004.2,41785.8,42280.5,42605.3,42745.7,41785.8,-162.8,-0.38,43928.9,41785.8,-1194.0,-2.73,44221.7,41785.8,-1483.5,-3.36,44475.2,37491.8,3186.5,8.08,,
XMD,S&P/ASX MidCap 50,4213.2,4124.9,4099.4,4153.8,4220.4,4220.4,4141.1,66.6,1.60,4220.4,4099.4,1.3,0.03,4360.3,4099.4,-102.8,-2.38,4360.8,4099.4,-129.1,-2.97,4360.8,4099.4,86.3,2.09,11056.8,10825.0,10758.1,10900.7,11075.5,11075.5,10758.1,3.3,0.03,11442.8,10758.1,-269.9,-2.38,11444.1,10758.1,-338.9,-2.97,11444.1,9756.1,620.6,5.94,,
XSO,S&P/ASX Small Ords,2128.9,2098.6,2092.8,2106.4,2142.0,2142.0,2106.4,35.6,1.69,2142.0,2092.8,9.5,0.44,2208.7,2092.8,-40.9,-1.87,2209.2,2092.8,-51.6,-2.35,2209.2,2092.8,-248.9,-10.41,5245.7,5170.9,5156.7,5190.1,5277.9,5277.9,5156.7,23.4,0.44,5442.2,5156.7,-99.6,-1.85,5442.2,5156.7,-125.6,-2.32,5770.0,4574.9,-431.7,-7.56,,
XDJ,Consumer Discretionary,1751.3,1715.0,1716.0,1727.2,1756.2,1756.2,1727.0,29.0,1.68,1756.2,1715.0,8.1,0.46,1830.9,1715.0,-66.3,-3.64,1833.3,1715.0,-74.9,-4.09,1833.3,1715.0,266.8,17.91,13005.1,12735.0,12742.5,12826.2,13041.3,13041.3,12735.0,60.1,0.46,13596.4,12735.0,-492.5,-3.64,13614.0,12735.0,-556.0,-4.09,13614.0,10787.5,2352.2,22.01,,
XSJ,Consumer Staples,9703.1,9587.0,9567.9,9810.6,9833.3,9856.5,9769.8,22.7,0.23,9833.3,9567.9,125.8,1.30,10073.3,9567.9,-118.9,-1.19,10073.3,9567.9,-182.7,-1.82,10073.3,9567.9,286.9,3.00,77676.9,76747.9,76594.5,78537.3,78719.8,78719.8,76594.5,1007.4,1.30,80640.5,76594.5,-951.7,-1.19,80640.5,76594.5,-1462.1,-1.82,83265.0,71737.8,5443.1,7.43,,
XEJ,Energy,13220.7,13044.7,13017.6,13142.1,13421.7,13430.1,13142.1,279.6,2.13,13421.7,13017.6,302.7,2.31,13593.5,13017.6,74.6,0.56,13609.2,13017.6,-201.2,-1.48,13609.2,13017.6,298.0,2.27,92942.1,91705.2,91514.2,92389.7,94355.4,94355.4,91514.2,2128.1,2.31,95563.2,91514.2,524.5,0.56,95673.5,91514.2,-1414.5,-1.48,101032.3,83100.5,4621.2,5.15,,
XFJ,Financials,5634.5,5537.5,5503.9,5572.5,5596.6,5614.5,5572.5,24.1,0.43,5634.5,5503.9,-46.3,-0.82,5873.4,5503.9,-265.0,-4.52,5887.2,5503.9,-279.1,-4.75,5887.2,5503.9,425.5,8.23,55785.1,54824.2,54492.0,55170.8,55487.7,55785.1,54492.0,-379.9,-0.68,58148.0,54492.0,-2542.7,-4.38,58283.9,54492.0,-2682.4,-4.61,59476.0,48460.9,6823.4,14.02,,
