Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-02-28T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5872.4,5890.0,5908.6,5877.9,5898.5,5913.0,5847.9,20.6,0.35,5908.6,5872.4,52.9,0.90,5908.6,5516.6,387.0,7.02,5908.6,5278.8,509.9,9.46,5908.6,5278.8,483.1,8.92,50348.3,50558.5,50828.1,50570.3,50760.2,50828.1,50348.3,641.7,1.28,50828.1,47098.8,3661.4,7.77,50828.1,45110.3,4713.3,10.24,50828.1,43681.7,6063.2,13.57,,
XAF,All Australian 50,6011.1,6033.0,6044.0,6005.8,6026.2,6043.7,5966.5,20.4,0.34,6044.0,6005.8,40.6,0.68,6044.0,5646.5,386.0,6.84,6044.0,5389.2,528.0,9.60,6044.0,5389.2,529.7,9.64,53086.1,53356.0,53593.9,53261.6,53451.8,53593.9,53086.1,590.7,1.12,53593.9,49615.4,3836.4,7.73,53593.9,47407.4,5085.4,10.51,53593.9,45790.5,6847.9,14.69,,
XAT,All Australian 200,5853.7,5872.1,5891.0,5855.1,5875.5,5891.4,5821.6,20.3,0.35,5891.0,5853.7,47.8,0.82,5891.0,5500.5,381.5,6.94,5891.0,5251.9,512.4,9.55,5891.0,5251.9,515.0,9.61,51286.5,51515.6,51799.5,51490.4,51682.1,51799.5,51286.5,623.4,1.22,51799.5,47964.6,3717.4,7.75,51799.5,45851.2,4861.2,10.38,51799.5,44281.4,6525.0,14.45,,
XTL,S&P/ASX 20,3702.5,3721.8,3726.0,3704.6,3713.9,3725.9,3673.1,9.3,0.25,3726.0,3702.5,25.6,0.69,3726.0,3482.8,233.4,6.71,3726.0,3321.7,315.1,9.27,3726.0,3321.7,322.3,9.50,64304.7,64721.9,64998.7,64625.4,64788.1,64998.7,64304.7,730.7,1.14,64998.7,60168.7,4619.4,7.68,64998.7,57424.2,6032.2,10.27,64998.7,55519.4,8299.1,14.69,,
XFL,S&P/ASX 50,6082.4,6104.9,6115.7,6077.7,6099.0,6116.7,6037.9,21.3,0.35,6115.7,6077.7,42.1,0.70,6115.7,5714.4,391.3,6.85,6115.7,5453.2,535.6,9.63,6115.7,5453.2,536.3,9.64,53618.5,53894.0,54131.2,53801.5,53998.9,54131.2,53618.5,605.8,1.13,54131.2,50118.0,3880.9,7.74,54131.2,47882.7,5148.4,10.54,54131.2,46261.4,6917.2,14.69,,
XTO,S&P/ASX 100,4932.9,4948.2,4960.2,4929.4,4945.7,4959.3,4899.5,16.3,0.33,4960.2,4929.4,35.3,0.72,4960.2,4636.1,314.4,6.79,4960.2,4422.0,432.7,9.59,4960.2,4422.0,460.1,10.26,13153.0,13212.1,13275.4,13194.4,13241.3,13275.4,13153.0,148.3,1.13,13275.4,12303.2,938.1,7.62,13275.4,11747.2,1252.4,10.45,13275.4,11295.6,1747.1,15.20,,
XJO,S&P/ASX 200,5908.0,5927.0,5944.9,5908.5,5928.8,5944.8,5874.8,20.3,0.34,5944.9,5908.0,47.3,0.80,5944.9,5552.8,381.6,6.88,5944.9,5299.2,517.8,9.57,5944.9,5299.2,524.0,9.69,51651.9,51885.3,52160.6,51847.2,52038.1,52160.6,51651.9,617.3,1.20,52160.6,48326.6,3711.4,7.68,52160.6,46166.2,4898.8,10.39,52160.6,44533.8,6602.4,14.53,,
XVI,S&P/ASX 200 VIX,15.066,13.948,13.459,13.722,13.608,13.817,13.148,-0.114,-0.83,15.066,13.459,-1.453,-9.65,16.688,13.459,-0.711,-4.97,16.722,13.459,-0.973,-6.67,19.164,9.309,0.495,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5838.8,5856.5,5874.7,5840.3,5860.0,5875.6,5807.6,19.7,0.34,5874.7,5838.8,46.9,0.81,5874.7,5486.6,378.8,6.91,5874.7,5240.7,511.1,9.55,5874.7,5240.7,503.5,9.40,50856.0,51075.2,51348.0,51053.5,51239.4,51348.0,50856.0,607.9,1.20,51348.0,47574.5,3664.9,7.70,51348.0,45487.5,4813.8,10.37,51348.0,43915.8,6368.7,14.19,,
XMD,S&P/ASX MidCap 50,5179.6,5171.2,5210.9,5178.4,5187.9,5202.9,5159.5,9.5,0.18,5210.9,5171.2,47.0,0.91,5210.9,4882.2,305.5,6.26,5210.9,4638.6,440.4,9.28,5210.9,4638.6,701.4,15.63,14121.8,14112.3,14224.2,14135.7,14173.3,14224.2,14112.3,157.1,1.12,14224.2,13286.2,886.8,6.67,14224.2,12623.2,1253.8,9.70,14224.2,11578.7,2322.1,19.59,,
XSO,S&P/ASX Small Ords,2195.3,2199.9,2225.3,2221.9,2231.5,2234.9,2219.6,9.6,0.43,2231.5,2195.3,41.5,1.90,2231.5,2058.4,173.9,8.45,2231.5,2001.2,187.1,9.15,2231.5,2001.2,-1.0,-0.04,5587.9,5599.5,5667.4,5660.6,5687.1,5687.1,5587.9,113.3,2.03,5687.1,5232.9,454.2,8.68,5687.1,5089.5,489.5,9.42,5754.2,4882.3,171.5,3.11,,
XDJ,Consumer Discretionary,1971.8,1982.5,1997.0,1988.7,1995.8,2008.4,1978.3,7.1,0.36,1997.0,1971.8,41.8,2.14,1997.0,1845.2,168.8,9.24,1997.0,1713.3,242.5,13.83,1997.0,1713.3,140.1,7.55,15181.9,15263.9,15383.4,15325.6,15413.3,15413.3,15181.9,368.5,2.45,15413.3,14035.9,1377.4,9.81,15413.3,13162.6,1943.5,14.43,15413.3,12935.8,1546.9,11.16,,
XSJ,Consumer Staples,10093.0,10075.9,10122.8,10040.5,9496.0,10041.8,9495.4,-544.5,-5.42,10122.8,9496.0,-541.5,-5.40,10122.8,9461.1,-95.6,-1.00,10122.8,9021.7,322.9,3.52,10122.8,9021.7,-546.2,-5.44,84271.5,84896.9,85291.5,84602.9,80031.8,85291.5,80031.8,-3776.4,-4.51,85291.5,78910.9,32.1,0.04,85291.5,75246.2,3523.0,4.60,85291.5,73342.3,-1232.2,-1.52,,
