Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-02-04T23:15:14+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jan 30,Jan 31,Feb 1,Feb 2,Feb 3,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jan 30,Jan 31,Feb 1,Feb 2,Feb 3,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4334.4,4325.7,4291.0,4333.2,4320.1,4340.8,4318.0,-13.1,-0.30,4334.4,4291.0,-28.4,-0.65,4348.5,4161.5,164.9,3.97,4348.5,4155.2,209.1,5.09,5064.9,3927.6,-638.7,-12.88,32510.0,32444.8,32184.4,32501.3,32402.8,32510.0,32184.4,-212.7,-0.65,32615.5,31164.7,1238.1,3.97,32615.5,31164.7,1569.4,5.09,36827.4,29204.1,-3215.4,-9.03,,
XAF,All Australian 50,4250.5,4241.8,4202.5,4242.9,4224.7,4253.4,4222.2,-18.2,-0.43,4250.5,4202.5,-44.7,-1.05,4269.4,4100.2,132.0,3.23,4269.4,4092.7,175.6,4.34,4939.1,3853.0,-585.6,-12.17,32503.7,32436.7,32136.4,32445.2,32306.7,32503.7,32136.4,-341.7,-1.05,32648.4,31296.5,1010.1,3.23,32648.4,31296.5,1342.9,4.34,36488.5,29181.9,-2773.8,-7.91,,
XAT,All Australian 200,4266.7,4256.8,4219.5,4261.9,4245.4,4270.1,4243.2,-16.5,-0.39,4266.7,4219.5,-37.5,-0.88,4282.9,4099.7,149.7,3.66,4282.9,4095.7,194.7,4.81,4976.2,3855.4,-621.3,-12.77,32522.0,32446.8,32162.4,32485.5,32359.9,32522.0,32162.4,-285.8,-0.88,32645.8,31218.0,1141.9,3.66,32645.8,31218.0,1484.8,4.81,36695.0,29116.8,-3077.6,-8.68,,
XTL,S&P/ASX 20,2573.5,2567.8,2543.3,2567.5,2557.2,2576.2,2555.5,-10.3,-0.40,2573.5,2543.3,-28.0,-1.08,2585.2,2480.1,81.8,3.30,2585.2,2475.4,107.5,4.39,2998.7,2334.2,-357.4,-12.26,38602.7,38516.3,38149.0,38512.2,38357.5,38602.7,38149.0,-419.3,-1.08,38776.8,37130.7,1226.8,3.30,38776.8,37130.7,1612.4,4.39,43396.5,34671.5,-3274.9,-7.87,,
XFL,S&P/ASX 50,4278.0,4268.9,4229.7,4270.6,4251.9,4280.7,4249.4,-18.7,-0.44,4278.0,4229.7,-45.1,-1.05,4297.0,4127.3,132.2,3.21,4297.0,4119.7,175.4,4.30,4953.4,3876.7,-572.1,-11.86,32674.5,32605.4,32305.9,32618.3,32475.6,32674.5,32305.9,-344.6,-1.05,32820.3,31465.6,1010.1,3.21,32820.3,31465.6,1340.3,4.30,36564.0,29332.3,-2679.6,-7.62,,
XTO,S&P/ASX 100,3486.3,3478.5,3447.9,3481.6,3465.4,3487.6,3463.8,-16.2,-0.47,3486.3,3447.9,-33.7,-0.96,3499.1,3356.9,113.4,3.38,3499.1,3352.0,148.7,4.48,4049.1,3155.5,-486.0,-12.30,8074.5,8056.4,7985.6,8063.5,8026.0,8074.5,7985.6,-78.2,-0.97,8104.2,7763.4,262.6,3.38,8104.2,7763.4,344.4,4.48,9067.0,7240.1,-709.3,-8.12,,
XJO,S&P/ASX 200,4272.7,4262.7,4225.7,4267.8,4251.2,4275.5,4248.9,-16.6,-0.39,4272.7,4225.7,-37.2,-0.87,4288.4,4105.4,150.0,3.66,4288.4,4101.2,194.6,4.80,4971.2,3863.9,-611.5,-12.58,32525.4,32448.8,32167.0,32488.1,32361.2,32525.4,32167.0,-283.2,-0.87,32644.3,31218.6,1142.6,3.66,32644.3,31218.6,1482.1,4.80,36617.7,29145.7,-3012.5,-8.52,,
XKO,S&P/ASX 300,4269.5,4260.1,4224.1,4266.5,4250.7,4274.4,4248.4,-15.8,-0.37,4269.5,4224.1,-34.2,-0.80,4284.9,4102.1,153.6,3.75,4284.9,4097.1,198.4,4.90,4984.1,3860.9,-625.8,-12.83,32416.9,32345.5,32072.0,32394.3,32274.2,32416.9,32072.0,-259.2,-0.80,32533.4,31106.7,1167.5,3.75,32533.4,31106.7,1507.6,4.90,36632.1,29050.7,-3127.2,-8.83,,
XMD,S&P/ASX MidCap 50,3814.8,3802.0,3781.4,3821.1,3794.2,3824.4,3793.8,-26.9,-0.70,3821.1,3781.4,-9.3,-0.24,3821.1,3609.5,175.8,4.86,3821.1,3609.5,215.3,6.01,4573.1,3408.2,-707.7,-15.72,9232.9,9202.0,9152.2,9248.4,9183.3,9248.4,9152.2,-22.4,-0.24,9248.4,8736.2,425.5,4.86,9248.4,8736.2,521.1,6.02,10728.9,8186.5,-1244.8,-11.94,,
XSO,S&P/ASX Small Ords,2384.0,2379.8,2367.7,2398.3,2412.2,2412.2,2398.1,13.9,0.58,2412.2,2367.7,21.5,0.90,2412.2,2240.7,169.2,7.54,2412.2,2240.7,202.8,9.18,2945.6,2137.3,-519.2,-17.71,5514.5,5504.7,5476.6,5547.6,5579.7,5579.7,5476.6,49.9,0.90,5579.7,5181.7,392.9,7.58,5579.7,5181.7,470.8,9.22,6625.3,4915.5,-1011.5,-15.35,,
