Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-12-25T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 20,Dec 21,Dec 22,Dec 23,Dec 24,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 20,Dec 21,Dec 22,Dec 23,Dec 24,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4829.2,4862.5,4869.6,4888.2,4868.3,4888.2,4859.1,-19.9,-0.41,4888.2,4829.2,15.3,0.31,4888.2,4676.4,195.1,4.17,5024.1,4250.6,-14.4,-0.30,5024.1,4250.6,65.0,1.35,34637.8,34876.8,34927.7,35109.8,34966.8,35109.8,34637.8,157.9,0.45,35109.8,33512.9,1453.9,4.34,35111.0,29893.9,1268.2,3.76,35111.0,29893.9,1816.2,5.48,,
XAF,All Australian 50,4682.5,4721.1,4727.8,4750.4,4728.0,4750.4,4717.9,-22.4,-0.47,4750.4,4682.5,15.7,0.33,4750.4,4544.7,182.9,4.02,5017.2,4220.3,-134.6,-2.77,5017.2,4220.3,-59.0,-1.23,34118.2,34399.8,34448.6,34643.7,34480.5,34643.7,34118.2,145.0,0.42,34643.7,33114.5,1363.2,4.12,35500.5,30076.1,527.3,1.55,35500.5,30076.1,1055.2,3.16,,
XAT,All Australian 200,4740.1,4776.5,4783.0,4803.4,4781.9,4803.4,4771.8,-21.5,-0.45,4803.4,4740.1,14.7,0.31,4803.4,4587.3,194.1,4.23,5001.2,4218.4,-89.0,-1.83,5001.2,4218.4,-8.3,-0.17,34466.6,34731.3,34778.5,34976.1,34819.6,34976.1,34466.6,156.0,0.45,34976.1,33352.9,1463.9,4.39,35368.8,30043.8,808.1,2.38,35368.8,30043.8,1372.1,4.10,,
XTL,S&P/ASX 20,2831.2,2853.0,2856.8,2875.7,2862.4,2875.7,2855.6,-13.3,-0.46,2875.7,2831.2,12.2,0.43,2875.7,2740.0,124.6,4.55,3060.6,2560.9,-87.2,-2.96,3060.6,2560.9,-40.8,-1.40,40441.0,40752.4,40806.1,41076.2,40886.8,41076.2,40441.0,175.3,0.43,41076.2,39106.3,1780.5,4.55,42369.7,35716.1,605.3,1.50,42369.7,35716.1,1238.8,3.12,,
XFL,S&P/ASX 50,4694.1,4732.4,4739.4,4762.3,4739.9,4762.3,4729.7,-22.4,-0.47,4762.3,4694.1,16.3,0.35,4762.3,4555.6,184.6,4.05,5036.9,4235.3,-139.1,-2.85,5036.9,4235.3,-64.3,-1.34,34178.3,34457.0,34508.0,34705.8,34542.9,34705.8,34178.3,150.0,0.44,34705.8,33167.7,1375.1,4.15,35624.5,30164.1,489.6,1.44,35624.5,30164.1,1011.0,3.02,,
XTO,S&P/ASX 100,3850.4,3879.9,3886.5,3903.0,3885.4,3903.0,3877.1,-17.6,-0.45,3903.0,3850.4,13.5,0.35,3903.0,3730.3,154.0,4.13,4095.8,3455.4,-102.4,-2.57,4095.8,3455.4,-37.6,-0.96,8500.8,8566.1,8580.6,8628.3,8589.3,8628.3,8500.8,41.0,0.48,8628.3,8235.1,351.9,4.27,8789.4,7468.5,141.3,1.67,8789.4,7468.5,278.6,3.35,,
XJO,S&P/ASX 200,4736.6,4771.9,4778.4,4799.0,4777.3,4799.0,4767.1,-21.7,-0.45,4799.0,4736.6,14.2,0.30,4799.0,4584.4,192.7,4.20,5001.9,4222.1,-93.3,-1.92,5001.9,4222.1,-13.6,-0.28,34407.8,34664.0,34711.8,34909.7,34751.5,34909.7,34407.8,151.2,0.44,34909.7,33298.7,1451.7,4.36,35345.6,30045.0,765.6,2.25,35345.6,30045.0,1322.4,3.96,,
XKO,S&P/ASX 300,4748.4,4783.6,4790.8,4811.4,4790.2,4811.4,4780.0,-21.2,-0.44,4811.4,4748.4,15.4,0.32,4811.4,4594.6,195.4,4.25,4995.0,4214.7,-78.0,-1.60,4995.0,4214.7,2.1,0.04,34422.4,34677.8,34729.8,34927.5,34773.8,34927.5,34422.4,160.1,0.46,34927.5,33303.7,1469.3,4.41,35236.9,29938.5,858.3,2.53,35236.9,29938.5,1416.7,4.25,,
XMD,S&P/ASX Midcap 50,4432.9,4451.2,4465.8,4465.3,4450.9,4468.4,4441.0,-14.4,-0.32,4465.8,4432.9,15.9,0.36,4465.8,4236.7,200.0,4.71,4548.5,3797.0,-10.7,-0.24,4548.5,3797.0,92.4,2.12,10223.1,10265.2,10298.9,10343.4,10310.0,10343.4,10223.1,82.1,0.80,10343.4,9763.7,513.7,5.24,10343.4,8628.5,363.9,3.66,10343.4,8628.5,593.6,6.11,,
XSO,S&P/ASX Small Ords,2834.4,2848.4,2847.4,2860.6,2851.4,2860.8,2845.2,-9.2,-0.32,2860.6,2834.4,2.1,0.07,2860.6,2702.5,148.8,5.50,2860.6,2229.7,226.2,8.62,2860.6,2229.7,275.8,10.71,6357.4,6388.8,6386.4,6430.8,6410.1,6430.8,6357.4,19.3,0.30,6430.8,6058.3,351.8,5.81,6430.8,4946.8,658.5,11.45,6430.8,4946.8,767.3,13.60,,
