Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-10-08T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Oct 3,Oct 4,Oct 5,Oct 6,Oct 7,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Oct 3,Oct 4,Oct 5,Oct 6,Oct 7,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,3960.7,3935.6,3992.5,4132.1,4225.0,4242.4,4132.1,92.9,2.25,4225.0,3935.6,154.9,3.81,4277.4,3927.6,-37.9,-0.89,5064.9,3927.6,-621.9,-12.83,5064.9,3927.6,-515.4,-10.87,29456.4,29272.7,29695.9,30734.7,31425.3,31425.3,29272.7,1155.2,3.82,31725.8,29204.1,-188.3,-0.60,36827.4,29204.1,-3387.5,-9.73,36827.4,29204.1,-2380.9,-7.04,,
XAF,All Australian 50,3887.4,3860.3,3912.7,4056.5,4147.4,4165.7,4056.5,90.9,2.24,4147.4,3860.3,149.3,3.73,4152.3,3853.0,-0.1,-0.00,4939.1,3853.0,-534.8,-11.42,4939.1,3853.0,-513.4,-11.02,29442.3,29237.5,29634.1,30722.9,31411.9,31411.9,29237.5,1131.0,3.73,31411.9,29181.9,68.0,0.22,36488.5,29181.9,-2734.7,-8.01,36488.5,29181.9,-2298.0,-6.82,,
XAT,All Australian 200,3889.9,3864.5,3918.6,4063.0,4157.0,4176.4,4063.0,94.0,2.31,4157.0,3864.5,154.8,3.87,4192.4,3855.4,-24.1,-0.58,4976.2,3855.4,-593.5,-12.49,4976.2,3855.4,-527.5,-11.26,29379.0,29189.5,29598.7,30688.9,31399.1,31399.1,29189.5,1172.0,3.88,31588.3,29116.8,-102.6,-0.33,36695.0,29116.8,-3191.8,-9.23,36695.0,29116.8,-2442.3,-7.22,,
XTL,S&P/ASX 20,2359.5,2340.3,2373.6,2462.1,2519.4,2530.3,2462.1,57.3,2.33,2519.4,2340.3,92.9,3.83,2519.4,2334.2,7.2,0.29,2998.7,2334.2,-312.7,-11.04,2998.7,2334.2,-299.2,-10.61,35047.5,34762.3,35256.6,36572.3,37422.3,37422.3,34762.3,1379.4,3.83,37422.3,34671.5,187.2,0.50,43396.5,34671.5,-3031.3,-7.49,43396.5,34671.5,-2493.3,-6.25,,
XFL,S&P/ASX 50,3911.5,3883.4,3936.8,4080.4,4170.6,4188.9,4080.4,90.2,2.21,4170.6,3883.4,149.4,3.71,4171.2,3876.7,4.3,0.10,4953.4,3876.7,-522.7,-11.14,4953.4,3876.7,-501.6,-10.74,29595.2,29383.0,29787.2,30873.3,31555.9,31555.9,29383.0,1130.3,3.71,31555.9,29332.3,102.1,0.32,36564.0,29332.3,-2646.7,-7.74,36564.0,29332.3,-2215.2,-6.56,,
XTO,S&P/ASX 100,3181.3,3159.5,3203.0,3319.3,3393.9,3409.5,3319.3,74.6,2.25,3393.9,3159.5,122.1,3.73,3410.1,3155.5,-10.2,-0.30,4049.1,3155.5,-459.4,-11.92,4049.1,3155.5,-420.3,-11.02,7299.8,7250.3,7350.3,7617.1,7788.4,7788.4,7250.3,280.9,3.74,7807.4,7240.1,-4.6,-0.06,9067.0,7240.1,-730.0,-8.57,9067.0,7240.1,-575.4,-6.88,,
XJO,S&P/ASX 200,3897.0,3872.1,3926.5,4069.9,4162.9,4182.0,4069.9,93.0,2.29,4162.9,3872.1,154.3,3.85,4194.7,3863.9,-20.5,-0.49,4971.2,3863.9,-582.3,-12.27,4971.2,3863.9,-518.5,-11.08,29397.7,29212.1,29622.4,30704.2,31405.7,31405.7,29212.1,1166.3,3.86,31567.3,29145.7,-73.9,-0.23,36617.7,29145.7,-3112.9,-9.02,36617.7,29145.7,-2382.3,-7.05,,
XKO,S&P/ASX 300,3895.4,3870.2,3923.4,4066.0,4159.2,4178.0,4066.0,93.2,2.29,4159.2,3870.2,152.9,3.82,4201.9,3860.9,-30.3,-0.72,4984.1,3860.9,-601.6,-12.64,4984.1,3860.9,-526.0,-11.23,29313.4,29126.4,29526.4,30599.7,31300.9,31300.9,29126.4,1153.6,3.83,31542.6,29050.7,-145.7,-0.46,36632.1,29050.7,-3259.4,-9.43,36632.1,29050.7,-2449.1,-7.26,,
XMD,S&P/ASX MidCap 50,3422.9,3408.2,3455.9,3576.5,3668.8,3693.2,3576.5,92.3,2.58,3668.8,3408.2,136.9,3.88,3825.9,3408.2,-132.8,-3.49,4573.1,3408.2,-798.7,-17.88,4573.1,3408.2,-563.3,-13.31,8215.2,8186.5,8301.2,8590.7,8812.5,8812.5,8186.5,335.9,3.96,9153.4,8186.5,-282.8,-3.11,10728.9,8186.5,-1536.1,-14.84,10728.9,8186.5,-919.9,-9.45,,
XSO,S&P/ASX Small Ords,2172.4,2166.5,2195.2,2276.2,2337.6,2347.7,2276.2,61.4,2.70,2337.6,2166.5,103.7,4.64,2484.9,2137.3,-112.9,-4.61,2946.3,2137.3,-554.9,-19.18,2946.3,2137.3,-352.4,-13.10,4997.9,4985.3,5051.3,5237.7,5379.0,5379.0,4985.3,239.5,4.66,5692.3,4915.5,-232.3,-4.14,6625.3,4915.5,-1123.3,-17.28,6625.3,4915.5,-643.9,-10.69,,
