Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-03-24T23:15:15+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4381.2,4365.6,4347.0,4364.9,4360.7,4366.9,4329.3,-4.2,-0.10,4381.2,4347.0,-4.0,-0.09,4389.0,4234.4,-6.8,-0.16,4389.0,4155.2,249.7,6.07,5064.9,3927.6,-479.6,-9.91,33292.6,33174.1,33032.8,33169.8,33140.1,33292.6,33032.8,-2.3,-0.01,33292.6,32123.2,204.6,0.62,33292.6,31164.7,2306.8,7.48,36827.4,29204.1,-2039.5,-5.80,,
XAF,All Australian 50,4239.1,4227.4,4204.8,4227.3,4226.6,4236.5,4193.2,-0.7,-0.02,4239.1,4204.8,0.2,0.01,4259.2,4099.4,-14.0,-0.33,4269.4,4092.7,177.5,4.38,4939.1,3853.0,-475.7,-10.12,32891.4,32800.7,32625.0,32799.7,32794.3,32891.4,32625.0,33.4,0.10,32891.4,31764.6,148.9,0.46,32891.4,31296.5,1830.6,5.91,36488.5,29181.9,-1941.6,-5.59,,
XAT,All Australian 200,4282.0,4265.5,4244.4,4263.9,4260.9,4268.3,4228.8,-3.0,-0.07,4282.0,4244.4,-6.2,-0.14,4300.6,4135.9,-18.7,-0.44,4300.6,4095.7,210.2,5.19,4976.2,3855.4,-486.3,-10.24,33094.8,32967.8,32804.6,32956.7,32935.0,33094.8,32804.6,-17.3,-0.05,33094.8,31920.5,112.8,0.34,33094.8,31218.0,2059.9,6.67,36695.0,29116.8,-2063.5,-5.90,,
XTL,S&P/ASX 20,2540.5,2534.7,2517.2,2532.6,2533.7,2541.0,2513.0,1.1,0.04,2540.5,2517.2,-1.4,-0.05,2564.1,2459.2,-19.7,-0.77,2585.2,2459.2,84.0,3.43,2998.7,2334.2,-306.4,-10.79,38685.6,38596.7,38330.3,38564.8,38582.6,38685.6,38330.3,26.8,0.07,38768.8,37390.7,-16.3,-0.04,38776.8,37130.7,1837.5,5.00,43396.5,34671.5,-2519.5,-6.13,,
XFL,S&P/ASX 50,4268.5,4257.1,4234.1,4257.4,4256.4,4266.5,4223.0,-1.0,-0.02,4268.5,4234.1,0.3,0.01,4287.4,4127.1,-12.5,-0.29,4297.0,4119.7,179.9,4.41,4953.4,3876.7,-461.1,-9.77,33078.9,32990.3,32812.4,32992.8,32985.4,33078.9,32812.4,34.5,0.10,33078.9,31940.7,162.8,0.50,33078.9,31465.6,1850.0,5.94,36564.0,29332.3,-1833.9,-5.27,,
XTO,S&P/ASX 100,3488.0,3475.8,3458.7,3475.8,3474.8,3481.5,3447.8,-1.0,-0.03,3488.0,3458.7,-2.7,-0.08,3504.2,3371.7,-12.9,-0.37,3504.2,3352.0,158.1,4.77,4049.1,3155.5,-385.4,-9.98,8194.1,8165.4,8125.3,8165.8,8163.2,8194.1,8125.3,0.8,0.01,8194.1,7910.2,33.3,0.41,8194.1,7763.4,481.6,6.27,9067.0,7240.1,-479.2,-5.54,,
XJO,S&P/ASX 200,4290.8,4275.0,4254.3,4273.7,4270.4,4277.8,4238.4,-3.3,-0.08,4290.8,4254.3,-5.8,-0.13,4306.8,4143.7,-15.8,-0.37,4306.8,4101.2,213.8,5.27,4971.2,3863.9,-472.2,-9.96,33115.5,32993.7,32833.4,32984.4,32960.7,33115.5,32833.4,-14.0,-0.04,33115.5,31934.5,133.6,0.41,33115.5,31218.6,2081.6,6.74,36617.7,29145.7,-1966.1,-5.63,,
XKO,S&P/ASX 300,4294.2,4279.2,4258.6,4277.6,4274.2,4281.3,4242.4,-3.4,-0.08,4294.2,4258.6,-5.3,-0.12,4308.7,4147.4,-13.6,-0.32,4308.7,4097.1,221.9,5.48,4984.1,3860.9,-482.2,-10.14,33050.2,32934.3,32776.0,32923.0,32898.8,33050.2,32776.0,-10.8,-0.03,33050.2,31873.8,148.3,0.45,33050.2,31106.7,2132.2,6.93,36632.1,29050.7,-2051.6,-5.87,,
XMD,S&P/ASX MidCap 50,3903.6,3863.9,3859.9,3862.1,3858.0,3862.1,3828.9,-4.1,-0.11,3903.6,3858.0,-30.4,-0.78,3928.5,3766.0,-39.6,-1.01,3928.5,3609.5,279.1,7.80,4573.1,3408.2,-505.4,-11.58,9559.5,9462.2,9452.4,9460.2,9450.1,9559.5,9450.1,-72.1,-0.76,9603.9,9209.8,-27.5,-0.29,9603.9,8736.2,788.0,9.10,10728.9,8186.5,-781.5,-7.64,,
XSO,S&P/ASX Small Ords,2525.0,2516.1,2506.6,2505.9,2493.0,2505.9,2480.8,-12.9,-0.51,2525.0,2493.0,-13.5,-0.54,2526.6,2419.0,5.4,0.22,2526.6,2240.7,283.6,12.84,2920.5,2137.3,-320.9,-11.40,5883.6,5862.9,5840.7,5839.7,5812.5,5883.6,5812.5,-25.2,-0.43,5883.6,5621.5,50.8,0.88,5883.6,5181.7,703.7,13.77,6617.6,4915.5,-558.3,-8.76,,
