Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-12-08T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4540.1,4511.8,4528.0,4515.7,4555.9,4557.6,4521.6,40.2,0.89,4555.9,4511.8,37.9,0.84,4555.9,4360.1,21.7,0.48,4593.5,4033.4,444.9,10.82,4593.5,4033.4,291.8,6.84,35600.1,35378.3,35506.0,35409.8,35724.4,35724.4,35378.3,297.8,0.84,35724.4,34178.2,392.0,1.11,35780.9,30869.4,4891.0,15.86,35780.9,30751.8,3798.3,11.90,,
XAF,All Australian 50,4580.4,4554.0,4571.4,4561.9,4606.1,4608.4,4569.0,44.2,0.97,4606.1,4554.0,56.9,1.25,4606.1,4383.6,37.9,0.83,4609.1,3983.7,557.0,13.76,4609.1,3983.7,424.2,10.14,36770.5,36558.6,36698.9,36622.0,36977.0,36977.0,36558.6,456.9,1.25,36977.0,35183.4,591.5,1.63,36977.0,31167.4,6013.2,19.42,36977.0,30854.8,5042.0,15.79,,
XAT,All Australian 200,4513.7,4486.2,4503.3,4492.6,4534.2,4536.6,4498.9,41.6,0.93,4534.2,4486.2,46.2,1.03,4534.2,4320.6,35.2,0.78,4552.1,3973.9,483.5,11.94,4552.1,3973.9,333.7,7.94,36049.7,35829.8,35966.1,35880.7,36213.4,36213.4,35829.8,369.3,1.03,36213.4,34495.2,531.8,1.49,36213.4,30947.5,5338.3,17.29,36213.4,30810.8,4250.4,13.30,,
XTL,S&P/ASX 20,2792.1,2777.4,2788.7,2784.0,2811.4,2814.3,2788.7,27.4,0.98,2811.4,2777.4,40.2,1.45,2811.4,2665.9,31.1,1.12,2811.4,2396.0,361.7,14.77,2811.4,2396.0,286.6,11.35,44083.9,43852.0,44030.4,43955.4,44388.9,44388.9,43852.0,635.2,1.45,44388.9,42090.9,896.3,2.06,44388.9,36842.5,7643.8,20.80,44388.9,36548.7,6517.1,17.21,,
XFL,S&P/ASX 50,4615.6,4588.9,4606.5,4596.4,4641.3,4643.5,4603.6,44.9,0.98,4641.3,4588.9,57.2,1.25,4641.3,4416.4,37.7,0.82,4646.2,4010.1,564.8,13.86,4646.2,4010.1,433.8,10.31,37003.6,36789.5,36931.1,36849.8,37209.7,37209.7,36789.5,458.2,1.25,37209.7,35398.8,590.4,1.61,37209.7,31334.8,6074.3,19.51,37209.7,31015.5,5111.9,15.93,,
XTO,S&P/ASX 100,3725.5,3703.7,3718.6,3710.2,3745.0,3746.9,3715.4,34.8,0.94,3745.0,3703.7,41.4,1.12,3745.0,3561.8,34.3,0.92,3751.2,3260.5,428.3,12.91,3751.2,3260.5,316.0,9.22,9047.6,8994.7,9030.8,9010.4,9094.9,9094.9,8994.7,100.7,1.12,9094.9,8647.2,149.2,1.67,9094.9,7719.3,1413.3,18.40,9094.9,7657.5,1165.7,14.70,,
XJO,S&P/ASX 200,4531.5,4503.6,4520.4,4509.3,4551.8,4554.1,4515.6,42.5,0.94,4551.8,4503.6,45.8,1.02,4551.8,4336.8,35.3,0.78,4571.1,3985.0,495.2,12.21,4571.1,3985.0,348.8,8.30,36132.7,35910.0,36044.1,35956.0,36294.2,36294.2,35910.0,364.9,1.02,36294.2,34568.7,529.8,1.48,36294.2,30989.0,5415.0,17.54,36294.2,30802.2,4353.7,13.63,,
XKO,S&P/ASX 300,4509.6,4481.4,4497.9,4486.6,4528.5,4530.7,4492.8,41.9,0.93,4528.5,4481.4,43.5,0.97,4528.5,4319.7,30.2,0.67,4554.9,3977.4,476.2,11.75,4554.9,3977.4,326.7,7.78,35847.9,35623.4,35754.7,35664.9,35997.9,35997.9,35623.4,346.2,0.97,35997.9,34326.6,482.1,1.36,35997.9,30841.3,5231.3,17.00,35997.9,30693.1,4149.3,13.03,,
XMD,S&P/ASX MidCap 50,3760.9,3736.8,3757.0,3746.7,3769.2,3772.8,3746.6,22.5,0.60,3769.2,3736.8,0.6,0.02,3769.2,3569.9,68.4,1.85,3950.9,3435.4,190.3,5.32,3950.9,3435.4,16.5,0.44,9461.3,9400.7,9451.6,9425.5,9482.3,9482.3,9400.7,2.5,0.03,9482.3,8970.1,199.9,2.15,9693.0,8495.1,820.1,9.47,9693.0,8495.1,443.1,4.90,,
XSO,S&P/ASX Small Ords,2215.2,2190.6,2190.3,2178.3,2197.5,2199.3,2180.9,19.2,0.88,2215.2,2178.3,-16.8,-0.76,2240.6,2158.2,-50.3,-2.24,2526.6,2044.8,-11.9,-0.54,2526.6,2044.8,-162.4,-6.88,5276.3,5217.8,5216.9,5188.4,5234.2,5276.3,5188.4,-40.1,-0.76,5351.2,5137.9,-117.0,-2.19,5892.6,4798.2,125.3,2.45,5892.6,4798.2,-208.5,-3.83,,
