Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-08-24T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Aug 19,Aug 20,Aug 21,Aug 22,Aug 23,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Aug 19,Aug 20,Aug 21,Aug 22,Aug 23,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5102.3,5068.8,5090.3,5066.7,5115.2,5132.7,5068.7,48.5,0.96,5115.2,5066.7,15.1,0.30,5141.6,4996.6,110.6,2.21,5202.5,4633.5,450.6,9.66,5202.5,4297.7,738.7,16.88,41085.5,40855.8,41030.0,40844.7,41247.0,41247.0,40844.7,325.4,0.80,41247.0,40047.0,1136.7,2.83,41528.7,37020.3,4604.4,12.57,41528.7,33371.0,7435.5,21.99,,
XAF,All Australian 50,5210.9,5173.5,5192.3,5167.6,5213.9,5234.0,5170.4,46.3,0.90,5213.9,5167.6,-4.4,-0.08,5264.2,5123.5,100.0,1.95,5314.5,4733.5,516.2,10.99,5314.5,4328.2,831.1,18.96,43051.1,42794.1,42949.0,42750.9,43142.2,43142.2,42750.9,232.3,0.54,43284.3,41999.6,1142.7,2.72,43481.5,38052.6,5380.0,14.25,43481.5,34391.4,8496.0,24.52,,
XAT,All Australian 200,5070.7,5035.9,5056.9,5033.2,5079.9,5098.6,5035.5,46.7,0.93,5079.9,5033.2,7.7,0.15,5114.9,4968.6,101.1,2.03,5188.4,4619.6,448.6,9.69,5188.4,4261.1,745.9,17.21,41643.8,41402.6,41576.3,41385.8,41780.8,41780.8,41385.8,293.5,0.71,41832.9,40592.0,1105.8,2.72,42210.6,37380.5,4726.4,12.76,42210.6,33696.8,7682.0,22.53,,
XTL,S&P/ASX 20,3221.4,3196.5,3204.1,3187.6,3216.5,3228.0,3189.5,28.9,0.91,3221.4,3187.6,-11.6,-0.36,3257.8,3163.9,63.7,2.02,3264.8,2885.8,349.9,12.21,3264.8,2631.5,553.0,20.76,52330.0,51999.6,52121.7,51862.9,52333.7,52333.7,51862.9,196.7,0.38,52617.4,50866.6,1467.1,2.88,52617.4,45563.7,7074.4,15.63,52617.4,41067.4,10947.5,26.45,,
XFL,S&P/ASX 50,5273.6,5235.9,5255.4,5230.4,5278.2,5298.8,5233.3,47.8,0.91,5278.2,5230.4,-3.2,-0.06,5328.8,5185.8,105.5,2.04,5368.0,4770.1,545.6,11.53,5368.0,4365.3,859.1,19.44,43502.9,43244.2,43404.5,43204.7,43604.9,43604.9,43204.7,240.9,0.56,43749.4,42419.2,1185.6,2.80,43854.8,38295.2,5613.2,14.77,43854.8,34640.3,8716.8,24.99,,
XTO,S&P/ASX 100,4231.8,4204.4,4221.9,4202.5,4240.2,4257.0,4204.6,37.7,0.90,4240.2,4202.5,4.0,0.10,4274.6,4156.7,84.8,2.04,4323.8,3855.7,419.5,10.98,4323.8,3515.9,673.4,18.88,10570.4,10513.5,10557.3,10510.0,10607.3,10607.3,10510.0,70.4,0.67,10630.9,10323.5,283.8,2.75,10697.4,9380.5,1312.6,14.12,10697.4,8455.1,2074.5,24.31,,
XJO,S&P/ASX 200,5112.5,5078.2,5100.0,5075.7,5123.4,5142.1,5078.1,47.7,0.94,5123.4,5075.7,9.5,0.19,5157.7,5011.3,106.3,2.12,5221.0,4656.0,474.4,10.21,5221.0,4278.8,774.4,17.81,41910.6,41673.1,41852.4,41658.3,42060.0,42060.0,41658.3,306.3,0.73,42106.6,40867.9,1145.0,2.80,42402.2,37467.1,4925.4,13.26,42402.2,33782.7,7896.6,23.11,,
XKO,S&P/ASX 300,5071.4,5037.4,5058.7,5034.1,5081.4,5099.8,5036.4,47.3,0.94,5081.4,5034.1,9.2,0.18,5114.3,4968.4,105.1,2.11,5178.7,4613.2,455.1,9.84,5178.7,4264.0,744.3,17.16,41435.2,41200.6,41375.3,41179.0,41576.7,41576.7,41179.0,298.4,0.72,41614.0,40386.8,1126.0,2.78,41922.4,37184.2,4736.7,12.86,41922.4,33565.6,7608.4,22.40,,
XMD,S&P/ASX MidCap 50,4058.6,4056.9,4090.4,4076.7,4107.6,4131.0,4072.8,30.9,0.76,4107.6,4056.9,60.8,1.50,4107.6,3947.1,82.8,2.06,4310.8,3799.1,244.6,6.33,4310.8,3482.0,508.2,14.12,10465.7,10461.3,10547.7,10512.4,10609.5,10609.5,10461.3,175.0,1.68,10609.5,10166.9,242.5,2.34,11026.5,9756.1,840.2,8.60,11026.5,8705.7,1664.4,18.61,,
XSO,S&P/ASX Small Ords,2210.4,2189.2,2200.0,2182.1,2214.1,2217.7,2182.2,32.0,1.47,2214.1,2182.1,27.8,1.27,2214.1,2094.5,64.3,2.99,2414.5,1888.4,-66.6,-2.92,2414.5,1888.4,-28.5,-1.27,5363.4,5314.9,5342.4,5299.1,5376.8,5376.8,5299.1,75.1,1.42,5376.8,5076.7,166.5,3.20,5770.0,4574.9,-68.0,-1.25,5770.0,4574.9,101.1,1.92,,
XDJ,Consumer Discretionary,1716.9,1709.3,1717.6,1720.8,1748.6,1758.3,1720.4,27.8,1.62,1748.6,1709.3,43.8,2.57,1748.6,1642.5,89.7,5.41,1748.6,1364.5,404.8,30.12,1748.6,1241.2,484.6,38.34,12579.1,12523.7,12586.4,12610.4,12814.2,12814.2,12523.7,328.5,2.63,12814.2,12012.2,682.2,5.62,12814.2,9792.3,3169.9,32.87,12814.2,8884.5,3903.0,43.80,,
XSJ,Consumer Staples,9831.1,9611.8,9663.6,9587.8,9642.7,9710.0,9577.1,54.9,0.57,9831.1,9587.8,-53.0,-0.55,9939.9,9587.8,-66.5,-0.68,10661.7,8912.8,768.3,8.66,10661.7,8384.7,1185.8,14.02,76917.2,76063.7,76473.9,75873.7,76400.7,76917.2,75873.7,543.1,0.72,77768.5,75614.4,437.8,0.58,83265.0,68413.1,8282.4,12.16,83265.0,64024.4,12278.4,19.15,,
XEJ,Energy,13574.1,13551.9,13539.1,13554.9,13763.6,13839.1,13551.6,208.7,1.54,13763.6,13539.1,299.2,2.22,13763.6,13155.5,229.7,1.70,13763.6,11998.9,1357.6,10.94,13763.6,11726.6,1018.7,7.99,94009.6,93856.2,93767.5,94052.5,95501.1,95501.1,93767.5,2251.3,2.41,95501.1,91110.7,1770.0,1.89,95501.1,83100.5,10674.5,12.58,95501.1,80181.3,9389.4,10.90,,
XFJ,Financials,5579.3,5545.5,5594.5,5573.3,5616.9,5636.1,5576.2,43.6,0.78,5616.9,5545.5,16.3,0.29,5660.2,5517.7,116.5,2.12,5851.4,4767.7,863.2,18.16,5851.4,4424.4,1138.6,25.43,54170.4,53846.3,54321.6,54116.0,54551.8,54551.8,53846.3,487.0,0.90,54640.2,53012.0,1539.8,2.90,55686.0,44797.5,9893.2,22.15,55686.0,40808.7,13365.8,32.45,,
XXJ,Financial-x-A-REIT,6554.8,6504.1,6561.7,6540.4,6601.2,6620.4,6544.5,60.8,0.93,6601.2,6504.1,24.8,0.38,6650.6,6454.4,176.6,2.75,6823.1,5485.5,1149.3,21.08,6823.1,5047.7,1461.7,28.44,60995.7,60528.3,61064.9,60866.3,61448.4,61448.4,60528.3,662.7,1.09,61472.0,59383.1,2065.3,3.48,62087.9,49449.4,12302.0,25.03,62087.9,44657.3,16137.7,35.62,,
XHJ,Health Care,13413.6,13631.1,13724.6,13661.7,13793.4,13878.2,13655.0,131.7,0.96,13793.4,13413.6,577.6,4.37,13871.6,13215.8,156.2,1.15,13871.6,11476.5,2160.8,18.58,13871.6,9889.4,3918.9,39.69,83086.1,84432.9,85012.3,84622.4,85542.7,85542.7,83086.1,3681.8,4.50,85893.5,81860.9,1100.7,1.30,85893.5,70340.0,14245.7,19.98,85893.5,59961.2,25770.3,43.11,,
XNJ,Industrials,3761.3,3727.9,3763.6,3742.4,3795.0,3804.1,3749.0,52.6,1.41,3795.0,3727.9,54.2,1.45,3795.0,3628.5,87.7,2.37,3970.5,3461.4,243.3,6.85,3970.5,3231.0,393.6,11.57,30503.5,30238.9,30528.8,30356.3,30782.8,30782.8,30238.9,459.7,1.52,30782.8,29395.6,749.0,2.49,31601.8,28042.2,2544.6,9.01,31601.8,25274.6,4252.5,16.03,,
XIJ,Info Technology,708.0,697.3,710.0,694.1,703.5,706.3,694.1,9.4,1.35,710.0,694.1,-4.4,-0.61,713.8,668.5,19.3,2.83,734.7,611.4,106.9,17.91,734.7,566.7,136.3,24.03,4580.4,4548.5,4631.4,4527.5,4588.7,4631.4,4527.5,9.3,0.20,4631.4,4316.8,170.7,3.86,4744.0,3884.8,798.0,21.05,4744.0,3594.8,1011.6,28.28,,
