Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-09-20T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Sep 15,Sep 16,Sep 17,Sep 18,Sep 19,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Sep 15,Sep 16,Sep 17,Sep 18,Sep 19,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5475.4,5446.2,5411.4,5419.0,5437.3,5447.0,5419.0,18.3,0.34,5475.4,5411.4,-95.0,-1.72,5656.9,5411.4,-181.1,-3.22,5656.9,5088.7,84.2,1.57,5656.9,5088.7,166.5,3.16,46370.7,46126.0,45837.8,45902.4,46058.8,46370.7,45837.8,-786.4,-1.68,47783.6,45837.8,-1080.7,-2.29,47783.6,41681.2,2213.8,5.05,47783.6,41443.6,3251.2,7.59,,
XAF,All Australian 50,5564.2,5538.9,5497.7,5507.7,5523.0,5532.6,5506.4,15.3,0.28,5564.2,5497.7,-100.3,-1.78,5751.6,5497.7,-199.7,-3.49,5751.6,5175.5,65.2,1.20,5751.6,5175.5,142.5,2.65,48496.4,48276.3,47916.5,48003.8,48137.0,48496.4,47916.5,-874.7,-1.78,49995.8,47916.5,-1250.1,-2.53,49995.8,43505.3,2258.6,4.92,49995.8,43428.7,3309.2,7.38,,
XAT,All Australian 200,5431.9,5404.4,5367.0,5374.9,5391.8,5401.6,5374.3,16.9,0.31,5431.9,5367.0,-97.9,-1.78,5617.0,5367.0,-191.4,-3.43,5617.0,5028.8,87.1,1.64,5617.0,5028.8,158.3,3.02,46993.9,46757.6,46438.5,46506.3,46652.5,46993.9,46438.5,-838.3,-1.77,48471.7,46438.5,-1189.3,-2.49,48471.7,42022.3,2325.2,5.25,48471.7,41869.0,3303.0,7.62,,
XTL,S&P/ASX 20,3441.1,3426.2,3396.8,3402.7,3415.0,3420.3,3401.8,12.3,0.36,3441.1,3396.8,-62.1,-1.79,3551.7,3396.8,-118.7,-3.36,3551.7,3184.2,36.6,1.08,3551.7,3184.2,94.4,2.84,58964.9,58710.5,58206.7,58308.1,58518.3,58964.9,58206.7,-1064.7,-1.79,60670.4,58206.7,-1422.4,-2.37,60670.4,52576.0,2735.6,4.90,60670.4,52576.0,4159.3,7.65,,
XFL,S&P/ASX 50,5629.8,5603.0,5562.1,5571.9,5587.9,5597.6,5571.1,16.0,0.29,5629.8,5562.1,-101.7,-1.79,5818.9,5562.1,-200.5,-3.46,5818.9,5238.2,61.0,1.10,5818.9,5238.2,143.8,2.64,48979.4,48746.4,48390.5,48475.8,48614.8,48979.4,48390.5,-884.6,-1.79,50484.7,48390.5,-1249.9,-2.51,50484.7,43959.9,2231.9,4.81,50484.7,43886.4,3330.1,7.35,,
XTO,S&P/ASX 100,4546.8,4524.5,4491.6,4498.8,4512.0,4520.3,4498.4,13.2,0.29,4546.8,4491.6,-82.5,-1.80,4699.7,4491.6,-160.4,-3.43,4699.7,4210.6,66.8,1.50,4699.7,4210.6,138.5,3.17,11968.8,11910.5,11824.9,11843.8,11878.5,11968.8,11824.9,-215.5,-1.78,12340.3,11824.9,-303.0,-2.49,12340.3,10700.4,581.8,5.15,12340.3,10670.3,860.8,7.81,,
XJO,S&P/ASX 200,5473.5,5445.4,5407.3,5415.8,5433.1,5443.2,5415.5,17.3,0.32,5473.5,5407.3,-98.0,-1.77,5658.5,5407.3,-190.7,-3.39,5658.5,5070.3,80.9,1.51,5658.5,5070.3,156.4,2.96,47253.9,47013.2,46688.7,46762.7,46911.5,47253.9,46688.7,-837.5,-1.75,48729.0,46688.7,-1178.9,-2.45,48729.0,42284.9,2276.4,5.10,48729.0,42141.4,3286.9,7.53,,
XVI,S&P/ASX 200 VIX,13.569,14.427,15.471,14.624,13.151,14.058,13.103,-1.473,-10.07,15.471,13.151,0.816,6.62,15.471,10.755,1.439,12.29,18.372,0.147,1.589,13.74,18.372,0.147,0.240,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5420.0,5391.7,5354.3,5362.0,5379.0,5389.3,5362.0,17.0,0.32,5420.0,5354.3,-97.4,-1.78,5601.5,5354.3,-188.7,-3.39,5601.5,5027.6,74.2,1.40,5601.5,5027.6,147.0,2.81,46618.3,46377.1,46059.5,46126.4,46272.8,46618.3,46059.5,-828.3,-1.76,48058.9,46059.5,-1164.5,-2.45,48058.9,41785.8,2184.1,4.95,48058.9,41624.4,3163.1,7.34,,
XMD,S&P/ASX MidCap 50,4610.2,4581.9,4549.9,4551.0,4566.7,4580.7,4550.8,15.7,0.34,4610.2,4549.9,-87.5,-1.88,4774.6,4549.9,-148.8,-3.16,4774.6,4099.4,217.2,4.99,4774.6,4099.4,329.3,7.77,12442.9,12369.6,12292.9,12296.0,12338.3,12442.9,12292.9,-217.9,-1.74,12861.6,12292.9,-293.1,-2.32,12861.6,10758.1,923.9,8.09,12861.6,10621.3,1302.6,11.80,,
