Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-12-01T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 26,Nov 27,Nov 28,Nov 29,Nov 30,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 26,Nov 27,Nov 28,Nov 29,Nov 30,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4443.5,4473.4,4462.6,4490.1,4518.0,4524.7,4490.1,27.9,0.62,4518.0,4443.5,86.5,1.95,4535.4,4360.1,12.3,0.27,4593.5,4033.4,407.0,9.90,4593.5,4033.4,171.7,3.95,34839.1,35074.5,34989.9,35207.2,35426.6,35426.6,34839.1,682.7,1.96,35426.6,34178.2,324.8,0.93,35780.9,30869.4,4593.2,14.90,35780.9,30751.8,2889.2,8.88,,
XAF,All Australian 50,4460.4,4494.0,4488.8,4521.0,4549.2,4557.8,4521.0,28.2,0.62,4549.2,4460.4,95.0,2.13,4568.2,4383.6,17.0,0.37,4609.1,3983.7,500.1,12.35,4609.1,3983.7,283.2,6.64,35807.4,36076.8,36035.8,36294.0,36520.1,36520.1,35807.4,762.7,2.13,36520.1,35183.4,431.5,1.20,36697.7,31167.4,5556.3,17.94,36697.7,30854.8,3942.9,12.10,,
XAT,All Australian 200,4406.9,4439.7,4430.1,4459.9,4488.0,4496.2,4459.9,28.1,0.63,4488.0,4406.9,92.4,2.10,4500.1,4320.6,19.0,0.43,4552.1,3973.9,437.3,10.80,4552.1,3973.9,202.3,4.72,35192.5,35456.0,35379.1,35619.3,35844.1,35844.1,35192.5,743.0,2.12,35844.1,34495.2,409.2,1.15,36089.5,30947.5,4969.0,16.09,36089.5,30810.8,3237.9,9.93,,
XTL,S&P/ASX 20,2713.4,2734.7,2733.5,2753.9,2771.2,2777.1,2753.9,17.3,0.63,2771.2,2713.4,60.4,2.23,2780.3,2665.9,15.4,0.56,2802.2,2396.0,321.5,13.12,2802.2,2396.0,191.0,7.40,42841.2,43177.1,43158.9,43481.1,43753.7,43753.7,42841.2,954.4,2.23,43753.7,42090.9,659.1,1.53,43819.6,36842.5,7008.6,19.07,43819.6,36548.7,5051.4,13.05,,
XFL,S&P/ASX 50,4494.5,4528.0,4522.6,4555.6,4584.1,4592.9,4555.6,28.5,0.63,4584.1,4494.5,96.0,2.14,4603.6,4416.4,16.7,0.37,4646.2,4010.1,507.6,12.45,4646.2,4010.1,292.4,6.81,36032.7,36301.6,36258.2,36522.4,36751.5,36751.5,36032.7,769.9,2.14,36751.5,35398.8,430.9,1.19,36944.8,31334.8,5616.1,18.04,36944.8,31015.5,4011.2,12.25,,
XTO,S&P/ASX 100,3632.6,3660.1,3654.5,3680.1,3703.6,3710.3,3680.1,23.5,0.64,3703.6,3632.6,78.9,2.18,3710.7,3561.8,19.4,0.53,3751.2,3260.5,386.9,11.67,3751.2,3260.5,206.4,5.90,8821.0,8888.1,8874.4,8937.1,8994.2,8994.2,8821.0,192.6,2.19,8994.2,8647.2,114.8,1.29,9040.3,7719.3,1312.6,17.09,9040.3,7657.5,908.6,11.24,,
XJO,S&P/ASX 200,4424.2,4456.8,4447.3,4477.7,4506.0,4514.2,4477.7,28.3,0.63,4506.0,4424.2,93.0,2.11,4517.0,4336.8,20.3,0.45,4571.1,3985.0,449.4,11.08,4571.1,3985.0,218.0,5.08,35272.9,35534.6,35458.7,35703.6,35929.3,35929.3,35272.9,746.4,2.12,35929.3,34568.7,417.1,1.17,36183.8,30989.0,5050.1,16.35,36183.8,30802.2,3347.9,10.28,,
XKO,S&P/ASX 300,4406.1,4437.6,4427.5,4456.6,4485.0,4492.4,4456.6,28.4,0.64,4485.0,4406.1,90.2,2.05,4499.0,4319.7,17.0,0.38,4554.9,3977.4,432.7,10.68,4554.9,3977.4,199.9,4.67,35020.7,35272.8,35192.8,35426.5,35651.7,35651.7,35020.7,721.2,2.06,35651.7,34326.6,383.6,1.09,35949.4,30841.3,4885.2,15.88,35949.4,30693.1,3177.1,9.78,,
XMD,S&P/ASX MidCap 50,3709.8,3741.1,3724.3,3741.1,3768.6,3774.3,3741.1,27.5,0.74,3768.6,3709.8,91.7,2.49,3768.6,3569.9,70.9,1.92,3950.9,3435.4,189.7,5.30,3950.9,3435.4,-55.0,-1.44,9321.7,9404.3,9362.2,9410.6,9479.7,9479.7,9321.7,240.8,2.61,9479.7,8970.1,205.1,2.21,9693.0,8495.1,817.6,9.44,9693.0,8495.1,284.1,3.09,,
XSO,S&P/ASX Small Ords,2215.3,2220.9,2197.3,2201.1,2214.3,2214.3,2201.1,13.2,0.60,2220.9,2197.3,13.5,0.61,2271.0,2158.2,-29.3,-1.30,2526.6,2044.8,4.9,0.22,2526.6,2044.8,-190.4,-7.92,5276.7,5289.8,5233.6,5242.7,5274.3,5289.8,5233.6,34.0,0.65,5405.8,5137.9,-66.2,-1.24,5892.6,4798.2,165.4,3.24,5892.6,4798.2,-271.5,-4.90,,
