Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-07-28T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jul 23,Jul 24,Jul 25,Jul 26,Jul 27,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jul 23,Jul 24,Jul 25,Jul 26,Jul 27,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4159.2,4161.2,4151.4,4173.8,4234.4,4234.4,4173.8,60.6,1.45,4234.4,4151.4,3.8,0.09,4236.4,4085.6,150.4,3.68,4504.8,4033.4,123.4,3.00,4573.1,3927.6,-266.1,-5.91,31902.6,31918.3,31842.7,32014.9,32479.6,32479.6,31842.7,29.5,0.09,32494.7,31319.8,1159.9,3.70,34266.8,30869.4,1646.3,5.34,34266.8,29204.1,-477.7,-1.45,,
XAF,All Australian 50,4161.9,4169.6,4164.3,4186.7,4250.9,4250.9,4186.7,64.2,1.53,4250.9,4161.9,25.3,0.60,4250.9,4060.1,189.7,4.67,4413.6,3983.7,201.8,4.98,4440.4,3853.0,-121.7,-2.78,32607.7,32668.0,32626.5,32801.5,33304.9,33304.9,32607.7,198.4,0.60,33304.9,31809.9,1486.1,4.67,34251.1,31167.4,2341.1,7.56,34251.1,29181.9,741.8,2.28,,
XAT,All Australian 200,4116.1,4120.7,4111.3,4134.6,4196.5,4196.5,4134.6,61.9,1.50,4196.5,4111.3,10.3,0.25,4196.5,4029.7,167.3,4.15,4426.4,3973.9,145.8,3.60,4498.8,3855.4,-228.8,-5.17,32125.2,32160.7,32087.9,32269.6,32752.3,32752.3,32087.9,80.1,0.25,32752.3,31440.7,1311.6,4.17,34230.5,30947.5,1877.1,6.08,34230.5,29116.8,-132.1,-0.40,,
XTL,S&P/ASX 20,2520.0,2527.9,2524.9,2538.5,2577.4,2577.4,2538.5,38.9,1.53,2577.4,2520.0,20.5,0.80,2577.4,2448.3,130.7,5.34,2659.9,2396.0,127.7,5.21,2686.8,2334.2,-66.9,-2.53,38749.3,38870.4,38825.1,39034.1,39631.9,39631.9,38749.3,315.0,0.80,39631.9,37621.9,2009.9,5.34,40503.5,36842.5,2886.9,7.86,40503.5,34671.5,1043.5,2.70,,
XFL,S&P/ASX 50,4196.3,4204.0,4198.9,4221.6,4286.5,4286.5,4221.7,64.8,1.53,4286.5,4196.3,26.3,0.62,4286.5,4094.5,192.6,4.70,4442.6,4010.1,210.0,5.15,4454.7,3876.7,-100.4,-2.29,32836.4,32896.0,32856.6,33034.5,33541.7,33541.7,32836.4,205.6,0.62,33541.7,32034.7,1507.0,4.70,34434.2,31334.8,2406.4,7.73,34434.2,29332.3,900.9,2.76,,
XTO,S&P/ASX 100,3394.4,3398.7,3392.4,3411.4,3462.2,3462.2,3411.4,50.8,1.49,3462.2,3392.4,13.3,0.39,3462.2,3317.3,145.6,4.39,3618.2,3260.5,145.5,4.39,3658.2,3155.5,-137.8,-3.83,8053.2,8063.4,8048.3,8093.4,8213.9,8213.9,8048.3,31.6,0.39,8213.9,7867.3,346.6,4.41,8503.6,7719.3,532.3,6.93,8503.6,7240.1,89.3,1.10,,
XJO,S&P/ASX 200,4128.9,4133.2,4123.9,4147.7,4209.8,4209.8,4147.7,62.1,1.50,4209.8,4123.9,10.7,0.25,4209.8,4044.8,166.6,4.12,4435.9,3985.0,153.2,3.78,4497.8,3863.9,-214.8,-4.86,32177.7,32211.1,32138.8,32324.1,32807.6,32807.6,32138.8,83.0,0.25,32807.6,31503.6,1304.0,4.14,34257.1,30989.0,1928.5,6.25,34257.1,29145.7,-34.0,-0.10,,
XKO,S&P/ASX 300,4116.8,4120.7,4111.3,4134.9,4196.5,4196.5,4134.9,61.6,1.49,4196.5,4111.3,10.1,0.24,4196.5,4033.8,164.3,4.07,4432.4,3977.4,144.2,3.56,4504.2,3860.9,-234.7,-5.30,31990.6,32021.4,31948.0,32131.9,32610.3,32610.3,31948.0,78.3,0.24,32610.3,31328.1,1282.2,4.09,34136.0,30841.3,1843.7,5.99,34136.0,29050.7,-204.8,-0.62,,
XMD,S&P/ASX MidCap 50,3491.6,3479.5,3452.7,3477.6,3515.5,3515.5,3477.6,37.9,1.09,3515.5,3452.7,-56.8,-1.59,3598.9,3452.7,59.0,1.71,3950.9,3435.4,-63.4,-1.77,4246.6,3408.2,-641.6,-15.43,8648.0,8617.9,8551.6,8613.3,8707.1,8707.1,8551.6,-140.6,-1.59,8913.6,8547.3,159.8,1.87,9693.0,8495.1,45.0,0.52,10036.2,8186.5,-1117.6,-11.38,,
XSO,S&P/ASX Small Ords,2065.1,2059.8,2044.8,2060.4,2090.9,2090.9,2060.4,30.5,1.48,2090.9,2044.8,-30.6,-1.44,2180.0,2044.8,10.2,0.49,2526.6,2044.8,-118.5,-5.36,2645.1,2044.8,-504.6,-19.44,4845.9,4833.4,4798.2,4834.9,4906.3,4906.3,4798.2,-71.9,-1.45,5114.1,4798.2,25.7,0.53,5892.6,4798.2,-202.5,-3.96,6021.1,4798.2,-1001.8,-16.96,,
