Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-04-30T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Apr 20,Apr 21,Apr 27,Apr 28,Apr 29,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Apr 20,Apr 21,Apr 27,Apr 28,Apr 29,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,ALL Ordinaries,4940.2,4995.7,4954.0,4952.3,4899.0,4954.1,4872.7,-53.3,-1.08,4995.7,4899.0,24.7,0.51,5064.9,4874.3,47.8,0.99,5064.9,4609.9,52.1,1.08,5064.9,4250.6,65.1,1.35,35922.4,36326.2,36023.2,36010.3,35623.4,36326.2,35623.4,180.1,0.51,36827.4,35265.8,357.6,1.01,36827.4,33473.5,810.6,2.33,36827.4,29893.9,1837.9,5.44,,
XAF,ALL Australian 50,4834.3,4887.3,4849.9,4854.2,4809.4,4856.5,4778.4,-44.8,-0.92,4887.3,4809.4,39.7,0.83,4939.1,4769.7,89.0,1.89,4939.1,4507.3,127.2,2.72,4939.1,4220.3,-0.3,-0.01,35714.6,36105.5,35829.4,35861.4,35530.1,36105.5,35530.1,293.0,0.83,36488.5,34872.8,657.3,1.88,36488.5,33259.8,1383.5,4.05,36488.5,30076.1,1498.0,4.40,,
XAT,ALL Australian 200,4861.7,4917.4,4875.5,4875.7,4825.3,4877.8,4796.2,-50.4,-1.03,4917.4,4825.3,30.4,0.63,4976.2,4794.9,65.2,1.37,4976.2,4531.8,74.8,1.57,4976.2,4218.4,20.6,0.43,35850.4,36261.3,35952.2,35954.1,35581.9,36261.3,35581.9,223.7,0.63,36695.0,35097.1,484.9,1.38,36695.0,33376.2,991.0,2.86,36695.0,30043.8,1600.7,4.71,,
XTL,S&P/Asx 20,2941.0,2971.1,2948.7,2955.1,2930.4,2956.4,2910.0,-24.7,-0.84,2971.1,2930.4,29.3,1.01,2998.7,2898.2,75.8,2.66,2998.7,2726.8,98.3,3.47,2998.7,2560.9,0.8,0.03,42562.3,42997.5,42673.3,42765.5,42409.0,42997.5,42409.0,424.0,1.01,43396.5,41311.7,1097.3,2.66,43396.5,39420.6,1955.4,4.83,43396.5,35716.1,1853.0,4.57,,
XFL,S&P/Asx 50,4849.6,4902.4,4865.1,4869.8,4825.6,4872.1,4794.7,-44.2,-0.91,4902.4,4825.6,40.3,0.84,4953.4,4785.3,89.5,1.89,4953.4,4522.6,132.3,2.82,4953.4,4235.3,-2.9,-0.06,35797.6,36187.4,35912.0,35947.4,35620.7,36187.4,35620.7,297.4,0.84,36564.0,34959.8,660.9,1.89,36564.0,33345.4,1418.1,4.15,36564.0,30164.1,1470.2,4.31,,
XTO,S&P/Asx 100,3961.9,4005.9,3974.6,3976.3,3937.3,3978.2,3913.6,-39.0,-0.98,4005.9,3937.3,27.6,0.71,4049.1,3909.7,64.8,1.67,4049.1,3695.3,84.0,2.18,4049.1,3455.4,0.3,0.01,8871.5,8970.1,8900.0,8903.8,8816.6,8970.1,8816.6,61.8,0.71,9067.0,8670.6,146.0,1.68,9067.0,8264.4,298.2,3.50,9067.0,7468.5,367.5,4.35,,
XJO,S&P/Asx 200,4859.0,4913.8,4872.9,4873.0,4823.2,4875.2,4794.8,-49.8,-1.02,4913.8,4823.2,29.9,0.62,4971.2,4793.3,67.4,1.42,4971.2,4528.7,78.0,1.64,4971.2,4222.1,15.8,0.33,35791.1,36195.0,35893.7,35894.7,35527.9,36195.0,35527.9,220.6,0.62,36617.7,35026.9,501.0,1.43,36617.7,33317.6,1009.4,2.92,36617.7,30045.0,1554.8,4.58,,
XKO,S&P/Asx 300,4870.4,4924.9,4884.0,4883.9,4833.7,4886.0,4805.5,-50.2,-1.03,4924.9,4833.7,29.2,0.61,4984.1,4804.5,64.8,1.36,4984.1,4537.2,72.9,1.53,4984.1,4214.7,31.7,0.66,35796.5,36197.0,35896.4,35895.7,35526.8,36197.0,35526.8,214.7,0.61,36632.1,35045.1,481.7,1.37,36632.1,33306.3,966.4,2.80,36632.1,29938.5,1649.4,4.87,,
XMD,S&P/Asx Midcap 50,4422.9,4479.4,4437.4,4420.2,4352.6,4427.5,4338.3,-67.6,-1.53,4479.4,4352.6,-15.0,-0.34,4573.1,4352.6,0.2,0.00,4573.1,4130.0,-114.9,-2.57,4573.1,3797.0,24.6,0.57,10379.1,10511.8,10413.3,10372.8,10214.1,10511.8,10214.1,-35.4,-0.35,10728.9,10205.7,8.5,0.08,10728.9,9674.0,-134.4,-1.30,10728.9,8628.5,462.6,4.74,,
XSO,S&P/Asx Small Ords,2819.0,2852.8,2815.6,2803.3,2761.2,2803.8,2744.2,-42.1,-1.50,2852.8,2761.2,-9.6,-0.35,2920.5,2761.2,-45.3,-1.61,2946.3,2592.6,-131.3,-4.54,2946.3,2229.7,198.0,7.73,6388.1,6464.5,6380.2,6352.5,6256.9,6464.5,6256.9,-21.9,-0.35,6617.6,6256.9,-98.0,-1.54,6625.3,5867.0,-245.4,-3.77,6625.3,4946.8,594.5,10.50,,
XDJ,Cons Discretionary,1482.1,1491.1,1480.0,1476.9,1463.9,1478.3,1460.2,-13.0,-0.88,1491.1,1463.9,-7.5,-0.51,1514.8,1463.9,-24.2,-1.63,1557.8,1429.2,-36.9,-2.46,1641.1,1424.3,-177.0,-10.79,9867.4,9927.2,9853.2,9832.9,9746.5,9927.2,9746.5,-49.8,-0.51,10062.3,9746.5,-138.2,-1.40,10210.5,9458.7,-35.8,-0.37,10491.9,9106.3,-744.5,-7.10,,
