Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-11-13T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 8,Nov 9,Nov 10,Nov 11,Nov 12,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 8,Nov 9,Nov 10,Nov 11,Nov 12,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4855.3,4820.8,4779.5,4810.3,4778.8,4815.7,4767.9,-31.5,-0.65,4855.3,4778.8,-94.1,-1.93,4872.9,4691.1,92.5,1.97,5024.1,4250.6,-103.9,-2.13,5024.1,4250.6,56.2,1.19,34756.9,34512.0,34216.0,34441.9,34260.0,34756.9,34216.0,-558.5,-1.60,34818.5,33421.3,838.7,2.51,35111.0,29893.9,561.4,1.67,35111.0,29893.9,1722.7,5.29,,
XAF,All Australian 50,4745.2,4700.2,4659.2,4685.9,4650.9,4690.8,4638.6,-35.0,-0.75,4745.2,4650.9,-119.6,-2.51,4770.5,4586.1,58.6,1.28,5017.2,4220.3,-211.7,-4.35,5017.2,4220.3,-55.0,-1.17,34498.6,34171.6,33873.0,34075.0,33882.3,34498.6,33873.0,-706.2,-2.04,34588.5,33169.6,668.3,2.01,35500.5,30076.1,-70.9,-0.21,35500.5,30076.1,1053.2,3.21,,
XAT,All Australian 200,4782.1,4744.6,4703.7,4732.1,4695.8,4735.4,4684.3,-36.3,-0.77,4782.1,4695.8,-108.7,-2.26,4804.5,4622.5,74.9,1.62,5001.2,4218.4,-175.1,-3.60,5001.2,4218.4,-13.4,-0.29,34699.3,34428.9,34132.1,34344.1,34134.5,34699.3,34132.1,-648.8,-1.87,34783.3,33382.1,752.4,2.25,35368.8,30043.8,123.0,0.36,35368.8,30043.8,1304.0,3.97,,
XTL,S&P/ASX 20,2872.2,2842.5,2815.6,2832.0,2809.3,2835.4,2801.4,-22.7,-0.80,2872.2,2809.3,-82.6,-2.86,2891.9,2767.5,33.8,1.22,3060.6,2560.9,-140.3,-4.76,3060.6,2560.9,-50.2,-1.76,40933.4,40509.6,40125.8,40360.2,40128.0,40933.4,40125.8,-947.2,-2.31,41075.1,39192.3,821.8,2.09,42369.7,35716.1,-153.5,-0.38,42369.7,35716.1,1075.9,2.76,,
XFL,S&P/ASX 50,4756.6,4710.8,4669.4,4696.4,4661.5,4701.8,4649.3,-34.9,-0.74,4756.6,4661.5,-120.3,-2.52,4781.8,4598.7,57.7,1.25,5036.9,4235.3,-217.4,-4.46,5036.9,4235.3,-58.2,-1.23,34559.2,34226.5,33925.6,34128.7,33937.5,34559.2,33925.6,-710.5,-2.05,34648.0,33239.7,661.1,1.99,35624.5,30164.1,-115.8,-0.34,35624.5,30164.1,1021.7,3.10,,
XTO,S&P/ASX 100,3888.2,3855.6,3823.4,3844.9,3816.4,3848.1,3806.8,-28.5,-0.74,3888.2,3816.4,-90.6,-2.32,3907.0,3759.2,56.8,1.51,4095.8,3455.4,-171.4,-4.30,4095.8,3455.4,-37.5,-0.97,8566.0,8494.5,8423.7,8472.7,8423.9,8566.0,8423.7,-162.9,-1.90,8586.8,8243.1,179.8,2.18,8789.4,7468.5,-24.1,-0.29,8789.4,7468.5,271.1,3.33,,
XJO,S&P/ASX 200,4778.4,4740.7,4699.8,4728.6,4692.7,4732.4,4681.6,-35.9,-0.76,4778.4,4692.7,-107.9,-2.25,4800.6,4619.9,74.5,1.61,5001.9,4222.1,-177.9,-3.65,5001.9,4222.1,-13.7,-0.29,34639.1,34367.2,34070.6,34285.1,34078.3,34639.1,34070.6,-644.1,-1.85,34722.4,33331.9,746.4,2.24,35345.6,30045.0,92.4,0.27,35345.6,30045.0,1289.7,3.93,,
XKO,S&P/ASX 300,4784.7,4748.7,4707.5,4737.1,4701.8,4741.1,4690.9,-35.3,-0.75,4784.7,4701.8,-104.1,-2.17,4805.9,4624.9,79.0,1.71,4995.0,4214.7,-166.4,-3.42,4995.0,4214.7,-6.0,-0.13,34614.3,34355.3,34057.4,34277.2,34073.5,34614.3,34057.4,-618.6,-1.78,34692.1,33300.9,772.6,2.32,35236.9,29938.5,158.0,0.47,35236.9,29938.5,1327.1,4.05,,
XMD,S&P/ASX Midcap 50,4358.7,4364.4,4343.2,4362.9,4330.3,4359.2,4321.6,-32.6,-0.75,4364.4,4330.3,-33.9,-0.78,4364.4,4205.0,147.7,3.53,4548.5,3797.0,-131.3,-2.94,4548.5,3797.0,49.4,1.15,10031.7,10048.9,10000.1,10045.3,9975.0,10048.9,9975.0,-69.5,-0.69,10048.9,9618.5,356.5,3.71,10139.9,8628.5,28.9,0.29,10139.9,8628.5,489.9,5.16,,
XSO,S&P/ASX Small Ords,2795.9,2797.9,2765.0,2799.5,2778.1,2804.5,2776.1,-21.4,-0.76,2799.5,2765.0,-19.4,-0.69,2799.5,2684.5,97.6,3.64,2799.5,2229.7,152.9,5.82,2799.5,2229.7,221.1,8.65,6262.7,6267.8,6193.9,6271.4,6223.4,6271.4,6193.9,-42.6,-0.68,6271.4,6002.9,220.6,3.67,6271.4,4946.8,471.8,8.20,6271.4,4946.8,640.1,11.46,,
