Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-10-30T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Oct 25,Oct 26,Oct 27,Oct 28,Oct 29,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Oct 25,Oct 26,Oct 27,Oct 28,Oct 29,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4780.6,4761.5,4720.5,4752.8,4733.4,4761.2,4726.5,-19.4,-0.41,4780.6,4720.5,13.8,0.29,4780.6,4634.7,39.4,0.84,5024.1,4250.6,-149.3,-3.06,5024.1,4250.6,86.5,1.86,34095.8,33962.2,33669.9,33901.7,33773.5,34095.8,33669.9,112.9,0.34,34095.8,33045.4,310.6,0.93,35111.0,29893.9,74.9,0.22,35111.0,29893.9,1894.6,5.94,,
XAF,All Australian 50,4677.7,4655.2,4622.2,4658.9,4634.7,4668.5,4631.2,-24.2,-0.52,4677.7,4622.2,20.7,0.45,4677.7,4559.0,10.2,0.22,5017.2,4220.3,-227.9,-4.69,5017.2,4220.3,-12.0,-0.26,33831.8,33672.1,33432.9,33698.6,33534.8,33831.8,33432.9,163.4,0.49,33831.8,32970.2,90.9,0.27,35500.5,30076.1,-418.4,-1.23,35500.5,30076.1,1312.1,4.07,,
XAT,All Australian 200,4713.1,4691.4,4651.2,4687.8,4663.7,4694.5,4658.0,-24.1,-0.51,4713.1,4651.2,12.8,0.27,4713.1,4581.3,16.6,0.36,5001.2,4218.4,-207.2,-4.25,5001.2,4218.4,18.1,0.39,34048.7,33894.0,33603.7,33869.4,33706.3,34048.7,33603.7,107.0,0.32,34048.7,33090.3,142.5,0.42,35368.8,30043.8,-305.2,-0.90,35368.8,30043.8,1483.5,4.60,,
XTL,S&P/ASX 20,2815.0,2805.9,2791.9,2815.5,2802.6,2824.6,2801.6,-12.9,-0.46,2815.5,2791.9,20.7,0.74,2826.0,2758.2,2.5,0.09,3060.6,2560.9,-147.0,-4.98,3060.6,2560.9,-29.4,-1.04,39864.6,39735.9,39538.5,39872.0,39705.0,39872.0,39538.5,308.8,0.78,40020.9,39061.2,50.9,0.13,42369.7,35716.1,-576.5,-1.43,42369.7,35716.1,1297.8,3.38,,
XFL,S&P/ASX 50,4689.8,4667.0,4634.1,4671.3,4647.5,4681.0,4643.9,-23.8,-0.51,4689.8,4634.1,21.1,0.46,4689.8,4570.3,11.2,0.24,5036.9,4235.3,-231.4,-4.74,5036.9,4235.3,-11.9,-0.26,33898.5,33735.8,33497.9,33766.9,33605.9,33898.5,33497.9,166.0,0.50,33898.5,33031.3,97.6,0.29,35624.5,30164.1,-447.4,-1.31,35624.5,30164.1,1304.0,4.04,,
XTO,S&P/ASX 100,3832.3,3814.3,3785.4,3815.2,3796.4,3821.8,3792.9,-18.8,-0.49,3832.3,3785.4,13.6,0.36,3832.3,3733.0,9.6,0.25,4095.8,3455.4,-191.4,-4.80,4095.8,3455.4,-9.1,-0.24,8403.6,8364.6,8301.1,8366.9,8328.4,8403.6,8301.1,33.4,0.40,8403.6,8184.3,26.4,0.32,8789.4,7468.5,-119.6,-1.42,8789.4,7468.5,321.3,4.01,,
XJO,S&P/ASX 200,4710.0,4687.8,4648.1,4684.9,4661.6,4691.7,4655.6,-23.3,-0.50,4710.0,4648.1,13.4,0.29,4710.0,4579.2,16.6,0.36,5001.9,4222.1,-209.0,-4.29,5001.9,4222.1,18.4,0.40,33994.6,33836.6,33550.4,33817.1,33659.5,33994.6,33550.4,110.6,0.33,33994.6,33045.2,141.6,0.42,35345.6,30045.0,-326.4,-0.96,35345.6,30045.0,1473.8,4.58,,
XKO,S&P/ASX 300,4714.8,4693.1,4653.2,4689.3,4666.4,4695.9,4660.5,-22.9,-0.49,4714.8,4653.2,13.6,0.29,4714.8,4582.3,20.1,0.43,4995.0,4214.7,-201.8,-4.15,4995.0,4214.7,24.3,0.52,33964.0,33809.7,33522.5,33784.3,33629.4,33964.0,33522.5,111.9,0.33,33964.0,33002.7,167.6,0.50,35236.9,29938.5,-286.2,-0.84,35236.9,29938.5,1499.3,4.67,,
XMD,S&P/ASX Midcap 50,4285.0,4270.3,4220.1,4248.1,4232.5,4251.3,4215.7,-15.6,-0.37,4285.0,4220.1,-17.5,-0.41,4285.0,4159.2,14.0,0.33,4548.5,3797.0,-229.1,-5.13,4548.5,3797.0,-1.0,-0.02,9853.9,9820.1,9704.6,9773.7,9741.4,9853.9,9704.6,-32.0,-0.33,9853.9,9557.0,51.3,0.53,10139.9,8628.5,-204.8,-2.06,10139.9,8628.5,368.9,3.94,,
XSO,S&P/ASX Small Ords,2748.3,2738.5,2691.1,2709.1,2697.1,2709.1,2682.3,-12.0,-0.44,2748.3,2691.1,-9.1,-0.34,2748.3,2612.8,58.8,2.23,2748.3,2229.7,71.9,2.74,2748.3,2229.7,215.2,8.67,6155.6,6133.7,6027.5,6067.8,6040.9,6155.6,6027.5,-20.4,-0.34,6155.6,5847.6,136.5,2.31,6155.6,4946.8,289.3,5.03,6155.6,4946.8,621.8,11.47,,
