Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-04-27T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Apr 19,Apr 22,Apr 23,Apr 24,Apr 26,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Apr 19,Apr 22,Apr 23,Apr 24,Apr 26,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4923.0,4955.4,5002.6,5084.2,5082.7,5116.9,5082.5,-1.5,-0.03,5084.2,4923.0,171.4,3.49,5084.2,4899.2,118.0,2.38,5160.0,4712.3,418.1,8.96,5160.0,4033.4,649.3,14.65,39148.4,39406.7,39782.8,40431.2,40419.2,40431.2,39148.4,1363.4,3.49,40431.2,38952.2,950.8,2.41,40968.7,37020.3,3776.5,10.31,40968.7,30869.4,6698.8,19.87,,
XAF,All Australian 50,5022.4,5054.7,5110.7,5201.1,5193.0,5231.2,5191.6,-8.1,-0.16,5201.1,5022.4,171.4,3.41,5201.1,4956.6,182.1,3.63,5214.1,4733.5,495.3,10.54,5214.1,3983.7,859.7,19.84,40889.9,41152.7,41608.7,42344.7,42279.2,42344.7,40889.9,1395.9,3.41,42344.7,40354.5,1482.5,3.63,42412.3,38052.6,4517.0,11.96,42412.3,31167.4,8651.2,25.73,,
XAT,All Australian 200,4906.3,4939.5,4988.6,5075.0,5070.7,5108.5,5070.7,-4.3,-0.08,5075.0,4906.3,172.9,3.53,5075.0,4866.8,142.7,2.90,5124.5,4671.7,439.4,9.49,5124.5,3973.9,717.7,16.49,39747.7,40017.2,40415.0,41114.6,41079.9,41114.6,39747.7,1400.5,3.53,41114.6,39425.4,1162.0,2.91,41464.3,37380.5,4025.5,10.86,41464.3,30947.5,7419.3,22.04,,
XTL,S&P/ASX 20,3074.1,3093.1,3129.9,3187.6,3188.7,3210.8,3186.7,1.1,0.03,3188.7,3074.1,108.5,3.52,3188.7,3028.3,119.5,3.89,3194.6,2885.8,322.1,11.24,3194.6,2396.0,583.3,22.39,49174.3,49478.9,50067.3,50990.7,51006.9,51006.9,49174.3,1734.2,3.52,51006.9,48441.3,1911.1,3.89,51048.3,45563.7,5747.7,12.70,51048.3,36842.5,11332.6,28.56,,
XFL,S&P/ASX 50,5071.1,5104.3,5160.3,5251.2,5242.7,5281.0,5241.3,-8.5,-0.16,5251.2,5071.1,171.0,3.37,5251.2,5003.8,185.0,3.66,5262.4,4770.1,510.1,10.78,5262.4,4010.1,880.5,20.18,41226.7,41496.5,41952.3,42691.4,42622.3,42691.4,41226.7,1390.9,3.37,42691.4,40679.5,1504.5,3.66,42743.5,38295.2,4630.6,12.19,42743.5,31334.8,8811.3,26.06,,
XTO,S&P/ASX 100,4084.7,4113.7,4157.6,4228.5,4223.0,4254.0,4222.4,-5.5,-0.13,4228.5,4084.7,141.0,3.45,4228.5,4038.7,140.4,3.44,4246.4,3855.7,402.3,10.53,4246.4,3260.5,666.9,18.75,10061.3,10132.7,10241.0,10415.6,10402.0,10415.6,10061.3,347.2,3.45,10415.6,9947.8,346.4,3.44,10448.8,9380.5,1107.2,11.91,10448.8,7719.3,2044.9,24.47,,
XJO,S&P/ASX 200,4931.9,4966.6,5016.2,5102.4,5097.5,5135.0,5097.4,-4.9,-0.10,5102.4,4931.9,173.1,3.51,5102.4,4891.4,147.3,2.97,5146.9,4690.3,448.6,9.65,5146.9,3985.0,735.4,16.86,39886.7,40166.8,40568.6,41265.7,41225.9,41265.7,39886.7,1399.9,3.51,41265.7,39556.7,1196.4,2.99,41574.2,37467.1,4091.4,11.02,41574.2,30989.0,7543.2,22.39,,
XKO,S&P/ASX 300,4894.5,4928.4,4976.4,5061.0,5057.8,5094.1,5057.7,-3.2,-0.06,5061.0,4894.5,172.0,3.52,5061.0,4860.4,135.8,2.76,5118.9,4669.1,431.5,9.33,5118.9,3977.4,697.6,16.00,39458.8,39731.8,40119.0,40801.3,40775.2,40801.3,39458.8,1386.8,3.52,40801.3,39181.3,1100.6,2.77,41215.7,37184.2,3935.1,10.68,41215.7,30841.3,7198.9,21.44,,
XMD,S&P/ASX MidCap 50,4050.5,4098.8,4131.8,4182.3,4187.9,4222.0,4186.9,5.6,0.13,4187.9,4050.5,166.9,4.15,4187.9,4021.0,64.3,1.56,4276.0,3914.1,324.9,8.41,4276.0,3435.4,284.7,7.29,10353.3,10476.7,10561.1,10690.2,10704.5,10704.5,10353.3,426.6,4.15,10704.5,10277.9,171.4,1.63,10906.4,9898.6,935.2,9.57,10906.4,8495.1,1128.5,11.79,,
XSO,S&P/ASX Small Ords,2128.9,2138.9,2135.1,2170.0,2186.9,2199.1,2174.4,16.9,0.78,2186.9,2128.9,91.5,4.37,2314.7,2095.4,-114.9,-4.99,2414.5,2095.4,-93.8,-4.11,2490.3,2044.8,-277.2,-11.25,5136.7,5160.8,5151.6,5235.9,5276.6,5276.6,5136.7,220.7,4.36,5578.3,5055.9,-270.4,-4.88,5770.0,5055.9,-168.2,-3.09,5820.0,4798.2,-479.0,-8.32,,
