Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-10-31T23:15:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Oct 26,Oct 27,Oct 28,Oct 29,Oct 30,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Oct 26,Oct 27,Oct 28,Oct 29,Oct 30,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5386.3,5384.6,5374.4,5310.2,5288.6,5310.8,5253.0,-21.6,-0.41,5386.3,5288.6,-99.6,-1.85,5388.1,5089.2,230.0,4.55,5954.8,4958.1,-100.0,-1.86,5954.8,4958.1,-216.5,-3.93,47735.8,47720.7,47630.6,47070.0,46877.9,47735.8,46877.9,-874.3,-1.83,47752.2,44820.4,2057.5,4.59,51568.0,43929.2,830.9,1.80,51568.0,43763.4,209.1,0.45,,
XAF,All Australian 50,5376.0,5376.7,5362.6,5286.0,5248.0,5286.0,5218.3,-38.0,-0.72,5376.7,5248.0,-133.2,-2.48,5381.2,5083.5,189.9,3.76,6081.0,4950.0,-250.2,-4.55,6081.0,4950.0,-392.4,-6.96,49157.3,49163.4,49034.7,48334.5,47986.6,49163.4,47986.6,-1218.2,-2.48,49204.8,46249.7,1736.9,3.76,54222.3,45262.3,-379.8,-0.79,54222.3,45262.3,-1177.3,-2.39,,
XAT,All Australian 200,5297.1,5295.1,5283.4,5214.9,5186.5,5214.9,5151.0,-28.4,-0.54,5297.1,5186.5,-114.0,-2.15,5300.5,5003.3,212.9,4.28,5926.9,4871.4,-176.6,-3.29,5926.9,4871.4,-297.1,-5.42,48005.1,47987.4,47881.3,47267.5,47010.7,48005.1,47010.7,-1025.6,-2.14,48036.3,45068.1,1942.6,4.31,52442.3,44141.5,189.8,0.41,52442.3,44141.5,-458.6,-0.97,,
XTL,S&P/ASX 20,3240.2,3240.1,3224.0,3171.0,3137.2,3171.0,3123.8,-33.8,-1.07,3240.2,3137.2,-103.6,-3.20,3240.8,3053.0,98.6,3.24,3760.5,2963.6,-261.5,-7.70,3760.5,2963.6,-358.9,-10.27,58396.5,58393.6,58104.8,57149.0,56540.1,58396.5,56540.1,-1866.6,-3.20,58406.7,54763.7,1776.4,3.24,65985.5,53410.1,-2215.8,-3.77,65985.5,53410.1,-3367.8,-5.62,,
XFL,S&P/ASX 50,5434.2,5434.4,5419.6,5341.6,5303.3,5341.6,5273.1,-38.3,-0.72,5434.4,5303.3,-136.1,-2.50,5439.4,5137.9,191.9,3.76,6152.9,5002.4,-260.1,-4.68,6152.9,5002.4,-402.5,-7.05,49602.4,49604.4,49468.7,48757.5,48407.3,49604.4,48407.3,-1242.7,-2.50,49650.1,46655.3,1752.1,3.76,54764.7,45661.4,-443.1,-0.91,54764.7,45661.4,-1236.1,-2.49,,
XTO,S&P/ASX 100,4453.7,4454.1,4443.8,4383.6,4357.8,4383.6,4329.9,-25.8,-0.59,4454.1,4357.8,-99.3,-2.23,4457.0,4207.7,173.6,4.15,4996.2,4097.0,-155.2,-3.44,4996.2,4097.0,-245.8,-5.34,12285.7,12286.8,12258.4,12094.2,12023.1,12286.8,12023.1,-271.9,-2.21,12295.0,11541.7,481.4,4.17,13449.8,11301.0,34.2,0.29,13449.8,11301.0,-99.4,-0.82,,
XJO,S&P/ASX 200,5348.0,5346.2,5335.2,5266.9,5239.4,5266.9,5204.0,-27.5,-0.52,5348.0,5239.4,-112.1,-2.10,5351.6,5052.0,217.8,4.34,5982.7,4918.4,-171.6,-3.17,5982.7,4918.4,-287.2,-5.20,48361.9,48345.2,48246.4,47635.3,47387.4,48361.9,47387.4,-1006.8,-2.08,48394.2,45404.9,1982.5,4.37,52822.2,44471.4,248.1,0.53,52822.2,44471.4,-354.0,-0.74,,
XVI,S&P/ASX 200 VIX,17.388,17.416,17.969,19.520,19.189,20.771,18.946,-0.331,-1.70,19.520,17.388,2.345,13.92,25.554,16.844,-7.115,-27.05,30.244,0.171,4.608,31.60,30.244,0.171,6.653,53.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5298.9,5297.0,5285.7,5218.4,5192.3,5218.4,5157.8,-26.1,-0.50,5298.9,5192.3,-109.1,-2.06,5301.5,5003.5,218.4,4.39,5912.7,4873.4,-156.6,-2.93,5912.7,4873.4,-270.8,-4.96,47731.8,47714.2,47612.8,47013.9,46778.7,47731.8,46778.7,-976.3,-2.04,47755.0,44798.4,1980.3,4.42,52008.8,43892.1,353.2,0.76,52008.8,43892.1,-243.2,-0.52,,
XMD,S&P/ASX MidCap 50,5067.9,5070.2,5074.3,5036.5,5054.7,5071.3,4996.7,18.2,0.36,5074.3,5036.5,-9.4,-0.19,5074.3,4761.8,334.0,7.08,5363.8,4637.4,307.2,6.47,5363.8,4637.4,426.6,9.22,14199.8,14206.3,14217.7,14130.7,14181.8,14217.7,14130.7,-7.3,-0.05,14217.7,13220.5,961.3,7.27,14759.9,12623.2,1262.3,9.77,14759.9,12194.4,1656.3,13.22,,
XSO,S&P/ASX Small Ords,2111.5,2100.4,2100.2,2092.0,2101.0,2103.0,2081.2,9.0,0.43,2111.5,2092.0,-5.4,-0.25,2111.5,1981.8,137.4,7.00,2263.3,1907.0,56.7,2.77,2263.3,1907.0,-22.0,-1.04,5536.2,5507.1,5506.6,5485.2,5508.9,5536.2,5485.2,-14.1,-0.25,5536.2,5143.0,365.9,7.12,5823.6,4952.4,311.4,5.99,5823.6,4882.3,130.5,2.43,,
XDJ,Consumer Discretionary,1874.4,1883.6,1878.5,1854.5,1863.7,1873.6,1837.9,9.2,0.50,1883.6,1854.5,-11.7,-0.62,1883.6,1793.0,97.8,5.54,2021.0,1712.1,110.4,6.30,2021.0,1712.1,27.4,1.49,14885.1,14958.1,14917.7,14743.1,14816.4,14958.1,14743.1,-76.7,-0.52,14958.1,14016.2,800.2,5.71,15772.9,13162.6,1346.7,10.00,15772.9,12956.7,739.2,5.25,,
XSJ,Consumer Staples,8964.0,9023.8,8976.4,8495.1,8341.8,8496.2,8313.6,-153.3,-1.80,9023.8,8341.8,-638.3,-7.11,9023.8,8341.8,31.7,0.38,10122.8,8074.9,-831.2,-9.06,10122.8,8074.9,-1750.2,-17.34,78220.6,78742.0,78328.6,74128.1,72791.0,78742.0,72791.0,-5569.6,-7.11,78742.0,72514.1,276.9,0.38,85291.5,70461.9,-3717.8,-4.86,85291.5,70461.9,-11325.4,-13.46,,
XEJ,Energy,9118.1,8908.6,8795.5,8683.6,8759.2,8850.4,8664.7,75.6,0.87,9118.1,8683.6,-377.2,-4.13,9465.5,8260.4,650.5,8.02,12090.7,8041.8,-2842.3,-24.50,12090.7,8041.8,-4838.4,-35.58,69817.4,68212.6,67346.5,66490.4,67068.6,69817.4,66490.4,-2888.2,-4.13,72477.2,62087.4,4981.1,8.02,90391.5,61576.0,-17235.8,-20.44,99894.8,61576.0,-31741.5,-32.12,,
XFJ,Financials,6191.7,6200.4,6179.0,6119.9,6073.1,6119.9,6031.3,-46.8,-0.76,6200.4,6073.1,-107.0,-1.73,6200.4,5805.8,285.9,4.94,7186.4,5644.5,-182.3,-2.91,7186.4,5644.5,-223.0,-3.54,66944.1,67038.0,66806.3,66181.5,65675.7,67038.0,65675.7,-1143.2,-1.71,67038.0,62570.1,3105.6,4.96,75638.7,61027.7,436.6,0.67,75638.7,61027.7,1023.9,1.58,,
XXJ,Financial-x-A-REIT,7080.9,7089.7,7057.5,6979.8,6916.4,6979.8,6866.1,-63.4,-0.91,7089.7,6916.4,-156.4,-2.21,7089.7,6610.9,325.7,4.94,8394.2,6423.0,-365.7,-5.02,8394.2,6423.0,-456.1,-6.19,73390.1,73480.9,73146.7,72360.5,71703.3,73480.9,71703.3,-1602.3,-2.19,73480.9,68309.5,3393.8,4.97,84666.9,66571.1,-1069.1,-1.47,84666.9,66571.1,-845.8,-1.17,,
XHJ,Health Care,18157.4,18376.5,18608.9,18555.0,18733.0,18846.1,18482.9,178.0,0.96,18733.0,18157.4,602.5,3.32,18733.0,17522.5,1080.2,6.12,19933.9,17005.1,1245.8,7.12,19933.9,17005.1,2391.6,14.64,118764.0,120197.3,121717.5,121364.6,122529.1,122529.1,118764.0,3940.8,3.32,122529.1,114592.9,7084.3,6.14,128804.9,108911.1,10530.4,9.40,128804.9,101877.9,17903.9,17.11,,
XNJ,Industrials,4792.0,4803.4,4821.2,4809.2,4870.7,4880.3,4786.3,61.5,1.28,4870.7,4792.0,44.6,0.92,4870.7,4693.3,234.9,5.07,4968.2,4233.2,548.9,12.70,4968.2,4233.2,713.2,17.15,42264.5,42364.7,42522.0,42416.1,42958.2,42958.2,42264.5,393.5,0.92,42958.2,40870.1,2088.1,5.11,43057.2,36323.0,5874.6,15.84,43057.2,34458.1,7524.5,21.24,,
