Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-06-29T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jun 24,Jun 25,Jun 26,Jun 27,Jun 28,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jun 24,Jun 25,Jun 26,Jun 27,Jun 28,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4651.1,4633.5,4707.8,4784.8,4775.4,4803.5,4768.2,-9.4,-0.20,4784.8,4633.5,51.6,1.09,4959.2,4633.5,-175.2,-3.54,5202.5,4633.5,110.8,2.38,5202.5,4106.0,639.9,15.47,37269.9,37129.1,37724.6,38341.7,38270.3,38341.7,37129.1,486.9,1.29,39597.3,37129.1,-1258.6,-3.18,41528.7,37020.3,1627.7,4.44,41528.7,31493.8,6556.0,20.67,,
XAF,All Australian 50,4763.1,4754.7,4831.6,4912.3,4909.4,4942.5,4901.4,-2.9,-0.06,4912.3,4754.7,79.2,1.64,5065.6,4754.7,-162.3,-3.20,5314.5,4733.5,211.7,4.51,5314.5,4093.8,801.3,19.51,39117.8,39049.4,39680.5,40343.6,40320.0,40343.6,39049.4,710.5,1.79,41500.8,39049.4,-1180.8,-2.85,43481.5,38052.6,2557.8,6.77,43481.5,32074.1,8134.2,25.27,,
XAT,All Australian 200,4631.9,4619.6,4695.2,4774.5,4765.5,4796.2,4758.5,-9.0,-0.19,4774.5,4619.6,63.2,1.35,4938.8,4619.6,-171.2,-3.47,5188.4,4619.6,134.2,2.90,5188.4,4054.0,685.4,16.80,37834.0,37733.6,38351.5,38998.6,38930.2,38998.6,37733.6,590.1,1.54,40189.5,37733.6,-1242.2,-3.09,42210.6,37380.5,1875.8,5.06,42210.6,31640.2,7091.8,22.27,,
XTL,S&P/ASX 20,2920.3,2915.1,2964.2,3015.6,3014.4,3035.5,3009.7,-1.2,-0.04,3015.6,2915.1,52.0,1.75,3095.9,2915.1,-92.0,-2.96,3264.8,2885.8,147.8,5.16,3264.8,2476.9,533.6,21.51,47115.6,47032.2,47823.6,48654.0,48633.7,48654.0,47032.2,838.4,1.75,49985.1,47032.2,-1351.4,-2.70,52533.4,45563.7,3374.4,7.46,52533.4,38087.6,10486.5,27.49,,
XFL,S&P/ASX 50,4816.6,4807.3,4885.5,4967.3,4964.9,4998.2,4956.6,-2.4,-0.05,4967.3,4807.3,80.8,1.65,5120.2,4807.3,-160.5,-3.13,5368.0,4770.1,232.3,4.91,5368.0,4128.1,823.1,19.87,39499.1,39422.6,40063.4,40734.6,40715.3,40734.6,39422.6,722.4,1.81,41878.3,39422.6,-1163.1,-2.78,43854.8,38295.2,2723.6,7.17,43854.8,32302.5,8305.3,25.63,,
XTO,S&P/ASX 100,3877.0,3868.0,3930.3,3996.8,3990.4,4016.9,3984.7,-6.4,-0.16,3996.8,3868.0,58.1,1.48,4124.5,3868.0,-134.3,-3.26,4323.8,3855.7,169.7,4.44,4323.8,3341.1,633.2,18.86,9630.0,9607.8,9762.5,9927.8,9913.0,9927.8,9607.8,162.2,1.66,10207.1,9607.8,-294.1,-2.88,10697.4,9380.5,618.3,6.65,10697.4,7926.8,1949.4,24.48,,
XJO,S&P/ASX 200,4669.1,4656.0,4731.7,4811.3,4802.6,4833.4,4795.6,-8.7,-0.18,4811.3,4656.0,63.8,1.35,4974.7,4656.0,-168.1,-3.38,5221.0,4656.0,153.7,3.31,5221.0,4068.0,708.0,17.29,38070.4,37962.9,38580.6,39229.4,39163.3,39229.4,37962.9,593.0,1.54,40412.2,37962.9,-1215.8,-3.01,42402.2,37467.1,2028.7,5.46,42402.2,31702.5,7258.7,22.75,,
XKO,S&P/ASX 300,4627.0,4613.2,4688.2,4766.5,4758.5,4788.1,4751.0,-8.0,-0.17,4766.5,4613.2,60.9,1.30,4932.5,4613.2,-168.8,-3.43,5178.7,4613.2,132.2,2.86,5178.7,4057.5,674.5,16.52,37603.7,37491.8,38101.8,38737.4,38677.5,38737.4,37491.8,567.2,1.49,39938.8,37491.8,-1220.0,-3.06,41922.4,37184.2,1837.4,4.99,41922.4,31530.2,6947.4,21.90,,
XMD,S&P/ASX MidCap 50,3820.4,3799.1,3855.4,3926.6,3881.1,3928.1,3881.1,-45.5,-1.16,3926.6,3799.1,-2.2,-0.06,4092.4,3799.1,-176.9,-4.36,4310.8,3799.1,18.1,0.47,4310.8,3452.7,366.5,10.43,9824.1,9769.3,9914.0,10097.0,9992.7,10097.0,9769.3,42.0,0.42,10474.7,9756.1,-393.9,-3.79,11026.5,9756.1,223.4,2.29,11026.5,8551.6,1301.6,14.98,,
XSO,S&P/ASX Small Ords,1911.1,1888.4,1923.3,1949.0,1944.4,1950.9,1936.4,-4.6,-0.24,1949.0,1888.4,-21.8,-1.11,2100.8,1888.4,-117.1,-5.68,2414.5,1888.4,-336.3,-14.74,2414.5,1888.4,-176.7,-8.33,4629.9,4574.9,4659.4,4721.7,4710.5,4721.7,4574.9,-39.3,-0.83,5073.5,4574.9,-268.1,-5.39,5770.0,4574.9,-734.3,-13.49,5770.0,4574.9,-264.9,-5.32,,
