Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-07-06T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jul 1,Jul 2,Jul 3,Jul 4,Jul 5,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jul 1,Jul 2,Jul 3,Jul 4,Jul 5,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4689.7,4810.3,4727.8,4781.0,4826.4,4837.4,4781.0,45.4,0.95,4826.4,4689.7,51.0,1.07,4841.8,4633.5,1.2,0.03,5202.5,4633.5,161.8,3.47,5202.5,4106.0,627.4,14.94,37584.9,38551.4,37890.7,38317.1,38682.1,38682.1,37584.9,411.7,1.08,38728.0,37129.1,91.1,0.24,41528.7,37020.3,2039.4,5.57,41528.7,31493.8,6475.0,20.10,,
XAF,All Australian 50,4811.2,4934.2,4836.5,4882.4,4931.7,4943.7,4882.4,49.3,1.01,4934.2,4811.2,22.3,0.45,4960.1,4754.7,11.2,0.23,5314.5,4733.5,234.0,4.98,5314.5,4093.8,762.0,18.27,39513.1,40523.5,39721.4,40098.2,40502.7,40523.5,39513.1,182.7,0.45,40675.4,39049.4,152.2,0.38,43481.5,38052.6,2740.6,7.26,43481.5,32074.1,7833.7,23.98,,
XAT,All Australian 200,4673.3,4795.9,4706.1,4755.8,4803.1,4814.1,4755.8,47.3,0.99,4803.1,4673.3,37.6,0.79,4826.4,4619.6,2.1,0.04,5188.4,4619.6,171.8,3.71,5188.4,4054.0,659.1,15.90,38178.5,39180.5,38446.3,38852.4,39240.0,39240.0,38178.5,309.8,0.80,39352.1,37733.6,98.5,0.25,42210.6,37380.5,2185.6,5.90,42210.6,31640.2,6897.1,21.33,,
XTL,S&P/ASX 20,2952.3,3025.3,2964.7,2991.5,3021.1,3029.3,2991.5,29.6,0.99,3025.3,2952.3,6.7,0.22,3040.7,2915.1,9.1,0.30,3264.8,2885.8,154.5,5.39,3264.8,2476.9,497.3,19.71,47632.8,48809.6,47831.5,48264.7,48742.4,48809.6,47632.8,108.7,0.22,49058.2,47032.2,147.7,0.30,52533.4,45563.7,3483.2,7.70,52533.4,38087.6,9934.6,25.60,,
XFL,S&P/ASX 50,4866.0,4990.9,4892.8,4939.7,4989.2,5001.7,4939.7,49.5,1.00,4990.9,4866.0,24.3,0.49,5015.1,4807.3,13.9,0.28,5368.0,4770.1,256.6,5.42,5368.0,4128.1,785.6,18.69,39903.7,40928.3,40123.6,40508.4,40913.8,40928.3,39903.7,198.5,0.49,41064.9,39422.6,174.7,0.43,43854.8,38295.2,2922.0,7.69,43854.8,32302.5,8020.3,24.38,,
XTO,S&P/ASX 100,3912.5,4013.5,3936.6,3975.7,4014.4,4024.7,3975.7,38.7,0.97,4014.4,3912.5,24.0,0.60,4033.4,3868.0,8.0,0.20,4323.8,3855.7,193.7,5.07,4323.8,3341.1,605.3,17.75,9720.1,9971.0,9779.8,9877.1,9973.0,9973.0,9720.1,60.0,0.61,10001.6,9607.8,39.3,0.40,10697.4,9380.5,678.3,7.30,10697.4,7926.8,1885.0,23.31,,
XJO,S&P/ASX 200,4710.3,4834.0,4744.1,4794.7,4841.7,4853.4,4794.7,47.0,0.98,4841.7,4710.3,39.1,0.81,4861.4,4656.0,6.5,0.13,5221.0,4656.0,192.8,4.15,5221.0,4068.0,683.9,16.45,38412.1,39421.0,38688.0,39100.8,39484.9,39484.9,38412.1,321.6,0.82,39568.0,37962.9,133.5,0.34,42402.2,37467.1,2350.3,6.33,42402.2,31702.5,7082.2,21.86,,
XKO,S&P/ASX 300,4668.4,4790.8,4703.3,4753.6,4800.3,4811.1,4753.6,46.7,0.98,4800.3,4668.4,41.8,0.88,4818.4,4613.2,5.3,0.11,5178.7,4613.2,174.0,3.76,5178.7,4057.5,651.7,15.71,37947.0,38942.0,38230.6,38639.8,39019.6,39019.6,37947.0,342.1,0.88,39089.7,37491.8,123.2,0.32,41922.4,37184.2,2179.5,5.92,41922.4,31530.2,6781.1,21.03,,
XMD,S&P/ASX MidCap 50,3820.0,3923.5,3864.8,3915.3,3943.4,3956.6,3915.3,28.1,0.72,3943.4,3820.0,62.3,1.61,3946.9,3799.1,-19.8,-0.50,4310.8,3799.1,80.4,2.08,4310.8,3452.7,358.6,10.00,9839.6,10105.9,9954.9,10084.8,10157.2,10157.2,9839.6,164.5,1.65,10157.2,9756.1,10.3,0.10,11026.5,9756.1,387.9,3.97,11026.5,8551.6,1278.5,14.40,,
XSO,S&P/ASX Small Ords,1922.7,1983.5,1971.4,2012.2,2034.4,2035.9,2012.2,22.2,1.10,2034.4,1922.7,90.0,4.63,2034.4,1888.4,-20.8,-1.01,2414.5,1888.4,-246.3,-10.80,2414.5,1888.4,-129.5,-5.98,4658.5,4806.0,4776.6,4875.5,4930.6,4930.6,4658.5,220.1,4.67,4963.6,4574.9,-33.1,-0.67,5770.0,4574.9,-514.3,-9.45,5770.0,4574.9,-147.0,-2.90,,
XDJ,Consumer Discretionary,1547.0,1592.0,1581.7,1600.8,1612.9,1619.3,1600.8,12.1,0.76,1612.9,1547.0,39.8,2.53,1612.9,1499.6,55.8,3.59,1694.1,1364.5,269.1,20.02,1694.1,1224.4,364.2,29.16,11313.6,11642.8,11567.7,11707.6,11795.7,11795.7,11313.6,291.3,2.53,11795.7,10960.6,415.0,3.65,12372.8,9792.3,2151.5,22.31,12372.8,8593.5,3031.2,34.58,,
XSJ,Consumer Staples,9428.6,9672.4,9451.4,9507.4,9575.0,9610.0,9507.4,67.6,0.71,9672.4,9428.6,-64.8,-0.67,9672.4,9185.7,81.7,0.86,10661.7,8912.8,700.6,7.89,10661.7,7712.1,1825.9,23.56,73767.7,75674.9,73946.2,74384.5,74913.4,75674.9,73767.7,-473.4,-0.63,75674.9,71737.8,773.8,1.04,83265.0,68413.1,6795.0,9.98,83265.0,57782.1,16854.7,29.03,,
XEJ,Energy,12301.9,12727.8,12510.6,12847.7,12948.6,12985.9,12847.3,100.9,0.79,12948.6,12301.9,441.5,3.53,12948.6,12193.8,-45.6,-0.35,13702.8,11998.9,542.6,4.37,13702.8,11554.9,809.8,6.67,85198.7,88148.8,86644.4,88979.0,89677.9,89677.9,85198.7,3057.6,3.53,89993.7,84450.3,-315.8,-0.35,94901.2,83100.5,4851.3,5.72,94901.2,77918.0,7822.7,9.56,,
XFJ,Financials,5210.6,5326.4,5232.4,5271.4,5332.6,5336.8,5271.4,61.2,1.16,5332.6,5210.6,4.1,0.08,5391.7,5130.8,88.2,1.68,5851.4,4767.7,578.9,12.18,5851.4,4168.5,1129.2,26.86,50216.6,51333.1,50426.5,50802.8,51395.2,51395.2,50216.6,41.7,0.08,51831.4,49323.3,979.1,1.94,55686.0,44797.5,6736.6,15.08,55686.0,37937.3,13140.9,34.35,,
XXJ,Financial-x-A-REIT,6039.3,6163.6,6057.9,6104.3,6167.9,6175.7,6104.3,63.6,1.04,6167.9,6039.3,-11.6,-0.19,6245.1,5923.1,98.4,1.62,6823.1,5485.5,716.0,13.13,6823.1,4749.3,1365.6,28.44,55822.0,56970.2,55993.4,56422.5,57010.5,57010.5,55822.0,-106.6,-0.19,57723.4,54747.6,910.4,1.62,62087.9,49449.4,7864.0,16.00,62087.9,41448.0,15099.9,36.03,,
