Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-06-07T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jun 2,Jun 3,Jun 4,Jun 5,Jun 6,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jun 2,Jun 3,Jun 4,Jun 5,Jun 6,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5499.2,5460.5,5426.8,5419.7,5443.5,5452.1,5419.7,23.8,0.44,5499.2,5419.7,-30.3,-0.55,5506.7,5390.3,-19.2,-0.35,5516.1,5088.7,90.4,1.69,5516.1,5088.7,714.2,15.10,45880.5,45558.8,45278.0,45219.1,45417.7,45880.5,45219.1,-249.7,-0.55,45938.0,44959.8,94.7,0.21,45938.0,41681.2,1572.7,3.59,45938.0,37129.1,7590.0,20.06,,
XAF,All Australian 50,5620.3,5586.8,5551.5,5542.4,5571.7,5579.8,5542.4,29.3,0.53,5620.3,5542.4,-25.2,-0.45,5631.8,5519.8,-19.4,-0.35,5650.1,5175.5,113.9,2.09,5650.1,5175.5,749.5,15.54,48213.4,47926.5,47623.5,47545.2,47796.6,48213.4,47545.2,-216.4,-0.45,48305.8,47246.3,174.0,0.37,48305.8,43505.3,1918.2,4.18,48305.8,39049.4,8252.3,20.87,,
XAT,All Australian 200,5475.8,5437.4,5403.0,5394.9,5421.3,5429.9,5394.9,26.4,0.49,5475.8,5394.9,-29.1,-0.53,5484.5,5367.5,-16.0,-0.29,5493.5,5028.8,116.6,2.20,5493.5,5028.8,716.9,15.24,46644.6,46318.3,46025.5,45957.1,46181.5,46644.6,45957.1,-245.2,-0.53,46712.5,45658.2,148.5,0.32,46712.5,42022.3,1854.1,4.18,46712.5,37733.6,7824.3,20.40,,
XTL,S&P/ASX 20,3480.9,3462.2,3436.0,3428.0,3446.6,3452.4,3428.0,18.6,0.54,3480.9,3428.0,-21.9,-0.63,3490.3,3420.5,-19.7,-0.57,3508.1,3184.2,68.2,2.02,3508.1,3184.2,496.5,16.83,58764.8,58448.7,58006.1,57871.5,58185.1,58764.8,57871.5,-370.6,-0.63,58922.5,57526.6,165.3,0.28,58922.5,52576.0,2402.4,4.31,58922.5,47032.2,10588.2,22.25,,
XFL,S&P/ASX 50,5685.8,5651.9,5616.2,5607.3,5636.1,5644.4,5607.3,28.8,0.51,5685.8,5607.3,-26.4,-0.47,5697.9,5583.7,-19.1,-0.34,5715.6,5238.2,109.2,1.98,5715.6,5238.2,759.9,15.58,48689.1,48399.1,48093.1,48017.3,48263.5,48689.1,48017.3,-226.5,-0.47,48786.8,47708.6,179.1,0.37,48786.8,43959.9,1880.6,4.05,48786.8,39422.6,8335.3,20.88,,
XTO,S&P/ASX 100,4588.5,4557.3,4529.1,4523.2,4545.5,4552.5,4523.2,22.3,0.49,4588.5,4523.2,-22.4,-0.49,4596.2,4499.3,-14.5,-0.32,4605.4,4210.6,100.3,2.26,4605.4,4210.6,619.0,15.77,11891.4,11810.5,11737.5,11722.2,11779.9,11891.4,11722.2,-57.8,-0.49,11909.6,11644.6,39.7,0.34,11909.6,10700.4,483.1,4.28,11909.6,9607.8,2043.5,20.99,,
XJO,S&P/ASX 200,5518.5,5479.7,5444.8,5436.9,5464.0,5472.8,5436.9,27.1,0.50,5518.5,5436.9,-28.5,-0.52,5527.2,5409.0,-17.4,-0.32,5536.1,5070.3,111.8,2.09,5536.1,5070.3,726.3,15.33,46912.3,46583.5,46287.4,46219.8,46450.6,46912.3,46219.8,-239.9,-0.51,46979.9,45927.5,140.3,0.30,46979.9,42284.9,1815.5,4.07,46979.9,37962.9,7889.3,20.46,,
XVI,S&P/ASX 200 VIX,11.250,11.852,12.526,12.196,11.082,11.910,10.979,-1.114,-9.13,12.526,11.082,0.029,0.26,13.200,10.934,-1.276,-10.33,18.372,0.147,-0.480,-4.15,21.700,0.147,-8.123,-42.30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5458.4,5420.0,5386.0,5377.9,5404.5,5413.0,5377.9,26.6,0.49,5458.4,5377.9,-28.4,-0.52,5466.4,5350.5,-18.6,-0.34,5476.4,5027.6,99.7,1.88,5476.4,5027.6,705.8,15.02,46233.7,45909.6,45621.7,45553.4,45778.5,46233.7,45553.4,-238.2,-0.52,46295.7,45286.2,121.3,0.27,46295.7,41785.8,1689.8,3.83,46295.7,37491.8,7660.3,20.10,,
XMD,S&P/ASX MidCap 50,4622.0,4556.1,4533.5,4538.4,4552.7,4563.3,4538.4,14.3,0.32,4622.0,4533.5,-32.6,-0.71,4622.0,4471.3,-6.5,-0.14,4622.0,4099.4,203.2,4.67,4622.0,4099.4,670.0,17.26,12303.9,12128.7,12068.4,12081.6,12119.5,12303.9,12068.4,-82.8,-0.68,12303.9,11890.0,4.7,0.04,12303.9,10758.1,705.1,6.18,12303.9,9756.1,2170.5,21.82,,
