Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-09-25T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Sep 20,Sep 21,Sep 22,Sep 23,Sep 24,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Sep 20,Sep 21,Sep 22,Sep 23,Sep 24,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4677.1,4664.9,4674.7,4680.0,4651.5,4670.3,4635.3,-28.5,-0.61,4680.0,4651.5,-33.6,-0.72,4702.7,4356.6,233.1,5.27,5024.1,4250.6,-231.2,-4.74,5024.1,4250.6,-63.3,-1.34,33320.6,33234.3,33304.1,33341.7,33145.6,33341.7,33145.6,-224.5,-0.67,33488.1,30855.2,1853.9,5.92,35111.0,29893.9,-553.0,-1.64,35111.0,29893.9,827.9,2.56,,
XAF,All Australian 50,4604.8,4590.0,4599.7,4613.9,4583.5,4602.1,4564.8,-30.4,-0.66,4613.9,4583.5,-28.3,-0.61,4634.5,4312.2,213.8,4.89,5017.2,4220.3,-279.1,-5.74,5017.2,4220.3,-129.9,-2.76,33290.2,33182.7,33252.7,33355.8,33138.3,33355.8,33138.3,-198.6,-0.60,33494.4,30992.3,1732.6,5.52,35500.5,30076.1,-815.0,-2.40,35500.5,30076.1,459.4,1.41,,
XAT,All Australian 200,4631.6,4617.9,4626.2,4635.2,4603.7,4624.1,4586.8,-31.5,-0.68,4635.2,4603.7,-35.3,-0.76,4661.3,4319.0,223.3,5.10,5001.2,4218.4,-267.2,-5.49,5001.2,4218.4,-111.7,-2.37,33433.3,33334.5,33395.0,33459.7,33239.6,33459.7,33239.6,-240.7,-0.72,33633.6,30986.3,1813.9,5.77,35368.8,30043.8,-771.9,-2.27,35368.8,30043.8,549.9,1.68,,
XTL,S&P/ASX 20,2788.2,2778.4,2786.1,2798.2,2776.3,2789.8,2766.9,-21.9,-0.78,2798.2,2776.3,-14.8,-0.53,2805.9,2597.7,144.5,5.49,3060.6,2560.9,-173.3,-5.87,3060.6,2560.9,-95.9,-3.34,39476.9,39338.6,39447.7,39619.5,39309.6,39619.5,39309.6,-208.8,-0.53,39718.3,36591.9,2236.4,6.03,42369.7,35716.1,-971.9,-2.41,42369.7,35716.1,357.2,0.92,,
XFL,S&P/ASX 50,4617.2,4602.7,4612.4,4626.3,4595.7,4614.5,4576.8,-30.6,-0.66,4626.3,4595.7,-28.5,-0.62,4647.5,4324.0,212.9,4.86,5036.9,4235.3,-283.3,-5.81,5036.9,4235.3,-132.4,-2.80,33358.7,33253.9,33323.9,33424.2,33205.8,33424.2,33205.8,-199.8,-0.60,33567.1,31056.4,1726.8,5.49,35624.5,30164.1,-847.5,-2.49,35624.5,30164.1,434.1,1.32,,
XTO,S&P/ASX 100,3773.6,3764.0,3770.1,3778.2,3752.9,3768.9,3738.2,-25.3,-0.67,3778.2,3752.9,-27.5,-0.73,3799.5,3530.5,173.4,4.84,4095.8,3455.4,-234.9,-5.89,4095.8,3455.4,-111.2,-2.88,8269.0,8248.2,8261.4,8279.2,8225.2,8279.2,8225.2,-57.2,-0.69,8322.4,7689.1,429.3,5.51,8789.4,7468.5,-222.8,-2.64,8789.4,7468.5,98.0,1.21,,
XJO,S&P/ASX 200,4631.3,4617.5,4625.2,4633.6,4601.9,4622.6,4585.1,-31.7,-0.68,4633.6,4601.9,-37.0,-0.80,4661.5,4320.1,220.6,5.03,5001.9,4222.1,-268.7,-5.52,5001.9,4222.1,-111.4,-2.36,33400.9,33301.8,33357.3,33418.1,33196.0,33418.1,33196.0,-253.3,-0.76,33605.0,30967.0,1791.5,5.70,35345.6,30045.0,-789.8,-2.32,35345.6,30045.0,541.8,1.66,,
XKO,S&P/ASX 300,4630.5,4617.2,4625.6,4633.7,4602.5,4623.0,4585.5,-31.2,-0.67,4633.7,4602.5,-35.7,-0.77,4659.7,4316.1,226.1,5.17,4995.0,4214.7,-265.7,-5.46,4995.0,4214.7,-111.9,-2.37,33329.8,33234.1,33294.9,33353.3,33135.6,33353.3,33135.6,-243.3,-0.73,33526.2,30879.1,1825.9,5.83,35236.9,29938.5,-780.0,-2.30,35236.9,29938.5,523.1,1.60,,
XMD,S&P/ASX Midcap 50,4223.9,4233.7,4223.9,4205.0,4174.4,4197.7,4157.7,-30.6,-0.73,4233.7,4174.4,-67.0,-1.58,4263.6,3921.9,189.9,4.77,4548.5,3797.0,-287.2,-6.44,4548.5,3797.0,-146.4,-3.39,9688.6,9710.9,9688.5,9645.2,9582.9,9710.9,9582.9,-136.8,-1.41,9767.0,8924.9,515.5,5.69,10139.9,8628.5,-363.3,-3.65,10139.9,8628.5,35.9,0.38,,
XSO,S&P/ASX Small Ords,2632.0,2615.0,2625.5,2620.0,2600.9,2617.4,2594.4,-19.1,-0.73,2632.0,2600.9,-31.7,-1.20,2633.6,2360.9,204.6,8.54,2724.6,2229.7,-24.3,-0.93,2724.6,2229.7,75.6,3.00,5882.5,5845.6,5869.3,5856.8,5818.3,5882.5,5818.3,-64.8,-1.10,5883.9,5248.7,493.1,9.26,5971.2,4946.8,66.7,1.16,5971.2,4946.8,316.3,5.75,,
