Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-05-25T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,May 20,May 21,May 22,May 23,May 24,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,May 20,May 21,May 22,May 23,May 24,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5185.4,5156.2,5142.1,5040.8,4964.3,5059.9,4936.0,-76.5,-1.52,5185.4,4964.3,-195.5,-3.79,5202.5,4964.3,-119.9,-2.36,5202.5,4712.3,299.7,6.43,5202.5,4033.4,883.1,21.64,41395.4,41161.9,41049.7,40244.9,39633.8,41395.4,39633.8,-1555.9,-3.78,41528.7,39633.8,-797.4,-1.97,41528.7,37020.3,2991.2,8.16,41528.7,30869.4,8461.3,27.14,,
XAF,All Australian 50,5314.5,5286.2,5270.8,5163.2,5081.7,5186.9,5052.6,-81.5,-1.58,5314.5,5081.7,-201.6,-3.82,5314.5,5081.7,-119.4,-2.30,5314.5,4733.5,384.0,8.17,5314.5,3983.7,1060.9,26.39,43481.5,43249.7,43123.7,42243.8,41576.9,43481.5,41576.9,-1649.0,-3.81,43481.5,41576.9,-767.9,-1.81,43481.5,38052.6,3814.7,10.10,43481.5,31167.4,10203.1,32.52,,
XAT,All Australian 200,5175.7,5146.5,5131.6,5027.3,4949.2,5048.9,4920.8,-78.1,-1.55,5175.7,4949.2,-198.0,-3.85,5188.4,4949.2,-125.8,-2.48,5188.4,4671.7,317.9,6.86,5188.4,3973.9,932.2,23.21,42110.5,41873.0,41751.3,40904.9,40269.5,42110.5,40269.5,-1607.9,-3.84,42210.6,40269.5,-845.1,-2.06,42210.6,37380.5,3215.1,8.68,42210.6,30947.5,9058.9,29.03,,
XTL,S&P/ASX 20,3264.8,3248.0,3235.5,3164.8,3113.1,3181.9,3094.9,-51.7,-1.63,3264.8,3113.1,-131.6,-4.05,3264.8,3113.1,-74.5,-2.34,3264.8,2885.8,246.5,8.60,3264.8,2396.0,696.9,28.84,52533.4,52263.2,52062.9,50925.2,50092.7,52533.4,50092.7,-2117.0,-4.05,52533.4,50092.7,-898.0,-1.76,52533.4,45563.7,4833.5,10.68,52533.4,36842.5,13054.6,35.25,,
XFL,S&P/ASX 50,5368.0,5339.4,5324.6,5217.8,5135.8,5241.1,5106.4,-81.9,-1.57,5368.0,5135.8,-200.9,-3.77,5368.0,5135.8,-115.4,-2.20,5368.0,4770.1,403.2,8.52,5368.0,4010.1,1086.9,26.84,43854.8,43621.0,43500.2,42627.2,41957.6,43854.8,41957.6,-1641.6,-3.77,43854.8,41957.6,-733.8,-1.72,43854.8,38295.2,3965.9,10.44,43854.8,31334.8,10403.4,32.97,,
XTO,S&P/ASX 100,4320.0,4296.6,4284.9,4198.8,4133.3,4216.1,4109.4,-65.5,-1.56,4320.0,4133.3,-161.7,-3.76,4323.8,4133.3,-95.2,-2.25,4323.8,3855.7,312.6,8.18,4323.8,3260.5,837.6,25.41,10688.6,10630.7,10601.8,10389.2,10227.2,10688.6,10227.2,-399.4,-3.76,10697.4,10227.2,-188.4,-1.81,10697.4,9380.5,932.5,10.03,10697.4,7719.3,2443.8,31.40,,
XJO,S&P/ASX 200,5209.0,5180.1,5165.4,5062.4,4983.5,5083.5,4954.9,-78.9,-1.56,5209.0,4983.5,-197.3,-3.81,5221.0,4983.5,-118.9,-2.33,5221.0,4690.3,334.6,7.20,5221.0,3985.0,954.3,23.68,42308.4,42073.1,41953.7,41120.0,40478.7,42308.4,40478.7,-1599.2,-3.80,42402.2,40478.7,-787.0,-1.91,42402.2,37467.1,3344.2,9.01,42402.2,30989.0,9217.7,29.49,,
XKO,S&P/ASX 300,5164.1,5135.5,5120.5,5018.1,4940.2,5038.6,4911.9,-77.9,-1.55,5164.1,4940.2,-197.0,-3.83,5178.7,4940.2,-120.8,-2.39,5178.7,4669.1,313.9,6.79,5178.7,3977.4,917.9,22.82,41807.2,41575.6,41454.8,40627.3,39997.3,41807.2,39997.3,-1591.4,-3.83,41922.4,39997.3,-804.0,-1.97,41922.4,37184.2,3157.2,8.57,41922.4,30841.3,8878.3,28.53,,
XMD,S&P/ASX MidCap 50,4250.8,4224.7,4215.2,4129.0,4068.9,4135.2,4036.6,-60.1,-1.46,4250.8,4068.9,-158.4,-3.75,4310.8,4068.9,-113.4,-2.71,4310.8,3914.1,205.9,5.33,4310.8,3435.4,496.2,13.89,10874.1,10807.5,10783.1,10568.3,10414.4,10874.1,10414.4,-399.7,-3.70,11026.5,10414.4,-275.8,-2.58,11026.5,9898.6,645.1,6.60,11026.5,8495.1,1642.9,18.73,,
XSO,S&P/ASX Small Ords,2179.0,2163.4,2151.8,2111.4,2080.9,2119.4,2067.6,-30.5,-1.44,2179.0,2080.9,-103.4,-4.74,2253.6,2080.9,-89.1,-4.11,2414.5,2080.9,-199.8,-8.76,2414.5,2044.8,-85.4,-3.94,5262.3,5224.7,5196.7,5099.1,5025.5,5262.3,5025.5,-248.1,-4.70,5440.6,5025.5,-210.4,-4.02,5770.0,5025.5,-419.4,-7.70,5770.0,4798.2,-42.3,-0.83,,
