Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-03-08T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 3,Mar 4,Mar 5,Mar 6,Mar 7,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 3,Mar 4,Mar 5,Mar 6,Mar 7,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5397.4,5411.7,5457.3,5459.7,5477.0,5477.3,5458.3,17.3,0.32,5477.0,5397.4,61.6,1.14,5477.0,5236.5,292.5,5.64,5477.0,5088.7,123.9,2.31,5477.0,5088.7,339.5,6.61,44642.4,44768.0,45174.7,45200.4,45361.7,45361.7,44642.4,664.7,1.49,45361.7,42491.6,2870.1,6.75,45361.7,41681.2,1516.7,3.46,45361.7,37129.1,4572.4,11.21,,
XAF,All Australian 50,5470.7,5489.7,5530.4,5526.5,5538.0,5538.0,5524.2,11.5,0.21,5538.0,5470.7,41.5,0.75,5539.1,5324.6,272.6,5.18,5539.1,5175.5,80.2,1.47,5539.1,5175.5,347.1,6.69,46509.7,46671.7,47051.2,47025.3,47132.0,47132.0,46509.7,528.1,1.13,47132.0,44294.3,2837.7,6.41,47132.0,43505.3,1253.6,2.73,47132.0,39049.4,4908.4,11.62,,
XAT,All Australian 200,5339.8,5356.0,5401.3,5400.8,5416.9,5416.9,5399.2,16.1,0.30,5416.9,5339.8,56.4,1.05,5416.9,5180.0,292.0,5.70,5416.9,5028.8,112.2,2.11,5416.9,5028.8,314.8,6.17,45087.7,45228.8,45641.8,45643.3,45797.1,45797.1,45087.7,640.0,1.42,45797.1,42852.7,2944.4,6.87,45797.1,42022.3,1469.7,3.32,45797.1,37733.6,4514.0,10.93,,
XTL,S&P/ASX 20,3372.3,3385.9,3413.3,3410.3,3415.8,3415.8,3405.4,5.5,0.16,3415.8,3372.3,24.2,0.71,3415.9,3282.6,174.5,5.38,3415.9,3184.2,37.4,1.11,3415.9,3184.2,232.2,7.29,56321.5,56548.3,57057.9,57016.2,57121.3,57121.3,56321.5,632.4,1.12,57121.3,53549.4,3571.9,6.67,57121.3,52576.0,1338.7,2.40,57121.3,47032.2,6247.8,12.28,,
XFL,S&P/ASX 50,5537.2,5556.1,5597.5,5593.9,5605.7,5605.7,5591.6,11.8,0.21,5605.7,5537.2,43.0,0.77,5605.7,5388.6,276.6,5.19,5605.7,5238.2,78.8,1.43,5605.7,5238.2,367.6,7.02,46991.6,47152.0,47539.2,47515.4,47625.0,47625.0,46991.6,543.4,1.15,47625.0,44755.9,2869.1,6.41,47625.0,43959.9,1242.1,2.68,47625.0,39422.6,5079.0,11.94,,
XTO,S&P/ASX 100,4466.9,4480.4,4517.5,4516.8,4530.0,4530.0,4515.1,13.2,0.29,4530.0,4466.9,44.4,0.99,4530.0,4335.8,241.0,5.62,4530.0,4210.6,84.8,1.91,4530.0,4210.6,302.8,7.16,11474.0,11509.3,11612.6,11612.3,11649.7,11649.7,11474.0,155.6,1.35,11649.7,10906.8,742.9,6.81,11649.7,10700.4,352.9,3.12,11649.7,9607.8,1248.1,12.00,,
XJO,S&P/ASX 200,5384.3,5400.2,5446.2,5445.9,5462.3,5462.3,5444.3,16.4,0.30,5462.3,5384.3,57.5,1.06,5462.3,5222.1,295.8,5.72,5462.3,5070.3,110.1,2.06,5462.3,5070.3,338.9,6.61,45367.8,45506.6,45925.2,45928.4,46084.4,46084.4,45367.8,648.7,1.43,46084.4,43114.2,2970.2,6.89,46084.4,42284.9,1449.3,3.25,46084.4,37962.9,4699.7,11.36,,
XVI,S&P/ASX 200 VIX,14.216,14.083,12.782,12.757,12.197,12.760,12.172,-0.560,-4.39,14.216,12.197,-0.916,-6.99,14.444,0.147,-3.077,-20.15,18.372,0.147,0.635,5.49,21.700,0.147,-2.158,-15.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5336.7,5352.1,5397.7,5397.5,5413.8,5413.8,5396.0,16.3,0.30,5413.8,5336.7,57.3,1.07,5413.8,5177.3,290.7,5.68,5413.8,5027.6,109.0,2.05,5413.8,5027.6,318.3,6.25,44806.6,44941.1,45354.7,45359.3,45513.3,45513.3,44806.6,642.5,1.43,45513.3,42605.3,2908.0,6.83,45513.3,41785.8,1424.5,3.23,45513.3,37491.8,4486.3,10.93,,
XMD,S&P/ASX MidCap 50,4484.3,4483.0,4551.0,4569.3,4613.1,4623.4,4567.9,43.8,0.96,4613.1,4483.0,126.6,2.82,4613.1,4258.0,392.7,9.31,4613.1,4099.4,263.6,6.06,4613.1,4099.4,352.5,8.27,11846.5,11849.1,12031.6,12080.0,12210.9,12210.9,11846.5,359.7,3.03,12210.9,11075.5,1135.4,10.25,12210.9,10758.1,796.5,6.98,12210.9,9756.1,1343.8,12.37,,
