Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-09-06T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Sep 1,Sep 2,Sep 3,Sep 4,Sep 5,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Sep 1,Sep 2,Sep 3,Sep 4,Sep 5,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5629.3,5656.9,5654.6,5632.1,5598.9,5632.1,5593.8,-33.2,-0.59,5656.9,5598.9,-25.7,-0.46,5656.9,5429.6,87.4,1.59,5656.9,5088.7,245.8,4.59,5656.9,5088.7,454.9,8.84,47450.8,47706.6,47783.6,47594.7,47321.1,47783.6,47321.1,-62.0,-0.13,47783.6,45425.3,1210.6,2.63,47783.6,41681.2,3476.1,7.93,47783.6,41443.6,5614.4,13.46,,
XAF,All Australian 50,5723.4,5751.6,5747.2,5721.4,5688.8,5721.4,5681.7,-32.6,-0.57,5751.6,5688.8,-29.5,-0.52,5751.6,5535.1,67.8,1.21,5751.6,5175.5,231.0,4.23,5751.6,5175.5,452.0,8.63,49645.3,49914.9,49995.8,49771.5,49494.6,49995.8,49494.6,-84.3,-0.17,49995.8,47601.8,1154.2,2.39,49995.8,43505.3,3616.2,7.88,49995.8,43428.7,5920.5,13.59,,
XAT,All Australian 200,5588.7,5617.0,5614.6,5590.2,5557.6,5590.2,5551.7,-32.6,-0.58,5617.0,5557.6,-27.0,-0.48,5617.0,5395.8,79.6,1.45,5617.0,5028.8,252.9,4.77,5617.0,5028.8,454.3,8.90,48119.6,48387.3,48471.7,48261.8,47987.3,48471.7,47987.3,-72.5,-0.15,48471.7,46089.9,1195.5,2.56,48471.7,42022.3,3659.9,8.26,48471.7,41869.0,5783.8,13.70,,
XTL,S&P/ASX 20,3531.7,3551.7,3548.3,3534.4,3516.5,3534.4,3512.6,-17.9,-0.51,3551.7,3516.5,-11.7,-0.33,3551.7,3418.2,40.8,1.17,3551.7,3184.2,138.1,4.09,3551.7,3184.2,283.4,8.77,60228.2,60570.2,60670.4,60433.2,60127.7,60670.4,60127.7,-40.9,-0.07,60670.4,57737.2,1419.0,2.42,60670.4,52576.0,4345.0,7.79,60670.4,52576.0,7285.8,13.79,,
XFL,S&P/ASX 50,5789.7,5818.9,5814.3,5788.7,5755.7,5788.7,5748.6,-33.0,-0.57,5818.9,5755.7,-28.8,-0.50,5818.9,5597.5,71.2,1.25,5818.9,5238.2,228.8,4.14,5818.9,5238.2,455.5,8.59,50130.7,50404.4,50484.7,50262.4,49983.2,50484.7,49983.2,-79.3,-0.16,50484.7,48053.1,1183.7,2.43,50484.7,43959.9,3600.3,7.76,50484.7,43886.4,5951.9,13.52,,
XTO,S&P/ASX 100,4675.2,4699.7,4697.1,4675.7,4649.4,4675.7,4644.1,-26.3,-0.56,4699.7,4649.4,-22.4,-0.48,4699.7,4520.1,59.2,1.29,4699.7,4210.6,204.2,4.59,4699.7,4210.6,388.8,9.13,12249.6,12320.0,12340.3,12284.1,12216.7,12340.3,12216.7,-17.6,-0.14,12340.3,11745.1,289.4,2.43,12340.3,10700.4,919.9,8.14,12340.3,10670.3,1499.2,13.99,,
XJO,S&P/ASX 200,5629.8,5658.5,5656.1,5631.3,5598.7,5631.3,5592.9,-32.6,-0.58,5658.5,5598.7,-27.2,-0.48,5658.5,5435.3,80.1,1.45,5658.5,5070.3,246.5,4.61,5658.5,5070.3,453.7,8.82,48373.7,48644.4,48729.0,48515.2,48241.3,48729.0,48241.3,-74.0,-0.15,48729.0,46331.7,1199.9,2.55,48729.0,42284.9,3606.1,8.08,48729.0,42141.4,5773.3,13.59,,
XVI,S&P/ASX 200 VIX,11.016,10.755,11.188,11.389,12.014,12.155,11.240,0.625,5.49,12.014,10.755,1.187,10.96,15.123,10.755,-0.316,-2.56,18.372,0.147,0.452,3.91,18.372,0.147,-4.135,-25.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5573.6,5601.5,5599.2,5575.2,5542.8,5575.2,5537.2,-32.4,-0.58,5601.5,5542.8,-26.9,-0.48,5601.5,5381.9,80.4,1.47,5601.5,5027.6,238.0,4.49,5601.5,5027.6,438.2,8.58,47713.8,47975.4,48058.9,47853.9,47582.7,48058.9,47582.7,-73.4,-0.15,48058.9,45711.7,1187.0,2.56,48058.9,41785.8,3493.9,7.92,48058.9,41624.4,5590.6,13.31,,
XMD,S&P/ASX MidCap 50,4734.5,4767.4,4774.6,4746.7,4722.4,4759.7,4718.9,-24.3,-0.51,4774.6,4722.4,-15.9,-0.33,4774.6,4577.6,74.8,1.61,4774.6,4099.4,372.9,8.57,4774.6,4099.4,572.1,13.79,12730.0,12835.1,12861.6,12786.5,12723.6,12861.6,12723.6,-2.3,-0.02,12861.6,12233.9,302.6,2.44,12861.6,10758.1,1309.2,11.47,12861.6,10621.3,1947.3,18.07,,
XSO,S&P/ASX Small Ords,2282.3,2287.1,2290.0,2287.7,2269.7,2287.7,2269.7,-18.0,-0.79,2290.0,2269.7,-11.9,-0.52,2290.0,2167.2,80.9,3.69,2290.0,2092.8,76.1,3.47,2290.0,2092.8,52.1,2.35,5724.5,5737.4,5754.2,5749.4,5704.6,5754.2,5704.6,-16.1,-0.28,5754.2,5422.1,228.4,4.17,5754.2,5156.7,301.2,5.57,5754.2,5074.3,300.5,5.56,,
