Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-11-29T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 24,Nov 25,Nov 26,Nov 27,Nov 28,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 24,Nov 25,Nov 26,Nov 27,Nov 28,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5349.0,5320.9,5380.3,5381.4,5298.1,5381.4,5298.1,-83.3,-1.55,5381.4,5298.1,6.0,0.11,5522.1,5292.1,-135.9,-2.50,5656.9,5088.7,-55.0,-1.03,5656.9,5088.7,-16.2,-0.31,45606.5,45367.9,45874.5,45883.7,45175.8,45883.7,45175.8,54.5,0.12,46969.3,45121.3,-887.9,-1.93,47783.6,41681.2,1330.8,3.04,47783.6,41443.6,1729.9,3.98,,
XAF,All Australian 50,5452.8,5426.5,5486.3,5494.8,5401.3,5494.8,5401.3,-93.5,-1.70,5494.8,5401.3,6.5,0.12,5658.7,5394.8,-164.6,-2.96,5751.6,5175.5,-56.5,-1.03,5751.6,5175.5,-43.9,-0.81,47873.4,47642.8,48167.7,48242.2,47421.6,48242.2,47421.6,56.8,0.12,49534.3,47364.8,-1092.5,-2.25,49995.8,43505.3,1543.2,3.36,49995.8,43428.7,1720.7,3.77,,
XAT,All Australian 200,5317.4,5289.7,5350.4,5354.8,5266.8,5354.8,5266.8,-88.0,-1.64,5354.8,5266.8,6.9,0.13,5504.7,5259.9,-143.9,-2.66,5617.0,5028.8,-37.9,-0.72,5617.0,5028.8,-9.6,-0.18,46319.9,46080.5,46608.7,46647.1,45882.4,46647.1,45882.4,63.1,0.14,47828.0,45819.4,-953.4,-2.04,48471.7,42022.3,1555.0,3.51,48471.7,41869.0,1874.0,4.26,,
XTL,S&P/ASX 20,3367.8,3352.7,3388.5,3397.6,3339.4,3397.6,3339.4,-58.2,-1.71,3397.6,3339.4,4.6,0.14,3506.4,3334.8,-111.7,-3.24,3551.7,3184.2,-39.0,-1.16,3551.7,3184.2,-26.3,-0.78,58220.1,57959.8,58577.8,58735.0,57730.1,58735.0,57730.1,79.2,0.14,60403.1,57650.8,-1406.7,-2.38,60670.4,52576.0,1947.4,3.49,60670.4,52576.0,2157.4,3.88,,
XFL,S&P/ASX 50,5517.6,5491.2,5551.8,5561.1,5466.8,5561.1,5466.8,-94.3,-1.70,5561.1,5466.8,7.7,0.14,5725.1,5459.1,-164.2,-2.92,5818.9,5238.2,-60.1,-1.09,5818.9,5238.2,-44.2,-0.80,48353.9,48122.1,48653.9,48735.2,47908.3,48735.2,47908.3,67.0,0.14,50024.6,47841.3,-1084.3,-2.21,50484.7,43959.9,1525.4,3.29,50484.7,43886.4,1730.9,3.75,,
XTO,S&P/ASX 100,4464.5,4442.8,4493.2,4499.1,4426.2,4499.1,4426.2,-72.9,-1.62,4499.1,4426.2,9.2,0.21,4623.9,4417.0,-115.1,-2.54,4699.7,4210.6,-19.0,-0.43,4699.7,4210.6,3.3,0.07,11834.9,11777.7,11911.3,11927.1,11734.2,11927.1,11734.2,25.1,0.21,12223.9,11709.1,-224.0,-1.87,12340.3,10700.4,437.4,3.87,12340.3,10670.3,513.9,4.58,,
XJO,S&P/ASX 200,5361.8,5334.8,5396.2,5400.9,5313.0,5400.9,5313.0,-87.9,-1.63,5400.9,5313.0,8.7,0.16,5549.1,5304.3,-139.6,-2.56,5658.5,5070.3,-39.2,-0.73,5658.5,5070.3,-7.1,-0.13,46608.7,46375.2,46909.2,46950.1,46187.8,46950.1,46187.8,78.9,0.17,48112.9,46108.9,-912.7,-1.94,48729.0,42284.9,1552.7,3.48,48729.0,42141.4,1902.7,4.30,,
XVI,S&P/ASX 200 VIX,13.516,14.005,12.618,12.511,14.616,15.011,13.474,2.105,16.83,14.616,12.511,-0.164,-1.11,16.769,11.571,1.158,8.60,19.164,0.147,3.054,26.41,19.164,0.147,1.794,13.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5303.1,5275.9,5336.2,5339.5,5253.3,5339.5,5253.3,-86.2,-1.61,5339.5,5253.3,6.5,0.12,5483.2,5246.8,-138.2,-2.56,5601.5,5027.6,-51.5,-0.97,5601.5,5027.6,-17.9,-0.34,45925.7,45691.7,46214.1,46242.7,45497.3,46242.7,45497.3,59.2,0.13,47365.0,45438.1,-906.0,-1.95,48058.9,41785.8,1408.5,3.19,48058.9,41624.4,1768.6,4.04,,
XMD,S&P/ASX MidCap 50,4599.2,4574.3,4637.3,4629.9,4583.9,4629.9,4582.4,-46.0,-0.99,4637.3,4574.3,34.7,0.76,4690.2,4549.2,34.5,0.76,4774.6,4099.4,234.4,5.39,4774.6,4099.4,336.1,7.91,12471.6,12407.6,12578.7,12558.5,12438.9,12578.7,12407.6,103.1,0.84,12705.1,12308.5,130.4,1.06,12861.6,10758.1,1024.5,8.98,12861.6,10621.3,1331.1,11.98,,
