Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-01-04T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 27,Dec 30,Dec 31,Jan 2,Jan 3,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 27,Dec 30,Dec 31,Jan 2,Jan 3,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XNJ,Industrials,3944.6,3965.2,3968.9,3973.4,3951.7,3973.4,3923.0,-21.7,-0.55,3973.4,3944.6,-4.1,-0.10,3973.4,3722.5,91.4,2.37,3973.4,3951.7,-17.2,-0.43,3973.4,3951.7,300.9,8.24,32600.9,32770.7,32801.5,32838.9,32659.7,32838.9,32600.9,-33.6,-0.10,32838.9,30581.2,946.7,2.99,32838.9,32659.7,-141.8,-0.43,33472.2,28042.2,3633.8,12.52,,
XIJ,Info Technology,740.3,743.1,741.5,745.4,739.1,745.4,736.0,-6.3,-0.85,745.4,739.1,-7.2,-0.96,746.3,708.6,21.9,3.06,745.4,739.1,-2.4,-0.32,745.4,739.1,110.3,17.54,4851.4,4869.6,4859.1,4884.9,4843.7,4884.9,4843.7,-47.0,-0.96,4890.6,4643.5,143.8,3.06,4884.9,4843.7,-15.5,-0.32,4928.9,3996.2,848.4,21.24,,
XMJ,Materials,10101.7,10214.7,10209.7,10318.2,10232.1,10318.2,10184.2,-86.1,-0.83,10318.2,10101.7,183.6,1.83,10318.2,9571.5,473.4,4.85,10318.2,10232.1,22.4,0.22,10318.2,10232.1,-645.4,-5.93,69300.6,70075.7,70041.3,70785.9,70195.3,70785.9,69300.6,1259.8,1.83,70785.9,65651.7,3259.2,4.87,70785.9,70195.3,154.1,0.22,74792.0,55909.5,-2261.8,-3.12,,
XPJ,A-REIT,985.4,993.0,984.9,992.5,993.6,996.2,990.1,1.1,0.11,993.6,984.9,-2.1,-0.21,1007.0,961.6,-6.3,-0.63,993.6,992.5,8.7,0.88,993.6,992.5,22.2,2.29,27175.8,27384.9,27161.0,27369.9,27401.1,27401.1,27161.0,-56.4,-0.21,27491.6,26036.8,326.7,1.21,27401.1,27369.9,240.1,0.88,29914.8,25044.0,2106.9,8.33,,
XTJ,Telecommunications,1818.4,1823.8,1821.6,1825.0,1827.4,1834.6,1823.4,2.4,0.13,1827.4,1818.4,14.2,0.78,1827.4,1718.1,90.0,5.18,1827.4,1825.0,5.8,0.32,1827.4,1825.0,296.1,19.34,21279.5,21343.6,21316.9,21357.0,21385.1,21385.1,21279.5,165.6,0.78,21385.1,20103.7,1055.7,5.19,21385.1,21357.0,68.2,0.32,21385.1,16745.5,4463.3,26.38,,
XUJ,Utilities,5370.2,5394.4,5379.5,5386.1,5371.3,5386.1,5335.5,-14.8,-0.27,5394.4,5370.2,4.0,0.07,5394.4,5212.9,52.9,1.00,5386.1,5371.3,-8.2,-0.15,5386.1,5371.3,117.8,2.24,55779.0,56030.2,55875.8,55944.7,55790.7,56030.2,55779.0,41.2,0.07,56030.2,53514.4,1193.3,2.19,55944.7,55790.7,-85.1,-0.15,57869.0,51459.2,4135.8,8.01,,
XMM,Metals & Mining,3297.6,3343.3,3339.3,3381.0,3351.9,3381.0,3337.1,-29.1,-0.86,3381.0,3297.6,81.2,2.48,3381.0,3129.3,165.1,5.18,3381.0,3351.9,12.6,0.38,3381.0,3351.9,-393.4,-10.50,4632.0,4696.2,4690.6,4749.1,4708.2,4749.1,4632.0,114.0,2.48,4749.1,4395.6,231.8,5.18,4749.1,4708.2,17.6,0.38,5249.3,3709.5,-409.3,-8.00,,
XGD,Gold,1884.8,1929.9,1898.4,2037.2,2080.6,2080.6,2028.2,43.4,2.13,2080.6,1884.8,239.5,13.01,2080.6,1720.7,344.6,19.85,2080.6,2037.2,182.2,9.60,2080.6,2037.2,-2930.4,-58.48,2192.7,2245.1,2208.5,2369.9,2420.5,2420.5,2192.7,278.7,13.01,2420.5,2001.8,400.9,19.85,2420.5,2369.9,212.0,9.60,5859.7,2001.8,-3358.2,-58.11,,
XJR,S&P/ASX 200 Res,4147.0,4193.4,4186.3,4220.8,4183.8,4220.8,4166.1,-37.0,-0.88,4220.8,4147.0,57.3,1.39,4220.8,3929.7,168.6,4.20,4220.8,4183.8,-2.5,-0.06,4220.8,4183.8,-236.2,-5.34,21805.5,22049.8,22012.4,22193.7,21999.2,22193.7,21805.5,301.6,1.39,22193.7,20663.0,886.6,4.20,22193.7,21999.2,-13.2,-0.06,23355.8,17957.3,-603.1,-2.67,,
,
