Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-05-30T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,May 25,May 26,May 27,May 28,May 29,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,May 25,May 26,May 27,May 28,May 29,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5719.9,5770.4,5724.2,5714.6,5774.9,5798.8,5714.6,78.3,1.37,5792.9,5714.6,106.7,1.88,5816.2,5614.0,-43.2,-0.74,5954.8,5278.8,386.3,7.17,5954.8,5278.8,301.2,5.50,49803.3,50242.5,49841.8,49763.1,50289.7,50289.7,49763.1,936.7,1.90,50384.7,48809.3,-94.9,-0.19,51568.0,45110.3,4242.8,9.21,51568.0,43681.7,4622.3,10.12,,
XAF,All Australian 50,5767.1,5822.9,5771.2,5757.7,5825.5,5852.7,5757.7,88.3,1.53,5846.0,5757.7,120.9,2.12,5896.8,5653.3,-97.5,-1.65,6081.0,5389.2,327.3,5.95,6081.0,5389.2,228.6,4.09,51797.2,52298.5,51833.7,51719.3,52328.5,52328.5,51719.3,1092.5,2.13,52816.8,50722.3,-488.3,-0.92,54222.3,47407.4,3962.1,8.19,54222.3,45852.9,4315.5,8.99,,
XAT,All Australian 200,5670.8,5722.6,5674.6,5661.6,5724.8,5750.6,5661.6,82.4,1.46,5744.0,5661.6,110.5,1.97,5772.8,5560.7,-60.4,-1.04,5926.9,5251.9,361.7,6.74,5926.9,5251.9,274.4,5.04,50478.9,50940.0,50514.5,50403.9,50968.0,50968.0,50403.9,991.8,1.98,51189.0,49387.1,-221.0,-0.43,52442.3,45851.2,4147.2,8.86,52442.3,44281.4,4541.4,9.78,,
XTL,S&P/ASX 20,3504.1,3538.0,3502.9,3494.2,3540.5,3554.1,3494.2,57.7,1.65,3551.9,3494.2,74.7,2.16,3614.6,3440.1,-100.9,-2.77,3760.5,3321.7,141.7,4.17,3760.5,3321.7,72.0,2.07,62044.8,62644.0,62023.6,61869.2,62689.3,62689.3,61869.2,1322.9,2.16,63895.6,60911.5,-1206.3,-1.89,65985.5,57424.2,3933.4,6.69,65985.5,55673.0,4133.6,7.06,,
XFL,S&P/ASX 50,5835.0,5891.4,5839.1,5825.8,5894.1,5921.6,5825.8,89.0,1.53,5914.8,5825.8,122.5,2.12,5966.6,5720.0,-99.3,-1.66,6152.9,5453.2,330.7,5.94,6152.9,5453.2,231.6,4.09,52315.3,52820.3,52352.2,52238.7,52851.6,52851.6,52238.7,1104.8,2.14,53350.7,51231.6,-499.1,-0.94,54764.7,47882.7,4001.1,8.19,54764.7,46300.1,4361.6,8.99,,
XTO,S&P/ASX 100,4760.0,4805.1,4765.0,4754.1,4809.2,4831.1,4754.1,71.5,1.50,4825.6,4754.1,98.4,2.09,4857.1,4667.2,-61.5,-1.26,4996.2,4422.0,296.2,6.56,4996.2,4422.0,241.3,5.28,12899.6,13021.9,12913.6,12885.5,13035.1,13035.1,12885.5,268.8,2.11,13114.7,12631.6,-79.6,-0.61,13449.8,11747.2,1046.3,8.73,13449.8,11295.6,1197.4,10.11,,
XJO,S&P/ASX 200,5721.5,5773.4,5725.3,5713.1,5777.2,5803.0,5713.1,83.4,1.46,5796.5,5713.1,112.4,1.98,5827.5,5610.3,-61.4,-1.05,5982.7,5299.2,366.1,6.77,5982.7,5299.2,284.6,5.18,50822.0,51283.1,50857.0,50754.1,51324.9,51324.9,50754.1,1006.9,2.00,51549.8,49752.1,-224.9,-0.44,52822.2,46166.2,4185.7,8.88,52822.2,44533.8,4634.4,9.93,,
XVI,S&P/ASX 200 VIX,15.369,15.106,15.524,15.321,15.146,15.346,14.748,-0.175,-1.14,15.524,15.106,-0.415,-2.67,19.692,0.171,-1.012,-6.26,19.692,0.171,0.565,3.87,19.692,0.171,4.093,37.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5662.3,5713.3,5666.2,5654.1,5716.0,5741.5,5654.1,81.0,1.43,5735.1,5654.1,108.6,1.94,5764.6,5554.6,-57.3,-0.99,5912.7,5240.7,367.1,6.86,5912.7,5240.7,283.1,5.21,50101.5,50552.8,50137.2,50035.5,50585.1,50585.1,50035.5,969.2,1.95,50783.0,49061.7,-197.9,-0.39,52008.8,45487.5,4159.5,8.96,52008.8,43915.8,4568.4,9.93,,
XMD,S&P/ASX MidCap 50,5231.8,5274.2,5251.6,5239.8,5294.2,5317.4,5239.2,68.3,1.30,5308.1,5231.8,94.5,1.82,5308.1,5094.1,95.2,1.83,5363.8,4638.6,546.7,11.52,5363.8,4638.6,708.9,15.46,14418.9,14535.7,14477.3,14445.0,14599.3,14599.3,14418.9,268.9,1.88,14599.3,14036.9,281.4,1.97,14759.9,12623.2,1679.8,13.00,14759.9,11578.7,2397.0,19.64,,
XSO,S&P/ASX Small Ords,2254.7,2263.3,2247.0,2246.2,2255.1,2263.6,2246.1,14.2,0.63,2263.3,2246.2,6.0,0.27,2263.3,2194.5,45.4,2.06,2263.3,2001.2,210.7,10.31,2263.3,2001.2,92.7,4.29,5801.6,5823.6,5781.8,5779.7,5802.6,5823.6,5779.7,15.4,0.27,5823.6,5646.5,117.1,2.06,5823.6,5089.5,605.1,11.64,5823.6,4882.3,414.4,7.69,,
XDJ,Consumer Discretionary,1985.6,2009.0,1994.7,1990.0,2009.7,2019.1,1989.2,27.8,1.40,2017.8,1985.6,31.7,1.60,2017.8,1935.9,20.1,1.01,2021.0,1713.3,256.4,14.62,2021.0,1713.3,191.5,10.53,15497.1,15679.7,15567.9,15531.2,15696.3,15696.3,15497.1,259.2,1.68,15696.3,15109.4,168.6,1.09,15772.9,13162.6,2226.6,16.53,15772.9,12935.8,1992.2,14.54,,
XSJ,Consumer Staples,9194.8,9226.8,9062.0,9098.7,9111.5,9194.0,9098.7,18.1,0.20,9226.8,9062.0,21.4,0.24,9415.6,8944.1,-91.2,-0.99,10122.8,8944.1,-61.6,-0.67,10122.8,8944.1,-1132.1,-11.05,78190.2,78462.4,77060.4,77373.1,77481.2,78462.4,77060.4,182.2,0.24,80067.8,76057.7,-775.9,-0.99,85291.5,75246.2,972.4,1.27,85291.5,73342.3,-6061.9,-7.26,,
XEJ,Energy,11740.5,11823.9,11690.0,11666.9,11815.6,11873.1,11666.0,158.4,1.36,11825.3,11666.9,211.9,1.83,12001.5,11190.5,-4.9,-0.04,12090.7,10301.0,214.2,1.85,12090.7,10301.0,-2716.0,-18.69,87774.0,88397.5,87396.2,87223.1,88334.8,88397.5,87223.1,1584.5,1.83,89724.6,83661.9,-36.4,-0.04,90391.5,74854.3,4030.5,4.78,111140.9,74854.3,-15497.8,-14.93,,
XFJ,Financials,6468.8,6543.9,6498.4,6489.7,6583.5,6615.4,6489.7,120.4,1.86,6610.1,6468.8,171.2,2.67,6757.6,6375.9,-256.2,-3.75,7186.4,6165.5,328.1,5.24,7186.4,6165.5,456.9,7.46,68977.4,69778.8,69293.2,69200.1,70200.5,70200.5,68977.4,1825.5,2.67,72005.3,67986.9,-1804.9,-2.51,75638.7,64303.3,4961.3,7.60,75638.7,59639.1,8141.9,13.12,,
XXJ,Financial-x-A-REIT,7464.4,7551.7,7494.1,7485.0,7599.8,7641.3,7485.0,146.8,1.96,7631.8,7464.4,214.6,2.91,7871.9,7358.6,-374.6,-4.70,8394.2,7130.2,317.7,4.36,8394.2,7130.2,361.0,4.99,76446.0,77339.6,0.0,76656.7,77833.1,77833.1,76446.0,2197.9,2.91,80449.7,75362.3,-2616.5,-3.25,84666.9,71254.0,5060.7,6.95,84666.9,66776.9,7406.6,10.52,,
XHJ,Health Care,18984.5,19135.2,18940.5,18970.9,19039.1,19184.7,18970.9,138.3,0.73,19135.2,18940.5,282.6,1.51,19135.2,18080.7,410.3,2.20,19933.9,17005.1,1551.8,8.87,19933.9,17005.1,4357.1,29.68,122708.3,123682.8,122424.0,122620.4,123061.3,123682.8,122424.0,1826.9,1.51,123682.8,116830.4,2689.9,2.23,128804.9,108911.1,11062.6,9.88,128804.9,88629.9,30092.5,32.37,,
