Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-06-04T23:15:12+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,May 30,May 31,Jun 1,Jun 2,Jun 3,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,May 30,May 31,Jun 1,Jun 2,Jun 3,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4746.1,4788.9,4788.6,4683.2,4666.6,4696.1,4661.8,-16.6,-0.35,4788.9,4666.6,-93.7,-1.97,4858.2,4661.6,-188.1,-3.87,5064.9,4609.9,-180.3,-3.72,5064.9,4250.6,194.2,4.34,34639.3,34951.8,34949.5,34228.2,34107.0,34951.8,34107.0,-635.7,-1.83,35340.8,34016.1,-1196.1,-3.39,36827.4,33473.5,-705.8,-2.03,36827.4,29893.9,2707.1,8.62,,
XAF,All Australian 50,4633.5,4672.2,4667.3,4560.8,4543.5,4574.1,4536.8,-17.3,-0.38,4672.2,4543.5,-108.5,-2.33,4752.2,4543.5,-232.9,-4.88,4939.1,4507.3,-138.7,-2.96,4939.1,4220.3,95.1,2.14,34402.0,34689.0,34652.7,33931.0,33802.3,34689.0,33802.3,-736.9,-2.13,35286.8,33802.3,-1484.4,-4.21,36488.5,33259.8,-344.2,-1.01,36488.5,30076.1,2127.0,6.71,,
XAT,All Australian 200,4666.6,4707.8,4706.1,4598.9,4581.5,4611.9,4576.4,-17.4,-0.38,4707.8,4581.5,-101.4,-2.17,4781.7,4581.5,-204.8,-4.28,4976.2,4531.8,-169.0,-3.56,4976.2,4218.4,138.9,3.13,34558.9,34864.1,34851.8,34114.9,33986.1,34864.1,33986.1,-693.6,-2.00,35296.5,33933.1,-1310.4,-3.71,36695.0,33376.2,-604.8,-1.75,36695.0,30043.8,2398.5,7.59,,
XTL,S&P/ASX 20,2807.1,2831.6,2826.5,2760.0,2749.2,2769.2,2744.6,-10.8,-0.39,2831.6,2749.2,-73.1,-2.59,2891.1,2749.2,-159.3,-5.48,2998.7,2726.8,-82.9,-2.93,2998.7,2560.9,44.5,1.65,40861.2,41217.2,41144.0,40277.5,40120.0,41217.2,40120.0,-961.9,-2.34,42091.3,40120.0,-1971.3,-4.68,43396.5,39420.6,-333.6,-0.82,43396.5,35716.1,2398.7,6.36,,
XFL,S&P/ASX 50,4652.0,4690.7,4686.1,4579.0,4561.6,4592.1,4554.9,-17.4,-0.38,4690.7,4561.6,-108.7,-2.33,4769.1,4561.6,-230.9,-4.82,4953.4,4522.6,-131.7,-2.81,4953.4,4235.3,94.8,2.12,34509.6,34797.2,34763.0,34036.8,33907.7,34797.2,33907.7,-737.7,-2.13,35376.6,33907.7,-1468.9,-4.15,36564.0,33345.4,-294.9,-0.86,36564.0,30164.1,2115.2,6.65,,
XTO,S&P/ASX 100,3808.4,3840.3,3839.2,3751.6,3738.2,3762.8,3733.7,-13.4,-0.36,3840.3,3738.2,-84.5,-2.21,3898.7,3738.2,-170.9,-4.37,4049.1,3695.3,-115.1,-2.99,4049.1,3455.4,92.1,2.53,8565.8,8637.6,8635.0,8453.1,8422.9,8637.6,8422.9,-175.1,-2.04,8753.9,8419.5,-331.0,-3.78,9067.0,8264.4,-95.6,-1.12,9067.0,7468.5,554.4,7.05,,
XJO,S&P/ASX 200,4667.5,4708.3,4707.3,4600.4,4583.1,4612.8,4578.0,-17.3,-0.38,4708.3,4583.1,-100.9,-2.15,4780.2,4583.1,-201.5,-4.21,4971.2,4528.7,-162.1,-3.42,4971.2,4222.1,133.7,3.01,34527.5,34829.1,34821.6,34087.7,33959.2,34829.1,33959.2,-690.0,-1.99,35246.3,33909.1,-1287.1,-3.65,36617.7,33317.6,-559.3,-1.62,36617.7,30045.0,2349.5,7.43,,
XKO,S&P/ASX 300,4675.0,4716.6,4715.3,4609.0,4592.2,4623.0,4587.1,-16.8,-0.36,4716.6,4592.2,-98.6,-2.10,4790.2,4591.6,-201.4,-4.20,4984.1,4537.2,-168.6,-3.54,4984.1,4214.7,150.6,3.39,34503.4,34810.0,34800.9,34071.3,33946.9,34810.0,33946.9,-673.2,-1.94,35235.1,33882.6,-1288.2,-3.66,36632.1,33306.3,-613.4,-1.77,36632.1,29938.5,2449.4,7.78,,
XMD,S&P/ASX MidCap 50,4319.5,4357.0,4378.3,4280.4,4271.9,4298.2,4271.9,-8.5,-0.20,4378.3,4271.9,-58.0,-1.34,4378.3,4233.8,-38.6,-0.89,4573.1,4130.0,-195.6,-4.38,4573.1,3797.0,230.1,5.69,10141.3,10229.4,10279.3,10049.5,10029.7,10279.3,10029.7,-136.1,-1.34,10279.3,9940.2,-90.5,-0.89,10728.9,9674.0,-318.9,-3.08,10728.9,8628.5,922.8,10.13,,
XSO,S&P/ASX Small Ords,2668.2,2705.3,2705.6,2651.5,2639.9,2670.3,2636.8,-11.6,-0.44,2705.6,2639.9,-27.5,-1.03,2758.1,2597.5,-68.0,-2.51,2946.3,2592.6,-252.6,-8.73,2946.3,2229.7,300.0,12.82,6054.5,6138.8,6139.3,6016.6,5990.3,6139.3,5990.3,-62.4,-1.03,6252.5,5891.4,-148.1,-2.41,6625.3,5867.0,-512.0,-7.87,6625.3,4946.8,816.5,15.78,,
XDJ,Consumer Discretionary,1416.0,1419.9,1417.9,1388.9,1387.5,1391.6,1382.4,-1.4,-0.10,1419.9,1387.5,-31.9,-2.25,1446.1,1386.3,-68.7,-4.72,1557.8,1386.3,-113.3,-7.55,1572.1,1386.3,-135.2,-8.88,9427.0,9453.4,9440.3,9246.7,9237.5,9453.4,9237.5,-212.3,-2.25,9695.3,9229.8,-457.8,-4.72,10210.5,9229.8,-544.8,-5.57,10246.9,9106.3,-497.7,-5.11,,
XSJ,Consumer Staples,7816.5,7854.0,7844.3,7732.4,7671.7,7773.2,7643.1,-60.7,-0.79,7854.0,7671.7,-170.2,-2.17,7909.4,7671.7,-121.4,-1.56,8013.9,7490.6,-42.8,-0.56,8415.1,7214.4,246.3,3.32,55628.4,55895.2,55826.1,55029.8,54597.9,55895.2,54597.9,-1211.4,-2.17,56289.4,54597.9,-863.8,-1.56,56701.2,52783.5,800.0,1.49,58402.4,49212.8,4022.5,7.95,,
XEJ,Energy,16266.7,16475.4,16512.9,16154.3,16030.6,16148.2,15962.5,-123.7,-0.77,16512.9,16030.6,-219.0,-1.35,16512.9,15751.3,-283.0,-1.73,17736.5,15342.3,-83.8,-0.52,17736.5,13791.8,1285.1,8.71,107129.7,108504.1,108751.5,106389.4,105574.7,108751.5,105574.7,-1442.4,-1.35,108751.5,103735.2,-1863.9,-1.73,116809.6,101042.2,481.5,0.46,116809.6,88892.3,10535.1,11.08,,
XFJ,Financials,4322.7,4354.6,4340.3,4225.7,4207.4,4251.6,4202.5,-18.3,-0.43,4354.6,4207.4,-142.0,-3.27,4508.7,4207.4,-343.9,-7.56,4666.6,4207.4,-154.4,-3.54,4666.6,4077.7,-199.9,-4.54,36526.0,36795.8,36674.7,35868.5,35713.1,36795.8,35713.1,-1038.8,-2.83,38060.8,35713.1,-2347.6,-6.17,38822.8,35713.1,-350.5,-0.97,38822.8,32702.7,447.9,1.27,,
XXJ,Financial-x-A-REIT,4982.5,5028.9,5006.0,4860.6,4840.7,4895.5,4835.0,-19.9,-0.41,5028.9,4840.7,-181.6,-3.62,5256.1,4840.7,-467.6,-8.81,5430.9,4840.7,-223.1,-4.41,5430.9,4674.3,-245.7,-4.83,40425.4,40801.7,40616.4,39651.2,39488.6,40801.7,39488.6,-1259.6,-3.09,42549.4,39488.6,-3060.8,-7.19,43285.0,39488.6,-652.2,-1.62,43285.0,35932.3,392.1,1.00,,
XHJ,Health Care,8616.6,8684.8,8670.8,8529.9,8536.9,8553.4,8487.7,7.0,0.08,8684.8,8529.9,-153.0,-1.76,8836.0,8529.9,-246.0,-2.80,9186.8,8302.2,-396.3,-4.44,9186.8,7893.1,231.1,2.78,50547.6,50948.0,50865.9,50038.8,50080.3,50948.0,50038.8,-897.4,-1.76,51834.6,50038.8,-1442.9,-2.80,53892.5,48685.0,-1740.9,-3.36,53892.5,45054.7,2670.1,5.63,,
XNJ,Industrials,3632.9,3657.8,3652.9,3570.7,3581.2,3586.8,3570.8,10.5,0.29,3657.8,3570.7,-57.7,-1.58,3688.0,3565.8,-44.5,-1.23,3870.5,3551.1,-155.3,-4.16,3870.5,3140.1,167.3,4.90,27063.0,27248.6,27212.1,26599.8,26677.9,27248.6,26599.8,-429.8,-1.59,27473.6,26563.5,-331.9,-1.23,28566.6,26434.6,-882.4,-3.20,28566.6,22749.0,2132.4,8.69,,
XIJ,Info Technology,583.0,590.7,588.3,571.5,576.9,579.8,571.2,5.4,0.94,590.7,571.5,-0.4,-0.07,592.0,565.8,-18.3,-3.07,666.6,565.8,-67.8,-10.52,683.1,559.3,-86.9,-13.10,3491.8,3537.8,3523.8,3423.0,3455.3,3537.8,3423.0,-2.3,-0.07,3564.8,3389.0,-109.4,-3.07,3919.5,3387.0,-335.6,-8.85,3952.4,3236.2,-385.9,-10.05,,
XMJ,Materials,13535.4,13709.0,13760.0,13438.3,13367.5,13487.0,13322.3,-70.8,-0.53,13760.0,13367.5,-191.3,-1.41,13837.3,13194.7,-419.6,-3.04,15046.2,12973.6,-713.1,-5.06,15046.2,11142.4,1843.2,15.99,86540.6,87650.5,87976.2,85919.6,85466.9,87976.2,85466.9,-1223.2,-1.41,88409.5,84325.4,-2621.6,-2.98,96133.1,82866.5,-3744.4,-4.20,96133.1,69817.3,13256.8,18.36,,
XPJ,A-REIT,863.7,861.7,864.4,853.2,848.5,855.0,846.7,-4.7,-0.55,864.4,848.5,-12.7,-1.47,866.6,840.1,-6.4,-0.75,887.0,830.5,8.7,1.03,908.7,828.9,-28.0,-3.20,20175.3,20128.8,20191.8,19931.1,19821.7,20191.8,19821.7,-295.2,-1.47,20243.2,19624.7,-126.8,-0.64,20646.7,19222.9,467.8,2.42,20646.7,18765.4,467.1,2.41,,
XTJ,Telecommunications,1034.7,1035.3,1039.0,1025.3,1037.2,1042.4,1025.3,11.9,1.16,1039.0,1025.3,-0.0,-0.00,1042.4,998.1,49.3,4.99,1042.4,891.0,77.6,8.09,1128.3,891.0,-12.5,-1.19,10118.7,10124.9,10160.6,10026.5,10143.7,10160.6,10026.5,0.1,0.00,10194.1,9657.2,486.5,5.04,10194.1,8708.4,1169.2,13.03,10194.1,8339.6,797.5,8.53,,
XUJ,Utilities,4328.9,4353.4,4345.5,4309.3,4300.9,4312.8,4288.4,-8.4,-0.19,4353.4,4300.9,-46.5,-1.07,4373.2,4281.3,-37.9,-0.87,4452.1,3990.1,-112.5,-2.55,4614.3,3990.1,179.9,4.36,38526.9,38744.5,38674.5,38352.2,38277.3,38744.5,38277.3,-414.6,-1.07,38790.4,37975.2,-208.3,-0.54,38794.6,35021.3,-179.9,-0.47,39587.2,33842.4,3958.6,11.53,,
XMM,Metals & Mining,4915.7,4983.0,4999.6,4881.8,4851.3,4900.7,4837.7,-30.5,-0.62,4999.6,4851.3,-74.6,-1.52,5031.2,4784.7,-159.8,-3.19,5491.6,4693.1,-294.4,-5.72,5491.6,3957.7,761.7,18.63,6476.8,6565.6,6587.5,6432.3,6392.0,6587.5,6392.0,-98.3,-1.52,6628.8,6304.3,-210.2,-3.18,7235.3,6181.4,-332.1,-4.94,7235.3,5120.3,1101.1,20.81,,
XGD,Gold,7592.2,7697.7,7666.8,7502.7,7454.5,7507.6,7397.8,-48.2,-0.64,7697.7,7454.5,-110.2,-1.46,7770.1,7292.6,-336.4,-4.32,8435.7,7064.2,-644.6,-7.96,8435.7,6020.5,1396.7,23.06,8636.2,8756.3,8721.2,8534.4,8479.6,8756.3,8479.6,-125.4,-1.46,8862.3,8295.4,-382.7,-4.32,9595.8,8022.7,-713.3,-7.76,9595.8,6806.6,1630.9,23.81,,
XJR,S&P/ASX 200 Res,5726.8,5801.7,5820.4,5686.5,5649.5,5701.6,5630.7,-37.0,-0.65,5820.4,5649.5,-85.4,-1.49,5848.3,5568.6,-164.6,-2.83,6355.0,5450.1,-259.3,-4.39,6355.0,4740.1,750.5,15.32,28215.6,28584.8,28676.9,28017.1,27835.1,28676.9,27835.1,-420.5,-1.49,28814.6,27436.2,-810.8,-2.83,31311.1,26845.8,-1025.0,-3.55,31311.1,22905.9,4161.6,17.58,,
,
