Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-09-26T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Sep 21,Sep 22,Sep 23,Sep 24,Sep 25,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Sep 21,Sep 22,Sep 23,Sep 24,Sep 25,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5096.4,5130.8,5032.5,5102.3,5076.7,5145.0,5069.7,-25.6,-0.50,5130.8,5032.5,-117.7,-2.27,5274.7,5032.5,-67.2,-1.31,5954.8,5014.2,-311.9,-5.79,5954.8,5014.2,-240.0,-4.51,45136.4,45443.6,44581.3,45199.9,44973.0,45443.6,44581.3,-1028.8,-2.24,46420.8,44497.5,-228.6,-0.51,51568.0,43952.0,-1073.9,-2.33,51568.0,43681.7,-81.6,-0.18,,
XAF,All Australian 50,5117.6,5157.7,5042.1,5116.2,5080.7,5160.4,5076.5,-35.5,-0.69,5157.7,5042.1,-142.9,-2.74,5321.9,5042.1,-111.8,-2.15,6081.0,5042.1,-417.5,-7.59,6081.0,5042.1,-321.9,-5.96,46791.2,47157.7,46104.4,46781.9,46457.1,47157.7,46104.4,-1303.8,-2.73,48379.1,46104.4,-676.5,-1.44,54222.3,45714.6,-1909.3,-3.95,54222.3,45714.6,-634.0,-1.35,,
XAT,All Australian 200,5018.3,5055.0,4950.6,5023.2,4993.1,5066.9,4987.1,-30.1,-0.60,5055.0,4950.6,-128.9,-2.52,5215.1,4950.6,-95.9,-1.88,5926.9,4950.6,-370.1,-6.90,5926.9,4950.6,-279.9,-5.31,45460.9,45796.6,44853.8,45511.8,45239.4,45796.6,44853.8,-1160.2,-2.50,46950.8,44853.8,-510.3,-1.12,52442.3,44404.7,-1581.5,-3.38,52442.3,44281.4,-396.6,-0.87,,
XTL,S&P/ASX 20,3088.3,3108.3,3030.7,3071.4,3045.1,3098.6,3043.4,-26.3,-0.86,3108.3,3030.7,-111.2,-3.52,3224.8,3030.7,-94.2,-3.00,3760.5,3030.7,-353.6,-10.40,3760.5,3030.7,-287.9,-8.64,55658.2,56017.9,54620.4,55354.1,54880.3,56017.9,54620.4,-2004.8,-3.52,57767.3,54620.4,-1294.7,-2.30,65985.5,54356.5,-3875.5,-6.60,65985.5,54356.5,-2232.9,-3.91,,
XFL,S&P/ASX 50,5171.9,5212.3,5095.6,5169.6,5133.8,5214.3,5129.5,-35.8,-0.69,5212.3,5095.6,-145.5,-2.76,5378.3,5095.6,-113.4,-2.16,6152.9,5095.6,-429.6,-7.72,6152.9,5095.6,-332.2,-6.08,47204.7,47573.6,46511.8,47187.1,46860.2,47573.6,46511.8,-1325.2,-2.75,48805.6,46511.8,-685.6,-1.44,54764.7,46111.2,-1990.3,-4.07,54764.7,46111.2,-697.1,-1.47,,
XTO,S&P/ASX 100,4226.4,4257.5,4167.4,4228.2,4201.8,4265.5,4197.2,-26.4,-0.62,4257.5,4167.4,-111.8,-2.59,4391.6,4167.4,-84.8,-1.98,4996.2,4167.4,-311.2,-6.89,4996.2,4167.4,-211.8,-4.80,11656.8,11743.1,11495.3,11663.0,11590.3,11743.1,11495.3,-307.0,-2.58,12039.9,11495.3,-144.9,-1.23,13449.8,11386.2,-398.6,-3.32,13449.8,11295.6,-30.8,-0.26,,
XJO,S&P/ASX 200,5066.2,5103.6,4998.1,5071.7,5042.1,5116.3,5036.1,-29.6,-0.58,5103.6,4998.1,-128.4,-2.48,5263.6,4998.1,-95.1,-1.85,5982.7,4998.1,-368.9,-6.82,5982.7,4998.1,-271.3,-5.11,45794.9,46134.7,45187.2,45852.1,45585.5,46134.7,45187.2,-1151.1,-2.46,47284.4,45187.2,-497.3,-1.08,52822.2,44738.2,-1553.8,-3.30,52822.2,44533.8,-306.0,-0.67,,
XVI,S&P/ASX 200 VIX,26.488,24.303,26.599,25.703,24.998,25.561,24.218,-0.705,-2.74,26.599,24.303,1.674,7.18,30.244,22.983,-4.059,-13.97,30.244,0.171,10.417,71.44,30.244,0.171,9.453,60.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5016.8,5052.9,4950.0,5022.2,4994.0,5065.6,4987.7,-28.2,-0.56,5052.9,4950.0,-124.0,-2.42,5207.9,4950.0,-88.6,-1.74,5912.7,4950.0,-354.9,-6.64,5912.7,4950.0,-266.6,-5.07,45168.6,45496.8,44575.9,45226.2,44973.0,45496.8,44575.9,-1106.5,-2.40,46597.9,44575.9,-439.2,-0.97,52008.8,44107.5,-1452.6,-3.13,52008.8,43915.8,-294.8,-0.65,,
XMD,S&P/ASX MidCap 50,4706.9,4724.7,4668.4,4739.1,4734.0,4787.6,4718.7,-5.2,-0.11,4739.1,4668.4,-64.9,-1.35,4861.1,4668.4,-28.4,-0.60,5363.8,4637.4,-13.5,-0.28,5363.8,4637.4,266.7,5.97,13175.3,13231.8,13074.2,13272.3,13257.9,13272.3,13074.2,-174.8,-1.30,13564.0,13062.1,44.1,0.33,14759.9,12623.2,338.4,2.62,14759.9,11578.7,1179.0,9.76,,
