Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-02-02T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jan 25,Jan 29,Jan 30,Jan 31,Feb 1,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jan 25,Jan 29,Jan 30,Jan 31,Feb 1,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XDJ,Consumer Discretionary,1443.7,1464.6,1455.0,1458.9,1473.1,1475.6,1458.9,14.2,0.97,1473.1,1443.7,40.1,2.80,1473.1,1364.5,129.3,9.62,1473.1,1364.5,129.3,9.62,1473.1,1195.0,245.1,19.96,10360.7,10510.8,10442.0,10469.7,10572.0,10572.0,10360.7,287.9,2.80,10572.0,9792.3,927.7,9.62,10572.0,9792.3,927.7,9.62,10572.0,8298.4,2159.8,25.67,,
XSJ,Consumer Staples,9296.4,9432.4,9339.7,9236.9,9283.7,9301.1,9176.3,46.8,0.51,9432.4,9236.9,36.7,0.40,9432.4,8912.8,409.3,4.61,9432.4,8912.8,409.3,4.61,9432.4,7241.1,2039.6,28.15,71357.2,72401.6,71689.5,70900.4,71260.0,72401.6,70900.4,282.2,0.40,72401.6,68413.1,3141.6,4.61,72401.6,68413.1,3141.6,4.61,72401.6,52987.4,18250.1,34.43,,
XEJ,Energy,12944.7,13053.7,13187.0,13078.3,13069.8,13138.2,13024.5,-8.5,-0.06,13187.0,12944.7,174.9,1.36,13187.0,12557.5,663.8,5.35,13187.0,12557.5,663.8,5.35,14705.5,11554.9,-677.2,-4.93,88510.4,89255.7,90167.1,89424.0,89365.6,90167.1,88510.4,1196.2,1.36,90167.1,85862.9,4539.0,5.35,90167.1,85862.9,4539.0,5.35,98057.5,77918.0,-2300.3,-2.51,,
XFJ,Financials,5001.0,5066.4,5074.8,5063.8,5121.2,5122.9,5063.8,57.4,1.13,5121.2,5001.0,158.9,3.20,5121.2,4767.7,367.5,7.73,5121.2,4767.7,367.5,7.73,5121.2,3913.1,1111.6,27.72,46991.5,47606.7,47685.7,47582.2,48121.0,48121.0,46991.5,1493.0,3.20,48121.0,44797.5,3462.4,7.75,48121.0,44797.5,3462.4,7.75,48121.0,34929.4,12753.8,36.06,,
XXJ,Financial-x-A-REIT,5754.1,5842.4,5851.5,5831.7,5900.1,5902.6,5831.7,68.4,1.17,5900.1,5754.1,185.2,3.24,5900.1,5485.5,448.2,8.22,5900.1,5485.5,448.2,8.22,5900.1,4433.9,1298.4,28.22,51870.7,52666.8,52748.9,52570.1,53186.7,53186.7,51870.7,1669.1,3.24,53186.7,49449.4,4040.2,8.22,53186.7,49449.4,4040.2,8.22,53186.7,38298.5,14262.3,36.64,,
XHJ,Health Care,11834.0,12128.8,12182.4,12047.3,12076.7,12244.9,12047.3,29.4,0.24,12182.4,11834.0,384.5,3.29,12182.4,11476.5,444.1,3.82,12182.4,11476.5,444.1,3.82,12182.4,7756.1,4286.6,55.03,72531.6,74338.2,74666.8,73838.7,74019.0,74666.8,72531.6,2356.8,3.29,74666.8,70340.0,2722.0,3.82,74666.8,70340.0,2722.0,3.82,74666.8,46279.9,27536.3,59.24,,
XNJ,Industrials,3716.5,3750.5,3762.6,3745.3,3780.2,3780.2,3744.4,34.9,0.93,3780.2,3716.5,114.9,3.13,3780.2,3605.6,228.5,6.43,3780.2,3605.6,228.5,6.43,3815.2,3159.7,209.7,5.87,29548.5,29818.7,29915.3,29777.9,30055.0,30055.0,29548.5,913.0,3.13,30055.0,28667.2,1816.8,6.43,30055.0,28667.2,1816.8,6.43,30055.0,24610.7,2776.3,10.18,,
XIJ,Info Technology,668.6,673.8,673.0,687.1,677.0,687.1,674.2,-10.1,-1.47,687.1,668.6,6.4,0.95,687.1,611.4,80.4,13.47,687.1,611.4,80.4,13.47,687.1,483.9,179.9,36.20,4247.7,4280.9,4276.1,4365.7,4301.5,4365.7,4247.7,41.0,0.96,4365.7,3884.8,510.8,13.48,4365.7,3884.8,510.8,13.48,4365.7,3019.4,1263.7,41.60,,
XMJ,Materials,10676.0,10693.3,10790.8,10756.6,10852.7,10864.2,10756.6,96.1,0.89,10852.7,10676.0,138.8,1.30,11006.3,10560.4,251.8,2.38,11006.3,10560.4,251.8,2.38,11833.2,8986.0,-776.9,-6.68,71114.9,71230.0,71879.8,71652.1,72292.0,72292.0,71114.9,924.4,1.30,73315.0,70344.8,1677.4,2.38,73315.0,70344.8,1677.4,2.38,76582.8,58941.4,-2973.3,-3.95,,
XPJ,A-REIT,1007.6,1009.0,1011.2,1015.5,1024.9,1030.9,1015.5,9.4,0.93,1024.9,1007.6,29.9,3.01,1024.9,960.8,51.1,5.24,1024.9,960.8,51.1,5.24,1024.9,798.0,205.8,25.12,26271.8,26309.0,26366.8,26478.0,26722.0,26722.0,26271.8,779.5,3.00,26722.0,25044.0,1364.2,5.38,26722.0,25044.0,1364.2,5.38,26722.0,19807.8,6626.5,32.98,,
XTJ,Telecommunications,1568.2,1597.4,1570.9,1574.6,1591.1,1594.2,1574.6,16.5,1.05,1597.4,1568.2,30.7,1.97,1597.4,1515.3,95.1,6.35,1597.4,1515.3,95.1,6.35,1597.4,1101.4,449.1,39.32,17329.7,17652.2,17359.6,17400.2,17582.6,17652.2,17329.7,338.9,1.97,17652.2,16745.5,1050.2,6.35,17652.2,16745.5,1050.2,6.35,17652.2,11728.8,5897.0,50.46,,
XUJ,Utilities,5400.1,5486.5,5448.8,5389.6,5427.8,5446.6,5389.6,38.2,0.71,5486.5,5389.6,30.8,0.57,5486.5,5233.6,169.9,3.23,5486.5,5233.6,169.9,3.23,5486.5,4527.2,831.5,18.09,53095.6,53945.6,53575.2,52992.7,53368.3,53945.6,52992.7,303.1,0.57,53945.6,51459.2,1670.6,3.23,53945.6,51459.2,1670.6,3.23,53945.6,42294.1,10703.8,25.09,,
XMM,Metals & Mining,3656.9,3652.8,3688.1,3674.6,3716.3,3719.8,3674.6,41.7,1.13,3716.3,3652.8,41.6,1.13,3796.3,3607.3,72.9,2.00,3796.3,3607.3,72.9,2.00,4252.2,3071.9,-462.4,-11.07,4996.8,4991.2,5039.4,5021.0,5077.9,5077.9,4991.2,56.7,1.13,5187.3,4928.9,99.6,2.00,5187.3,4928.9,99.6,2.00,5661.9,4138.3,-486.1,-8.74,,
XGD,Gold,5000.1,4872.3,4870.5,4903.1,4928.4,4956.3,4897.1,25.3,0.52,5000.1,4870.5,-152.9,-3.01,5191.8,4770.1,29.7,0.61,5191.8,4770.1,29.7,0.61,7178.9,4550.0,-2068.6,-29.56,5766.0,5618.8,5616.7,5654.2,5683.4,5766.0,5616.7,-176.3,-3.01,5987.1,5500.9,34.3,0.61,5987.1,5500.9,34.3,0.61,8202.2,5214.8,-2311.0,-28.91,,
XJR,S&P/ASX 200 Res,4366.8,4374.2,4417.5,4396.3,4433.3,4441.9,4396.3,37.0,0.84,4433.3,4366.8,54.6,1.25,4470.6,4307.2,122.7,2.85,4470.6,4307.2,122.7,2.85,4925.8,3728.7,-423.0,-8.71,22330.6,22368.3,22589.6,22481.4,22670.2,22670.2,22330.6,278.8,1.25,22861.3,22025.4,627.1,2.84,22861.3,22025.4,627.1,2.84,24542.0,18796.9,-1525.5,-6.30,,
,
