Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-07-26T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jul 21,Jul 22,Jul 23,Jul 24,Jul 25,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jul 21,Jul 22,Jul 23,Jul 24,Jul 25,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5528.7,5534.0,5567.0,5576.8,5574.2,5577.6,5558.7,-2.6,-0.05,5576.8,5528.7,55.0,1.00,5576.8,5366.5,187.4,3.48,5576.8,5088.7,221.1,4.13,5576.8,5088.7,550.4,10.95,46253.8,46298.0,46574.1,46655.9,46634.5,46655.9,46253.8,460.8,1.00,46655.9,44891.5,1656.3,3.68,46655.9,41681.2,2789.5,6.36,46655.9,40047.0,6369.9,15.82,,
XAF,All Australian 50,5644.9,5646.4,5678.5,5691.5,5689.2,5695.0,5674.5,-2.3,-0.04,5691.5,5644.9,48.2,0.86,5691.5,5472.7,187.4,3.41,5691.5,5175.5,231.4,4.24,5691.5,5175.5,535.6,10.39,48546.4,48559.0,48835.4,48947.0,48927.1,48947.0,48546.4,414.8,0.86,48947.0,47065.1,1689.8,3.58,48947.0,43505.3,3048.7,6.65,48947.0,42077.9,6602.2,15.60,,
XAT,All Australian 200,5498.3,5501.8,5534.8,5545.6,5541.2,5546.5,5526.2,-4.4,-0.08,5545.6,5498.3,50.8,0.92,5545.6,5334.2,180.7,3.37,5545.6,5028.8,236.5,4.46,5545.6,5028.8,537.7,10.75,46965.3,46994.6,47276.7,47368.8,47331.4,47368.8,46965.3,433.6,0.92,47368.8,45560.8,1631.1,3.57,47368.8,42022.3,3004.0,6.78,47368.8,40592.0,6454.8,15.79,,
XTL,S&P/ASX 20,3486.3,3485.9,3507.0,3518.8,3519.4,3522.1,3510.7,0.6,0.02,3519.4,3485.9,34.2,0.98,3519.4,3376.2,122.2,3.60,3519.4,3184.2,141.0,4.17,3519.4,3184.2,338.8,10.65,58888.6,58880.6,59237.7,59436.7,59447.0,59447.0,58880.6,577.8,0.98,59447.0,57028.5,2064.4,3.60,59447.0,52576.0,3664.3,6.57,59447.0,51045.9,8132.2,15.85,,
XFL,S&P/ASX 50,5708.8,5710.7,5743.0,5756.4,5754.2,5760.0,5739.3,-2.2,-0.04,5756.4,5708.8,49.1,0.86,5756.4,5535.7,188.8,3.39,5756.4,5238.2,227.3,4.11,5756.4,5238.2,541.1,10.38,49008.6,49025.0,49301.9,49417.4,49397.8,49417.4,49008.6,420.9,0.86,49417.4,47522.8,1699.1,3.56,49417.4,43959.9,3014.9,6.50,49417.4,42526.0,6647.3,15.55,,
XTO,S&P/ASX 100,4606.1,4608.5,4635.5,4645.8,4643.4,4647.3,4631.5,-2.4,-0.05,4645.8,4606.1,43.1,0.94,4645.8,4470.2,150.8,3.36,4645.8,4210.6,198.2,4.46,4645.8,4210.6,462.0,11.05,11968.7,11974.8,12044.9,12071.8,12065.6,12071.8,11968.7,112.0,0.94,12071.8,11615.3,413.1,3.54,12071.8,10700.4,768.8,6.81,12071.8,10326.6,1677.6,16.15,,
XJO,S&P/ASX 200,5539.9,5543.3,5576.7,5587.8,5583.5,5588.7,5568.6,-4.3,-0.08,5587.8,5539.9,51.8,0.94,5587.8,5375.9,181.5,3.36,5587.8,5070.3,231.3,4.32,5587.8,5070.3,541.5,10.74,47223.2,47251.8,47537.0,47631.2,47594.6,47631.2,47223.2,441.9,0.94,47631.2,45822.1,1634.9,3.56,47631.2,42284.9,2959.5,6.63,47631.2,40867.9,6476.4,15.75,,
XVI,S&P/ASX 200 VIX,9.925,9.524,9.954,9.815,10.076,10.220,9.876,0.261,2.66,10.076,9.524,-0.160,-1.56,12.224,9.309,-0.941,-8.54,18.372,0.147,-1.486,-12.85,18.372,0.147,-3.343,-24.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5484.1,5487.4,5521.0,5531.0,5527.3,5531.8,5512.0,-3.7,-0.07,5531.0,5484.1,51.2,0.94,5531.0,5321.7,181.4,3.39,5531.0,5027.6,222.5,4.19,5531.0,5027.6,527.4,10.55,46579.7,46607.3,46892.4,46977.3,46946.3,46977.3,46579.7,435.3,0.94,46977.3,45196.7,1629.1,3.59,46977.3,41785.8,2857.5,6.48,46977.3,40386.8,6303.7,15.51,,
XMD,S&P/ASX MidCap 50,4631.1,4640.7,4676.1,4682.0,4674.7,4682.0,4660.7,-7.3,-0.16,4682.0,4631.1,74.5,1.62,4682.0,4515.8,138.3,3.05,4682.0,4099.4,325.2,7.48,4682.0,4099.4,680.6,17.04,12377.0,12402.7,12497.4,12512.9,12493.5,12512.9,12377.0,199.2,1.62,12512.9,12066.2,409.9,3.39,12512.9,10758.1,1079.1,9.45,12512.9,10166.9,2205.6,21.44,,
