Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-06-20T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jun 15,Jun 16,Jun 17,Jun 18,Jun 19,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jun 12,Jun 15,Jun 16,Jun 17,Jun 18,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5541.5,5535.2,5590.3,5522.7,5591.5,5606.1,5522.7,68.8,1.25,5591.5,5522.7,39.4,0.71,5774.9,5479.7,-27.9,-0.50,5954.8,5278.8,202.9,3.77,5954.8,5278.8,189.9,3.52,48362.5,48270.1,48215.2,48694.9,48106.0,48694.9,48106.0,-256.6,-0.53,50289.7,47731.4,-821.5,-1.68,51568.0,45110.3,2059.0,4.47,51568.0,43681.7,3030.3,6.72,,
XAF,All Australian 50,5587.7,5594.9,5662.2,5592.9,5664.7,5679.8,5592.9,71.8,1.28,5664.7,5587.7,73.6,1.32,5825.5,5516.5,4.3,0.08,6081.0,5389.2,166.5,3.03,6081.0,5389.2,143.8,2.61,50229.3,50198.6,50263.6,50868.4,50246.1,50868.4,50198.6,16.8,0.03,52328.5,49559.0,-593.3,-1.17,54222.3,47407.4,1879.7,3.89,54222.3,45852.9,2878.9,6.08,,
XAT,All Australian 200,5488.1,5486.1,5546.0,5476.4,5548.2,5563.3,5476.4,71.8,1.31,5548.2,5476.4,54.0,0.98,5724.8,5420.3,-18.7,-0.34,5926.9,5251.9,185.1,3.45,5926.9,5251.9,171.0,3.18,48927.0,48873.1,48854.8,49388.2,48768.6,49388.2,48768.6,-158.4,-0.32,50968.0,48269.0,-785.4,-1.58,52442.3,45851.2,1947.7,4.16,52442.3,44281.4,2954.2,6.45,,
XTL,S&P/ASX 20,3385.8,3397.0,3441.1,3396.5,3439.2,3447.8,3396.5,42.7,1.26,3441.1,3385.8,52.8,1.56,3540.5,3343.9,-12.5,-0.36,3760.5,3321.7,40.4,1.19,3760.5,3321.7,28.6,0.84,59960.3,59950.3,60148.8,60928.9,60139.8,60928.9,59950.3,179.5,0.30,62689.3,59207.9,-976.4,-1.60,65985.5,57424.2,1383.9,2.36,65985.5,55673.0,2561.7,4.45,,
XFL,S&P/ASX 50,5655.1,5662.1,5730.6,5660.2,5732.9,5748.3,5660.2,72.7,1.28,5732.9,5655.1,74.7,1.32,5894.1,5582.2,4.9,0.09,6152.9,5453.2,169.5,3.05,6152.9,5453.2,148.3,2.66,50742.7,50715.3,50777.9,51392.0,50760.5,51392.0,50715.3,17.8,0.04,52851.6,50061.4,-595.4,-1.16,54764.7,47882.7,1910.0,3.91,54764.7,46300.1,2931.5,6.13,,
XTO,S&P/ASX 100,4612.6,4612.4,4664.2,4605.6,4664.8,4677.9,4605.6,59.2,1.29,4664.8,4605.6,48.2,1.04,4809.2,4555.6,-5.9,-0.13,4996.2,4422.0,151.8,3.36,4996.2,4422.0,158.2,3.51,12516.1,12505.4,12504.9,12645.3,12486.4,12645.3,12486.4,-29.7,-0.24,13035.1,12350.8,-171.2,-1.35,13449.8,11747.2,497.5,4.15,13449.8,11295.6,805.0,6.89,,
XJO,S&P/ASX 200,5538.8,5535.8,5595.4,5524.9,5597.0,5612.2,5524.9,72.1,1.31,5597.0,5524.9,51.7,0.93,5777.2,5471.3,-18.5,-0.33,5982.7,5299.2,186.0,3.44,5982.7,5299.2,177.5,3.28,49276.7,49219.1,49192.6,49722.8,49095.9,49722.8,49095.9,-180.7,-0.37,51324.9,48619.3,-784.7,-1.57,52822.2,46166.2,1956.7,4.15,52822.2,44533.8,3016.0,6.55,,
XVI,S&P/ASX 200 VIX,17.447,17.245,16.859,17.192,16.518,16.551,16.059,-0.674,-3.92,17.447,16.518,-0.908,-5.21,18.645,15.106,-1.548,-8.57,19.692,0.171,1.937,13.28,19.692,0.171,6.106,58.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5480.5,5477.4,5535.4,5466.6,5537.0,5551.6,5466.6,70.4,1.29,5537.0,5466.6,48.6,0.88,5716.0,5415.6,-22.7,-0.41,5912.7,5240.7,188.1,3.52,5912.7,5240.7,174.6,3.26,48582.5,48511.8,48485.0,48998.8,48389.6,48998.8,48389.6,-192.9,-0.40,50585.1,47937.0,-803.9,-1.63,52008.8,45487.5,1964.0,4.23,52008.8,43915.8,2959.5,6.51,,
XMD,S&P/ASX MidCap 50,5064.1,5013.3,5034.9,4960.4,5024.0,5046.2,4960.4,63.6,1.28,5064.1,4960.4,-57.2,-1.13,5294.2,4960.4,-92.5,-1.81,5363.8,4638.6,276.5,5.82,5363.8,4638.6,486.3,10.72,14027.8,13980.6,13840.2,13899.9,13694.2,13980.6,13694.2,-333.7,-2.38,14599.3,13694.2,-407.1,-2.89,14759.9,12623.2,774.7,6.00,14759.9,11578.7,1607.2,13.30,,
