Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-11-15T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 10,Nov 11,Nov 12,Nov 13,Nov 14,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 10,Nov 11,Nov 12,Nov 13,Nov 14,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5501.4,5494.0,5443.0,5423.5,5433.8,5436.7,5401.8,10.3,0.19,5501.4,5423.5,-88.3,-1.60,5522.1,5238.0,229.8,4.42,5656.9,5088.7,80.7,1.51,5656.9,5088.7,37.6,0.70,46880.4,46817.0,46395.4,46232.4,46320.7,46880.4,46232.4,-648.6,-1.38,46969.3,44113.0,2207.7,5.00,47783.6,41681.2,2475.7,5.65,47783.6,41443.6,2224.7,5.05,,
XAF,All Australian 50,5628.0,5620.8,5563.1,5539.1,5550.2,5552.9,5511.6,11.1,0.20,5628.0,5539.1,-108.5,-1.92,5658.7,5359.0,234.4,4.41,5751.6,5175.5,92.4,1.69,5751.6,5175.5,33.1,0.60,49387.9,49325.3,48836.9,48626.4,48723.3,49387.9,48626.4,-810.9,-1.64,49534.3,46334.4,2388.9,5.16,49995.8,43505.3,2844.9,6.20,49995.8,43428.7,2430.8,5.25,,
XAT,All Australian 200,5479.9,5472.9,5418.9,5398.1,5409.8,5412.8,5374.7,11.7,0.22,5479.9,5398.1,-94.9,-1.72,5504.7,5205.8,242.1,4.68,5617.0,5028.8,105.1,1.98,5617.0,5028.8,51.9,0.97,47712.3,47651.4,47196.3,47016.1,47118.4,47712.3,47016.1,-709.5,-1.48,47828.0,44732.2,2386.2,5.33,48471.7,42022.3,2791.1,6.30,48471.7,41869.0,2449.9,5.48,,
XTL,S&P/ASX 20,3481.9,3478.1,3438.1,3422.7,3432.8,3434.6,3404.7,10.1,0.30,3481.9,3422.7,-73.6,-2.10,3506.4,3312.6,148.6,4.53,3551.7,3184.2,54.4,1.61,3551.7,3184.2,32.4,0.95,60164.8,60100.1,59435.6,59170.2,59343.8,60164.8,59170.2,-1059.3,-1.75,60403.1,56276.2,3067.6,5.45,60670.4,52576.0,3561.2,6.38,60670.4,52576.0,3197.9,5.70,,
XFL,S&P/ASX 50,5693.5,5686.8,5628.5,5604.2,5615.8,5618.6,5576.5,11.6,0.21,5693.5,5604.2,-109.3,-1.91,5725.1,5419.9,239.0,4.45,5818.9,5238.2,88.9,1.61,5818.9,5238.2,32.4,0.58,49872.1,49813.2,49320.8,49107.5,49208.8,49872.1,49107.5,-815.8,-1.63,50024.6,46780.9,2427.9,5.19,50484.7,43959.9,2825.8,6.09,50484.7,43886.4,2437.1,5.21,,
XTO,S&P/ASX 100,4600.4,4595.9,4549.9,4532.6,4542.7,4545.2,4512.1,10.1,0.22,4600.4,4532.6,-81.2,-1.76,4623.9,4367.0,209.6,4.84,4699.7,4210.6,97.5,2.19,4699.7,4210.6,59.3,1.32,12188.8,12176.8,12058.8,12013.5,12040.2,12188.8,12013.5,-183.7,-1.50,12223.9,11410.0,630.2,5.52,12340.3,10700.4,743.4,6.58,12340.3,10670.3,671.1,5.90,,
XJO,S&P/ASX 200,5524.0,5517.1,5463.1,5442.7,5454.3,5457.4,5419.3,11.6,0.21,5524.0,5442.7,-94.8,-1.71,5549.1,5245.6,246.9,4.74,5658.5,5070.3,102.1,1.91,5658.5,5070.3,52.6,0.97,47994.2,47934.7,47479.7,47304.3,47405.5,47994.2,47304.3,-707.4,-1.47,48112.9,44982.3,2423.2,5.39,48729.0,42284.9,2770.4,6.21,48729.0,42141.4,2460.5,5.47,,
XVI,S&P/ASX 200 VIX,11.826,11.801,13.197,13.434,12.800,14.151,12.738,-0.634,-4.72,13.434,11.801,1.229,10.62,18.542,11.571,-5.261,-29.13,19.164,0.147,1.238,10.71,19.164,0.147,-0.599,-4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5460.0,5452.7,5400.2,5380.1,5391.4,5394.4,5357.3,11.3,0.21,5460.0,5380.1,-91.8,-1.67,5483.2,5190.3,238.1,4.62,5601.5,5027.6,86.6,1.63,5601.5,5027.6,38.6,0.72,47260.8,47198.2,46757.9,46585.4,46683.0,47260.8,46585.4,-682.0,-1.44,47365.0,44353.4,2329.7,5.25,48058.9,41785.8,2594.3,5.88,48058.9,41624.4,2295.9,5.17,,
XMD,S&P/ASX MidCap 50,4683.7,4687.2,4649.5,4652.7,4669.3,4674.7,4646.0,16.6,0.36,4687.2,4649.5,-20.9,-0.44,4690.2,4321.8,356.0,8.25,4774.6,4099.4,319.8,7.35,4774.6,4099.4,342.9,7.93,12687.6,12697.0,12595.0,12607.6,12652.7,12697.0,12595.0,-52.4,-0.41,12705.1,11669.5,983.1,8.42,12861.6,10758.1,1238.2,10.85,12861.6,10621.3,1359.0,12.03,,
