Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-04-14T23:15:14+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Apr 5,Apr 10,Apr 11,Apr 12,Apr 13,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Apr 5,Apr 10,Apr 11,Apr 12,Apr 13,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4402.3,4373.7,4327.3,4361.7,4404.2,4410.7,4361.7,42.5,0.97,4404.2,4327.3,-14.7,-0.33,4431.5,4327.3,67.7,1.56,4431.5,4155.2,293.2,7.13,4995.7,3927.6,-535.1,-10.83,33478.3,33261.1,32910.4,33171.9,33496.0,33496.0,32910.4,-107.2,-0.32,33693.6,32910.4,577.3,1.75,33693.6,31164.7,2662.6,8.64,36326.2,29204.1,-2419.1,-6.74,,
XAF,All Australian 50,4286.6,4260.9,4216.4,4247.8,4287.9,4295.5,4247.8,40.1,0.94,4287.9,4216.4,-9.3,-0.22,4301.1,4204.8,90.8,2.16,4301.1,4092.7,238.8,5.90,4887.3,3853.0,-534.3,-11.08,33265.3,33065.8,32720.9,32964.6,33275.5,33275.5,32720.9,-72.3,-0.22,33377.9,32526.7,748.8,2.30,33377.9,31296.5,2311.7,7.47,36105.5,29181.9,-2349.4,-6.59,,
XAT,All Australian 200,4311.3,4284.0,4237.9,4272.6,4314.9,4322.2,4272.6,42.3,0.99,4314.9,4237.9,-9.7,-0.22,4334.3,4237.9,75.8,1.79,4334.3,4095.7,264.2,6.52,4917.4,3855.4,-540.2,-11.13,33337.2,33126.9,32770.5,33038.5,33366.0,33366.0,32770.5,-73.4,-0.22,33511.8,32729.0,637.1,1.95,33511.8,31218.0,2490.9,8.07,36261.3,29116.8,-2435.8,-6.80,,
XTL,S&P/ASX 20,2574.0,2560.1,2532.5,2551.6,2574.6,2581.0,2551.6,23.0,0.90,2574.6,2532.5,-6.7,-0.26,2582.9,2517.2,57.0,2.26,2585.2,2459.2,124.9,5.10,2971.1,2334.2,-356.2,-12.16,39196.2,38983.6,38564.3,38854.2,39204.9,39204.9,38564.3,-101.6,-0.26,39331.8,38279.7,925.2,2.42,39331.8,37130.7,2459.9,6.69,42997.5,34671.5,-3210.3,-7.57,,
XFL,S&P/ASX 50,4315.4,4289.3,4245.0,4276.1,4316.5,4324.7,4276.1,40.4,0.94,4316.5,4245.0,-10.7,-0.25,4331.4,4234.1,90.7,2.15,4331.4,4119.7,240.0,5.89,4902.4,3876.7,-520.9,-10.77,33447.8,33245.5,32902.5,33143.6,33456.8,33456.8,32902.5,-83.0,-0.25,33572.0,32708.6,748.2,2.29,33572.0,31465.6,2321.5,7.46,36187.4,29332.3,-2250.7,-6.30,,
XTO,S&P/ASX 100,3518.7,3496.1,3459.9,3487.8,3521.7,3528.0,3487.8,33.9,0.97,3521.7,3459.9,-7.8,-0.22,3535.6,3458.7,67.3,1.95,3535.6,3352.0,205.0,6.18,4005.9,3155.5,-433.9,-10.97,8269.1,8216.0,8130.8,8196.5,8276.2,8276.2,8130.8,-18.1,-0.22,8308.1,8106.2,170.0,2.10,8308.1,7763.4,594.6,7.74,8970.1,7240.1,-581.3,-6.56,,
XJO,S&P/ASX 200,4319.8,4292.3,4246.1,4280.6,4323.3,4330.5,4280.6,42.7,1.00,4323.3,4246.1,-10.6,-0.24,4343.5,4246.1,75.7,1.78,4343.5,4101.2,266.7,6.58,4913.8,3863.9,-528.8,-10.90,33356.1,33143.6,32787.6,33054.1,33383.6,33383.6,32787.6,-79.8,-0.24,33535.6,32746.8,636.8,1.94,33535.6,31218.6,2504.5,8.11,36195.0,29145.7,-2357.2,-6.60,,
XKO,S&P/ASX 300,4320.8,4293.0,4246.7,4281.3,4324.3,4331.4,4281.3,43.0,1.00,4324.3,4246.7,-11.7,-0.27,4347.1,4246.7,73.2,1.72,4347.1,4097.1,272.0,6.71,4924.9,3860.9,-540.5,-11.11,33272.0,33058.4,32701.9,32968.3,33299.1,33299.1,32701.9,-89.1,-0.27,33470.3,32683.1,616.0,1.88,33470.3,31106.7,2532.5,8.23,36197.0,29050.7,-2456.3,-6.87,,
XMD,S&P/ASX MidCap 50,3869.0,3832.2,3791.0,3845.2,3891.1,3895.4,3845.2,45.9,1.19,3891.1,3791.0,-0.4,-0.01,3923.3,3791.0,12.8,0.33,3928.5,3609.5,312.2,8.72,4479.4,3408.2,-557.1,-12.52,9492.1,9401.9,9300.8,9433.7,9546.4,9546.4,9300.8,1.7,0.02,9615.5,9300.8,52.7,0.55,9615.5,8736.2,884.3,10.21,10511.8,8186.5,-892.2,-8.55,,
XSO,S&P/ASX Small Ords,2479.4,2463.1,2426.5,2447.8,2479.7,2483.0,2447.8,31.9,1.30,2479.7,2426.5,-18.8,-0.75,2525.0,2426.5,-10.4,-0.42,2526.6,2240.7,270.3,12.24,2852.8,2137.3,-347.7,-12.30,5789.0,5752.0,5666.9,5716.7,5791.2,5791.2,5666.9,-42.6,-0.73,5892.6,5666.9,-6.5,-0.11,5892.6,5181.7,682.3,13.36,6464.5,4915.5,-615.8,-9.61,,
