Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-01-24T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jan 19,Jan 20,Jan 21,Jan 22,Jan 23,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jan 19,Jan 20,Jan 21,Jan 22,Jan 23,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5289.0,5286.8,5367.4,5390.5,5468.2,5468.2,5390.5,77.7,1.44,5468.2,5286.8,189.4,3.59,5468.2,5278.8,111.8,2.09,5468.2,5278.8,79.6,1.48,5468.2,5278.8,213.9,4.07,45197.6,45179.0,45867.8,46064.9,46729.0,46729.0,45179.0,1618.8,3.59,46729.0,45110.3,1035.3,2.27,46729.0,45110.3,682.1,1.48,47783.6,41681.2,3691.2,8.58,,
XAF,All Australian 50,5397.3,5396.8,5484.6,5516.4,5597.1,5597.1,5516.4,80.7,1.46,5597.1,5396.8,207.9,3.86,5597.1,5389.2,128.8,2.36,5597.1,5389.2,98.9,1.80,5597.1,5389.2,248.4,4.64,47478.4,47474.8,48247.1,48526.1,49236.1,49236.1,47474.8,1828.7,3.86,49236.1,47407.4,1207.2,2.51,49236.1,47407.4,869.7,1.80,49995.8,43505.3,4274.0,9.51,,
XAT,All Australian 200,5261.3,5259.8,5345.2,5371.1,5451.0,5451.0,5371.1,79.9,1.49,5451.0,5259.8,199.1,3.79,5451.0,5251.9,118.5,2.22,5451.0,5251.9,87.9,1.64,5451.0,5251.9,253.5,4.88,45932.5,45920.0,46664.9,46891.3,47588.6,47588.6,45920.0,1737.4,3.79,47588.6,45851.2,1112.6,2.39,47588.6,45851.2,767.8,1.64,48471.7,42022.3,4156.4,9.57,,
XTL,S&P/ASX 20,3325.9,3327.3,3378.4,3404.8,3451.7,3451.7,3404.8,46.9,1.38,3451.7,3325.9,130.0,3.91,3451.7,3321.7,79.9,2.37,3451.7,3321.7,52.9,1.56,3451.7,3321.7,157.1,4.77,57495.9,57519.8,58404.0,58860.3,59670.9,59670.9,57495.9,2246.6,3.91,59670.9,57424.2,1381.6,2.37,59670.9,57424.2,915.0,1.56,60670.4,52576.0,5271.6,9.69,,
XFL,S&P/ASX 50,5461.6,5461.3,5549.9,5582.5,5664.9,5664.9,5582.5,82.4,1.48,5664.9,5461.3,211.7,3.88,5664.9,5453.2,131.7,2.38,5664.9,5453.2,101.5,1.82,5664.9,5453.2,251.5,4.65,47957.1,47954.1,48731.6,49018.0,49741.9,49741.9,47954.1,1859.2,3.88,49741.9,47882.7,1231.7,2.54,49741.9,47882.7,891.4,1.82,50484.7,43959.9,4311.4,9.49,,
XTO,S&P/ASX 100,4429.7,4428.0,4500.3,4523.8,4593.0,4593.0,4523.8,69.2,1.53,4593.0,4428.0,171.0,3.87,4593.0,4422.0,103.8,2.31,4593.0,4422.0,80.0,1.77,4593.0,4422.0,239.6,5.50,11767.7,11763.2,11955.1,12017.5,12201.4,12201.4,11763.2,454.2,3.87,12201.4,11747.2,294.9,2.48,12201.4,11747.2,212.6,1.77,12340.3,10700.4,1138.0,10.29,,
XJO,S&P/ASX 200,5309.1,5307.7,5393.4,5419.9,5501.8,5501.8,5419.9,81.9,1.51,5501.8,5307.7,202.6,3.82,5501.8,5299.2,120.9,2.25,5501.8,5299.2,90.8,1.68,5501.8,5299.2,260.9,4.98,46252.4,46239.6,46986.3,47217.7,47931.1,47931.1,46239.6,1764.9,3.82,47931.1,46166.2,1131.9,2.42,47931.1,46166.2,791.8,1.68,48729.0,42284.9,4223.2,9.66,,
XVI,S&P/ASX 200 VIX,16.722,16.495,15.534,15.455,14.082,14.602,13.640,-1.373,-8.88,16.722,14.082,-2.319,-14.14,16.722,13.157,0.063,0.45,16.722,13.883,-0.499,-3.42,19.164,0.147,0.811,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5250.4,5248.8,5332.5,5357.7,5437.5,5437.5,5357.7,79.8,1.49,5437.5,5248.8,196.8,3.76,5437.5,5240.7,120.3,2.26,5437.5,5240.7,88.6,1.66,5437.5,5240.7,240.4,4.62,45571.9,45558.0,46283.8,46502.8,47195.6,47195.6,45558.0,1708.1,3.76,47195.6,45487.5,1124.0,2.44,47195.6,45487.5,770.0,1.66,48058.9,41785.8,4000.6,9.26,,
XMD,S&P/ASX MidCap 50,4653.9,4640.0,4719.5,4719.5,4812.0,4812.0,4719.5,92.5,1.96,4812.0,4640.0,173.4,3.74,4812.0,4638.6,83.8,1.77,4812.0,4638.6,64.5,1.36,4812.0,4638.6,556.9,13.09,12664.8,12626.9,12843.4,12843.3,13095.0,13095.0,12626.9,471.7,3.74,13095.0,12623.2,254.6,1.98,13095.0,12623.2,175.5,1.36,13095.0,10758.1,1928.4,17.27,,
