Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-08-04T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jul 30,Jul 31,Aug 1,Aug 2,Aug 3,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jul 30,Jul 31,Aug 1,Aug 2,Aug 3,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XSJ,Consumer Staples,8228.1,8220.5,8244.7,8211.8,8156.4,8224.5,8118.8,-55.4,-0.67,8244.7,8156.4,-63.3,-0.77,8244.7,7712.1,471.8,6.14,8244.7,7241.1,823.3,11.23,8244.7,7011.2,1005.8,14.07,61647.4,61591.2,61771.9,61525.3,61110.3,61771.9,61110.3,-474.3,-0.77,61771.9,57575.9,3534.4,6.14,61771.9,52987.4,7449.3,13.88,61771.9,49979.4,10136.9,19.89,,
XEJ,Energy,12058.8,12233.8,12187.7,12371.0,12224.0,12371.0,12164.8,-147.0,-1.19,12371.0,12058.8,163.9,1.36,12371.0,11554.9,211.3,1.76,14705.5,11554.9,-519.2,-4.07,14705.5,11554.9,-827.9,-6.34,81316.0,82495.7,82184.9,83421.0,82429.8,83421.0,81316.0,1105.2,1.36,83421.0,77918.0,1425.1,1.76,98057.5,77918.0,-2543.1,-2.99,98057.5,77383.0,-3528.0,-4.10,,
XFJ,Financials,4395.6,4424.0,4419.1,4420.0,4389.8,4420.0,4373.4,-30.2,-0.68,4424.0,4389.8,49.6,1.14,4424.0,4168.5,206.0,4.92,4424.0,3913.1,483.9,12.39,4424.0,3596.7,647.3,17.30,40003.3,40261.9,40217.7,40225.9,39951.2,40261.9,39951.2,451.3,1.14,40261.9,37937.3,1877.1,4.93,40261.9,34730.9,5500.2,15.97,40261.9,30965.7,8102.2,25.44,,
XXJ,Financial-x-A-REIT,5024.5,5051.6,5047.5,5050.5,5011.4,5050.5,4990.1,-39.1,-0.77,5051.6,5011.4,54.3,1.09,5051.6,4749.3,240.2,5.03,5051.6,4433.9,506.0,11.23,5051.6,4119.7,699.2,16.21,43850.3,44086.7,44050.2,44076.8,43735.7,44086.7,43735.7,473.7,1.10,44086.7,41448.0,2096.6,5.04,44086.7,38178.9,5625.8,14.76,44086.7,34142.5,8556.9,24.32,,
XHJ,Health Care,9671.7,9655.2,9610.3,9445.9,9352.1,9445.9,9333.8,-93.8,-0.99,9671.7,9352.1,-205.3,-2.15,9671.7,9100.3,248.4,2.73,9671.7,7756.1,1364.5,17.08,9671.7,7082.8,1741.2,22.88,58447.4,58348.1,58076.5,57083.2,56516.2,58447.4,56516.2,-1241.0,-2.15,58447.4,54994.5,1501.2,2.73,58447.4,46279.9,8854.6,18.58,58447.4,41891.0,11868.2,26.58,,
XNJ,Industrials,3263.5,3248.4,3250.5,3240.9,3176.5,3240.9,3176.5,-64.4,-1.99,3263.5,3176.5,-57.3,-1.77,3285.4,3159.7,-75.9,-2.33,3815.2,3159.7,-161.3,-4.83,3815.2,3031.9,-99.5,-3.04,25419.6,25302.2,25318.2,25243.4,24741.8,25419.6,24741.8,-446.7,-1.77,25589.8,24610.7,-591.2,-2.33,29446.6,24610.7,-758.4,-2.97,29446.6,22990.4,180.0,0.73,,
XIJ,Info Technology,511.2,515.9,518.0,517.5,515.6,518.0,512.7,-1.9,-0.37,518.0,511.2,6.2,1.22,518.0,489.8,18.5,3.72,560.6,482.8,17.1,3.43,560.6,458.0,38.2,8.01,3190.0,3219.0,3232.3,3228.9,3217.1,3232.3,3190.0,38.6,1.21,3232.3,3056.0,115.3,3.72,3498.2,2950.6,170.4,5.59,3498.2,2743.0,357.9,12.52,,
XMJ,Materials,9301.1,9388.3,9336.0,9440.6,9201.3,9440.6,9194.4,-239.3,-2.53,9440.6,9201.3,-38.4,-0.42,9813.3,8986.0,-370.5,-3.87,11833.2,8986.0,-1291.3,-12.31,12633.3,8986.0,-2927.0,-24.13,61008.2,61579.9,61236.4,61922.8,60353.5,61922.8,60353.5,-251.5,-0.41,64367.4,58941.4,-2430.2,-3.87,76582.8,58941.4,-7553.3,-11.12,80836.2,58941.4,-17190.4,-22.17,,
XPJ,A-REIT,915.4,926.2,924.0,922.3,920.2,923.5,918.4,-2.1,-0.23,926.2,915.4,12.5,1.38,926.2,874.1,38.6,4.38,926.2,785.8,142.7,18.35,926.2,708.9,171.1,22.84,23169.3,23443.7,23386.5,23344.6,23291.4,23443.7,23169.3,317.0,1.38,23443.7,22125.9,984.3,4.41,23443.7,19271.5,4223.3,22.15,23443.7,17036.7,5520.9,31.07,,
XTJ,Telecommunications,1361.5,1368.8,1381.7,1365.6,1375.6,1375.6,1355.2,10.0,0.73,1381.7,1361.5,21.7,1.60,1381.7,1274.4,98.4,7.70,1381.7,1101.4,240.1,21.14,1381.7,959.0,380.6,38.25,14501.3,14579.0,14719.3,14548.6,14654.5,14719.3,14501.3,233.8,1.62,14719.3,13574.2,1050.8,7.72,14719.3,11476.1,3035.1,26.12,14719.3,9383.7,4918.4,50.52,,
XUJ,Utilities,5100.2,5119.5,5108.2,5115.6,5085.6,5117.0,5082.2,-30.0,-0.59,5119.5,5085.6,-2.5,-0.05,5119.5,4819.1,244.3,5.05,5119.5,4527.2,541.2,11.91,5119.5,4004.3,962.5,23.35,48735.9,48920.0,48811.9,48882.5,48596.4,48920.0,48596.4,-23.7,-0.05,48920.0,46049.7,2334.6,5.05,48920.0,42294.1,6413.9,15.21,48920.0,36081.2,11445.5,30.81,,
XMM,Metals & Mining,3189.0,3218.9,3203.2,3242.7,3154.9,3242.7,3150.5,-87.8,-2.71,3242.7,3154.9,-12.7,-0.40,3411.1,3071.9,-165.8,-4.99,4252.2,3071.9,-566.8,-15.23,4583.6,3071.9,-1246.0,-28.31,4296.0,4336.3,4315.1,4368.4,4250.2,4368.4,4250.2,-17.0,-0.40,4595.2,4138.3,-223.3,-4.99,5661.9,4138.3,-705.2,-14.23,6044.6,4138.3,-1548.5,-26.70,,
XGD,Gold,4906.8,4931.1,4897.1,4940.3,4863.6,4940.3,4835.8,-76.7,-1.55,4940.3,4863.6,-32.6,-0.67,5157.0,4550.0,-109.1,-2.19,7178.9,4550.0,-1170.4,-19.40,7931.9,4550.0,-2542.2,-34.33,5623.8,5651.7,5612.7,5662.2,5574.4,5662.2,5574.4,-37.3,-0.66,5910.6,5214.8,-124.9,-2.19,8202.2,5214.8,-1319.4,-19.14,9025.2,5214.8,-2850.5,-33.83,,
XJR,S&P/ASX 200 Res,3859.1,3901.3,3883.7,3935.9,3844.1,3935.9,3840.3,-91.8,-2.33,3935.9,3844.1,4.9,0.13,4075.3,3728.7,-126.6,-3.19,4925.8,3728.7,-525.2,-12.02,5240.9,3728.7,-1158.0,-23.15,19454.5,19666.8,19578.4,19841.5,19378.5,19841.5,19378.5,24.3,0.13,20544.2,18796.9,-638.6,-3.19,24542.0,18796.9,-2390.6,-10.98,25839.7,18796.9,-5266.6,-21.37,,
,
