Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-06-06T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jun 1,Jun 2,Jun 3,Jun 4,Jun 5,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jun 1,Jun 2,Jun 3,Jun 4,Jun 5,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5734.0,5639.9,5588.3,5511.3,5506.5,5535.4,5479.7,-4.8,-0.09,5734.0,5506.5,-268.5,-4.65,5774.9,5506.5,-309.7,-5.32,5954.8,5278.8,117.9,2.19,5954.8,5278.8,63.0,1.16,49933.0,49116.0,48667.0,47996.2,47954.3,49933.0,47954.3,-2335.4,-4.64,50367.7,47954.3,-2413.3,-4.79,51568.0,45110.3,1907.4,4.14,51568.0,43681.7,2536.6,5.59,,
XAF,All Australian 50,5782.0,5682.6,5630.9,5551.4,5540.4,5574.4,5512.3,-11.0,-0.20,5782.0,5540.4,-285.1,-4.89,5825.5,5540.4,-356.4,-6.04,6081.0,5389.2,42.2,0.77,6081.0,5389.2,-31.3,-0.56,51937.9,51044.3,50580.2,49866.3,49767.3,51937.9,49767.3,-2561.2,-4.89,52582.8,49767.3,-2815.4,-5.35,54222.3,47407.4,1400.9,2.90,54222.3,45852.9,1970.8,4.12,,
XAT,All Australian 200,5683.3,5584.5,5532.2,5452.9,5446.9,5477.8,5418.6,-6.0,-0.11,5683.3,5446.9,-277.9,-4.85,5724.8,5446.9,-325.1,-5.63,5926.9,5251.9,83.8,1.56,5926.9,5251.9,25.6,0.47,50598.3,49721.0,49255.6,48549.4,48496.3,50598.3,48496.3,-2471.7,-4.85,51071.9,48496.3,-2575.5,-5.04,52442.3,45851.2,1675.4,3.58,52442.3,44281.4,2314.8,5.01,,
XTL,S&P/ASX 20,3510.5,3450.0,3418.6,3370.3,3359.0,3381.2,3342.1,-11.3,-0.34,3510.5,3359.0,-181.5,-5.13,3540.5,3359.0,-250.5,-6.94,3760.5,3321.7,-39.7,-1.17,3760.5,3321.7,-87.6,-2.54,62157.6,61086.1,60530.2,59675.8,59475.9,62157.6,59475.9,-3213.4,-5.13,63337.2,59475.9,-3861.3,-6.10,65985.5,57424.2,720.0,1.23,65985.5,55673.0,1290.8,2.22,,
XFL,S&P/ASX 50,5850.5,5749.8,5697.8,5617.8,5606.6,5640.9,5578.0,-11.2,-0.20,5850.5,5606.6,-287.5,-4.88,5894.1,5606.6,-359.9,-6.03,6152.9,5453.2,43.2,0.78,6152.9,5453.2,-29.5,-0.52,52460.0,51557.7,51090.8,50374.2,50273.5,52460.0,50273.5,-2578.0,-4.88,53111.3,50273.5,-2837.7,-5.34,54764.7,47882.7,1423.1,2.91,54764.7,46300.1,2010.0,4.16,,
XTO,S&P/ASX 100,4774.6,4690.9,4647.7,4582.8,4576.3,4603.4,4552.9,-6.5,-0.14,4774.6,4576.3,-232.9,-4.84,4809.2,4576.3,-278.7,-5.74,4996.2,4422.0,63.4,1.40,4996.2,4422.0,30.9,0.68,12941.2,12715.0,12597.9,12422.1,12404.5,12941.2,12404.5,-630.6,-4.84,13072.6,12404.5,-668.1,-5.11,13449.8,11747.2,415.6,3.47,13449.8,11295.6,624.6,5.30,,
XJO,S&P/ASX 200,5735.4,5636.0,5583.6,5504.3,5498.5,5529.9,5470.0,-5.8,-0.11,5735.4,5498.5,-278.7,-4.82,5777.2,5498.5,-328.1,-5.63,5982.7,5299.2,87.4,1.62,5982.7,5299.2,34.4,0.63,50954.1,50073.2,49607.5,48903.2,48851.3,50954.1,48851.3,-2473.7,-4.82,51443.3,48851.3,-2592.1,-5.04,52822.2,46166.2,1712.0,3.63,52822.2,44533.8,2400.6,5.17,,
XVI,S&P/ASX 200 VIX,16.096,17.086,17.197,18.579,18.378,18.478,17.680,-0.201,-1.08,18.579,16.096,3.232,21.34,19.692,15.106,1.558,9.26,19.692,0.171,3.797,26.04,19.692,0.171,7.296,65.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5674.6,5578.1,5526.5,5448.5,5442.4,5473.1,5414.8,-6.1,-0.11,5674.6,5442.4,-273.6,-4.79,5716.0,5442.4,-321.7,-5.58,5912.7,5240.7,93.5,1.75,5912.7,5240.7,37.9,0.70,50218.4,49366.7,48909.6,48220.1,48166.0,50218.4,48166.0,-2419.2,-4.78,50702.1,48166.0,-2536.2,-5.00,52008.8,45487.5,1740.4,3.75,52008.8,43915.8,2387.4,5.22,,
XMD,S&P/ASX MidCap 50,5264.7,5158.9,5105.0,5036.9,5052.8,5075.9,5018.5,15.9,0.32,5264.7,5036.9,-241.4,-4.56,5294.2,5036.9,-180.6,-3.45,5363.8,4638.6,305.3,6.43,5363.8,4638.6,500.1,10.98,14517.8,14231.6,14083.1,13895.2,13939.0,14517.8,13895.2,-660.3,-4.52,14599.3,13895.2,-473.6,-3.29,14759.9,12623.2,1019.5,7.89,14759.9,11578.7,1819.5,15.01,,
XSO,S&P/ASX Small Ords,2237.5,2212.8,2191.0,2156.5,2161.2,2166.8,2147.1,4.7,0.22,2237.5,2156.5,-93.9,-4.17,2263.3,2156.5,-85.7,-3.81,2263.3,2001.2,116.8,5.71,2263.3,2001.2,18.2,0.85,5757.5,5693.8,5638.1,5549.2,5561.4,5757.5,5549.2,-241.2,-4.16,5823.6,5549.2,-219.8,-3.80,5823.6,5089.5,363.8,7.00,5823.6,4882.3,219.9,4.12,,
XDJ,Consumer Discretionary,1998.3,1963.9,1935.0,1909.7,1920.4,1933.1,1905.8,10.7,0.56,1998.3,1909.7,-89.2,-4.44,2009.7,1909.7,-87.3,-4.35,2021.0,1713.3,167.1,9.53,2021.0,1713.3,153.5,8.69,15607.8,15338.7,15114.4,14917.3,15000.7,15607.8,14917.3,-695.6,-4.43,15696.3,14917.3,-668.6,-4.27,15772.9,13162.6,1530.9,11.37,15772.9,12935.8,1671.9,12.54,,
XSJ,Consumer Staples,8993.9,8899.9,8832.5,8696.4,8755.8,8797.6,8690.5,59.4,0.68,8993.9,8696.4,-355.7,-3.90,9379.1,8696.4,-659.8,-7.01,10122.8,8696.4,-417.3,-4.55,10122.8,8696.4,-1308.8,-13.00,76481.3,75682.3,75109.4,73951.5,74456.8,76481.3,73951.5,-3024.4,-3.90,80067.8,73951.5,-5611.0,-7.01,85291.5,73951.5,-2052.0,-2.68,85291.5,73342.3,-7626.6,-9.29,,
XEJ,Energy,11823.9,11600.2,11446.9,11251.4,11237.3,11275.5,11141.2,-14.1,-0.13,11823.9,11237.3,-578.3,-4.89,11919.4,11190.5,-705.1,-5.90,12090.7,10301.0,-364.1,-3.14,12090.7,10301.0,-3255.6,-22.46,88397.2,86724.5,85578.4,84116.7,84011.5,88397.2,84011.5,-4323.4,-4.89,89283.0,83661.9,-5271.6,-5.90,90391.5,74854.3,-292.9,-0.35,111140.9,74854.3,-19544.4,-18.87,,
XFJ,Financials,6533.5,6412.8,6333.5,6246.4,6209.2,6255.7,6170.6,-37.2,-0.60,6533.5,6209.2,-374.2,-5.68,6583.5,6209.2,-497.7,-7.42,7186.4,6165.5,-46.2,-0.74,7186.4,6165.5,64.9,1.06,69667.2,68380.4,67534.6,66606.2,66209.9,69667.2,66209.9,-3990.6,-5.68,70607.6,66209.9,-4397.7,-6.23,75638.7,64303.3,970.7,1.49,75638.7,59639.1,3971.7,6.38,,
XXJ,Financial-x-A-REIT,7529.1,7391.7,7295.8,7203.7,7151.1,7210.5,7109.2,-52.6,-0.73,7529.1,7151.1,-448.8,-5.90,7599.8,7151.1,-627.3,-8.06,8394.2,7130.2,-131.1,-1.80,8394.2,7130.2,-98.0,-1.35,77108.3,75701.5,0.0,73776.1,73237.3,77108.3,73237.3,-4595.9,-5.90,78471.6,73237.3,-5234.3,-6.67,84666.9,71254.0,464.8,0.64,84666.9,66776.9,2711.3,3.84,,
XHJ,Health Care,19003.4,18817.4,18533.7,18304.0,18487.8,18577.5,18299.0,183.8,1.00,19003.4,18304.0,-551.3,-2.90,19135.2,18080.7,-272.0,-1.45,19933.9,17005.1,1000.6,5.72,19933.9,17005.1,3896.4,26.70,122830.8,121628.5,119794.9,118309.8,119498.1,122830.8,118309.8,-3563.2,-2.90,123682.8,116830.4,-1720.0,-1.42,128804.9,108911.1,7499.4,6.70,128804.9,88629.9,27102.9,29.33,,
XNJ,Industrials,4911.2,4814.4,4791.8,4725.2,4750.5,4771.9,4715.5,25.3,0.54,4911.2,4725.2,-208.4,-4.20,4968.2,4638.7,-18.2,-0.38,4968.2,4233.2,428.7,9.92,4968.2,4233.2,609.2,14.71,42562.9,41724.7,41528.3,40951.0,41170.7,42562.9,40951.0,-1806.4,-4.20,43057.2,40201.5,-157.9,-0.38,43057.2,36323.0,4087.1,11.02,43057.2,32870.0,6545.8,18.90,,
XIJ,Info Technology,828.2,817.0,816.1,813.5,809.2,820.7,802.6,-4.3,-0.53,828.2,809.2,-28.7,-3.43,837.9,785.7,7.8,0.97,853.7,757.6,26.5,3.38,853.7,757.6,12.1,1.51,5649.4,5573.4,5567.4,5549.6,5520.0,5649.4,5520.0,-193.7,-3.39,5713.7,5357.6,55.4,1.01,5803.2,5098.0,253.4,4.81,5803.2,4958.9,233.0,4.41,,
