Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-09-08T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Sep 3,Sep 4,Sep 5,Sep 6,Sep 7,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Sep 3,Sep 4,Sep 5,Sep 6,Sep 7,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4351.6,4325.6,4297.7,4331.6,4348.8,4376.8,4331.6,17.2,0.40,4351.6,4297.7,9.8,0.23,4411.8,4297.7,37.4,0.87,4504.8,4033.4,237.8,5.78,4504.8,3927.6,71.4,1.67,33780.3,33584.3,33371.0,33641.2,33777.2,33780.3,33371.0,177.1,0.53,34067.7,33004.8,706.9,2.14,34266.8,30869.4,2943.8,9.55,34266.8,29204.1,2051.4,6.47,,
XAF,All Australian 50,4375.7,4349.2,4328.2,4353.6,4360.3,4398.0,4353.3,6.7,0.15,4375.7,4328.2,-2.1,-0.05,4418.0,4311.5,22.7,0.52,4418.0,3983.7,311.2,7.68,4418.0,3853.0,208.0,5.01,34764.7,34558.6,34391.4,34598.1,34651.6,34764.7,34391.4,91.2,0.26,34905.6,33810.4,667.5,1.96,34905.6,31167.4,3687.8,11.91,34905.6,29181.9,3270.7,10.42,,
XAT,All Australian 200,4313.2,4286.9,4261.1,4295.2,4307.6,4340.0,4295.2,12.4,0.29,4313.2,4261.1,7.4,0.17,4368.8,4261.1,31.3,0.73,4426.4,3973.9,256.9,6.34,4426.4,3855.4,115.2,2.75,34100.7,33897.6,33696.8,33971.6,34071.4,34100.7,33696.8,162.1,0.48,34353.4,33263.9,695.8,2.08,34353.4,30947.5,3196.3,10.35,34353.4,29116.8,2483.1,7.86,,
XTL,S&P/ASX 20,2659.9,2645.6,2631.5,2645.8,2647.2,2672.7,2642.1,1.4,0.05,2659.9,2631.5,-4.9,-0.19,2685.2,2616.5,12.1,0.46,2685.2,2396.0,197.5,8.06,2685.2,2334.2,133.4,5.31,41510.7,41287.3,41067.4,41289.5,41312.3,41510.7,41067.4,48.9,0.12,41687.9,40280.5,793.1,1.96,41687.9,36842.5,4567.3,12.43,41687.9,34671.5,4053.5,10.88,,
XFL,S&P/ASX 50,4412.4,4385.6,4365.3,4390.8,4397.5,4435.4,4390.4,6.7,0.15,4412.4,4365.3,-1.0,-0.02,4454.0,4346.3,23.6,0.54,4454.0,4010.1,321.0,7.88,4454.0,3876.7,226.3,5.42,35009.8,34801.3,34640.3,34847.9,34902.1,35009.8,34640.3,101.1,0.29,35144.4,34043.4,676.5,1.98,35144.4,31334.8,3766.7,12.10,35144.4,29332.3,3408.8,10.82,,
XTO,S&P/ASX 100,3556.2,3534.0,3515.9,3541.3,3549.5,3577.9,3541.3,8.2,0.23,3556.2,3515.9,3.9,0.11,3595.8,3512.0,21.5,0.61,3618.2,3260.5,232.8,7.02,3618.2,3155.5,139.4,4.09,8550.4,8498.0,8455.1,8517.5,8537.5,8550.4,8455.1,36.0,0.42,8597.4,8332.2,167.4,2.00,8597.4,7719.3,855.9,11.14,8597.4,7240.1,730.0,9.35,,
XJO,S&P/ASX 200,4329.7,4303.5,4278.8,4312.9,4325.8,4358.3,4312.9,12.9,0.30,4329.7,4278.8,9.7,0.22,4383.7,4277.3,34.2,0.80,4435.9,3985.0,269.2,6.64,4435.9,3863.9,131.1,3.13,34177.0,33975.3,33782.7,34058.2,34161.7,34177.0,33782.7,179.9,0.53,34417.4,33334.2,716.3,2.14,34417.4,30989.0,3282.6,10.63,34417.4,29145.7,2594.3,8.22,,
XKO,S&P/ASX 300,4315.7,4289.4,4264.0,4298.2,4311.9,4343.6,4298.2,13.7,0.32,4315.7,4264.0,10.0,0.23,4371.8,4263.6,35.3,0.83,4432.4,3977.4,259.6,6.41,4432.4,3860.9,110.0,2.62,33963.8,33763.3,33565.6,33841.6,33950.4,33963.8,33565.6,181.5,0.54,34221.8,33132.1,717.4,2.16,34221.8,30841.3,3183.9,10.35,34221.8,29050.7,2407.8,7.63,,
XMD,S&P/ASX MidCap 50,3543.2,3515.1,3482.0,3550.2,3583.2,3595.6,3550.2,33.0,0.93,3583.2,3482.0,46.0,1.30,3652.3,3482.0,43.5,1.23,3950.9,3435.4,4.3,0.12,3950.9,3408.2,-242.7,-6.34,8851.3,8783.7,8705.7,8879.0,8961.5,8961.5,8705.7,142.2,1.61,9059.8,8705.7,194.4,2.22,9693.0,8495.1,299.3,3.46,9693.0,8186.5,-192.0,-2.10,,
XSO,S&P/ASX Small Ords,2180.9,2172.3,2138.5,2176.5,2205.1,2206.8,2176.5,28.6,1.31,2205.1,2138.5,36.0,1.66,2262.3,2138.5,72.3,3.39,2526.6,2044.8,-4.3,-0.19,2526.6,2044.8,-279.8,-11.26,5142.4,5125.4,5047.4,5138.8,5208.1,5208.1,5047.4,95.6,1.87,5317.6,5005.3,202.8,4.05,5892.6,4798.2,99.2,1.94,5892.6,4798.2,-484.2,-8.51,,
