Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-02-26T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,ALL Ordinaries,4990.9,4947.3,4935.6,4901.1,4924.9,4933.4,4889.9,23.8,0.49,4990.9,4901.1,-101.2,-2.01,5026.1,4850.0,15.8,0.32,5026.1,4812.0,78.0,1.61,5026.1,4250.6,273.8,5.89,35988.4,35700.5,35621.9,35384.9,35562.4,35988.4,35384.9,-630.8,-1.74,36193.1,34836.1,301.8,0.86,36193.1,34562.5,749.6,2.15,36193.1,29893.9,3257.9,10.09,,
XAF,ALL Australian 50,4851.4,4813.8,4804.9,4767.9,4795.7,4805.3,4756.1,27.8,0.58,4851.4,4767.9,-94.6,-1.93,4894.2,4705.1,46.2,0.97,4894.2,4639.1,113.5,2.42,5017.2,4220.3,137.5,2.95,35549.3,35310.7,35249.8,34990.8,35198.2,35549.3,34990.8,-576.7,-1.61,35803.3,34313.5,561.2,1.62,35803.3,33831.8,1051.6,3.08,35803.3,30076.1,2427.6,7.41,,
XAT,ALL Australian 200,4903.2,4859.6,4849.2,4812.6,4840.4,4849.6,4802.7,27.8,0.58,4903.2,4812.6,-99.9,-2.02,4941.6,4757.6,27.7,0.58,4941.6,4708.7,89.9,1.89,5001.2,4218.4,203.0,4.38,35861.0,35573.5,35503.0,35245.6,35452.2,35861.0,35245.6,-627.2,-1.74,36087.5,34643.6,408.0,1.16,36087.5,34286.3,861.2,2.49,36087.5,30043.8,2853.5,8.75,,
XTL,S&P/Asx 20,2934.1,2912.8,2905.7,2882.3,2901.8,2907.7,2873.5,19.5,0.68,2934.1,2882.3,-58.5,-1.98,2968.8,2847.3,30.2,1.05,2968.8,2799.1,69.7,2.46,3060.6,2560.9,66.0,2.33,42142.9,41892.0,41789.8,41470.3,41751.0,42142.9,41470.3,-683.0,-1.61,42556.1,40670.7,733.3,1.79,42556.1,39981.7,1297.4,3.21,42556.1,35716.1,2706.6,6.93,,
XFL,S&P/Asx 50,4864.4,4827.2,4817.6,4780.7,4808.9,4818.6,4769.1,28.2,0.59,4864.4,4780.7,-94.0,-1.92,4907.1,4716.3,47.0,0.99,4907.1,4651.2,115.6,2.46,5036.9,4235.3,135.8,2.91,35618.3,35382.9,35316.8,35058.7,35265.5,35618.3,35058.7,-575.9,-1.61,35871.5,34370.6,563.0,1.62,35871.5,33896.3,1062.9,3.11,35871.5,30164.1,2404.9,7.32,,
XTO,S&P/Asx 100,3984.9,3951.1,3942.7,3913.6,3936.4,3943.8,3904.7,22.8,0.58,3984.9,3913.6,-78.5,-1.96,4016.0,3864.2,29.8,0.76,4016.0,3821.1,83.1,2.16,4095.8,3455.4,131.3,3.45,8850.1,8783.1,8765.4,8703.4,8754.8,8850.1,8703.4,-148.0,-1.66,8904.8,8542.5,118.7,1.37,8904.8,8447.1,236.3,2.77,8904.8,7468.5,638.0,7.86,,
XJO,S&P/Asx 200,4900.0,4856.7,4845.9,4809.3,4836.5,4845.9,4799.2,27.2,0.57,4900.0,4809.3,-100.2,-2.03,4938.4,4752.1,28.7,0.60,4938.4,4705.0,91.3,1.92,5001.9,4222.1,198.8,4.29,35800.2,35514.8,35441.7,35185.1,35386.8,35800.2,35185.1,-629.8,-1.75,36027.5,34569.1,412.4,1.18,36027.5,34226.1,868.3,2.52,36027.5,30045.0,2810.7,8.63,,
XKO,S&P/Asx 300,4912.9,4869.2,4857.2,4821.4,4848.4,4857.3,4811.5,27.0,0.56,4912.9,4821.4,-100.7,-2.03,4950.5,4765.1,27.4,0.57,4950.5,4718.9,87.6,1.84,4995.0,4214.7,217.3,4.69,35817.6,35529.2,35447.6,35196.5,35396.3,35817.6,35196.5,-634.7,-1.76,36039.3,34592.5,398.2,1.14,36039.3,34256.2,836.0,2.42,36039.3,29938.5,2921.3,9.00,,
XMD,S&P/Asx Midcap 50,4543.4,4475.8,4461.8,4438.1,4461.8,4467.8,4427.8,23.7,0.53,4543.4,4438.1,-102.1,-2.24,4563.9,4391.6,-40.7,-0.90,4566.1,4391.6,-5.7,-0.13,4566.1,3797.0,323.1,7.81,10563.3,10406.2,10373.7,10318.4,10380.4,10563.3,10318.4,-221.4,-2.09,10601.8,10172.6,-49.2,-0.47,10601.8,10172.6,31.8,0.31,10601.8,8628.5,1129.7,12.21,,
XSO,S&P/Asx Small Ords,2924.2,2886.6,2870.2,2849.4,2858.7,2864.6,2844.1,9.3,0.33,2924.2,2849.4,-82.9,-2.82,2945.6,2828.8,-38.3,-1.32,2946.3,2828.8,-33.8,-1.17,2946.3,2229.7,445.9,18.48,6580.8,6497.1,6464.1,6418.0,6439.8,6580.8,6418.0,-180.1,-2.72,6625.3,6360.7,-74.1,-1.14,6625.3,6360.7,-62.5,-0.96,6625.3,4946.8,1140.9,21.53,,
