Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-12-20T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 15,Dec 16,Dec 17,Dec 18,Dec 19,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 15,Dec 16,Dec 17,Dec 18,Dec 19,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5164.6,5131.0,5140.6,5189.7,5312.7,5316.4,5189.7,123.0,2.37,5312.7,5131.0,115.8,2.23,5381.4,5131.0,-39.8,-0.74,5656.9,5088.7,-40.4,-0.75,5656.9,5088.7,51.2,0.97,44049.6,43763.4,43845.5,44263.9,45314.8,45314.8,43763.4,990.3,2.23,45883.7,43763.4,-313.2,-0.69,47783.6,41681.2,1469.8,3.35,47783.6,41681.2,2297.0,5.34,,
XAF,All Australian 50,5275.5,5240.7,5250.1,5300.0,5427.7,5431.8,5300.0,127.7,2.41,5427.7,5240.7,118.8,2.24,5494.8,5240.7,-29.7,-0.54,5751.6,5175.5,-30.1,-0.55,5751.6,5175.5,48.6,0.90,46325.7,46020.1,46102.3,46541.0,47664.2,47664.2,46020.1,1045.2,2.24,48242.2,46020.1,-244.6,-0.51,49995.8,43505.3,1785.8,3.89,49995.8,43505.3,2518.0,5.58,,
XAT,All Australian 200,5139.3,5106.2,5115.2,5164.0,5291.2,5295.2,5164.0,127.2,2.46,5291.2,5106.2,118.5,2.29,5354.8,5106.2,-32.8,-0.62,5617.0,5028.8,-13.5,-0.26,5617.0,5028.8,72.4,1.39,44783.4,44495.0,44573.3,44998.2,46107.9,46107.9,44495.0,1033.7,2.29,46647.1,44495.0,-263.4,-0.57,48471.7,42022.3,1780.6,4.02,48471.7,42022.3,2578.5,5.92,,
XTL,S&P/ASX 20,3256.4,3231.6,3233.7,3264.5,3346.5,3346.5,3264.5,82.0,2.51,3346.5,3231.6,67.4,2.05,3397.6,3231.6,-26.2,-0.78,3551.7,3184.2,-31.9,-0.95,3551.7,3184.2,25.9,0.78,56294.5,55866.6,55902.3,56435.5,57851.8,57851.8,55866.6,1164.1,2.05,58735.0,55866.6,-454.0,-0.78,60670.4,52576.0,2069.1,3.71,60670.4,52576.0,3024.7,5.52,,
XFL,S&P/ASX 50,5339.4,5303.9,5313.9,5363.6,5493.0,5497.1,5363.6,129.4,2.41,5493.0,5303.9,120.2,2.24,5561.1,5303.9,-28.9,-0.52,5818.9,5238.2,-33.9,-0.61,5818.9,5238.2,46.0,0.84,46801.3,46489.5,46577.2,47013.4,48149.1,48149.1,46489.5,1055.3,2.24,48735.2,46489.5,-236.9,-0.49,50484.7,43959.9,1766.2,3.81,50484.7,43959.9,2508.0,5.50,,
XTO,S&P/ASX 100,4328.3,4300.1,4307.2,4347.8,4454.9,4458.2,4347.8,107.1,2.46,4454.9,4300.1,100.2,2.30,4499.1,4300.1,-14.3,-0.32,4699.7,4210.6,9.7,0.22,4699.7,4210.6,78.4,1.79,11477.5,11402.8,11421.7,11529.3,11813.7,11813.7,11402.8,266.2,2.30,11927.1,11402.8,-31.8,-0.27,12340.3,10700.4,516.9,4.58,12340.3,10700.4,710.9,6.40,,
XJO,S&P/ASX 200,5186.1,5152.3,5161.9,5210.8,5338.6,5343.1,5210.8,127.8,2.45,5338.6,5152.3,119.0,2.28,5400.9,5152.3,-30.2,-0.56,5658.5,5070.3,-13.6,-0.25,5658.5,5070.3,73.4,1.39,45095.6,44802.3,44885.0,45310.4,46424.1,46424.1,44802.3,1037.2,2.29,46950.1,44802.3,-239.2,-0.51,48729.0,42284.9,1789.0,4.01,48729.0,42284.9,2593.5,5.92,,
XVI,S&P/ASX 200 VIX,17.892,16.772,16.515,16.503,13.362,15.226,13.362,-3.141,-19.03,17.892,13.362,-3.061,-18.64,17.892,12.511,-0.376,-2.74,19.164,0.147,1.800,15.57,19.164,0.147,2.580,23.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5125.1,5092.4,5101.8,5150.5,5275.9,5279.8,5150.5,125.4,2.43,5275.9,5092.4,117.8,2.28,5339.5,5092.4,-33.4,-0.63,5601.5,5027.6,-28.9,-0.54,5601.5,5027.6,60.1,1.15,44398.5,44114.8,44196.5,44618.4,45706.9,45706.9,44114.8,1022.6,2.29,46242.7,44114.8,-265.9,-0.58,48058.9,41785.8,1618.1,3.67,48058.9,41785.8,2435.4,5.63,,
XMD,S&P/ASX MidCap 50,4527.1,4503.4,4502.4,4547.0,4678.2,4683.4,4547.0,131.2,2.89,4678.2,4502.4,128.9,2.83,4691.4,4493.8,63.6,1.38,4774.6,4099.4,328.7,7.56,4774.6,4099.4,433.4,10.21,12294.2,12229.8,12227.2,12348.4,12704.6,12704.6,12227.2,350.0,2.83,12740.4,12194.4,197.9,1.58,12861.6,10758.1,1290.2,11.30,12861.6,10758.1,1601.3,14.42,,
