Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-09-27T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Sep 22,Sep 23,Sep 24,Sep 25,Sep 26,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Sep 22,Sep 23,Sep 24,Sep 25,Sep 26,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5368.2,5415.9,5375.9,5382.4,5316.6,5374.8,5312.3,-65.8,-1.22,5415.9,5316.6,-120.7,-2.22,5656.9,5316.6,-317.9,-5.64,5656.9,5088.7,-36.5,-0.68,5656.9,5088.7,14.3,0.27,45476.7,45881.2,45550.8,45607.5,45054.6,45881.2,45054.6,-1004.2,-2.18,47783.6,45054.6,-2254.5,-4.77,47783.6,41681.2,1209.6,2.76,47783.6,41443.6,1975.7,4.59,,
XAF,All Australian 50,5451.7,5505.0,5467.3,5472.9,5402.6,5472.9,5399.2,-70.3,-1.28,5505.0,5402.6,-120.4,-2.18,5751.6,5402.6,-334.3,-5.83,5751.6,5175.5,-55.2,-1.01,5751.6,5175.5,-7.7,-0.14,47515.8,47980.4,47655.3,47703.4,47091.0,47980.4,47091.0,-1046.0,-2.17,49995.8,47091.0,-2456.5,-4.96,49995.8,43505.3,1212.6,2.64,49995.8,43428.7,2011.8,4.46,,
XAT,All Australian 200,5321.4,5373.7,5334.4,5340.7,5272.9,5332.3,5269.2,-67.8,-1.27,5373.7,5272.9,-118.9,-2.20,5617.0,5272.9,-323.7,-5.78,5617.0,5028.8,-31.8,-0.60,5617.0,5028.8,9.6,0.18,46047.4,46499.4,46163.1,46219.8,45636.0,46499.4,45636.0,-1016.5,-2.18,48471.7,45636.0,-2356.5,-4.91,48471.7,42022.3,1308.6,2.95,48471.7,41869.0,2029.6,4.65,,
XTL,S&P/ASX 20,3364.6,3399.4,3375.3,3378.8,3333.0,3378.8,3330.3,-45.8,-1.36,3399.4,3333.0,-82.0,-2.40,3551.7,3333.0,-210.4,-5.94,3551.7,3184.2,-45.4,-1.34,3551.7,3184.2,-2.5,-0.07,57655.1,58250.1,57838.2,57897.8,57113.3,58250.1,57113.3,-1405.0,-2.40,60670.4,57113.3,-3041.2,-5.06,60670.4,52576.0,1330.6,2.39,60670.4,52576.0,2510.9,4.60,,
XFL,S&P/ASX 50,5516.0,5569.9,5531.9,5537.5,5466.0,5537.5,5462.6,-71.5,-1.29,5569.9,5466.0,-121.9,-2.18,5818.9,5466.0,-337.2,-5.81,5818.9,5238.2,-60.9,-1.10,5818.9,5238.2,-8.3,-0.15,47989.5,48458.4,48130.6,48179.4,47557.3,48458.4,47557.3,-1057.6,-2.18,50484.7,47557.3,-2472.5,-4.94,50484.7,43959.9,1174.3,2.53,50484.7,43886.4,2018.6,4.43,,
XTO,S&P/ASX 100,4454.0,4498.2,4465.5,4470.7,4413.6,4463.2,4410.7,-57.1,-1.28,4498.2,4413.6,-98.4,-2.18,4699.7,4413.6,-269.4,-5.75,4699.7,4210.6,-31.6,-0.71,4699.7,4210.6,14.3,0.33,11726.6,11842.9,11757.5,11771.3,11621.0,11842.9,11621.0,-257.5,-2.17,12340.3,11621.0,-597.5,-4.89,12340.3,10700.4,324.3,2.87,12340.3,10670.3,537.4,4.85,,
XJO,S&P/ASX 200,5363.0,5415.7,5375.8,5382.2,5313.4,5382.2,5309.8,-68.8,-1.28,5415.7,5313.4,-119.7,-2.20,5658.5,5313.4,-324.2,-5.75,5658.5,5070.3,-38.8,-0.73,5658.5,5070.3,6.3,0.12,46309.6,46765.3,46425.6,46482.6,45891.5,46765.3,45891.5,-1020.0,-2.17,48729.0,45891.5,-2353.2,-4.88,48729.0,42284.9,1256.4,2.81,48729.0,42141.4,2005.7,4.57,,
XVI,S&P/ASX 200 VIX,15.064,14.400,14.862,14.007,15.545,15.605,15.007,1.538,10.98,15.545,14.007,2.394,18.20,15.545,10.755,4.249,37.62,18.372,0.147,3.983,34.45,18.372,0.147,3.313,27.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5310.0,5360.7,5321.9,5327.8,5260.6,5319.6,5256.8,-67.2,-1.26,5360.7,5260.6,-118.4,-2.20,5601.5,5260.6,-320.2,-5.74,5601.5,5027.6,-44.2,-0.83,5601.5,5027.6,-0.9,-0.02,45682.3,46118.6,45790.8,45843.0,45267.7,46118.6,45267.7,-1005.1,-2.17,48058.9,45267.7,-2316.5,-4.87,48058.9,41785.8,1179.0,2.67,48058.9,41624.4,1904.2,4.39,,
XMD,S&P/ASX MidCap 50,4508.8,4559.4,4508.9,4519.5,4467.3,4518.1,4452.0,-52.2,-1.15,4559.4,4467.3,-99.4,-2.18,4774.6,4467.3,-247.8,-5.26,4774.6,4099.4,117.8,2.71,4774.6,4099.4,192.1,4.49,12188.2,12324.8,12188.2,12220.1,12078.9,12324.8,12078.9,-259.4,-2.10,12861.6,12078.9,-561.0,-4.44,12861.6,10758.1,664.5,5.82,12861.6,10621.3,940.5,8.44,,
