Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-08-03T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jul 29,Jul 30,Jul 31,Aug 1,Aug 2,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jul 29,Jul 30,Jul 31,Aug 1,Aug 2,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5027.9,5026.3,5035.7,5047.1,5098.7,5099.5,5047.1,51.6,1.02,5098.7,5026.3,74.9,1.49,5098.7,4727.8,288.4,6.00,5202.5,4633.5,434.1,9.31,5202.5,4292.9,855.7,20.17,40297.6,40284.9,40360.3,40451.8,40865.3,40865.3,40284.9,600.6,1.49,40865.3,37890.7,2313.8,6.00,41528.7,37020.3,4222.6,11.52,41528.7,32928.9,8319.1,25.56,,
XAF,All Australian 50,5160.4,5162.6,5163.2,5169.5,5229.0,5229.0,5169.5,59.5,1.15,5229.0,5160.4,75.4,1.46,5229.0,4836.5,294.8,5.97,5314.5,4733.5,531.3,11.31,5314.5,4311.5,960.9,22.51,42381.4,42399.4,42404.2,42455.6,42944.7,42944.7,42381.4,619.8,1.46,42944.7,39721.4,2421.3,5.98,43481.5,38052.6,5182.6,13.72,43481.5,33810.4,9505.5,28.43,,
XAT,All Australian 200,5007.9,5008.1,5013.0,5020.9,5074.9,5074.9,5020.9,54.0,1.08,5074.9,5007.9,71.4,1.43,5074.9,4706.1,279.0,5.82,5188.4,4619.6,443.6,9.58,5188.4,4257.3,868.1,20.64,40913.1,40914.3,40954.5,41019.4,41459.8,41459.8,40913.1,583.3,1.43,41459.8,38446.3,2279.4,5.82,42210.6,37380.5,4405.5,11.89,42210.6,33227.4,8627.2,26.28,,
XTL,S&P/ASX 20,3186.4,3192.8,3194.2,3194.3,3237.5,3237.5,3194.2,43.3,1.36,3237.5,3186.4,56.9,1.79,3237.5,2964.7,212.2,7.01,3264.8,2885.8,370.9,12.94,3264.8,2616.5,645.5,24.91,51408.7,51512.7,51535.3,51535.6,52232.8,52232.8,51408.7,918.0,1.79,52232.8,47831.5,3423.2,7.01,52533.4,45563.7,6973.5,15.41,52533.4,40280.5,12376.5,31.05,,
XFL,S&P/ASX 50,5219.7,5222.1,5222.5,5230.6,5291.5,5291.5,5230.6,60.9,1.16,5291.5,5219.7,78.4,1.50,5291.5,4892.8,300.6,6.02,5368.0,4770.1,558.9,11.81,5368.0,4346.3,987.6,22.95,42804.0,42824.4,42827.6,42893.6,43392.9,43392.9,42804.0,642.4,1.50,43392.9,40123.6,2464.6,6.02,43854.8,38295.2,5401.1,14.22,43854.8,34043.4,9715.1,28.85,,
XTO,S&P/ASX 100,4185.0,4186.4,4188.3,4196.2,4243.3,4243.3,4196.2,47.1,1.12,4243.3,4185.0,61.9,1.48,4243.3,3936.6,229.8,5.72,4323.8,3855.7,422.6,11.06,4323.8,3512.0,771.5,22.22,10397.1,10400.6,10405.1,10424.9,10541.7,10541.7,10397.1,153.8,1.48,10541.7,9779.8,570.7,5.72,10697.4,9380.5,1247.0,13.42,10697.4,8332.2,2304.8,27.98,,
XJO,S&P/ASX 200,5046.3,5047.2,5052.0,5061.5,5116.8,5116.8,5061.5,55.3,1.09,5116.8,5046.3,74.8,1.48,5116.8,4744.1,282.8,5.85,5221.0,4656.0,467.9,10.06,5221.0,4272.6,895.3,21.21,41153.2,41160.7,41199.7,41277.2,41728.0,41728.0,41153.2,609.8,1.48,41728.0,38688.0,2307.0,5.85,42402.2,37467.1,4593.5,12.37,42402.2,33297.5,8828.8,26.84,,
XKO,S&P/ASX 300,5003.7,5003.9,5010.2,5019.1,5072.8,5072.8,5019.1,53.7,1.07,5072.8,5003.7,72.9,1.46,5072.8,4703.3,282.0,5.89,5178.7,4613.2,446.5,9.65,5178.7,4258.1,865.4,20.57,40673.0,40674.8,40726.2,40798.4,41235.2,41235.2,40673.0,592.6,1.46,41235.2,38230.6,2293.2,5.89,41922.4,37184.2,4395.2,11.93,41922.4,33089.3,8540.2,26.12,,
XMD,S&P/ASX MidCap 50,3984.3,3980.5,3995.3,4015.9,4045.2,4058.1,4015.9,29.3,0.73,4045.2,3980.5,51.1,1.28,4048.4,3864.8,121.7,3.10,4310.8,3799.1,182.2,4.72,4310.8,3482.0,558.7,16.02,10262.6,10252.9,10290.9,10344.0,10419.6,10419.6,10252.9,131.6,1.28,10427.7,9954.9,313.6,3.10,11026.5,9756.1,650.2,6.66,11026.5,8705.7,1784.3,20.66,,
XSO,S&P/ASX Small Ords,2116.8,2108.8,2134.1,2134.3,2143.4,2156.4,2134.3,9.1,0.43,2143.4,2108.8,24.6,1.16,2153.7,1971.4,159.9,8.06,2414.5,1888.4,-137.3,-6.02,2414.5,1888.4,52.2,2.49,5130.1,5110.8,5172.8,5173.3,5195.2,5195.2,5110.8,60.1,1.17,5219.7,4776.6,389.3,8.10,5770.0,4574.9,-249.6,-4.58,5770.0,4574.9,287.5,5.86,,
