Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-02-15T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5236.5,5267.3,5319.8,5318.7,5366.9,5366.9,5318.7,48.2,0.91,5366.9,5236.5,182.4,3.52,5366.9,5088.7,147.1,2.82,5369.8,5088.7,13.8,0.26,5369.8,5088.7,312.3,6.18,42920.6,43174.9,43606.8,43598.2,43993.5,43993.5,42920.6,1501.9,3.53,43993.5,41681.2,1240.0,2.90,43993.5,41681.2,148.5,0.34,44191.5,37129.1,4253.6,10.70,,
XAF,All Australian 50,5324.6,5358.6,5415.7,5412.2,5457.1,5459.2,5412.2,44.9,0.83,5457.1,5324.6,191.7,3.64,5457.1,5175.5,141.6,2.66,5472.3,5175.5,-0.7,-0.01,5472.3,5175.5,366.0,7.19,44792.8,45078.8,45558.5,45529.6,45907.2,45907.2,44792.8,1613.0,3.64,45907.2,43505.3,1225.0,2.74,46001.0,43505.3,28.8,0.06,46381.3,39049.4,4947.8,12.08,,
XAT,All Australian 200,5180.0,5212.8,5268.6,5265.5,5313.9,5313.9,5265.5,48.4,0.92,5313.9,5180.0,189.0,3.69,5313.9,5028.8,145.1,2.81,5320.6,5028.8,9.2,0.17,5320.6,5028.8,299.7,5.98,43316.3,43592.3,44060.5,44035.0,44440.1,44440.1,43316.3,1587.4,3.70,44440.1,42022.3,1249.0,2.89,44459.5,42022.3,112.7,0.25,44742.6,37733.6,4287.7,10.68,,
XTL,S&P/ASX 20,3282.6,3307.3,3337.4,3334.5,3361.7,3362.1,3334.5,27.2,0.82,3361.7,3282.6,120.4,3.71,3361.7,3184.2,83.5,2.55,3385.4,3184.2,-16.7,-0.50,3385.4,3184.2,242.2,7.76,54231.0,54639.7,55137.2,55088.5,55538.7,55538.7,54231.0,1989.3,3.71,55538.7,52576.0,1411.0,2.61,55897.9,52576.0,-244.0,-0.44,56458.8,47032.2,6254.5,12.69,,
XFL,S&P/ASX 50,5388.6,5423.6,5480.2,5478.0,5522.8,5524.9,5478.0,44.8,0.82,5522.8,5388.6,193.7,3.64,5522.8,5238.2,143.6,2.67,5541.7,5238.2,-4.1,-0.07,5541.7,5238.2,387.7,7.55,45255.6,45549.9,46025.4,46006.6,46382.7,46382.7,45255.6,1626.8,3.63,46382.7,43959.9,1239.1,2.74,46507.3,43959.9,-0.2,-0.00,46862.3,39422.6,5125.0,12.42,,
XTO,S&P/ASX 100,4335.8,4363.1,4408.7,4407.3,4445.9,4446.5,4407.3,38.6,0.88,4445.9,4335.8,156.9,3.66,4445.9,4210.6,118.2,2.73,4457.1,4210.6,0.7,0.01,4457.1,4210.6,301.4,7.27,11026.3,11096.3,11212.7,11209.2,11307.4,11307.4,11026.3,400.6,3.67,11307.4,10700.4,309.5,2.81,11327.0,10700.4,10.7,0.09,11384.6,9607.8,1216.6,12.06,,
XJO,S&P/ASX 200,5222.1,5254.5,5310.1,5308.1,5356.3,5356.3,5308.1,48.2,0.91,5356.3,5222.1,189.8,3.67,5356.3,5070.3,144.3,2.77,5367.9,5070.3,4.1,0.08,5367.9,5070.3,322.4,6.40,43581.2,43853.2,44318.4,44302.9,44705.2,44705.2,43581.2,1591.0,3.69,44705.2,42284.9,1239.0,2.85,44766.0,42284.9,70.1,0.16,45009.1,37962.9,4460.7,11.08,,
XVI,S&P/ASX 200 VIX,15.274,0.147,14.444,13.640,12.670,13.215,12.560,-0.806,-5.98,15.274,0.147,-3.874,-23.42,18.372,0.147,-0.967,-7.09,18.372,0.147,1.108,9.58,21.700,0.147,-5021.248,-99.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5177.3,5209.2,5263.6,5262.1,5309.5,5309.5,5262.1,47.4,0.90,5309.5,5177.3,186.4,3.64,5309.5,5027.6,142.7,2.76,5320.8,5027.6,4.7,0.09,5320.8,5027.6,300.7,6.00,43059.1,43326.8,43780.6,43768.7,44163.6,44163.6,43059.1,1558.3,3.66,44163.6,41785.8,1221.1,2.84,44221.7,41785.8,74.8,0.17,44475.2,37491.8,4243.1,10.63,,
XMD,S&P/ASX MidCap 50,4258.0,4277.3,4322.5,4323.9,4383.8,4383.8,4323.9,59.9,1.39,4383.8,4258.0,163.4,3.87,4383.8,4099.4,139.3,3.28,4383.8,4099.4,34.3,0.79,4383.8,4099.4,203.5,4.87,11177.0,11232.8,11355.7,11361.4,11518.7,11518.7,11177.0,443.2,4.00,11518.7,10758.1,379.8,3.41,11518.7,10758.1,104.3,0.91,11518.7,9756.1,938.7,8.87,,
XSO,S&P/ASX Small Ords,2156.0,2166.1,2188.3,2188.8,2214.9,2215.0,2188.8,26.1,1.19,2214.9,2156.0,72.9,3.40,2214.9,2092.8,66.7,3.10,2214.9,2092.8,21.3,0.97,2214.9,2092.8,-199.6,-8.27,5315.1,5340.0,5394.9,5396.1,5461.1,5461.1,5315.1,183.3,3.47,5461.1,5156.7,169.1,3.20,5461.1,5156.7,57.7,1.07,5753.7,4574.9,-308.9,-5.35,,
XDJ,Consumer Discretionary,1767.2,1767.0,1780.5,1786.7,1806.8,1806.8,1784.1,20.1,1.12,1806.8,1767.0,50.6,2.88,1820.5,1715.0,36.7,2.07,1833.3,1715.0,-24.3,-1.33,1833.3,1715.0,296.9,19.67,13141.9,13153.2,13253.8,13300.0,13452.3,13452.3,13141.9,411.0,3.15,13519.2,12735.0,307.8,2.34,13614.0,12735.0,-145.0,-1.07,13614.0,10787.5,2579.8,23.73,,
XSJ,Consumer Staples,9870.8,9873.1,9931.3,9975.8,10072.2,10072.2,9975.8,96.4,0.97,10072.2,9870.8,238.9,2.43,10072.2,9567.9,217.9,2.21,10073.3,9567.9,56.2,0.56,10073.3,9567.9,405.9,4.20,79020.0,79037.9,79503.6,79860.3,80631.7,80631.7,79020.0,1911.9,2.43,80631.7,76594.5,1743.8,2.21,80640.5,76594.5,449.8,0.56,83265.0,71737.8,6434.6,8.67,,
XEJ,Energy,13485.0,13485.5,13596.4,13625.2,13688.8,13766.5,13625.2,63.6,0.47,13688.8,13485.0,267.1,1.99,13688.8,13017.6,539.7,4.10,13688.8,13017.6,65.9,0.48,13688.8,13017.6,391.2,2.94,94800.4,94803.9,95583.6,95785.9,96233.2,96233.2,94800.4,1877.8,1.99,96233.2,91514.2,3794.4,4.10,96233.2,91514.2,463.2,0.48,101032.3,83100.5,5309.7,5.84,,
XFJ,Financials,5670.0,5738.1,5803.2,5790.7,5834.9,5834.9,5790.7,44.2,0.76,5834.9,5670.0,238.3,4.26,5834.9,5503.9,101.0,1.76,5887.2,5503.9,-40.8,-0.69,5887.2,5503.9,578.4,11.00,56215.7,56891.1,57536.0,57412.7,57850.4,57850.4,56215.7,2362.7,4.26,57850.4,54492.0,1083.7,1.91,58283.9,54492.0,-319.6,-0.55,59476.0,49323.3,8382.4,16.95,,
