Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-11-27T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 22,Nov 23,Nov 24,Nov 25,Nov 26,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 22,Nov 23,Nov 24,Nov 25,Nov 26,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4731.8,4676.9,4673.2,4683.3,4690.2,4706.6,4685.6,6.9,0.15,4731.8,4673.2,-27.5,-0.58,4872.9,4673.2,-71.3,-1.50,5024.1,4250.6,-192.5,-3.94,5024.1,4250.6,93.0,2.02,33932.5,33539.0,33512.9,33585.6,33634.9,33932.5,33512.9,-194.1,-0.57,34818.5,33512.9,-327.4,-0.96,35111.0,29893.9,-63.7,-0.19,35111.0,29893.9,1951.9,6.16,,
XAF,All Australian 50,4603.0,4549.6,4545.1,4552.0,4557.6,4576.0,4553.7,5.6,0.12,4603.0,4545.1,-32.0,-0.70,4770.5,4545.1,-97.6,-2.10,5017.2,4220.3,-305.0,-6.27,5017.2,4220.3,-13.4,-0.29,33538.9,33149.7,33117.3,33167.5,33207.9,33538.9,33117.3,-233.3,-0.70,34588.5,33117.3,-464.2,-1.38,35500.5,30076.1,-745.4,-2.20,35500.5,30076.1,1315.4,4.12,,
XAT,All Australian 200,4646.2,4591.8,4587.8,4596.5,4601.0,4619.7,4596.8,4.5,0.10,4646.2,4587.8,-31.0,-0.67,4804.5,4587.8,-90.4,-1.93,5001.2,4218.4,-269.9,-5.54,5001.2,4218.4,26.6,0.58,33780.5,33384.8,33355.7,33418.8,33451.5,33780.5,33355.7,-224.2,-0.67,34783.3,33355.7,-442.5,-1.31,35368.8,30043.8,-560.0,-1.65,35368.8,30043.8,1554.9,4.87,,
XTL,S&P/ASX 20,2772.6,2741.0,2737.8,2742.0,2744.8,2757.5,2742.2,2.8,0.10,2772.6,2737.8,-20.1,-0.73,2891.9,2737.8,-61.1,-2.18,3060.6,2560.9,-204.8,-6.94,3060.6,2560.9,-34.1,-1.23,39603.9,39152.3,39106.3,39166.6,39206.6,39603.9,39106.3,-286.3,-0.73,41075.1,39106.3,-529.2,-1.33,42369.7,35716.1,-1074.9,-2.67,42369.7,35716.1,1255.9,3.31,,
XFL,S&P/ASX 50,4613.8,4560.3,4555.3,4562.9,4568.7,4586.8,4564.7,5.8,0.13,4613.8,4555.3,-31.9,-0.69,4781.8,4555.3,-98.3,-2.11,5036.9,4235.3,-310.3,-6.36,5036.9,4235.3,-16.5,-0.36,33593.4,33204.5,33167.7,33222.8,33265.3,33593.4,33167.7,-232.2,-0.69,34648.0,33167.7,-470.4,-1.39,35624.5,30164.1,-788.0,-2.31,35624.5,30164.1,1282.6,4.01,,
XTO,S&P/ASX 100,3779.3,3736.1,3731.4,3737.9,3741.3,3756.6,3738.0,3.4,0.09,3779.3,3731.4,-26.9,-0.71,3907.0,3731.4,-73.0,-1.91,4095.8,3455.4,-246.5,-6.18,4095.8,3455.4,-2.1,-0.06,8343.2,8248.0,8237.4,8251.7,8259.3,8343.2,8237.4,-59.5,-0.71,8586.8,8237.4,-105.2,-1.26,8789.4,7468.5,-188.7,-2.23,8789.4,7468.5,339.4,4.29,,
XJO,S&P/ASX 200,4643.5,4589.1,4584.6,4593.4,4598.3,4616.5,4594.0,4.9,0.11,4643.5,4584.6,-30.9,-0.67,4800.6,4584.6,-89.5,-1.91,5001.9,4222.1,-272.3,-5.59,5001.9,4222.1,26.2,0.57,33727.5,33331.9,33299.8,33363.5,33399.2,33727.5,33299.8,-222.6,-0.66,34722.4,33299.8,-437.4,-1.29,35345.6,30045.0,-586.6,-1.73,35345.6,30045.0,1540.7,4.84,,
XKO,S&P/ASX 300,4652.5,4598.0,4594.8,4602.2,4607.1,4624.9,4602.6,4.9,0.11,4652.5,4594.8,-30.5,-0.66,4805.9,4594.8,-86.0,-1.83,4995.0,4214.7,-261.1,-5.36,4995.0,4214.7,32.9,0.72,33722.3,33327.5,33304.5,33358.1,33393.6,33722.3,33304.5,-219.9,-0.65,34692.1,33304.5,-416.1,-1.23,35236.9,29938.5,-521.9,-1.54,35236.9,29938.5,1570.7,4.94,,
XMD,S&P/ASX Midcap 50,4306.1,4262.1,4250.9,4260.9,4253.0,4274.2,4245.7,-7.9,-0.19,4306.1,4250.9,-37.9,-0.88,4364.4,4220.1,-17.3,-0.40,4548.5,3797.0,-208.6,-4.67,4548.5,3797.0,101.2,2.44,9923.6,9822.1,9796.3,9819.3,9801.3,9923.6,9796.3,-87.3,-0.88,10048.9,9704.6,-18.8,-0.19,10139.9,8628.5,-144.9,-1.46,10139.9,8628.5,602.3,6.55,,
XSO,S&P/ASX Small Ords,2728.7,2689.1,2702.6,2703.5,2710.2,2717.1,2703.6,6.7,0.25,2728.7,2689.1,-3.0,-0.11,2799.5,2689.0,-28.3,-1.03,2799.5,2229.7,85.0,3.24,2799.5,2229.7,217.3,8.72,6116.3,6027.4,6058.3,6060.4,6075.3,6116.3,6027.4,-3.3,-0.06,6271.4,6024.4,-58.4,-0.95,6271.4,4946.8,323.7,5.63,6271.4,4946.8,627.2,11.51,,
