Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-12-07T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5273.5,5249.6,5267.5,5196.9,5186.0,5197.4,5156.8,-10.9,-0.21,5273.5,5186.0,-128.3,-2.41,5415.4,5186.0,-240.0,-4.42,5437.3,5437.3,521.4,11.18,5437.3,5437.3,630.1,13.83,43113.3,42917.9,43064.2,42487.3,42398.4,43113.3,42398.4,-1047.4,-2.41,44158.9,42398.4,-1703.3,-3.86,44191.5,37020.3,5755.8,15.71,44191.5,35778.3,6674.0,18.68,,
XAF,All Australian 50,5404.0,5381.5,5401.0,5321.4,5309.8,5324.6,5275.5,-11.6,-0.22,5404.0,5309.8,-135.4,-2.49,5543.0,5309.8,-250.6,-4.51,5561.2,5561.2,612.1,13.03,5561.2,5561.2,703.7,15.28,45355.1,45166.8,45330.5,44662.2,44564.9,45355.1,44564.9,-1136.0,-2.49,46381.3,44564.9,-1764.3,-3.81,46381.3,38052.6,6802.7,18.01,46381.3,37042.0,7587.8,20.52,,
XAT,All Australian 200,5235.6,5211.6,5229.3,5154.5,5142.5,5155.1,5111.5,-12.0,-0.23,5235.6,5142.5,-133.9,-2.54,5379.4,5142.5,-248.6,-4.61,5399.5,5399.5,511.2,11.04,5399.5,5399.5,608.3,13.41,43667.8,43467.7,43615.6,42991.5,42891.7,43667.8,42891.7,-1116.8,-2.54,44742.6,42891.7,-1782.0,-3.99,44742.6,37380.5,5837.3,15.75,44742.6,36265.2,6678.3,18.44,,
XTL,S&P/ASX 20,3339.5,3324.2,3339.0,3287.8,3280.9,3289.6,3256.1,-6.9,-0.21,3339.5,3280.9,-84.8,-2.52,3430.9,3280.9,-164.2,-4.77,3445.1,3445.1,414.3,14.45,3445.1,3445.1,469.5,16.70,55139.5,54887.3,55132.0,54286.8,54172.3,55139.5,54172.3,-1400.4,-2.52,56458.8,54172.3,-2224.2,-3.94,56458.8,45563.7,8913.1,19.69,56458.8,44410.4,9783.5,22.04,,
XFL,S&P/ASX 50,5469.3,5447.3,5466.7,5386.0,5374.3,5388.8,5339.1,-11.7,-0.22,5469.3,5374.3,-136.7,-2.48,5609.6,5374.3,-253.1,-4.50,5628.4,5628.4,641.7,13.56,5628.4,5628.4,733.0,15.79,45827.6,45643.5,45806.1,45130.0,45032.1,45827.6,45032.1,-1145.2,-2.48,46862.3,45032.1,-1780.2,-3.80,46862.3,38295.2,7040.4,18.53,46862.3,37277.9,7822.4,21.02,,
XTO,S&P/ASX 100,4390.3,4372.2,4385.9,4322.5,4311.6,4323.2,4285.3,-10.9,-0.25,4390.3,4311.6,-111.3,-2.52,4500.7,4311.6,-199.9,-4.43,4513.5,4513.5,490.9,12.85,4513.5,4513.5,566.6,15.13,11137.3,11091.5,11126.2,10965.5,10937.7,11137.3,10937.7,-282.5,-2.52,11384.6,10937.7,-429.9,-3.78,11384.6,9380.5,1643.0,17.68,11384.6,9110.4,1842.9,20.26,,
XJO,S&P/ASX 200,5279.5,5256.1,5273.8,5198.0,5186.0,5198.6,5154.6,-12.0,-0.23,5279.5,5186.0,-134.1,-2.52,5422.0,5186.0,-247.8,-4.56,5441.4,5441.4,537.1,11.55,5441.4,5441.4,634.2,13.93,43947.7,43752.6,43899.7,43268.8,43169.4,43947.7,43169.4,-1115.7,-2.52,45009.1,43169.4,-1772.6,-3.94,45009.1,37467.1,6034.9,16.25,45009.1,36346.8,6875.3,18.94,,
XVI,S&P/ASX 200 VIX,13.572,13.685,13.229,14.887,15.335,15.826,15.068,0.448,3.01,15.335,13.229,2.513,19.60,15.335,12.217,2.944,23.76,21.700,11.776,-4633.615,-99.67,21.700,11.776,-4536.423,-99.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5231.1,5207.3,5224.3,5150.1,5139.0,5150.8,5108.0,-11.1,-0.22,5231.1,5139.0,-132.2,-2.51,5373.1,5139.0,-245.6,-4.56,5395.3,5395.3,512.7,11.08,5395.3,5395.3,610.5,13.48,43396.0,43198.6,43339.6,42724.2,42632.0,43396.0,42632.0,-1096.7,-2.51,44452.6,42632.0,-1756.5,-3.96,44475.2,37184.2,5791.9,15.72,44475.2,36051.7,6634.1,18.43,,
XMD,S&P/ASX MidCap 50,4223.4,4202.3,4199.5,4150.4,4126.6,4150.4,4107.9,-23.8,-0.57,4223.4,4126.6,-121.2,-2.85,4326.4,4126.6,-165.1,-3.85,4326.4,4326.4,263.6,6.82,4326.4,4326.4,357.4,9.48,11043.9,10988.8,10981.4,10852.9,10790.8,11043.9,10790.8,-316.9,-2.85,11293.7,10790.8,-401.8,-3.59,11293.7,9756.1,1021.5,10.46,11293.7,9487.5,1308.6,13.80,,
XSO,S&P/ASX Small Ords,2122.9,2101.7,2112.0,2088.7,2093.8,2093.8,2080.5,5.1,0.24,2122.9,2088.7,-51.2,-2.39,2233.1,2088.7,-137.4,-6.16,2414.5,2414.5,-186.9,-8.19,2414.5,2414.5,-103.7,-4.72,5214.8,5162.7,5188.0,5130.8,5143.4,5214.8,5130.8,-125.7,-2.39,5481.9,5130.8,-333.9,-6.10,5770.0,4574.9,-301.5,-5.54,5770.0,4574.9,-90.8,-1.74,,
