Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-12-03T23:15:14+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 28,Nov 29,Nov 30,Dec 1,Dec 2,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 28,Nov 29,Nov 30,Dec 1,Dec 2,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4125.8,4167.3,4184.7,4288.1,4346.3,4346.3,4285.2,58.2,1.36,4346.3,4125.8,288.7,7.12,4406.2,4057.6,95.0,2.23,5064.9,3927.6,-500.6,-10.33,5064.9,3927.6,-433.8,-9.08,30886.0,31196.7,31326.7,32102.0,32537.4,32537.4,30886.0,2163.3,7.12,32859.0,30374.1,908.7,2.87,36827.4,29204.1,-2275.4,-6.54,36827.4,29204.1,-1746.0,-5.09,,
XAF,All Australian 50,4037.7,4081.9,4099.2,4207.7,4266.0,4266.0,4203.6,58.3,1.39,4266.0,4037.7,303.3,7.65,4326.5,3962.7,100.9,2.42,4939.1,3853.0,-416.2,-8.89,4939.1,3853.0,-386.3,-8.30,30834.1,31171.6,31303.9,32131.9,32577.2,32577.2,30834.1,2315.7,7.65,32873.3,30261.5,1028.8,3.26,36488.5,29181.9,-1569.4,-4.60,36488.5,29181.9,-1321.3,-3.90,,
XAT,All Australian 200,4054.9,4098.9,4117.4,4226.1,4285.7,4285.7,4222.6,59.6,1.41,4285.7,4054.9,304.8,7.66,4343.6,3980.9,103.4,2.47,4976.2,3855.4,-464.8,-9.78,4976.2,3855.4,-411.3,-8.76,30849.9,31184.2,31325.1,32152.8,32606.2,32606.2,30849.9,2319.9,7.66,32902.3,30286.3,1011.1,3.20,36695.0,29116.8,-1984.7,-5.74,36695.0,29116.8,-1544.6,-4.52,,
XTL,S&P/ASX 20,2438.7,2465.3,2473.3,2544.0,2580.2,2580.2,2540.6,36.2,1.42,2580.2,2438.7,190.2,7.96,2621.4,2390.0,53.1,2.10,2998.7,2334.2,-251.9,-8.90,2998.7,2334.2,-228.5,-8.14,36580.3,36978.9,37099.1,38159.3,38702.3,38702.3,36580.3,2852.8,7.96,39090.6,35849.6,1164.4,3.10,43396.5,34671.5,-1751.3,-4.33,43396.5,34671.5,-1416.8,-3.53,,
XFL,S&P/ASX 50,4062.3,4106.4,4123.3,4232.9,4291.7,4291.7,4228.8,58.8,1.39,4291.7,4062.3,305.2,7.65,4349.7,3986.5,103.2,2.46,4953.4,3876.7,-401.6,-8.56,4953.4,3876.7,-372.2,-7.98,30989.6,31326.2,31455.4,32291.3,32740.3,32740.3,30989.6,2328.3,7.66,33016.4,30412.0,1045.8,3.30,36564.0,29332.3,-1462.3,-4.28,36564.0,29332.3,-1218.0,-3.59,,
XTO,S&P/ASX 100,3309.4,3346.0,3361.2,3450.0,3497.2,3497.2,3447.0,47.2,1.37,3497.2,3309.4,248.3,7.64,3542.6,3248.9,84.3,2.47,4049.1,3155.5,-356.1,-9.24,4049.1,3155.5,-323.4,-8.46,7651.5,7736.0,7771.1,7976.5,8085.6,8085.6,7651.5,574.1,7.64,8153.6,7511.6,252.8,3.23,9067.0,7240.1,-432.8,-5.08,9067.0,7240.1,-348.7,-4.13,,
XJO,S&P/ASX 200,4058.2,4102.1,4119.8,4228.6,4288.0,4288.0,4225.3,59.4,1.40,4288.0,4058.2,303.7,7.62,4346.1,3984.3,103.4,2.47,4971.2,3863.9,-457.2,-9.64,4971.2,3863.9,-406.2,-8.65,30834.4,31167.9,31302.5,32130.4,32581.4,32581.4,30834.4,2308.2,7.62,32880.0,30273.2,1007.0,3.19,36617.7,29145.7,-1937.2,-5.61,36617.7,29145.7,-1515.4,-4.44,,
XKO,S&P/ASX 300,4057.2,4100.6,4119.1,4225.9,4285.1,4285.1,4222.6,59.2,1.40,4285.1,4057.2,300.9,7.55,4342.2,3984.2,102.5,2.45,4984.1,3860.9,-475.7,-9.99,4984.1,3860.9,-417.3,-8.87,30747.2,31076.1,31215.8,32026.6,32474.7,32474.7,30747.2,2280.9,7.55,32768.8,30193.7,993.0,3.15,36632.1,29050.7,-2085.7,-6.03,36632.1,29050.7,-1610.8,-4.73,,
XMD,S&P/ASX MidCap 50,3611.0,3656.6,3685.7,3779.1,3823.6,3823.6,3777.0,44.5,1.18,3823.6,3611.0,267.9,7.54,3870.5,3555.7,94.4,2.53,4573.1,3408.2,-643.9,-14.41,4573.1,3408.2,-531.4,-12.20,8684.5,8794.0,8864.0,9088.6,9195.7,9195.7,8684.5,644.3,7.53,9305.6,8551.3,235.1,2.62,10728.9,8186.5,-1152.9,-11.14,10728.9,8186.5,-840.7,-8.38,,
XSO,S&P/ASX Small Ords,2289.5,2306.1,2315.5,2364.3,2404.7,2404.7,2363.9,40.4,1.71,2404.7,2289.5,149.9,6.65,2445.2,2254.8,53.3,2.26,2946.3,2137.3,-487.8,-16.86,2946.3,2137.3,-347.7,-12.63,5278.5,5316.7,5338.5,5452.6,5545.8,5545.8,5278.5,347.4,6.68,5632.0,5198.4,132.2,2.44,6625.3,4915.5,-956.5,-14.71,6625.3,4915.5,-626.3,-10.15,,
XDJ,Consumer Discretionary,1201.1,1214.8,1220.3,1241.6,1258.9,1258.9,1241.6,17.3,1.39,1258.9,1201.1,70.4,5.92,1270.4,1188.5,25.3,2.05,1557.8,1140.6,-241.9,-16.12,1557.8,1140.6,-258.2,-17.02,8223.4,8316.8,8354.5,8500.0,8618.6,8618.6,8223.4,481.8,5.92,8697.3,8136.8,180.3,2.14,10210.5,7636.0,-1163.8,-11.90,10210.5,7636.0,-1269.9,-12.84,,
XSJ,Consumer Staples,7411.4,7438.9,7444.2,7599.3,7745.9,7745.9,7597.2,146.6,1.93,7745.9,7411.4,342.3,4.62,7747.8,7403.6,276.3,3.70,8013.9,7011.2,31.4,0.41,8013.9,7011.2,65.7,0.86,54157.8,54358.9,54397.4,55548.7,56620.2,56620.2,54157.8,2519.3,4.66,56620.2,54101.0,2037.0,3.73,56701.2,49979.4,2822.4,5.25,56701.2,49979.4,3110.8,5.81,,
XEJ,Energy,13187.6,13346.2,13415.6,13751.2,13953.4,13953.4,13742.8,202.2,1.47,13953.4,13187.6,914.8,7.02,14202.9,13038.6,209.0,1.52,17736.5,11605.0,-2161.0,-13.41,17736.5,11605.0,-1801.8,-11.44,87935.8,88993.7,89456.6,91693.9,93042.8,93042.8,87935.8,6100.2,7.02,94706.3,86942.6,1394.1,1.52,116809.6,77383.0,-12050.4,-11.47,116809.6,77383.0,-9707.9,-9.45,,
XFJ,Financials,3821.7,3879.1,3914.7,4010.6,4078.9,4078.9,4008.2,68.3,1.70,4078.9,3821.7,351.6,9.43,4129.3,3727.3,68.3,1.70,4666.6,3596.7,-282.9,-6.49,4666.6,3596.7,-249.7,-5.77,33617.3,34122.8,34436.2,35279.3,35880.0,35880.0,33617.3,3092.3,9.43,35954.7,32787.7,1200.5,3.46,38822.8,30965.7,-183.6,-0.51,38822.8,30965.7,173.9,0.49,,
XXJ,Financial-x-A-REIT,4388.4,4442.4,4479.3,4610.2,4692.5,4692.5,4607.0,82.3,1.79,4692.5,4388.4,439.2,10.33,4778.2,4253.3,37.7,0.81,5430.9,4119.7,-371.3,-7.33,5430.9,4119.7,-314.3,-6.28,37119.3,37575.3,37888.2,38995.4,39691.0,39691.0,37119.3,3714.7,10.33,39927.6,35976.2,1113.5,2.89,43285.0,34142.5,-449.8,-1.12,43285.0,34142.5,3.0,0.01,,
XHJ,Health Care,7674.9,7773.6,7842.3,7957.6,8103.2,8103.2,7957.6,145.6,1.83,8103.2,7674.9,484.7,6.36,8103.2,7551.3,549.4,7.27,9186.8,7082.8,-830.0,-9.29,9186.8,7082.8,-634.0,-7.26,45795.7,46384.7,46794.7,47482.2,48351.0,48351.0,45795.7,2891.9,6.36,48351.0,45034.8,3301.1,7.33,53892.5,41891.0,-3470.2,-6.70,53892.5,41891.0,-2333.1,-4.60,,
XNJ,Industrials,3316.7,3365.8,3387.5,3470.0,3512.8,3512.8,3456.2,42.8,1.23,3512.8,3316.7,247.7,7.59,3512.8,3265.1,230.0,7.01,3870.5,3031.9,-223.7,-5.99,3870.5,3031.9,-251.8,-6.69,25171.9,25544.4,25709.7,26335.4,26660.2,26660.2,25171.9,1880.0,7.59,26660.2,24780.1,1756.7,7.05,28566.6,22990.4,-900.1,-3.27,28566.6,22990.4,-945.2,-3.42,,
XIJ,Info Technology,500.6,501.1,500.3,511.6,508.6,511.9,507.0,-3.0,-0.59,511.6,500.3,9.3,1.87,532.1,474.0,29.8,6.23,666.6,458.0,-136.1,-21.11,666.6,458.0,-114.3,-18.35,3059.2,3062.2,3057.8,3126.7,3108.2,3126.7,3057.8,57.0,1.87,3251.7,2896.6,182.2,6.23,3919.5,2743.0,-682.7,-18.01,3919.5,2743.0,-554.4,-15.14,,
XMJ,Materials,10896.7,10954.5,10930.1,11361.4,11468.8,11468.8,11284.7,107.4,0.95,11468.8,10896.7,834.3,7.85,11989.3,10634.5,144.3,1.27,15046.2,10436.7,-2611.8,-18.55,15046.2,10436.7,-2303.9,-16.73,70517.0,70891.3,70733.2,73524.4,74219.6,74219.6,70517.0,5399.2,7.85,77484.2,68820.4,1031.4,1.41,96133.1,67434.3,-14991.6,-16.80,96133.1,67434.3,-13040.7,-14.94,,
XPJ,A-REIT,778.5,800.9,811.7,812.6,823.1,823.1,811.6,10.5,1.29,823.1,778.5,39.9,5.09,823.1,767.2,50.3,6.52,887.0,708.9,-16.7,-1.99,887.0,708.9,-27.4,-3.22,18785.0,19327.6,19587.2,19608.9,19862.3,19862.3,18785.0,962.1,5.09,19862.3,18512.7,1215.0,6.52,20646.7,17036.7,508.4,2.63,20646.7,17036.7,542.7,2.81,,
