Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-11-14T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 9,Nov 10,Nov 11,Nov 12,Nov 13,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 6,Nov 9,Nov 10,Nov 11,Nov 12,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5180.3,5157.7,5181.1,5182.2,5111.8,5182.2,5071.8,-70.4,-1.36,5182.2,5111.8,-157.9,-3.00,5388.1,5111.8,-122.8,-2.35,5954.8,4958.1,-276.8,-5.14,5954.8,4958.1,-322.0,-5.93,46876.7,46097.4,45896.6,46200.7,46214.3,46214.3,45896.6,-662.5,-1.41,47752.2,45896.6,-175.0,-0.38,51568.0,43929.2,167.3,0.36,51568.0,43763.4,-106.4,-0.23,,
XAF,All Australian 50,5109.4,5090.7,5113.8,5120.3,5044.0,5120.3,5004.7,-76.3,-1.49,5120.3,5044.0,-168.5,-3.23,5381.2,5044.0,-199.1,-3.80,6081.0,4950.0,-454.2,-8.26,6081.0,4950.0,-506.2,-9.12,47892.3,46967.9,46796.2,47143.8,47203.6,47203.6,46796.2,-688.7,-1.44,49204.8,46796.2,-738.7,-1.54,54222.3,45262.3,-1162.8,-2.40,54222.3,45262.3,-1519.8,-3.12,,
XAT,All Australian 200,5066.3,5046.3,5069.3,5072.4,4999.1,5072.4,4958.4,-73.3,-1.45,5072.4,4999.1,-163.1,-3.16,5300.5,4999.1,-154.8,-3.00,5926.9,4871.4,-364.0,-6.79,5926.9,4871.4,-410.7,-7.59,46977.1,46122.9,45941.3,46260.4,46290.2,46290.2,45941.3,-686.8,-1.46,48036.3,45941.3,-416.9,-0.89,52442.3,44141.5,-530.6,-1.13,52442.3,44141.5,-828.2,-1.76,,
XTL,S&P/ASX 20,3044.5,3035.7,3048.5,3058.4,3011.9,3058.4,2989.5,-46.5,-1.52,3058.4,3011.9,-92.8,-2.99,3240.8,3011.9,-145.8,-4.62,3760.5,2963.6,-386.9,-11.38,3760.5,2963.6,-420.9,-12.26,56307.3,55250.6,55091.9,55532.2,55712.3,55712.3,55091.9,-594.9,-1.06,58406.7,55091.9,-1196.6,-2.10,65985.5,53410.1,-3043.5,-5.18,65985.5,53410.1,-3631.5,-6.12,,
XFL,S&P/ASX 50,5164.2,5145.4,5168.9,5175.3,5098.7,5175.3,5058.7,-76.6,-1.48,5175.3,5098.7,-169.8,-3.22,5439.4,5098.7,-200.8,-3.79,6152.9,5002.4,-464.7,-8.35,6152.9,5002.4,-517.1,-9.21,48322.1,47388.7,47216.0,47568.0,47627.4,47627.4,47216.0,-694.7,-1.44,49650.1,47216.0,-745.3,-1.54,54764.7,45661.4,-1223.1,-2.50,54764.7,45661.4,-1581.4,-3.21,,
XTO,S&P/ASX 100,4253.9,4237.3,4257.5,4259.7,4198.1,4259.7,4163.7,-61.6,-1.45,4259.7,4198.1,-135.9,-3.14,4457.0,4198.1,-137.5,-3.17,4996.2,4097.0,-314.9,-6.98,4996.2,4097.0,-344.6,-7.59,12008.2,11791.2,11745.4,11831.0,11837.8,11837.8,11745.4,-170.4,-1.42,12295.0,11745.4,-122.3,-1.02,13449.8,11301.0,-151.1,-1.26,13449.8,11301.0,-202.4,-1.68,,
XJO,S&P/ASX 200,5119.5,5099.2,5122.6,5125.7,5051.3,5125.7,5010.4,-74.4,-1.45,5125.7,5051.3,-163.7,-3.14,5351.6,5051.3,-151.6,-2.91,5982.7,4918.4,-359.7,-6.65,5982.7,4918.4,-403.0,-7.39,47353.1,46504.5,46320.5,46642.4,46672.5,46672.5,46320.5,-680.6,-1.44,48394.2,46320.5,-376.2,-0.80,52822.2,44471.4,-466.8,-0.99,52822.2,44471.4,-733.0,-1.55,,
XVI,S&P/ASX 200 VIX,20.678,20.320,19.394,19.389,21.178,22.406,20.923,1.789,9.23,21.178,19.389,2.276,12.04,21.178,16.844,0.306,1.47,30.244,0.171,6.597,45.24,30.244,0.171,8.378,65.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5076.7,5056.2,5079.2,5082.3,5009.3,5082.3,4970.0,-73.0,-1.44,5082.3,5009.3,-160.6,-3.11,5301.5,5009.3,-143.1,-2.78,5912.7,4873.4,-339.6,-6.35,5912.7,4873.4,-382.1,-7.09,46757.8,45932.5,45747.5,46061.4,46091.6,46091.6,45747.5,-666.2,-1.42,47755.0,45747.5,-319.2,-0.69,52008.8,43892.1,-334.0,-0.72,52008.8,43892.1,-591.5,-1.27,,
XMD,S&P/ASX MidCap 50,5021.4,4993.3,5023.7,5000.5,4940.7,5000.5,4887.6,-59.8,-1.20,5023.7,4940.7,-126.8,-2.50,5076.5,4887.8,71.1,1.46,5363.8,4637.4,193.2,4.07,5363.8,4637.4,271.4,5.81,14217.7,14088.4,14009.5,14094.8,14035.2,14094.8,14009.5,-182.6,-1.28,14243.0,13644.2,391.0,2.87,14759.9,12623.2,1115.6,8.64,14759.9,12194.4,1382.5,10.93,,
