Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-05-03T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Apr 28,Apr 29,Apr 30,May 1,May 2,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Apr 28,Apr 29,Apr 30,May 1,May 2,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XSO,S&P/ASX Small Ords,2174.5,2150.1,2160.7,2141.1,2132.1,2142.0,2128.6,-9.0,-0.42,2174.5,2132.1,-60.2,-2.75,2192.3,2129.9,-35.5,-1.64,2277.1,2092.8,-61.5,-2.80,2277.1,2092.8,-17.3,-0.81,5418.3,5357.3,5383.8,5335.0,5312.5,5418.3,5312.5,-150.0,-2.75,5462.5,5306.8,-85.4,-1.58,5645.9,5156.7,-90.9,-1.68,5645.9,4574.9,126.2,2.43,,
XDJ,Consumer Discretionary,1855.3,1832.6,1838.7,1826.0,1827.4,1830.3,1815.9,1.4,0.08,1855.3,1826.0,-32.4,-1.74,1859.8,1797.2,1.5,0.08,1913.4,1715.0,-3.7,-0.20,1913.4,1715.0,193.0,11.81,13983.7,13812.7,13858.9,13762.6,13773.5,13983.7,13762.6,-244.4,-1.74,14017.9,13541.6,34.2,0.25,14336.1,12735.0,176.2,1.30,14336.1,10960.6,1837.0,15.39,,
XSJ,Consumer Staples,10316.1,10164.7,10050.4,9960.4,10007.8,10025.0,9956.0,47.4,0.48,10316.1,9960.4,-209.4,-2.05,10316.1,9730.2,278.4,2.86,10316.1,9567.9,-8.2,-0.08,10316.1,9567.9,-435.0,-4.17,84134.8,82899.9,81967.6,81233.7,81620.1,84134.8,81233.7,-1708.3,-2.05,84134.8,79349.6,2270.5,2.86,84134.8,76594.5,1438.2,1.79,84134.8,71737.8,65.3,0.08,,
XEJ,Energy,14155.1,14066.7,14114.7,14059.4,14011.9,14075.9,13996.7,-47.5,-0.34,14155.1,14011.9,-144.3,-1.02,14163.5,13529.5,482.9,3.57,14163.5,13017.6,389.0,2.86,14163.5,13017.6,1284.5,10.09,101142.7,100511.1,100853.9,100458.9,100119.4,101142.7,100119.4,-1031.1,-1.02,101202.6,96669.2,3450.3,3.57,101202.6,91514.2,4349.5,4.54,101202.6,84450.3,11973.9,13.58,,
XFJ,Financials,6215.0,6167.0,6151.6,6103.7,6121.4,6123.3,6080.9,17.7,0.29,6215.0,6103.7,-68.3,-1.10,6215.0,5979.3,88.3,1.46,6215.0,5503.9,245.7,4.18,6215.0,5503.9,319.3,5.50,62140.3,61660.2,61506.0,61027.4,61204.1,62140.3,61027.4,-683.2,-1.10,62140.3,59772.8,893.4,1.48,62140.3,54492.0,3034.0,5.22,62140.3,49323.3,6149.3,11.17,,
XXJ,Financial-x-A-REIT,7363.2,7299.6,7273.7,7216.2,7245.0,7248.3,7191.7,28.8,0.40,7363.2,7216.2,-88.1,-1.20,7363.2,7083.3,70.4,0.98,7363.2,6467.5,263.4,3.77,7363.2,6467.5,492.7,7.30,70561.9,69952.1,69704.4,69152.7,69428.9,70561.9,69152.7,-845.1,-1.20,70561.9,67865.5,689.0,1.00,70561.9,61376.9,3172.8,4.79,70561.9,54895.6,7974.6,12.98,,
XHJ,Health Care,14218.9,14158.8,14304.4,14246.2,14355.4,14374.2,14245.8,109.2,0.77,14355.4,14158.8,57.5,0.40,14603.1,14011.7,-93.1,-0.64,14937.8,13849.2,-11.9,-0.08,14937.8,13849.2,1405.7,10.86,90007.8,89626.9,90548.6,90180.3,90871.7,90871.7,89626.9,364.0,0.40,92439.6,88696.1,-555.9,-0.61,94445.0,86829.4,824.9,0.92,94445.0,76975.9,10704.6,13.35,,
XNJ,Industrials,4098.0,4062.7,4064.7,4057.5,4087.1,4091.3,4050.4,29.6,0.73,4098.0,4057.5,-17.6,-0.43,4104.7,3971.9,32.3,0.80,4158.4,3771.2,118.2,2.98,4158.4,3771.2,310.9,8.23,34262.6,33967.4,33984.1,33923.7,34171.0,34262.6,33923.7,-147.7,-0.43,34318.7,33207.9,288.1,0.85,34654.3,31167.8,1369.5,4.18,34654.3,28042.2,3782.9,12.45,,
XIJ,Info Technology,793.4,788.1,787.9,787.0,788.8,791.8,781.1,1.8,0.23,793.4,787.0,-5.2,-0.66,795.1,745.4,3.0,0.39,813.5,702.5,47.3,6.38,813.5,702.5,116.3,17.29,5262.4,5227.2,5225.6,5219.7,5231.6,5262.4,5219.7,-34.6,-0.66,5273.8,4943.9,20.1,0.39,5395.4,4603.8,372.4,7.66,5395.4,4277.0,888.7,20.46,,
XMJ,Materials,10216.2,10104.7,10158.4,10045.7,10003.7,10045.7,9962.0,-42.0,-0.42,10216.2,10003.7,-298.8,-2.90,10393.0,10003.7,-172.3,-1.69,10774.9,9745.3,-206.0,-2.02,10774.9,9745.3,1005.8,11.18,71081.6,70305.8,70679.7,69895.3,69602.7,71081.6,69602.7,-2079.0,-2.90,72311.7,69602.7,-1197.8,-1.69,73944.4,66855.5,-438.5,-0.63,73944.4,55909.5,8957.0,14.77,,
XPJ,A-REIT,1060.5,1058.4,1062.7,1055.3,1051.1,1055.8,1046.3,-4.2,-0.40,1062.7,1051.1,-5.1,-0.48,1062.7,1006.1,46.1,4.59,1062.7,980.1,66.2,6.72,1062.7,980.1,-48.7,-4.43,29552.1,29494.7,29613.7,29407.5,29292.0,29613.7,29292.0,-141.6,-0.48,29613.7,28006.9,1285.0,4.59,29613.7,27037.3,2130.9,7.85,29914.8,26036.8,314.0,1.08,,
XTJ,Telecommunications,1811.3,1797.2,1819.0,1810.6,1810.7,1812.5,1802.3,0.1,0.01,1819.0,1797.2,5.0,0.28,1819.0,1759.4,39.1,2.21,1836.3,1741.3,-10.9,-0.60,1836.3,1741.3,56.4,3.22,21775.9,21606.0,21869.0,21767.7,21769.0,21869.0,21606.0,60.8,0.28,21869.0,21148.0,474.1,2.23,21869.0,20377.3,452.1,2.12,21869.0,17688.9,1799.7,9.01,,
XUJ,Utilities,5806.1,5734.4,5778.2,5753.2,5764.1,5769.9,5736.6,10.9,0.19,5806.1,5734.4,-21.7,-0.37,5806.1,5507.1,253.0,4.59,5806.1,5357.0,384.6,7.15,5806.1,5357.0,186.0,3.33,61023.6,60270.1,60730.4,60467.7,60582.1,61023.6,60270.1,-228.1,-0.38,61023.6,57881.4,2659.1,4.59,61023.6,55642.3,4706.3,8.42,61023.6,52194.2,5077.8,9.15,,
XMM,Metals & Mining,3315.4,3276.7,3294.3,3254.5,3238.2,3254.5,3223.8,-16.3,-0.50,3315.4,3238.2,-109.1,-3.26,3389.8,3238.2,-61.4,-1.86,3522.5,3142.1,-101.1,-3.03,3522.5,3142.1,283.9,9.61,4727.5,4672.2,4697.3,4640.6,4617.3,4727.5,4617.3,-155.6,-3.26,4833.5,4617.3,-87.5,-1.86,4948.8,4448.3,-73.3,-1.56,4948.8,3709.5,531.3,13.00,,
XGD,Gold,2358.8,2272.6,2278.6,2240.1,2199.9,2240.1,2187.3,-40.2,-1.79,2358.8,2199.9,-81.7,-3.58,2406.3,2192.2,11.1,0.51,2679.6,2003.5,301.5,15.88,2679.6,2003.5,-985.1,-30.93,2746.4,2646.0,2653.0,2608.2,2561.4,2746.4,2561.4,-95.1,-3.58,2801.7,2548.5,12.9,0.51,3119.4,2330.8,352.9,15.98,4024.5,2001.8,-1124.1,-30.50,,
XJR,S&P/ASX 200 Res,4209.2,4167.1,4186.2,4146.5,4128.7,4146.5,4116.0,-17.8,-0.43,4209.2,4128.7,-110.1,-2.60,4245.2,4128.7,-10.1,-0.24,4345.1,3970.3,-57.6,-1.38,4345.1,3970.3,378.7,10.10,22478.6,22253.7,22355.7,22143.7,22048.6,22478.6,22048.6,-588.4,-2.60,22670.8,22048.6,-54.2,-0.25,22908.0,20876.7,36.2,0.16,22908.0,17957.3,2633.0,13.56,,
,
