Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-03-05T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Feb 28,Mar 1,Mar 2,Mar 3,Mar 4,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Feb 28,Mar 1,Mar 2,Mar 3,Mar 4,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XDJ,Cons Discretionary,1520.8,1522.5,1507.3,1511.8,1530.8,1530.8,1511.2,19.0,1.26,1530.8,1507.3,14.0,0.92,1557.8,1507.3,-22.9,-1.47,1557.8,1495.6,30.0,2.00,1670.5,1424.3,-95.8,-5.89,9968.0,9994.6,9926.5,9967.3,10099.3,10099.3,9926.5,157.2,1.58,10210.5,9921.4,-27.7,-0.27,10210.5,9748.3,316.9,3.24,10680.0,9106.3,-229.5,-2.22,,
XSJ,Consumer Staples,7858.4,7889.7,7852.8,7870.0,7953.8,7955.7,7870.0,83.8,1.06,7953.8,7852.8,80.6,1.02,7955.5,7760.8,37.4,0.47,8013.9,7569.1,239.3,3.10,8415.1,7167.6,81.5,1.04,55460.6,55681.6,55421.1,55582.9,56175.1,56175.1,55421.1,695.7,1.25,56175.1,54582.1,969.9,1.76,56175.1,52783.5,2377.2,4.42,58402.4,48819.1,2920.8,5.48,,
XEJ,Energy,16424.9,16292.9,16273.3,16375.7,16419.8,16520.2,16369.1,44.1,0.27,16424.9,16273.3,174.4,1.07,16521.2,16094.8,117.7,0.72,16569.6,15916.5,305.4,1.90,16569.6,13714.7,1551.7,10.44,107790.9,107204.0,107126.8,107800.5,108091.0,108091.0,107126.8,1569.6,1.47,108091.0,105533.5,1774.1,1.67,108091.0,103802.3,2997.8,2.85,108091.0,88395.3,12317.9,12.86,,
XFJ,Financials,4539.2,4516.3,4493.3,4469.8,4513.9,4518.1,4475.6,44.1,0.99,4539.2,4469.8,-47.2,-1.04,4666.6,4469.8,-21.1,-0.47,4666.6,4326.9,152.1,3.49,5040.0,4077.7,-253.7,-5.32,37839.5,37649.0,37463.8,37290.5,37730.6,37839.5,37290.5,-216.7,-0.57,38822.8,37290.5,232.5,0.62,38822.8,35775.6,1666.9,4.62,39826.8,32702.7,67.9,0.18,,
XXJ,Financial-X-A-Reit,5263.9,5242.8,5212.9,5179.4,5221.8,5226.5,5187.5,42.4,0.82,5263.9,5179.4,-77.7,-1.47,5430.9,5179.4,-35.4,-0.67,5430.9,5008.8,158.0,3.12,5934.6,4674.3,-347.1,-6.23,42055.4,41886.9,41648.1,41411.1,41845.8,42055.4,41411.1,-394.6,-0.93,43285.0,41411.1,172.3,0.41,43285.0,39705.1,1705.1,4.25,44955.1,35932.3,-335.9,-0.80,,
XHJ,Health Care,8707.9,8645.7,8680.5,8801.9,8834.9,8845.1,8759.9,33.0,0.37,8834.9,8645.7,120.4,1.38,9107.6,8645.7,-212.3,-2.35,9175.5,8645.7,-98.3,-1.10,9195.2,7848.5,82.3,0.94,50622.1,50260.9,50462.8,51168.8,51491.3,51491.3,50260.9,830.7,1.64,52832.7,50260.9,-991.3,-1.89,53226.7,50260.9,-330.0,-0.64,53226.7,44799.6,1822.1,3.67,,
XNJ,Industrials,3785.7,3789.3,3763.0,3767.3,3839.9,3839.9,3772.3,72.6,1.93,3839.9,3763.0,65.4,1.73,3870.5,3756.4,36.6,0.96,3870.5,3689.8,103.4,2.77,4008.5,3140.1,-124.5,-3.14,27976.2,28007.6,27813.3,27844.8,28393.4,28393.4,27813.3,530.2,1.90,28566.6,27724.5,340.5,1.21,28566.6,27216.1,833.2,3.02,28820.6,22749.0,38.9,0.14,,
XIJ,Info Technology,595.8,603.8,605.0,599.8,604.7,609.1,599.8,4.9,0.82,605.0,595.8,11.6,1.96,627.5,589.7,-23.5,-3.74,666.6,589.7,-40.0,-6.21,736.7,559.3,-95.6,-13.65,3545.0,3592.4,3599.4,3568.5,3598.0,3599.4,3545.0,69.4,1.97,3693.9,3500.3,-95.9,-2.60,3919.5,3500.3,-192.9,-5.09,4262.9,3236.2,-439.6,-10.89,,
XMJ,Materials,14125.7,14179.7,14093.0,14171.7,14419.2,14421.5,14288.4,247.5,1.75,14419.2,14093.0,306.1,2.17,14488.1,14093.0,160.2,1.12,14488.1,13658.1,338.6,2.40,14488.1,10889.1,1995.7,16.06,89685.3,90027.7,89552.6,90066.8,91639.6,91639.6,89552.6,2106.3,2.35,91821.1,89532.4,1298.4,1.44,91821.1,86534.5,2428.4,2.72,91821.1,68188.9,13870.1,17.83,,
XPJ,A-Reit,879.1,870.0,868.3,869.1,885.2,886.9,869.1,16.1,1.85,885.2,868.3,10.7,1.22,887.0,864.3,5.2,0.59,887.0,834.2,45.4,5.40,908.7,813.8,-2.2,-0.25,20461.7,20249.1,20232.6,20251.2,20626.8,20626.8,20232.6,272.1,1.34,20646.7,20116.1,341.8,1.69,20646.7,19222.9,1272.8,6.58,20646.7,17970.7,1081.9,5.54,,
XTJ,Telecommunications,950.5,951.7,953.6,950.2,960.2,962.9,950.2,10.0,1.05,960.2,950.2,-1.2,-0.12,1016.6,946.6,-23.2,-2.36,1016.6,946.6,0.6,0.06,1128.3,892.3,-42.0,-4.19,9289.4,9301.5,9320.1,9286.9,9384.6,9384.6,9286.9,-11.4,-0.12,9507.2,9196.7,187.9,2.04,9507.2,8919.9,410.1,4.57,10046.4,8339.6,483.3,5.43,,
XUJ,Utilities,4229.6,4239.9,4218.6,4206.2,4243.0,4243.0,4214.3,36.8,0.87,4243.0,4206.2,14.9,0.35,4358.5,4206.2,-108.3,-2.49,4452.1,4206.2,-170.4,-3.86,4614.3,3998.4,-45.2,-1.05,36855.4,36945.2,36970.6,36862.0,37185.2,37185.2,36855.4,342.1,0.93,37979.2,36843.1,-731.3,-1.93,38794.6,36843.1,-1272.0,-3.31,39587.2,33297.5,1719.2,4.85,,
XMM,Metals And Mining,5130.4,5149.7,5125.3,5155.5,5241.2,5244.9,5199.3,85.7,1.66,5241.2,5125.3,114.8,2.24,5272.9,5125.3,46.7,0.90,5272.9,4955.7,95.5,1.86,5272.9,3866.0,810.0,18.28,6713.0,6738.3,6712.5,6753.2,6865.5,6865.5,6712.5,159.2,2.37,6892.7,6704.3,77.5,1.14,6892.7,6475.9,141.4,2.10,6892.7,5001.6,1134.4,19.79,,
XGD,Gold,7628.5,7602.6,7733.7,7691.4,7921.9,7937.7,7682.4,230.5,3.00,7921.9,7602.6,211.2,2.74,7921.9,7471.7,399.2,5.31,8136.9,7233.0,-177.2,-2.19,8421.8,5493.2,2358.0,42.38,8659.1,8629.7,8778.5,8732.8,8994.6,8994.6,8629.7,242.3,2.77,8994.6,8481.1,456.1,5.34,9235.8,8209.8,-198.2,-2.16,9559.1,6210.1,2709.4,43.11,,
XJR,S&P/Asx 200 Res,5925.0,5931.6,5905.7,5940.7,6022.7,6031.2,5982.2,82.0,1.38,6022.7,5905.7,116.7,1.98,6051.2,5894.0,51.7,0.87,6051.2,5728.4,113.9,1.93,6051.2,4611.8,798.0,15.27,29009.4,29058.7,28956.0,29132.0,29534.1,29534.1,28956.0,627.1,2.17,29563.7,28842.0,370.2,1.27,29563.7,27979.1,673.9,2.34,29563.7,22285.5,4295.9,17.02,,
,
