Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-10-15T23:15:13+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Oct 10,Oct 11,Oct 12,Oct 13,Oct 14,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Oct 10,Oct 11,Oct 12,Oct 13,Oct 14,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4262.3,4288.8,4266.4,4306.0,4269.0,4296.4,4260.1,-37.0,-0.86,4306.0,4262.3,44.0,1.04,4306.0,3927.6,178.6,4.37,5064.9,3927.6,-577.9,-11.92,5064.9,3927.6,-489.2,-10.28,31703.7,31901.5,31735.1,32029.8,31754.7,32029.8,31703.7,329.4,1.05,32029.8,29204.1,1381.0,4.55,36827.4,29204.1,-3058.1,-8.78,36827.4,29204.1,-2179.6,-6.42,,
XAF,All Australian 50,4184.1,4207.0,4184.2,4224.0,4185.9,4213.0,4175.6,-38.1,-0.90,4224.0,4184.1,38.5,0.93,4224.0,3853.0,210.4,5.29,4939.1,3853.0,-496.3,-10.60,4939.1,3853.0,-472.0,-10.13,31689.3,31863.0,31690.2,31991.6,31703.0,31991.6,31689.3,291.1,0.93,31991.6,29181.9,1621.5,5.39,36488.5,29181.9,-2443.6,-7.16,36488.5,29181.9,-1985.9,-5.89,,
XAT,All Australian 200,4195.2,4221.9,4199.1,4240.2,4201.1,4229.5,4191.4,-39.1,-0.92,4240.2,4195.2,44.1,1.06,4240.2,3855.4,200.0,5.00,4976.2,3855.4,-549.4,-11.57,4976.2,3855.4,-491.0,-10.47,31688.8,31890.4,31718.3,32028.9,31733.5,32028.9,31688.8,334.4,1.07,32028.9,29116.8,1552.0,5.14,36695.0,29116.8,-2857.4,-8.26,36695.0,29116.8,-2163.7,-6.38,,
XTL,S&P/ASX 20,2541.7,2556.9,2543.6,2563.8,2542.5,2556.4,2534.9,-21.3,-0.83,2563.8,2541.7,23.1,0.92,2563.8,2334.2,138.8,5.78,2998.7,2334.2,-289.6,-10.23,2998.7,2334.2,-270.8,-9.62,37754.3,37980.5,37781.7,38082.6,37766.0,38082.6,37754.3,343.7,0.92,38082.6,34671.5,2095.4,5.87,43396.5,34671.5,-2687.6,-6.64,43396.5,34671.5,-2074.9,-5.21,,
XFL,S&P/ASX 50,4208.1,4231.8,4209.3,4248.0,4209.4,4237.0,4199.5,-38.6,-0.91,4248.0,4208.1,38.8,0.93,4248.0,3876.7,214.1,5.36,4953.4,3876.7,-483.9,-10.31,4953.4,3876.7,-460.0,-9.85,31839.7,32018.8,31848.9,32141.5,31849.7,32141.5,31839.7,293.8,0.93,32141.5,29332.3,1648.4,5.46,36564.0,29332.3,-2352.9,-6.88,36564.0,29332.3,-1901.1,-5.63,,
XTO,S&P/ASX 100,3424.5,3444.7,3427.4,3460.5,3429.3,3451.7,3421.3,-31.2,-0.90,3460.5,3424.5,35.4,1.04,3460.5,3155.5,171.6,5.27,4049.1,3155.5,-424.0,-11.00,4049.1,3155.5,-386.6,-10.13,7858.5,7905.0,7865.2,7941.1,7869.5,7941.1,7858.5,81.1,1.04,7941.1,7240.1,403.2,5.40,9067.0,7240.1,-648.9,-7.62,9067.0,7240.1,-498.0,-5.95,,
XJO,S&P/ASX 200,4201.0,4227.6,4204.3,4244.5,4205.6,4234.0,4196.2,-38.9,-0.92,4244.5,4201.0,42.7,1.03,4244.5,3863.9,199.8,4.99,4971.2,3863.9,-539.6,-11.37,4971.2,3863.9,-483.4,-10.31,31693.9,31894.6,31719.1,32022.9,31729.5,32022.9,31693.9,323.8,1.03,32022.9,29145.7,1549.7,5.13,36617.7,29145.7,-2789.1,-8.08,36617.7,29145.7,-2113.3,-6.24,,
XKO,S&P/ASX 300,4197.1,4224.7,4201.7,4240.8,4202.4,4230.4,4193.2,-38.4,-0.91,4240.8,4197.1,43.2,1.04,4240.8,3860.9,190.1,4.74,4984.1,3860.9,-558.4,-11.73,4984.1,3860.9,-490.8,-10.46,31587.3,31794.8,31621.7,31916.4,31627.8,31916.4,31587.3,326.9,1.04,31916.4,29050.7,1474.8,4.89,36632.1,29050.7,-2932.5,-8.49,36632.1,29050.7,-2180.8,-6.45,,
XMD,S&P/ASX MidCap 50,3702.0,3732.8,3722.5,3772.9,3741.3,3765.2,3730.8,-31.6,-0.84,3772.9,3702.0,72.5,1.98,3772.9,3408.2,161.7,4.52,4573.1,3408.2,-726.2,-16.26,4573.1,3408.2,-527.4,-12.36,8892.2,8966.2,8941.5,9062.6,8986.6,9062.6,8892.2,174.1,1.98,9062.6,8186.5,422.4,4.93,10728.9,8186.5,-1362.0,-13.16,10728.9,8186.5,-830.0,-8.46,,
XSO,S&P/ASX Small Ords,2361.8,2392.4,2369.8,2383.9,2361.5,2380.1,2356.7,-22.4,-0.94,2392.4,2361.5,23.9,1.02,2435.6,2137.3,-1.8,-0.08,2946.3,2137.3,-531.0,-18.36,2946.3,2137.3,-366.7,-13.44,5436.1,5506.5,5454.9,5488.3,5436.8,5506.5,5436.1,57.8,1.08,5592.1,4915.5,14.6,0.27,6625.3,4915.5,-1065.5,-16.39,6625.3,4915.5,-673.8,-11.03,,
