Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-03-03T23:15:14+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Feb 27,Feb 28,Feb 29,Mar 1,Mar 2,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Feb 27,Feb 28,Feb 29,Mar 1,Mar 2,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4354.5,4351.2,4388.1,4346.0,4364.1,4380.9,4353.5,18.1,0.42,4388.1,4346.0,-24.9,-0.57,4389.0,4257.2,30.9,0.71,4389.0,4155.2,253.1,6.16,5064.9,3927.6,-594.5,-11.99,32947.4,32930.2,33227.2,32920.0,33061.0,33227.2,32920.0,-45.9,-0.14,33227.2,31958.2,559.7,1.72,33227.2,31164.7,2227.6,7.22,36827.4,29204.1,-2857.5,-7.96,,
XAF,All Australian 50,4216.6,4209.1,4246.9,4206.9,4225.1,4241.0,4214.3,18.2,0.43,4246.9,4206.9,-34.1,-0.80,4267.6,4152.4,-17.8,-0.42,4269.4,4092.7,176.0,4.35,4939.1,3853.0,-593.0,-12.31,32594.1,32546.5,32853.4,32556.8,32697.6,32853.4,32546.5,-99.1,-0.30,32853.4,31781.7,252.5,0.78,32853.4,31296.5,1733.9,5.60,36488.5,29181.9,-2774.3,-7.82,,
XAT,All Australian 200,4260.9,4256.3,4292.0,4248.5,4266.1,4283.2,4256.4,17.6,0.41,4292.0,4248.5,-34.5,-0.80,4300.6,4175.5,4.2,0.10,4300.6,4095.7,215.4,5.32,4976.2,3855.4,-601.6,-12.36,32797.3,32771.2,33065.6,32743.6,32881.8,33065.6,32743.6,-110.3,-0.33,33065.6,31856.4,396.3,1.22,33065.6,31218.0,2006.6,6.50,36695.0,29116.8,-2888.2,-8.07,,
XTL,S&P/ASX 20,2536.9,2529.2,2550.6,2526.8,2535.6,2546.4,2529.4,8.8,0.35,2550.6,2526.8,-28.5,-1.11,2582.4,2507.0,-31.9,-1.24,2585.2,2475.4,85.9,3.51,2998.7,2334.2,-377.1,-12.95,38508.2,38407.6,38754.1,38391.4,38524.9,38754.1,38391.4,-243.9,-0.63,38768.8,37633.5,12.7,0.03,38776.8,37130.7,1779.9,4.84,43396.5,34671.5,-3476.3,-8.28,,
XFL,S&P/ASX 50,4244.5,4236.7,4275.0,4235.1,4253.3,4269.5,4242.7,18.2,0.43,4275.0,4235.1,-34.1,-0.79,4295.7,4179.6,-17.3,-0.41,4297.0,4119.7,176.8,4.34,4953.4,3876.7,-580.0,-12.00,32769.1,32718.9,33029.6,32733.6,32874.9,33029.6,32718.9,-97.9,-0.30,33029.6,31951.4,256.6,0.79,33029.6,31465.6,1739.5,5.59,36564.0,29332.3,-2678.8,-7.53,,
XTO,S&P/ASX 100,3471.4,3466.2,3494.9,3461.2,3475.4,3489.0,3467.2,14.2,0.41,3494.9,3461.2,-28.8,-0.82,3504.2,3407.0,-6.2,-0.18,3504.2,3352.0,158.7,4.79,4049.1,3155.5,-482.1,-12.18,8122.0,8112.2,8184.5,8108.7,8142.0,8184.5,8108.7,-28.0,-0.34,8184.5,7898.0,78.5,0.97,8184.5,7763.4,460.4,5.99,9067.0,7240.1,-689.3,-7.81,,
XJO,S&P/ASX 200,4267.4,4262.7,4298.5,4255.5,4273.1,4290.0,4263.7,17.6,0.41,4298.5,4255.5,-33.7,-0.78,4306.8,4181.9,5.3,0.12,4306.8,4101.2,216.5,5.34,4971.2,3863.9,-591.2,-12.15,32799.8,32773.0,33068.2,32750.3,32887.4,33068.2,32750.3,-106.2,-0.32,33068.2,31862.6,399.3,1.23,33068.2,31218.6,2008.3,6.50,36617.7,29145.7,-2818.8,-7.89,,
XKO,S&P/ASX 300,4270.5,4266.0,4302.1,4259.4,4276.8,4293.8,4267.5,17.4,0.41,4302.1,4259.4,-31.9,-0.74,4308.7,4182.4,10.3,0.24,4308.7,4097.1,224.5,5.54,4984.1,3860.9,-599.8,-12.30,32733.4,32707.6,33003.9,32688.6,32824.0,33003.9,32688.6,-95.1,-0.29,33003.9,31783.9,429.7,1.33,33003.9,31106.7,2057.4,6.69,36632.1,29050.7,-2893.4,-8.10,,
XMD,S&P/ASX MidCap 50,3912.8,3918.4,3925.7,3878.0,3887.5,3907.8,3879.2,9.5,0.24,3925.7,3878.0,-41.0,-1.04,3928.5,3735.6,66.4,1.74,3928.5,3609.5,308.6,8.62,4573.1,3408.2,-608.1,-13.53,9519.7,9533.4,9573.2,9460.7,9483.9,9573.2,9460.7,-69.0,-0.72,9573.2,9051.4,235.5,2.55,9573.2,8736.2,821.7,9.49,10728.9,8186.5,-1032.7,-9.82,,
XSO,S&P/ASX Small Ords,2493.1,2501.0,2526.6,2494.8,2504.2,2515.8,2497.0,9.4,0.38,2526.6,2493.1,0.7,0.03,2526.6,2391.9,105.9,4.41,2526.6,2240.7,294.8,13.34,2920.5,2137.3,-384.3,-13.31,5783.9,5802.6,5863.1,5791.0,5816.6,5863.1,5783.9,13.4,0.23,5863.1,5536.8,269.0,4.85,5863.1,5181.7,707.7,13.85,6617.6,4915.5,-702.3,-10.77,,
