Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-08-10T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Aug 5,Aug 6,Aug 7,Aug 8,Aug 9,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Aug 5,Aug 6,Aug 7,Aug 8,Aug 9,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5093.8,5088.0,4996.6,5047.1,5038.8,5057.6,5008.3,-8.3,-0.16,5093.8,4996.6,-59.9,-1.17,5098.7,4885.4,172.3,3.54,5202.5,4633.5,374.2,8.02,5202.5,4297.7,736.0,17.10,40826.1,40779.7,40047.0,40451.8,40410.3,40826.1,40047.0,-455.0,-1.11,40865.3,39003.2,1407.0,3.61,41528.7,37020.3,3767.7,10.28,41528.7,33074.4,7405.5,22.44,,
XAF,All Australian 50,5222.3,5218.6,5123.5,5179.0,5167.1,5192.9,5134.3,-11.9,-0.23,5222.3,5123.5,-61.9,-1.18,5229.0,4994.2,193.8,3.90,5314.5,4733.5,469.4,9.99,5314.5,4311.5,851.7,19.74,42889.6,42859.4,42077.9,42533.8,42469.2,42889.6,42077.9,-475.6,-1.11,42944.7,40844.3,1624.8,3.98,43481.5,38052.6,4707.0,12.46,43481.5,33824.7,8658.7,25.61,,
XAT,All Australian 200,5068.6,5063.6,4968.6,5021.9,5011.2,5033.8,4979.0,-10.7,-0.21,5068.6,4968.6,-63.7,-1.25,5074.9,4863.0,168.9,3.49,5188.4,4619.6,379.9,8.20,5188.4,4261.1,749.2,17.58,41408.9,41367.7,40592.0,41027.1,40967.1,41408.9,40592.0,-492.8,-1.19,41459.8,39560.2,1406.9,3.56,42210.6,37380.5,3912.7,10.56,42210.6,33334.4,7703.2,23.16,,
XTL,S&P/ASX 20,3233.1,3223.3,3163.9,3200.2,3193.8,3210.6,3173.7,-6.4,-0.20,3233.1,3163.9,-43.7,-1.35,3237.5,3061.9,145.4,4.77,3264.8,2885.8,327.2,11.42,3264.8,2616.5,570.6,21.75,52162.1,52004.4,51045.9,51631.8,51560.3,52162.1,51045.9,-672.4,-1.29,52232.8,49182.3,2378.0,4.84,52533.4,45563.7,6301.1,13.92,52533.4,40280.5,11223.1,27.82,,
XFL,S&P/ASX 50,5285.5,5281.0,5185.8,5242.1,5231.2,5256.0,5198.2,-10.9,-0.21,5285.5,5185.8,-60.3,-1.14,5291.5,5051.7,199.3,3.96,5368.0,4770.1,498.6,10.53,5368.0,4346.3,880.6,20.24,43344.3,43307.3,42526.0,42987.8,42932.0,43344.3,42526.0,-460.8,-1.06,43392.9,41264.2,1667.8,4.04,43854.8,38295.2,4940.3,13.00,43854.8,34054.9,8888.6,26.11,,
XTO,S&P/ASX 100,4238.4,4234.2,4156.7,4202.4,4194.0,4212.7,4167.1,-8.4,-0.20,4238.4,4156.7,-49.3,-1.16,4243.3,4063.8,146.7,3.63,4323.8,3855.7,373.3,9.77,4323.8,3512.7,682.0,19.42,10529.6,10519.1,10326.6,10440.3,10426.8,10529.6,10326.6,-115.0,-1.09,10541.7,10054.8,372.0,3.70,10697.4,9380.5,1132.0,12.18,10697.4,8343.8,2094.5,25.14,,
XJO,S&P/ASX 200,5111.3,5105.6,5011.3,5064.8,5055.2,5076.7,5023.1,-9.6,-0.19,5111.3,5011.3,-61.6,-1.20,5116.8,4901.4,173.5,3.56,5221.0,4656.0,406.3,8.74,5221.0,4278.8,777.9,18.19,41683.0,41637.2,40867.9,41304.2,41253.3,41683.0,40867.9,-474.6,-1.14,41728.0,39810.3,1443.0,3.62,42402.2,37467.1,4118.8,11.09,42402.2,33404.5,7919.1,23.76,,
XKO,S&P/ASX 300,5067.2,5061.3,4968.4,5021.1,5012.0,5032.7,4980.7,-9.1,-0.18,5067.2,4968.4,-60.8,-1.20,5072.8,4858.9,172.1,3.56,5178.7,4613.2,385.7,8.34,5178.7,4264.0,748.4,17.55,41189.4,41141.9,40386.8,40814.9,40767.2,41189.4,40386.8,-468.0,-1.13,41235.2,39342.0,1425.2,3.62,41922.4,37184.2,3927.2,10.66,41922.4,33197.5,7635.1,23.04,,
XMD,S&P/ASX MidCap 50,4039.3,4030.4,3947.1,3995.9,3990.7,3997.7,3961.2,-5.2,-0.13,4039.3,3947.1,-54.5,-1.35,4048.4,3947.1,27.7,0.70,4310.8,3799.1,127.7,3.31,4310.8,3482.0,441.6,12.44,10404.4,10381.4,10166.9,10292.5,10279.2,10404.4,10166.9,-140.3,-1.35,10427.7,10166.9,71.5,0.70,11026.5,9756.1,509.9,5.22,11026.5,8705.7,1488.7,16.94,,
XSO,S&P/ASX Small Ords,2142.2,2135.1,2094.5,2105.5,2106.6,2110.6,2095.6,1.1,0.05,2142.2,2094.5,-36.8,-1.72,2153.7,2056.8,53.6,2.61,2414.5,1888.4,-174.1,-7.63,2414.5,1888.4,-57.3,-2.65,5192.4,5175.2,5076.7,5103.3,5106.0,5192.4,5076.7,-89.2,-1.72,5219.7,4975.6,130.4,2.62,5770.0,4574.9,-338.8,-6.22,5770.0,4574.9,27.7,0.54,,
