Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-08-06T23:15:12+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Aug 1,Aug 2,Aug 3,Aug 4,Aug 5,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Aug 1,Aug 2,Aug 3,Aug 4,Aug 5,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4573.1,4510.3,4408.3,4352.9,4169.7,4352.9,4150.7,-183.2,-4.21,4573.1,4169.7,-330.8,-7.35,4716.0,4169.7,-487.2,-10.46,5064.9,4169.7,-677.2,-13.97,5064.9,4169.7,-416.6,-9.08,33489.0,33029.0,32282.1,31877.0,30535.0,33489.0,30535.0,-2422.3,-7.35,34534.4,30535.0,-3565.2,-10.46,36827.4,30535.0,-4277.7,-12.29,36827.4,30535.0,-1722.0,-5.34,,
XAF,All Australian 50,4440.4,4376.3,4276.4,4221.0,4059.6,4221.0,4043.8,-161.4,-3.82,4440.4,4059.6,-313.0,-7.16,4624.7,4059.6,-516.0,-11.28,4939.1,4059.6,-622.6,-13.30,4939.1,4059.6,-510.5,-11.17,33068.3,32590.6,31846.8,31434.4,30232.3,33068.3,30232.3,-2330.9,-7.16,34440.1,30232.3,-3842.2,-11.28,36488.5,30232.3,-3914.3,-11.46,36488.5,30232.3,-2337.2,-7.18,,
XAT,All Australian 200,4498.8,4434.1,4333.2,4276.1,4104.6,4276.1,4086.9,-171.5,-4.01,4498.8,4104.6,-320.7,-7.25,4654.7,4104.6,-491.9,-10.70,4976.2,4104.6,-645.9,-13.60,4976.2,4104.6,-459.0,-10.06,33430.2,32949.5,32199.7,31775.7,30501.3,33430.2,30501.3,-2383.0,-7.25,34588.8,30501.3,-3654.5,-10.70,36695.0,30501.3,-4089.6,-11.82,36695.0,30501.3,-2002.2,-6.16,,
XTL,S&P/ASX 20,2686.8,2644.8,2585.9,2553.9,2457.7,2553.9,2447.9,-96.2,-3.77,2686.8,2457.7,-186.6,-7.06,2807.0,2457.7,-321.0,-11.55,2998.7,2457.7,-374.4,-13.22,2998.7,2457.7,-323.0,-11.62,39208.5,38595.4,37737.1,37269.4,35866.3,39208.5,35866.3,-2722.1,-7.05,40963.3,35866.3,-4683.4,-11.55,43396.5,35866.3,-4587.3,-11.34,43396.5,35866.3,-2915.5,-7.52,,
XFL,S&P/ASX 50,4454.7,4390.9,4290.7,4236.2,4074.2,4236.2,4058.2,-162.0,-3.82,4454.7,4074.2,-312.7,-7.13,4640.9,4074.2,-519.0,-11.30,4953.4,4074.2,-619.1,-13.19,4953.4,4074.2,-510.7,-11.14,33145.5,32671.2,31925.3,31519.7,30314.8,33145.5,30314.8,-2326.0,-7.13,34531.1,30314.8,-3861.0,-11.30,36564.0,30314.8,-3887.8,-11.37,36564.0,30314.8,-2339.6,-7.16,,
XTO,S&P/ASX 100,3658.2,3605.0,3522.3,3477.8,3341.3,3477.8,3327.6,-136.5,-3.92,3658.2,3341.3,-258.7,-7.19,3796.5,3341.3,-413.5,-11.01,4049.1,3341.3,-512.0,-13.29,4049.1,3341.3,-392.5,-10.51,8256.0,8136.0,7949.2,7848.8,7540.8,8256.0,7540.8,-583.9,-7.19,8568.2,7540.8,-933.3,-11.01,9067.0,7540.8,-977.7,-11.48,9067.0,7540.8,-529.6,-6.56,,
XJO,S&P/ASX 200,4497.8,4433.6,4332.8,4276.5,4105.4,4276.5,4087.7,-171.1,-4.00,4497.8,4105.4,-319.2,-7.22,4654.7,4105.4,-492.7,-10.72,4971.2,4105.4,-639.8,-13.48,4971.2,4105.4,-460.7,-10.09,33384.7,32908.3,32160.1,31742.8,30472.6,33384.7,30472.6,-2369.0,-7.21,34549.4,30472.6,-3655.9,-10.71,36617.7,30472.6,-4045.9,-11.72,36617.7,30472.6,-2022.0,-6.22,,
XKO,S&P/ASX 300,4504.2,4440.7,4340.3,4284.5,4110.6,4284.5,4092.1,-173.9,-4.06,4504.2,4110.6,-320.6,-7.24,4658.0,4110.6,-489.7,-10.64,4984.1,4110.6,-650.2,-13.66,4984.1,4110.6,-448.0,-9.83,33355.1,32884.8,32141.7,31728.8,30441.2,33355.1,30441.2,-2373.9,-7.23,34494.6,30441.2,-3624.9,-10.64,36632.1,30441.2,-4119.1,-11.92,36632.1,30441.2,-1942.7,-6.00,,
XMD,S&P/ASX MidCap 50,4246.6,4177.8,4077.7,4028.4,3839.5,4028.4,3815.2,-188.9,-4.69,4246.6,3839.5,-317.6,-7.64,4301.9,3839.5,-370.8,-8.81,4573.1,3839.5,-628.0,-14.06,4573.1,3839.5,-225.6,-5.55,10036.2,9873.5,9637.1,9520.4,9074.0,10036.2,9074.0,-750.7,-7.64,10166.8,9074.0,-876.4,-8.81,10728.9,9074.0,-1274.6,-12.32,10728.9,8924.9,-165.1,-1.79,,
XSO,S&P/ASX Small Ords,2645.1,2618.6,2568.2,2529.6,2395.6,2529.6,2373.5,-134.0,-5.30,2645.1,2395.6,-199.9,-7.70,2687.1,2395.6,-180.5,-7.00,2946.3,2395.6,-496.9,-17.18,2946.3,2359.1,-63.9,-2.60,6021.1,5960.6,5846.1,5759.4,5454.2,6021.1,5454.2,-453.9,-7.68,6116.7,5454.2,-408.5,-6.97,6625.3,5454.2,-1048.1,-16.12,6625.3,5237.7,-4.3,-0.08,,
