Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-08-18T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Aug 13,Aug 14,Aug 15,Aug 16,Aug 17,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Aug 13,Aug 14,Aug 15,Aug 16,Aug 17,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4309.5,4317.4,4307.0,4353.5,4393.8,4393.8,4353.0,40.3,0.93,4393.8,4307.0,91.0,2.11,4393.8,4151.4,218.5,5.23,4504.8,4033.4,282.8,6.88,4504.8,3927.6,221.9,5.32,33082.3,33145.6,33074.4,33436.1,33745.7,33745.7,33074.4,740.9,2.24,33745.7,31842.7,1719.6,5.37,34266.8,30869.4,2912.4,9.45,34266.8,29204.1,3075.1,10.03,,
XAF,All Australian 50,4318.1,4325.7,4311.5,4362.2,4401.7,4401.7,4361.0,39.5,0.91,4401.7,4311.5,86.3,2.00,4401.7,4150.9,234.4,5.63,4413.6,3983.7,352.6,8.71,4413.6,3853.0,327.3,8.03,33862.2,33923.9,33824.7,34225.4,34535.4,34535.4,33824.7,725.0,2.14,34535.4,32521.7,1885.7,5.78,34535.4,31167.4,3571.6,11.53,34535.4,29181.9,4041.1,13.25,,
XAT,All Australian 200,4268.2,4276.9,4265.9,4314.8,4355.2,4355.2,4314.3,40.4,0.94,4355.2,4265.9,93.2,2.19,4355.2,4109.4,228.1,5.53,4426.4,3973.9,304.5,7.52,4426.4,3855.4,256.8,6.26,33339.4,33410.2,33334.4,33722.0,34037.5,34037.5,33334.4,773.6,2.33,34037.5,32072.5,1826.7,5.67,34230.5,30947.5,3162.4,10.24,34230.5,29116.8,3449.3,11.28,,
XTL,S&P/ASX 20,2620.5,2624.8,2616.5,2650.5,2676.1,2676.4,2650.5,25.6,0.97,2676.1,2616.5,52.9,2.02,2676.1,2513.2,151.2,5.99,2676.1,2396.0,226.4,9.24,2676.1,2334.2,198.7,8.02,40325.1,40391.4,40280.5,40803.7,41198.9,41198.9,40280.5,861.7,2.14,41198.9,38645.6,2374.2,6.12,41198.9,36842.5,4453.9,12.12,41198.9,34671.5,4848.2,13.34,,
XFL,S&P/ASX 50,4352.8,4360.4,4346.3,4398.2,4438.2,4438.2,4397.0,40.0,0.91,4438.2,4346.3,87.6,2.01,4438.2,4186.5,236.1,5.62,4442.6,4010.1,361.7,8.87,4442.6,3876.7,344.5,8.42,34091.4,34153.6,34054.9,34464.7,34778.5,34778.5,34054.9,735.1,2.16,34778.5,32759.1,1897.1,5.77,34778.5,31334.8,3643.1,11.70,34778.5,29332.3,4167.5,13.61,,
XTO,S&P/ASX 100,3516.1,3522.8,3512.7,3553.4,3585.0,3585.0,3552.8,31.6,0.89,3585.0,3512.7,73.0,2.08,3585.0,3388.4,183.9,5.41,3618.2,3260.5,268.3,8.09,3618.2,3155.5,242.4,7.25,8348.6,8365.2,8343.8,8441.8,8516.7,8516.7,8343.8,184.5,2.21,8516.7,8038.8,447.7,5.55,8516.7,7719.3,835.1,10.87,8516.7,7240.1,938.3,12.38,,
XJO,S&P/ASX 200,4283.3,4292.2,4281.2,4330.2,4370.1,4370.1,4329.3,39.9,0.92,4370.1,4281.2,92.8,2.17,4370.1,4123.6,229.3,5.54,4435.9,3985.0,313.5,7.73,4435.9,3863.9,268.2,6.54,33407.9,33480.3,33404.5,33791.7,34103.3,34103.3,33404.5,769.1,2.31,34103.3,32136.0,1833.2,5.68,34257.1,30989.0,3224.2,10.44,34257.1,29145.7,3525.1,11.53,,
XKO,S&P/ASX 300,4269.7,4278.0,4267.0,4315.7,4356.5,4356.5,4315.2,40.8,0.95,4356.5,4267.0,92.9,2.18,4356.5,4111.3,227.2,5.50,4432.4,3977.4,304.2,7.51,4432.4,3860.9,250.9,6.11,33205.7,33273.5,33197.5,33581.6,33899.1,33899.1,33197.5,767.0,2.31,33899.1,31948.0,1811.3,5.64,34136.0,30841.3,3132.5,10.18,34136.0,29050.7,3366.3,11.03,,
XMD,S&P/ASX MidCap 50,3573.3,3585.5,3586.6,3617.2,3642.0,3642.6,3616.7,24.8,0.69,3642.0,3573.3,92.9,2.62,3642.0,3452.7,125.3,3.56,3950.9,3435.4,63.1,1.76,3950.9,3408.2,-72.3,-1.95,8850.2,8880.4,8883.2,8966.2,9027.7,9027.7,8850.2,237.2,2.70,9027.7,8551.6,317.6,3.65,9693.0,8495.1,365.5,4.22,9693.0,8186.5,236.1,2.69,,
XSO,S&P/ASX Small Ords,2173.7,2178.9,2180.9,2201.5,2237.1,2237.1,2200.9,35.6,1.62,2237.1,2173.7,73.2,3.38,2237.1,2044.8,139.9,6.67,2526.6,2044.8,27.7,1.26,2526.6,2044.8,-119.2,-5.06,5105.1,5118.7,5123.5,5171.8,5255.4,5255.4,5105.1,177.1,3.49,5255.4,4798.2,334.3,6.79,5892.6,4798.2,146.5,2.87,5892.6,4798.2,-113.1,-2.11,,
