Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-05-09T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,May 4,May 5,May 6,May 7,May 8,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,May 1,May 4,May 5,May 6,May 7,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5815.9,5816.2,5690.9,5644.8,5635.4,5685.9,5635.4,-9.4,-0.17,5816.2,5635.4,-163.4,-2.82,5954.8,5635.4,-292.9,-4.94,5954.8,5278.8,246.8,4.58,5954.8,5278.8,193.4,3.55,50217.0,50364.9,50367.7,49285.9,48885.9,50367.7,48885.9,-1331.0,-2.65,51568.0,48885.9,-2441.5,-4.76,51568.0,45110.3,2839.0,6.17,51568.0,43681.7,3664.7,8.10,,
XAF,All Australian 50,5894.8,5896.8,5753.7,5708.9,5691.0,5749.0,5691.0,-17.9,-0.31,5896.8,5691.0,-198.8,-3.37,6076.2,5691.0,-365.5,-6.04,6081.0,5389.2,192.8,3.51,6081.0,5389.2,117.7,2.11,52519.9,52564.5,52582.8,51306.9,50907.3,52582.8,50907.3,-1612.6,-3.07,54182.3,50907.3,-3099.6,-5.74,54222.3,47407.4,2540.9,5.25,54222.3,45852.9,3340.8,7.02,,
XAT,All Australian 200,5772.8,5772.0,5639.4,5593.5,5581.8,5636.1,5581.8,-11.7,-0.21,5772.8,5581.8,-178.1,-3.09,5926.9,5581.8,-319.5,-5.41,5926.9,5251.9,218.7,4.08,5926.9,5251.9,163.6,3.02,50965.1,51079.4,51071.9,49898.9,49492.8,51079.4,49492.8,-1472.2,-2.89,52442.3,49492.8,-2716.7,-5.20,52442.3,45851.2,2672.0,5.71,52442.3,44281.4,3543.7,7.71,,
XTL,S&P/ASX 20,3608.4,3609.6,3514.7,3492.0,3477.9,3516.5,3477.9,-14.1,-0.40,3609.6,3477.9,-136.7,-3.78,3734.9,3477.9,-255.0,-6.83,3760.5,3321.7,79.1,2.33,3760.5,3321.7,27.1,0.79,63426.1,63316.3,63337.2,61673.2,61274.7,63337.2,61274.7,-2151.4,-3.39,65537.0,61274.7,-4225.9,-6.45,65985.5,57424.2,2518.8,4.29,65985.5,55673.0,3372.0,5.82,,
XFL,S&P/ASX 50,5964.5,5966.6,5821.6,5776.5,5758.3,5817.1,5758.3,-18.2,-0.32,5966.6,5758.3,-201.2,-3.38,6147.4,5758.3,-368.8,-6.02,6152.9,5453.2,194.9,3.50,6152.9,5453.2,120.4,2.14,53048.6,53092.8,53111.3,51821.1,51419.5,53111.3,51419.5,-1629.1,-3.07,54720.8,51419.5,-3120.9,-5.72,54764.7,47882.7,2569.0,5.26,54764.7,46300.1,3386.7,7.05,,
XTO,S&P/ASX 100,4857.1,4855.1,4741.0,4703.4,4692.4,4738.6,4692.4,-11.0,-0.23,4857.1,4692.4,-156.0,-3.22,4995.1,4692.4,-289.1,-5.80,4996.2,4422.0,179.4,3.98,4996.2,4422.0,148.8,3.28,13054.8,13078.1,13072.6,12766.3,12665.0,13078.1,12665.0,-389.8,-2.99,13449.8,12665.0,-746.7,-5.57,13449.8,11747.2,676.1,5.64,13449.8,11295.6,945.4,8.07,,
XJO,S&P/ASX 200,5827.5,5826.5,5692.2,5645.7,5634.6,5689.1,5634.6,-11.1,-0.20,5827.5,5634.6,-179.8,-3.09,5982.7,5634.6,-326.1,-5.47,5982.7,5299.2,223.6,4.13,5982.7,5299.2,173.8,3.18,51336.3,51452.3,51443.3,50260.1,49849.8,51452.3,49849.8,-1486.5,-2.90,52822.2,49849.8,-2772.6,-5.27,52822.2,46166.2,2710.6,5.75,52822.2,44533.8,3632.4,7.86,,
XVI,S&P/ASX 200 VIX,0.171,16.820,19.284,19.692,19.212,19.212,17.948,-0.480,-2.44,19.692,0.171,2.234,13.16,19.692,0.171,5.226,37.37,19.692,0.171,4.631,31.76,19.692,0.171,7.193,59.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5764.6,5764.2,5633.5,5587.8,5577.3,5630.3,5577.3,-10.5,-0.19,5764.6,5577.3,-173.3,-3.01,5912.7,5577.3,-313.6,-5.32,5912.7,5240.7,228.4,4.27,5912.7,5240.7,175.2,3.24,50582.6,50705.9,50702.1,49556.3,49154.1,50705.9,49154.1,-1428.5,-2.82,52008.8,49154.1,-2656.4,-5.13,52008.8,45487.5,2728.5,5.88,52008.8,43915.8,3595.9,7.89,,
XMD,S&P/ASX MidCap 50,5266.0,5233.4,5142.0,5094.1,5113.6,5154.4,5094.1,19.5,0.38,5266.0,5094.1,-105.2,-2.02,5363.8,5094.1,-221.9,-4.16,5363.8,4638.6,366.1,7.71,5363.8,4638.6,592.1,13.10,14372.6,14502.4,14412.6,14168.8,14036.9,14502.4,14036.9,-335.6,-2.34,14759.9,14036.9,-643.5,-4.38,14759.9,12623.2,1117.4,8.65,14759.9,11578.7,2015.4,16.76,,
XSO,S&P/ASX Small Ords,2238.5,2246.9,2216.9,2194.5,2201.3,2216.6,2193.7,6.8,0.31,2246.9,2194.5,-15.4,-0.69,2246.9,2168.6,7.3,0.33,2246.9,2001.2,156.9,7.68,2246.9,2001.2,60.3,2.82,5703.5,5759.5,5781.1,5704.4,5646.5,5781.1,5646.5,-56.9,-1.00,5781.1,5578.1,3.4,0.06,5781.1,5089.5,449.0,8.64,5781.1,4882.3,311.6,5.84,,
XDJ,Consumer Discretionary,2002.5,2007.7,1956.6,1935.9,1936.2,1956.0,1935.4,0.3,0.02,2007.7,1935.9,-39.7,-2.01,2021.0,1935.9,-69.4,-3.46,2021.0,1713.3,182.9,10.43,2021.0,1713.3,127.9,7.07,15421.5,15628.5,15669.3,15270.7,15109.4,15669.3,15109.4,-312.2,-2.02,15772.9,15109.4,-538.6,-3.44,15772.9,13162.6,1639.6,12.17,15772.9,12935.8,1479.6,10.86,,
XSJ,Consumer Staples,9387.4,9415.6,9189.3,9052.4,9021.7,9097.3,9021.7,-30.7,-0.34,9415.6,9021.7,-228.3,-2.47,9452.9,9002.2,-298.8,-3.21,10122.8,9002.2,-151.4,-1.65,10122.8,9002.2,-989.7,-9.89,78659.6,79827.4,80067.8,78143.5,76979.0,80067.8,76979.0,-1680.6,-2.14,80384.9,76552.0,-2279.4,-2.88,85291.5,75246.2,470.2,0.61,85291.5,73342.3,-4671.0,-5.72,,
XEJ,Energy,12001.5,11942.4,11919.4,11753.2,11384.3,11774.4,11383.9,-368.9,-3.14,12001.5,11384.3,-540.8,-4.53,12090.7,11064.7,218.6,1.96,12090.7,10301.0,-217.1,-1.87,12090.7,10301.0,-2922.0,-20.42,89153.7,89724.6,89283.0,89111.3,87868.3,89724.6,87868.3,-1285.4,-1.44,90391.5,82721.2,4391.9,5.26,90391.5,74854.3,3563.9,4.23,111140.9,74854.3,-14354.6,-14.04,,
XFJ,Financials,6684.9,6706.9,6488.6,6463.9,6468.0,6550.7,6452.4,4.1,0.06,6706.9,6463.9,-289.6,-4.29,7149.2,6463.9,-660.3,-9.26,7186.4,6165.5,212.6,3.40,7186.4,6165.5,372.5,6.11,71141.0,70375.4,70607.6,68318.6,68057.6,70607.6,68057.6,-3083.4,-4.33,75249.9,68057.6,-6972.5,-9.29,75638.7,64303.3,2818.4,4.32,75638.7,59639.1,6878.1,11.24,,
XXJ,Financial-x-A-REIT,7753.7,7778.3,7511.7,7498.7,7486.9,7589.2,7483.1,-11.8,-0.16,7778.3,7486.9,-385.0,-4.89,8361.1,7486.9,-845.6,-10.15,8394.2,7130.2,204.7,2.81,8394.2,7130.2,287.9,4.00,79415.5,78223.3,78471.6,75793.4,75662.2,78471.6,75662.2,-3753.4,-4.73,84332.5,75662.2,-8382.0,-9.97,84666.9,71254.0,2889.7,3.97,84666.9,66776.9,6366.2,9.19,,
XHJ,Health Care,18690.7,18759.8,18438.6,18409.0,18400.5,18544.7,18346.9,-8.5,-0.05,18759.8,18400.5,-105.9,-0.57,19933.9,18400.5,-1316.1,-6.68,19933.9,17005.1,913.3,5.22,19933.9,17005.1,3961.5,27.44,119580.7,120771.9,121218.1,119143.0,118951.6,121218.1,118951.6,-629.1,-0.53,128804.9,118951.6,-8449.4,-6.63,128804.9,108911.1,6952.9,6.21,128804.9,88629.9,27550.8,30.14,,
XNJ,Industrials,4764.9,4768.8,4694.6,4638.7,4668.4,4693.7,4638.7,29.7,0.64,4768.8,4638.7,-66.5,-1.40,4771.0,4638.7,-90.9,-1.91,4771.0,4233.2,346.6,8.02,4771.0,4233.2,562.6,13.70,41034.9,41295.4,41328.7,40685.8,40201.5,41328.7,40201.5,-833.5,-2.03,41347.7,40201.5,-1045.6,-2.53,41347.7,36323.0,3117.8,8.41,41347.7,32870.0,5873.5,17.11,,
XIJ,Info Technology,804.7,801.4,795.4,785.7,788.1,793.0,785.4,2.4,0.31,804.7,785.7,-8.6,-1.08,832.0,785.7,-37.2,-4.50,853.7,757.6,5.4,0.69,853.7,757.6,3.2,0.41,5432.7,5487.1,5464.6,5423.8,5357.6,5487.1,5357.6,-75.1,-1.38,5673.6,5357.6,-269.8,-4.79,5803.2,5098.0,91.0,1.73,5803.2,4958.9,152.0,2.92,,
XMJ,Materials,9701.1,9540.6,9476.8,9359.7,9282.2,9375.9,9275.0,-77.5,-0.83,9701.1,9282.2,-193.7,-2.04,9701.1,8979.8,13.9,0.15,9946.3,8248.8,554.5,6.35,9946.3,8248.8,-747.1,-7.45,68460.4,70087.5,68927.4,68466.6,67620.4,70087.5,67620.4,-840.0,-1.23,70087.5,64876.3,660.1,0.99,70664.0,58495.7,5728.1,9.26,73622.9,57471.6,-2160.7,-3.10,,
