Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-12-22T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 17,Dec 18,Dec 19,Dec 20,Dec 21,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 17,Dec 18,Dec 19,Dec 20,Dec 21,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4588.0,4610.5,4633.2,4646.6,4635.2,4669.0,4623.8,-11.4,-0.25,4646.6,4588.0,40.1,0.87,4646.6,4431.5,244.5,5.57,4646.6,4033.4,524.2,12.75,4646.6,4033.4,443.1,10.57,35980.0,36156.8,36335.0,36440.3,36411.5,36440.3,35980.0,376.2,1.04,36440.3,34424.0,1987.5,5.77,36440.3,30869.4,5578.1,18.09,36440.3,30833.4,4969.8,15.81,,
XAF,All Australian 50,4618.1,4636.4,4661.1,4679.4,4675.3,4709.7,4662.3,-4.1,-0.09,4679.4,4618.1,45.4,0.98,4679.4,4451.6,264.2,5.99,4679.4,3983.7,626.2,15.46,4679.4,3983.7,544.8,13.19,37073.1,37220.4,37418.3,37565.2,37582.1,37582.1,37073.1,414.3,1.11,37582.1,35411.8,2170.4,6.13,37582.1,31167.4,6618.4,21.37,37582.1,30963.8,5996.1,18.98,,
XAT,All Australian 200,4556.1,4577.2,4599.7,4616.0,4605.7,4640.4,4593.3,-10.3,-0.22,4616.0,4556.1,39.8,0.87,4616.0,4395.6,253.5,5.82,4616.0,3973.9,555.0,13.70,4616.0,3973.9,470.4,11.37,36391.9,36560.9,36740.3,36870.4,36849.3,36870.4,36391.9,379.0,1.04,36870.4,34754.8,2094.5,6.03,36870.4,30947.5,5974.1,19.35,36870.4,30875.1,5329.2,16.91,,
XTL,S&P/ASX 20,2817.2,2829.7,2843.5,2852.4,2854.2,2875.5,2845.7,1.8,0.06,2854.2,2817.2,27.3,0.96,2854.2,2708.8,169.8,6.33,2854.2,2396.0,404.5,16.51,2854.2,2396.0,356.9,14.29,44479.7,44676.9,44895.6,45034.9,45063.8,45063.8,44479.7,430.2,0.96,45063.8,42383.2,2680.6,6.32,45063.8,36842.5,8318.7,22.64,45063.8,36745.0,7604.7,20.30,,
XFL,S&P/ASX 50,4652.5,4671.5,4696.6,4714.7,4710.5,4745.4,4697.5,-4.2,-0.09,4714.7,4652.5,45.9,0.98,4714.7,4485.5,265.7,5.98,4714.7,4010.1,634.0,15.55,4714.7,4010.1,553.5,13.32,37299.7,37451.8,37653.5,37798.4,37814.3,37814.3,37299.7,418.0,1.12,37814.3,35634.5,2179.8,6.12,37814.3,31334.8,6678.9,21.45,37814.3,31135.4,6063.8,19.10,,
XTO,S&P/ASX 100,3757.7,3775.0,3793.7,3808.3,3801.8,3830.6,3791.5,-6.5,-0.17,3808.3,3757.7,35.4,0.94,3808.3,3622.8,214.2,5.97,3808.3,3260.5,485.1,14.63,3808.3,3260.5,418.8,12.38,9126.8,9168.8,9214.2,9249.7,9248.7,9249.7,9126.8,100.8,1.10,9249.7,8711.5,537.1,6.17,9249.7,7719.3,1567.1,20.40,9249.7,7681.6,1413.4,18.04,,
XJO,S&P/ASX 200,4573.4,4595.2,4617.8,4634.1,4623.6,4658.7,4611.2,-10.5,-0.23,4634.1,4573.4,40.5,0.88,4634.1,4413.0,254.1,5.82,4634.1,3985.0,567.0,13.98,4634.1,3985.0,483.2,11.67,36470.6,36644.6,36824.8,36955.1,36931.9,36955.1,36470.6,383.8,1.05,36955.1,34835.9,2096.0,6.02,36955.1,30989.0,6052.8,19.60,36955.1,30879.1,5414.5,17.18,,
XKO,S&P/ASX 300,4551.7,4573.6,4596.3,4611.9,4600.8,4635.6,4588.8,-11.1,-0.24,4611.9,4551.7,40.0,0.88,4611.9,4394.7,249.1,5.72,4611.9,3977.4,548.5,13.54,4611.9,3977.4,465.7,11.26,36186.0,36360.2,36541.0,36665.2,36637.0,36665.2,36186.0,378.3,1.04,36665.2,34587.7,2049.3,5.93,36665.2,30841.3,5870.5,19.08,36665.2,30766.6,5241.5,16.70,,
XMD,S&P/ASX MidCap 50,3814.0,3848.7,3853.5,3868.4,3834.5,3876.3,3825.2,-33.9,-0.88,3868.4,3814.0,21.0,0.55,3868.4,3676.9,213.8,5.91,3950.9,3435.4,255.6,7.14,3950.9,3435.4,176.2,4.82,9605.7,9693.2,9705.3,9742.7,9697.3,9742.7,9605.7,92.8,0.97,9742.7,9097.8,599.5,6.59,9742.7,8495.1,1035.1,11.95,9742.7,8495.1,843.1,9.52,,
XSO,S&P/ASX Small Ords,2253.7,2270.0,2281.6,2277.3,2253.3,2277.3,2249.3,-24.0,-1.05,2281.6,2253.3,2.9,0.13,2281.6,2178.3,63.5,2.90,2526.6,2044.8,43.9,1.99,2526.6,2044.8,-11.1,-0.49,5367.9,5406.9,5435.0,5425.2,5379.4,5435.0,5367.9,19.2,0.36,5435.0,5188.4,165.3,3.17,5892.6,4798.2,270.6,5.30,5892.6,4798.2,143.2,2.73,,
XDJ,Consumer Discretionary,1320.3,1333.0,1331.1,1332.2,1325.5,1340.4,1323.7,-6.7,-0.50,1333.0,1320.3,2.3,0.17,1338.2,1282.9,54.3,4.27,1338.2,1179.0,152.8,13.03,1338.2,1165.7,139.7,11.78,9469.2,9560.3,9546.6,9554.8,9512.4,9560.3,9469.2,22.0,0.23,9597.6,9114.7,397.7,4.36,9597.6,8076.6,1478.8,18.41,9597.6,7985.3,1389.5,17.11,,
XSJ,Consumer Staples,8723.4,8784.6,8804.6,8863.5,8856.3,8924.9,8820.8,-7.2,-0.08,8863.5,8723.4,72.6,0.83,8890.3,8589.5,361.3,4.25,8890.3,7241.1,1523.2,20.77,8890.3,7241.1,1371.4,18.32,66959.0,67429.2,67582.5,68034.2,67979.4,68034.2,66959.0,557.5,0.83,68235.8,65107.0,2872.4,4.41,68235.8,52987.4,14318.5,26.68,68235.8,52987.4,13207.8,24.11,,
