SHARE PRICE & ACCUMULATION INDICES
"Processed Monday at 21/09/2015 3:58:10 PM."



XAO,All Ordinaries,5120.5,5046.6,5123.6,5171.2,5194.3,5218.3,5121.2,23.1,0.45,5194.3,5046.6,98.0,1.92,5379.8,5014.2,-115.1,-2.17,5954.8,5014.2,-194.3,-3.61,5954.8,5014.2,-243.0,-4.47,45334.8,44682.5,45372.9,45794.6,46001.9,46001.9,44682.5,888.2,1.97,47153.9,43952.0,-532.5,-1.14,51568.0,43952.0,-45.1,-0.10,51568.0,43681.7,-56.9,-0.12,
XAF,All Australian 50,5149.6,5066.9,5152.7,5201.4,5223.7,5248.3,5144.6,22.3,0.43,5223.7,5066.9,101.1,1.97,5449.3,5053.0,-136.8,-2.55,6081.0,5053.0,-274.5,-4.99,6081.0,5053.0,-299.3,-5.42,47084.1,46327.7,47111.9,47557.6,47760.9,47760.9,46327.7,924.4,1.97,49299.4,45714.6,-734.8,-1.52,54222.3,45714.6,-605.5,-1.25,54222.3,45714.6,-376.1,-0.78,
XAT,All Australian 200,5048.2,4970.7,5050.8,5098.5,5122.0,5146.4,5044.8,23.5,0.46,5122.0,4970.7,98.9,1.97,5329.5,4953.3,-131.3,-2.50,5926.9,4953.3,-241.1,-4.50,5926.9,4953.3,-269.8,-5.00,45720.8,45019.6,45752.3,46185.2,46399.6,46399.6,45019.6,908.8,2.00,47775.6,44404.7,-691.1,-1.47,52442.3,44404.7,-421.3,-0.90,52442.3,44281.4,-252.9,-0.54,
XTL,S&P/ASX 20,3107.2,3056.4,3113.9,3145.2,3156.4,3170.6,3106.7,11.2,0.36,3156.4,3056.4,65.1,2.11,3310.2,3049.9,-95.0,-2.92,3760.5,3049.9,-242.4,-7.13,3760.5,3049.9,-258.6,-7.57,55999.4,55083.2,56118.9,56684.7,56885.1,56885.1,55083.2,1173.5,2.11,58995.7,54356.5,-1061.7,-1.83,65985.5,54356.5,-1870.8,-3.18,65985.5,54356.5,-1633.2,-2.79,
XFL,S&P/ASX 50,5204.2,5120.4,5207.2,5256.7,5279.3,5304.1,5199.3,22.6,0.43,5279.3,5120.4,102.5,1.98,5506.3,5105.8,-140.2,-2.59,6152.9,5105.8,-284.1,-5.11,6152.9,5105.8,-308.6,-5.52,47497.6,46732.2,47527.1,47978.6,48185.3,48185.3,46732.2,938.1,1.99,49727.9,46111.2,-758.9,-1.55,54764.7,46111.2,-665.1,-1.36,54764.7,46111.2,-429.5,-0.88,
XTO,S&P/ASX 100,4254.7,4188.3,4256.6,4295.8,4313.6,4334.9,4250.0,17.8,0.41,4313.6,4188.3,81.0,1.91,4493.5,4171.5,-113.3,-2.56,4996.2,4171.5,-199.3,-4.42,4996.2,4171.5,-198.3,-4.40,11732.9,11549.7,11739.8,11847.9,11897.3,11897.3,11549.7,225.6,1.93,12264.6,11386.2,-185.5,-1.54,13449.8,11386.2,-91.6,-0.76,13449.8,11295.6,18.8,0.16,
XJO,S&P/ASX 200,5096.5,5018.4,5098.9,5146.8,5170.5,5195.0,5093.2,23.7,0.46,5170.5,5018.4,99.4,1.96,5380.2,5001.3,-132.6,-2.50,5982.7,5001.3,-240.5,-4.44,5982.7,5001.3,-262.6,-4.83,46056.8,45352.2,46086.5,46520.6,46736.6,46736.6,45352.2,912.2,1.99,48125.4,44738.2,-698.3,-1.47,52822.2,44738.2,-402.7,-0.85,52822.2,44533.8,-175.0,-0.37,
XVI,S&P/ASX 200 VIX,25.783,25.842,27.527,24.534,23.324,24.656,22.491,-1.534,-6.17,27.527,23.324,-3.008,-11.42,30.244,18.062,3.995,20.67,30.244,0.171,8.743,59.96,30.244,0.171,10.173,77.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,
XKO,S&P/ASX 300,5045.3,4969.6,5048.5,5095.0,5118.0,5143.1,5043.3,23.0,0.45,5118.0,4969.6,97.3,1.94,5321.5,4950.1,-128.3,-2.45,5912.7,4950.1,-230.9,-4.32,5912.7,4950.1,-261.0,-4.85,45414.1,44733.6,45451.4,45870.7,46079.5,46079.5,44733.6,889.5,1.97,47413.9,44107.5,-663.2,-1.42,52008.8,44107.5,-346.1,-0.75,52008.8,43915.8,-193.4,-0.42,
XMD,S&P/ASX MidCap 50,4753.9,4697.8,4752.1,4784.8,4798.9,4831.5,4742.3,14.1,0.29,4798.9,4697.8,66.3,1.40,4951.5,4637.4,-115.0,-2.34,5363.8,4637.4,51.4,1.08,5363.8,4637.4,232.2,5.09,13293.6,13136.8,13298.5,13391.7,13432.7,13432.7,13136.8,202.7,1.53,13730.2,12865.0,-193.3,-1.42,14759.9,12623.2,513.2,3.97,14759.9,11578.7,1094.4,8.87,
XSO,S&P/ASX Small Ords,1938.5,1923.0,1943.7,1961.9,1978.8,1989.4,1953.7,16.9,0.86,1978.8,1923.0,43.0,2.22,2013.0,1907.0,-22.6,-1.13,2263.3,1907.0,-65.6,-3.21,2263.3,1907.0,-223.8,-10.16,5057.0,5017.8,5074.5,5122.2,5168.1,5168.1,5017.8,119.8,2.37,5203.3,4952.4,-3.2,-0.06,5823.6,4952.4,-29.5,-0.57,5823.6,4882.3,-389.8,-7.01,
XDJ,Consumer Discretionary,1743.8,1725.0,1739.1,1754.2,1768.5,1780.5,1740.8,14.3,0.82,1768.5,1725.0,33.5,1.93,1859.9,1712.1,-92.3,-4.96,2021.0,1712.1,15.1,0.86,2021.0,1712.1,-22.7,-1.27,13784.1,13639.8,13776.8,13896.9,14014.1,14014.1,13639.8,309.3,2.26,14582.2,13503.4,-568.1,-3.90,15772.9,13162.6,544.3,4.04,15772.9,12935.8,338.3,2.47,
XSJ,Consumer Staples,8220.9,8164.0,8181.4,8235.6,8248.5,8351.1,8162.3,12.9,0.16,8248.5,8164.0,52.0,0.63,8747.6,8164.0,-191.6,-2.27,10122.8,8164.0,-924.5,-10.08,10122.8,8164.0,-1595.9,-16.21,71735.5,71239.7,71390.8,71864.1,71977.0,71977.0,71239.7,454.0,0.63,75507.7,70608.3,194.2,0.27,85291.5,70608.3,-4531.8,-5.92,85291.5,70608.3,-10076.4,-12.28,
