Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-10-06T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Oct 1,Oct 2,Oct 3,Oct 4,Oct 5,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Oct 1,Oct 2,Oct 3,Oct 4,Oct 5,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4408.3,4451.9,4458.8,4472.6,4513.8,4514.9,4472.6,41.2,0.92,4513.8,4408.3,107.5,2.44,4513.8,4331.6,216.1,5.03,4513.8,4033.4,402.8,9.80,4513.8,4033.4,288.8,6.84,34330.2,34672.0,34726.6,34835.4,35156.7,35156.7,34330.2,841.5,2.45,35156.7,33371.0,1785.7,5.35,35156.7,30869.4,4323.4,14.02,35156.7,30374.1,3731.5,11.87,,
XAF,All Australian 50,4430.2,4471.5,4475.0,4487.1,4527.6,4529.2,4487.1,40.5,0.90,4527.6,4430.2,99.9,2.26,4527.6,4353.6,199.4,4.61,4527.6,3983.7,478.5,11.82,4527.6,3962.7,380.2,9.17,35273.3,35601.7,35629.9,35726.5,36048.4,36048.4,35273.3,795.1,2.26,36048.4,34391.4,1657.0,4.82,36048.4,31167.4,5084.7,16.42,36048.4,30261.5,4636.5,14.76,,
XAT,All Australian 200,4370.1,4414.1,4419.0,4432.7,4474.7,4476.1,4432.7,42.0,0.95,4474.7,4370.1,106.2,2.43,4474.7,4295.2,213.6,5.01,4474.7,3973.9,424.0,10.47,4474.7,3973.9,317.7,7.64,34642.9,34992.4,35032.8,35140.9,35474.2,35474.2,34642.9,843.4,2.44,35474.2,33696.8,1777.3,5.27,35474.2,30947.5,4599.0,14.90,35474.2,30286.3,4075.1,12.98,,
XTL,S&P/ASX 20,2696.1,2720.1,2719.5,2727.7,2752.2,2754.2,2727.7,24.5,0.90,2752.2,2696.1,56.2,2.08,2752.2,2645.8,120.7,4.59,2752.2,2396.0,302.5,12.35,2752.2,2390.0,232.8,9.24,42160.6,42535.5,42527.1,42654.4,43037.9,43037.9,42160.6,878.6,2.08,43037.9,41067.4,1970.5,4.80,43037.9,36842.5,6292.8,17.13,43037.9,35849.6,5615.6,15.01,,
XFL,S&P/ASX 50,4466.2,4507.9,4511.6,4524.5,4565.0,4566.6,4524.5,40.5,0.90,4565.0,4466.2,101.0,2.26,4565.0,4390.8,199.7,4.57,4565.0,4010.1,488.5,11.98,4565.0,3986.5,394.4,9.46,35513.2,35844.6,35874.3,35977.1,36298.7,36298.7,35513.2,803.1,2.26,36298.7,34640.3,1658.4,4.79,36298.7,31334.8,5163.3,16.58,36298.7,30412.0,4742.8,15.03,,
XTO,S&P/ASX 100,3600.5,3635.8,3640.2,3651.6,3686.1,3687.0,3651.6,34.5,0.94,3686.1,3600.5,87.8,2.44,3686.1,3541.3,170.2,4.84,3686.1,3260.5,369.4,11.14,3686.1,3248.9,292.2,8.61,8676.7,8761.6,8772.7,8800.2,8883.3,8883.3,8676.7,212.1,2.45,8883.3,8455.1,428.3,5.07,8883.3,7719.3,1201.7,15.64,8883.3,7511.6,1094.9,14.06,,
XJO,S&P/ASX 200,4388.6,4433.0,4438.6,4452.4,4494.4,4495.8,4452.4,42.0,0.94,4494.4,4388.6,107.4,2.45,4494.4,4312.9,215.6,5.04,4494.4,3985.0,437.8,10.79,4494.4,3984.3,331.5,7.96,34736.4,35087.9,35133.3,35242.4,35575.1,35575.1,34736.4,851.4,2.45,35575.1,33782.7,1792.4,5.31,35575.1,30989.0,4696.0,15.21,35575.1,30273.2,4169.4,13.28,,
XKO,S&P/ASX 300,4374.1,4418.4,4424.2,4437.9,4479.7,4481.0,4437.9,41.8,0.94,4479.7,4374.1,107.3,2.45,4479.7,4298.2,215.7,5.06,4479.7,3977.4,427.4,10.55,4479.7,3977.4,320.5,7.71,34518.9,34869.0,34915.6,35024.6,35354.5,35354.5,34518.9,848.9,2.46,35354.5,33565.6,1788.9,5.33,35354.5,30841.3,4587.9,14.91,35354.5,30193.7,4053.6,12.95,,
XMD,S&P/ASX MidCap 50,3595.7,3645.2,3662.5,3682.6,3733.8,3735.3,3682.6,51.2,1.39,3733.8,3595.7,144.5,4.03,3733.8,3550.2,251.8,7.23,3950.9,3435.4,154.9,4.33,3950.9,3435.4,65.0,1.77,9013.5,9137.6,9184.4,9234.8,9363.0,9363.0,9013.5,365.6,4.06,9363.0,8705.7,657.3,7.55,9693.0,8495.1,700.9,8.09,9693.0,8495.1,550.6,6.25,,
XSO,S&P/ASX Small Ords,2239.5,2270.7,2275.6,2281.7,2302.5,2304.7,2281.7,20.8,0.91,2302.5,2239.5,57.9,2.58,2302.5,2176.5,164.0,7.67,2526.6,2044.8,93.1,4.22,2526.6,2044.8,-35.1,-1.50,5323.9,5398.9,5410.4,5426.5,5476.0,5476.0,5323.9,139.9,2.62,5476.0,5047.4,428.6,8.49,5892.6,4798.2,367.1,7.19,5892.6,4798.2,97.0,1.80,,
XDJ,Consumer Discretionary,1242.5,1259.3,1269.5,1271.9,1286.0,1286.0,1271.9,14.1,1.11,1286.0,1242.5,42.9,3.45,1286.0,1241.2,31.1,2.48,1313.3,1179.0,113.3,9.66,1313.3,1165.7,80.6,6.68,8894.2,9014.3,9096.8,9114.1,9214.8,9214.8,8894.2,316.5,3.56,9214.8,8884.5,295.0,3.31,9214.8,8076.6,1181.2,14.70,9214.8,7985.3,976.4,11.85,,
